rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Mitochondrial Translation (GO:0032543),3.635928591153228e-21,10.902130109383995,513.0915545737598,MRPS15;MRPS16;MRPL18;MRPL19;MRPS12;MRPS34;MRPL16;MRPL38;MRPL17;MRPL39;MRPL58;MRPL37;MRPL12;MRPL57;MRPL11;MRPL4;MRPL41;MRPL2;MRPL9;EARS2;GADD45GIP1;TSFM;MRPS26;MRPS24;MRPS18B;MRPS18A;MRPS2;GATB;MRPL23;MRPS7;MRPL24;TUFM;MRPL52;LARS2;MRPS9,9.93335691103062e-18,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
2,Mitochondrial Gene Expression (GO:0140053),2.397696644652283e-19,9.656644762504875,414.0248609291545,MRPS15;MRPS16;MRPL18;MRPL19;MRPS12;MRPS34;MRPL16;MRPL38;MRPL17;MRPL39;MRPL58;MRPL37;MRPL12;MRPL57;MRPL11;TBRG4;MRPL4;MRPL41;MRPL2;FASTK;MRPL9;GADD45GIP1;MRPS26;MRPS24;MRPS18B;MRPS18A;MRPS2;GATB;MRPL23;MRPS7;MRPL24;MRPL52;LARS2;MRPS9,3.2752536165950185e-16,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
3,DNA-templated DNA Replication (GO:0006261),1.2391523316395403e-13,9.700102354145343,288.2790749470128,PRIM2;GINS2;RFC3;RFC4;MCM7;POLDIP2;GINS3;WDR18;HMGA1;MCM10;ORC5;POLA2;CDC45;ORC6;POLD1;POLE2;POLD2;POLE3;MCM3;MCM4;MCM5;SSBP1;MCM2,1.128454723346408e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
4,Translation (GO:0006412),4.391324697504402e-13,4.294624217118998,122.19913128475098,MRPS15;MRPS16;MRPL18;MRPL19;MRPS12;MRPS34;MRPL16;MRPL38;MRPL17;MRPL39;MRPL58;MRPL37;MRPL12;MRPL57;YARS2;MRPL11;MRPL41;MRPL4;MRPL2;MRPL9;EIF5A;GADD45GIP1;TSFM;MRPS26;MRPS24;MRPS18B;MRPS18A;MRPS2;GATB;MRPL23;MRPS7;MRPL24;FTSJ1;TUFM;MRPL52;LARS2;MRPS9;RPS6KB2;DRG1;DRG2;AURKAIP1;FARSB,2.9992747683955067e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
5,Protein N-linked Glycosylation (GO:0006487),2.048543866113657e-12,9.456659619450317,254.51551458526978,DPAGT1;ALG8;RPN2;PMM1;DERL3;ALG5;SRD5A3;ALG14;ALG3;DDOST;KRTCAP2;FUT8;TMEM258;DAD1;PSMD2;DOLPP1;OSTC;STT3A;MLEC;MGAT1;MPDU1,1.1193243684445022e-09,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
6,DNA Metabolic Process (GO:0006259),2.5664242460922262e-12,3.737495018798621,99.74816395169277,TOP2A;SMARCAL1;PRIM2;FEN1;SMARCB1;MCM7;MCM8;HMGB3;MCM10;TYMS;ORC5;ORC6;CDC45;NTHL1;ALKBH1;RUVBL2;POLD1;CHEK1;RUVBL1;POLD2;PCLAF;KPNA2;RFC3;ENDOG;RFC4;PARP2;XRCC2;FANCG;HINFP;FAM111B;POLA2;RAD51C;GRWD1;UBE2T;POLE2;POLE3;TIMELESS;CDK1;NABP2;MCM3;MCM4;MCM5;DCTPP1;RAN;CENPS;MCM2,1.1685785067206603e-09,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
7,Mitotic Sister Chromatid Segregation (GO:0000070),4.581846943688751e-12,6.24886213478197,163.15103492099274,CDCA5;NCAPG2;PINX1;BCCIP;CDCA8;NCAPG;KIF11;NCAPH;CCNB1;CHEK2;SPDL1;CEP55;DLGAP5;NUDC;SPAG5;PLK1;TUBG1;KNSTRN;ZWINT;SGO1;TPX2;KIF18A;KIFC1;ZW10;KIF2C;CCDC61;RAN,1.788229407165381e-09,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
8,DNA Replication (GO:0006260),3.517367617471723e-11,7.816217490374794,188.14200728348666,FEN1;RFC3;RFC4;MCM7;POLDIP2;MCM8;WDR18;ORC5;FAM111B;POLA2;GRWD1;POLD1;POLE2;CHEK1;POLD2;POLE3;PCLAF;CDK1;MCM4;MCM5;MCM2,1.2011810413665933e-08,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
9,Mitotic Spindle Organization (GO:0007052),7.948733719428012e-10,6.346654749744637,132.980430682647,NUDC;PLK1;BCCIP;CDCA8;KIF11;WDR62;TUBG1;AURKB;AURKA;TPX2;CCNB1;CENPH;KIFC1;CHEK2;STMN1;RCC1;BIRC5;DLGAP5;CCDC61;RAN;SPC25,2.4128822801641475e-07,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
10,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),2.4491541670705524e-09,5.885197850512946,116.68889638754695,NDUFA9;NDUFB9;COA3;NDUFA8;NDUFA11;DMAC2;NDUFB11;UQCC2;NDUFB4;TIMM21;BCS1L;FOXRED1;CHCHD4;TMEM223;NDUFS8;AIFM1;NDUFS7;NDUFAF4;SDHAF1;NDUFAB1;UQCRFS1,6.290167737216039e-07,0,0,GTEX-1HCU7-0006-SM-A9G19,over,GO_Biological_Process_2023
