rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Protein processing in endoplasmic reticulum,8.443157996246308e-16,5.800870305552928,201.33663602838766,TRAM1;RPN2;DERL3;RPN1;HSPBP1;HSP90B1;HERPUD1;SEC61A1;ERLEC1;LMAN1;BAG2;SEC61G;LMAN2;SSR1;SEC61B;BAK1;SIL1;TXNDC5;XBP1;SEC13;SEC24A;SSR4;WFS1;SSR3;TRAF2;UBE2G1;PDIA6;EIF2S1;DDOST;PDIA4;SELENOS;DAD1;DNAJB11;CANX;STT3A;PREB;HYOU1;CALR;P4HB,1.4712546690097646e-13,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
2,Prion disease,1.0857968036972433e-15,4.4316733537880575,152.6997858236795,NDUFA11;PSMD8;TUBA1C;TUBA1B;PSMD2;PSMD3;RAC2;PSMD1;UQCRFS1;COX8A;TUBB;CSNK2A2;PSMA5;NDUFS8;PSMA1;NDUFS7;NDUFS6;UQCRC1;VDAC1;SLC25A5;SLC25A4;C1QB;C1QA;NDUFB9;PSMD11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;COX5A;ATP5MC1;PSMB6;STIP1;ATP5F1A;ATP5F1B;PSMB5;PSMB2;CYC1;NDUFV2;NDUFA9;NDUFA8;BAD;CAV1;ADRM1;ATP5F1D;EIF2S1;PSMC5;PSMC3;PSMC4;NDUFAB1,1.4712546690097646e-13,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
3,Parkinson disease,1.1001902520631095e-14,4.464799496029165,143.50181768697112,NDUFB9;PSMD11;NDUFA11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;COX5A;TXN2;ATP5MC1;PSMD8;PSMB6;TUBA1C;TUBA1B;ATP5F1A;ATP5F1B;PSMB5;PSMB2;PSMD2;PSMD3;PSMD1;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA9;NDUFA8;XBP1;TUBB;ADRM1;UBE2G1;ATP5F1D;EIF2S1;PSMA5;PSMC5;NDUFS8;PSMA1;PSMC3;NDUFS7;PSMC4;NDUFS6;NDUFAB1;UQCRC1;VDAC1;SLC25A5;SLC25A4,9.93838527697009e-13,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
4,Amyotrophic lateral sclerosis,1.9169342165779142e-13,3.520504785876954,103.09051587944073,NDUFA11;ACTG1;PSMD8;TUBA1C;TUBA1B;PSMD2;PSMD3;PSMD1;UQCRFS1;COX8A;NDC1;SEC13;TUBB;SIGMAR1;GPX7;TRAF2;PSMA5;NDUFS8;PSMA1;NDUFS7;NDUFS6;UQCRC1;VDAC1;PFN1;NDUFB9;TOMM40;PSMD11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;COX5A;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;PSMB2;ATG101;CYC1;NDUFV2;NDUFA9;NDUFA8;XBP1;BAD;ALYREF;ADRM1;CHCHD10;ATP5F1D;EIF2S1;PSMC5;PSMC3;PSMC4;NDUFAB1;NUP37,1.2987229317315369e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
5,Cell cycle,3.472615228315409e-13,6.220443079622724,178.4564143727079,YWHAE;PCNA;MCM7;PKMYT1;ANAPC11;CDC20;ORC5;CCNB2;CCNB1;CCND2;ORC6;CDC45;CHEK2;CHEK1;E2F1;BUB1;CDKN2A;PLK1;CDC6;CCNA2;MAD2L2;CCNE1;CDK4;CDK1;MCM3;MCM4;MCM5;MAD1L1;MCM2;MAD2L1,1.8821574537469518e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
6,Alzheimer disease,1.1810156477289393e-12,3.3859861069163393,92.99491090218527,NDUFA11;IDE;PSMD8;TUBA1C;TUBA1B;PSMD2;PSMD3;PSMD1;UQCRFS1;HRAS;COX8A;TUBB;CSNK2A2;TRAF2;PSMA5;NDUFS8;PSMA1;NDUFS7;NDUFS6;UQCRC1;VDAC1;SLC25A5;GAPDH;SLC25A4;NDUFB9;PSMD11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;COX5A;HSD17B10;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;PSMB2;ATG101;CYC1;NDUFV2;NDUFA9;NDUFA8;WNT10A;XBP1;BAD;ADRM1;ATP5F1D;EIF2S1;PSMC5;PSMC3;CDK5;PSMC4;NDUFAB1,5.334254008909042e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
7,DNA replication,3.852458599057043e-12,15.43089430894309,405.5595412357547,PRIM2;FEN1;RFC3;PCNA;RFC4;MCM7;POLA2;POLD1;POLE2;POLD2;POLE3;MCM3;MCM4;MCM5;SSBP1;MCM2,1.4914518290635125e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
8,Huntington disease,6.1922042004685205e-12,3.568600679828382,92.0974828302252,NDUFB9;PSMD11;NDUFA11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;COX5A;ATP5MC1;PSMD8;PSMB6;TUBA1C;TUBA1B;ATP5F1A;ATP5F1B;PSMB5;PSMB2;ATG101;PSMD2;PSMD3;POLR2D;PSMD1;UQCRFS1;CYC1;NDUFV2;POLR2L;COX8A;NDUFA9;NDUFA8;TUBB;ADRM1;GPX7;TRAF2;ATP5F1D;PSMA5;PSMC5;NDUFS8;PSMA1;PSMC3;NDUFS7;PSMC4;NDUFS6;NDUFAB1;UQCRC1;VDAC1;SLC25A5;SLC25A4,2.0976091729087112e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
9,Proteasome,2.9558390479212916e-11,11.31325639316659,274.28598087652495,PSMD11;PSMD14;POMP;ADRM1;PSMB6;PSMD8;PSMA5;PSMC5;PSMB5;PSMB2;PSMA1;PSMC3;PSMC4;PSMD2;PSMD3;PSMD1;PSME2,8.90035979985189e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
10,Pathways of neurodegeneration,8.284254988695608e-10,2.687072206690446,56.19069488135023,NDUFA11;PSMD8;TUBA1C;TUBA1B;PSMD2;PSMD3;PSMD1;UQCRFS1;HRAS;COX8A;TUBB;CSNK2A2;SIGMAR1;GPX7;TRAF2;PSMA5;NDUFS8;PSMA1;NDUFS7;NDUFS6;UQCRC1;VDAC1;SLC25A5;SLC25A4;NDUFB9;TOMM40;PSMD11;PSMD14;NDUFB11;NDUFB4;ATP5MC3;HSD17B10;COX5A;ATP5MC1;PSMB6;ATP5F1A;PSMB5;ATP5F1B;PSMB2;ATG101;BAK1;CYC1;NDUFV2;NDUFA9;NDUFA8;WNT10A;XBP1;BAD;ADRM1;UBE2G1;ATP5F1D;EIF2S1;PSMC5;PSMC3;CDK5;PSMC4;NDUFAB1,2.24503310193651e-08,0,0,GTEX-1HCU7-0006-SM-A9G19,over,KEGG_2021_Human
