rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,E2F Targets,1.2016472932264154e-43,11.702545676936014,1156.5329307755994,TOP2A;POP7;MCM7;SUV39H1;CSE1L;HMGB3;CKS1B;CDC20;CHEK2;CHEK1;STMN1;MYBL2;TK1;KPNA2;DLGAP5;TCF19;HELLS;TIPIN;RFC3;TUBB;CTPS1;TUBG1;NME1;DDX39A;RAD51C;CCNE1;ZW10;TIMELESS;MCM3;MCM4;BIRC5;KIF2C;MCM5;DCTPP1;SNRPB;MCM2;PRIM2;PCNA;CDCA3;CDCA8;HMMR;AURKB;AURKA;TBRG4;CCNB2;PRDX4;ORC6;RACGAP1;POLD1;POLD2;RANBP1;RRM2;SPAG5;CDKN2A;GINS3;PLK1;HMGA1;SSRP1;PAICS;EIF2S1;POLA2;UBE2S;CDK4;UBE2T;CDK1;CENPM;TRIP13;SPC24;RAN;EZH2;MAD2L1;CDKN3;SPC25,5.527577548841511e-42,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
2,Myc Targets V1,1.5916542814461132e-31,8.814834394465258,625.1071894969792,YWHAE;MCM7;PHB2;RRP9;PSMD8;CDC20;C1QBP;RUVBL2;PSMD3;PSMD1;MRPL9;TXNL4A;KPNA2;CCT3;RFC4;CAD;MRPS18B;CTPS1;ILF2;NME1;TUFM;CCNA2;PSMA1;CANX;TCP1;NHP2;MCM4;VDAC1;MCM5;SNRPA;MCM2;PCNA;PSMD14;CSTF2;TYMS;COX5A;SRM;PPM1G;PRDX4;CDC45;PSMB2;POLD2;CYC1;CCT7;CCT4;RANBP1;NOP16;GOT2;MRPL23;EIF2S1;LSM2;AIMP2;PSMC4;CDK4;IMPDH2;SERBP1;NDUFAB1;POLE3;SSBP1;RAN;MAD2L1,3.66080484732606e-30,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
3,G2-M Checkpoint,1.9735444525583656e-23,6.986999657885733,365.27772896426524,TOP2A;SUV39H1;CCNF;HMGB3;KIF11;CKS1B;CDC20;MT2A;CHAF1A;CHEK1;STMN1;PBK;MYBL2;KPNA2;KNL1;CCNA2;DDX39A;MCM3;BIRC5;KIF2C;MCM5;ATF5;MCM2;PRIM2;DTYMK;TROAP;HMMR;CENPA;AURKB;AURKA;ORC5;CCNB2;ORC6;CDC45;RACGAP1;E2F1;BUB1;GINS2;UBE2C;PLK1;HMGA1;CDC6;TPX2;SQLE;UCK2;POLA2;UBE2S;CDK4;CDK1;EZH2;MAD2L1;CDKN3,3.026101493922827e-22,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
4,mTORC1 Signaling,6.14454681668986e-21,6.431717049324169,299.3238914895334,CCNF;ARPC5L;TMEM97;ENO1;RRP9;SERP1;FDXR;PHGDH;PSPH;TUBG1;DDX39A;PPA1;CANX;MCM4;TRIB3;GAPDH;MCM2;TOMM40;NUFIP1;PSMD14;SHMT2;RPN1;SLC1A4;HSP90B1;ATP5MC1;AURKA;STIP1;EBP;PSMB5;SSR1;ABCF2;LDLR;BUB1;XBP1;SDF2L1;RRM2;GOT1;PNO1;PLK1;ASNS;PDAP1;DHCR24;DHFR;QDPR;SQLE;PSMC4;PSAT1;PSMG1;CALR,7.066228839193339e-20,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
5,Oxidative Phosphorylation,2.790963582791506e-16,5.392708104546453,193.13970368989803,MRPS15;FH;ECHS1;ALAS1;ECI1;TIMM9;NDUFB4;MRPS12;TIMM13;ATP5MC3;PHB2;COX5A;HSD17B10;MRPL11;ATP5MC1;TIMM50;ATP5F1A;ATP5F1B;AIFM1;UQCRFS1;CYC1;NDUFV2;COX10;IDH3A;COX8A;NDUFA9;PDHX;NDUFA8;CYB5A;MDH2;IDH3G;GOT2;ATP5F1D;ALDH6A1;NDUFS8;NDUFS7;NDUFS6;NDUFAB1;UQCRC1;VDAC1;SLC25A5;SLC25A4;FXN,2.5676864961681854e-15,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
6,Myc Targets V2,1.9135627703810418e-14,11.8498068620768,374.30250930948455,NOP16;PUS1;PLK1;IMP4;NOC4L;TMEM97;IPO4;RRP9;SRM;TBRG4;BYSL;AIMP2;EXOSC5;CDK4;GRWD1;PES1;NDUFAF4;MRTO4;MCM4;MCM5;FARSA;DCTPP1,1.4670647906254654e-13,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
7,Unfolded Protein Response,4.383499041588303e-11,5.803039958460195,138.4059195463166,GOSR2;SLC1A4;RRP9;HSP90B1;HERPUD1;CKS1B;EXOSC5;SERP1;SSR1;BANF1;XBP1;WFS1;ASNS;PDIA6;EIF2S1;LSM4;PDIA5;YIF1A;SPCS1;PSAT1;NHP2;SRPRB;PREB;HYOU1;CALR;ALDH18A1,2.880585084472313e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
8,Glycolysis,8.116047041428748e-07,3.153316106804479,44.22290108248265,CHPF;HDLBP;ENO1;HMMR;CENPA;AURKA;GMPPB;GYS1;NSDHL;FUT8;STMN1;GMPPA;CYB5A;GOT1;MDH2;BIK;B3GAT3;GOT2;SRD5A3;AKR1A1;ALG1;HAX1;PSMC4;CDK1;SDC1;SLC25A10;POLR3K;GALK2,4.66672704882153e-06,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
9,DNA Repair,5.576657846921561e-06,3.3165899795501024,40.12052668406005,FEN1;RFC3;GTF2A2;RFC4;PCNA;ALYREF;ADRM1;SSRP1;AAAS;TYMS;ZWINT;TARBP2;NME1;APRT;NUDT9;SEC61A1;POLA2;DAD1;POLD1;IMPDH2;POLR2D;SAC3D1,2.8502917884265755e-05,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
10,Cholesterol Homeostasis,6.907774284820124e-05,4.089341770890428,39.17703091905166,FDPS;MVK;TMEM97;ACAT2;ACTG1;SQLE;NSDHL;EBP;PMVK;TRIB3;ATF5;LDLR;FDFT1,0.0003177576171017257,0,0,GTEX-1HCU7-0006-SM-A9G19,over,MSigDB_Hallmark_2020
