rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Cell Cycle R-HSA-1640170,3.122430141082372e-39,4.932971482725941,437.3681389078424,GMNN;HID1;PSMD8;CDC20;CCND2;PPP2R1A;PSMD2;RUVBL2;CHEK2;PSMD3;RUVBL1;CHEK1;RCC1;BANF1;GTSE1;CSNK2A2;ESCO2;KNL1;CTDNEP1;SGO1;CCNE1;ZW10;NHP2;PSME2;MAD1L1;PIF1;PSMD11;PSMD14;CDCA5;CDCA8;NCAPG;HMMR;AAAS;PKMYT1;NCAPH;ANAPC11;ORC5;CCNB2;CCNB1;ORC6;GAR1;CLSPN;CDT1;UBE2C;PLK1;CDC6;ZWINT;DHFR;TPX2;POLA2;KIF18A;CDK4;UBE2S;CDK1;WRAP53;TOP2A;YWHAE;FEN1;MCM7;MCM8;NCAPG2;MCM10;FOXM1;CKS1B;TUBA1C;TUBA1B;MYBL2;TK1;SPDL1;LIN52;NDC1;NUDC;RFC3;SEC13;RFC4;TUBB;TUBG1;PSMA5;CCNA2;RAD51C;PSMA1;MCM3;BIRC5;MCM4;MCM5;KIF2C;PRIM2;PCNA;SSNA1;TYMS;CENPA;AURKB;AURKA;PSMB6;PSMB5;CDC45;PSMB2;POLD1;POLR2D;POLD2;E2F1;BUB1;POLR2L;GINS2;CENPW;RRM2;CENPX;CDKN2A;GINS3;PSMC5;MIS18A;CENPH;PSMC3;PSMC4;POLE2;POLE3;CENPM;CENPN;CEP41;SPC24;RAN;MAD2L1;SPC25;NUP37,3.54083577998741e-36,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
2,"Cell Cycle, Mitotic R-HSA-69278",1.118013675646772e-37,5.422172996920417,461.3406814756769,GMNN;PSMD8;CDC20;CCND2;PPP2R1A;PSMD2;PSMD3;RCC1;BANF1;GTSE1;CSNK2A2;ESCO2;KNL1;CTDNEP1;SGO1;CCNE1;ZW10;PSME2;MAD1L1;PSMD11;PSMD14;CDCA5;CDCA8;NCAPG;HMMR;AAAS;PKMYT1;NCAPH;ANAPC11;ORC5;CCNB2;CCNB1;ORC6;CDT1;UBE2C;PLK1;CDC6;ZWINT;DHFR;TPX2;POLA2;KIF18A;CDK4;UBE2S;CDK1;TOP2A;YWHAE;FEN1;MCM7;MCM8;NCAPG2;MCM10;FOXM1;CKS1B;TUBA1C;TUBA1B;MYBL2;TK1;SPDL1;LIN52;NDC1;NUDC;RFC3;SEC13;RFC4;TUBB;TUBG1;PSMA5;CCNA2;PSMA1;MCM3;BIRC5;MCM4;MCM5;KIF2C;PRIM2;PCNA;SSNA1;TYMS;CENPA;AURKB;AURKA;PSMB6;PSMB5;CDC45;PSMB2;POLD1;POLD2;E2F1;BUB1;GINS2;RRM2;CDKN2A;GINS3;PSMC5;CENPH;PSMC3;PSMC4;POLE2;POLE3;CENPM;CENPN;CEP41;SPC24;RAN;MAD2L1;SPC25;NUP37,6.339137540917198e-35,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
3,Cell Cycle Checkpoints R-HSA-69620,1.2247625167089737e-27,6.478665065023241,401.4637655778834,YWHAE;MCM7;MCM8;MCM10;CDC20;PSMD8;PPP2R1A;CHEK2;PSMD2;CHEK1;PSMD3;SPDL1;GTSE1;NUDC;SEC13;RFC3;RFC4;KNL1;PSMA5;SGO1;CCNA2;PSMA1;CCNE1;ZW10;MCM3;PSME2;BIRC5;MCM4;KIF2C;MCM5;MAD1L1;PSMD11;PSMD14;CDCA8;PKMYT1;CENPA;AURKB;ANAPC11;PSMB6;ORC5;CCNB2;CCNB1;PSMB5;ORC6;CDC45;PSMB2;CLSPN;BUB1;CDKN2A;UBE2C;PLK1;CDC6;ZWINT;PSMC5;KIF18A;CENPH;PSMC3;PSMC4;UBE2S;CDK1;CENPM;CENPN;SPC24;MAD2L1;SPC25;NUP37,4.629602313159921e-25,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
4,Mitotic G1 Phase And G1/S Transition R-HSA-453279,1.5453308947176705e-26,9.626177743824803,572.1027488470249,TOP2A;PRIM2;PSMD11;PCNA;PSMD14;MCM7;MCM8;GMNN;MCM10;TYMS;CKS1B;PSMD8;ORC5;PSMB6;CCNB1;CCND2;ORC6;CDC45;PSMB5;PSMB2;PPP2R1A;PSMD2;PSMD3;E2F1;MYBL2;TK1;LIN52;CDT1;RRM2;CDKN2A;CDC6;DHFR;CCNA2;PSMA5;POLA2;PSMC5;PSMA1;PSMC3;CCNE1;CDK4;PSMC4;POLE2;POLE3;CDK1;MCM3;PSME2;MCM4;MCM5,4.381013086524596e-24,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
5,G1/S Transition R-HSA-69206,2.5543349755058793e-25,10.24193945360571,579.9686198069495,PRIM2;PSMD11;PCNA;PSMD14;MCM7;MCM8;GMNN;MCM10;TYMS;CKS1B;PSMD8;ORC5;PSMB6;CCNB1;ORC6;CDC45;PSMB5;PSMB2;PPP2R1A;PSMD2;PSMD3;E2F1;TK1;LIN52;CDT1;RRM2;CDC6;DHFR;CCNA2;PSMA5;POLA2;PSMC5;PSMA1;PSMC3;CCNE1;CDK4;PSMC4;POLE2;POLE3;CDK1;MCM3;PSME2;MCM4;MCM5,5.793231724447334e-23,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
6,Synthesis Of DNA R-HSA-69239,6.68529057380771e-25,10.774150692731068,599.7400562154603,PRIM2;FEN1;PSMD11;PCNA;PSMD14;MCM7;MCM8;GMNN;ANAPC11;PSMD8;ORC5;PSMB6;ORC6;CDC45;PSMB5;PSMB2;PSMD2;POLD1;PSMD3;POLD2;CDT1;GINS2;RFC3;RFC4;UBE2C;GINS3;CDC6;CCNA2;PSMA5;POLA2;PSMC5;PSMA1;PSMC3;CCNE1;UBE2S;PSMC4;POLE2;POLE3;MCM3;PSME2;MCM4;MCM5,1.2635199184496574e-22,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
7,S Phase R-HSA-69242,1.450942546374493e-24,8.427307206068267,462.5734502464055,PRIM2;FEN1;PSMD11;PCNA;PSMD14;MCM7;MCM8;CDCA5;GMNN;ANAPC11;CKS1B;PSMD8;ORC5;PSMB6;ORC6;CDC45;PSMB5;PSMB2;PSMD2;POLD1;PSMD3;POLD2;E2F1;LIN52;CDT1;GINS2;RFC3;RFC4;UBE2C;GINS3;ESCO2;CDC6;CCNA2;PSMA5;POLA2;PSMC5;PSMA1;PSMC3;CCNE1;CDK4;UBE2S;PSMC4;POLE2;POLE3;MCM3;PSME2;MCM4;MCM5,2.350526925126679e-22,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
8,Translation R-HSA-72766,2.559345735680354e-24,5.792770211391029,314.6765466749373,MRPS15;TRAM1;MRPS16;MRPL38;MRPL39;MRPL37;YARS2;MRPL41;MRPL4;SEC61A1;SEC61G;SEC61B;MRPL9;EARS2;TSFM;MRPS26;MRPS24;SSR4;SSR3;MRPS18B;MRPS18A;MRPS2;DARS2;MRPS7;DDOST;TUFM;MRPL52;LARS2;MRPS9;SARS2;PPA1;TARS2;AURKAIP1;RPN2;MRPS35;MRPL18;MRPL19;RPN1;MRPS34;MRPL16;MRPL17;MRPL58;MRPL12;MRPL57;MRPL11;SSR1;VARS2;SEC11C;GADD45GIP1;EIF2B4;EIF2B3;EIF2B2;ERAL1;SRP68;MRPL23;MRPL24;EIF2S1;AIMP2;SPCS2;SPCS1;SRPRB;FARSA;FARSB,3.6278725803269017e-22,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
9,Mitochondrial Translation Elongation R-HSA-5389840,5.952725718582337e-22,13.198467804908933,645.0490183139809,MRPS15;MRPS16;MRPS35;MRPL18;MRPL19;MRPS34;MRPL38;MRPL16;MRPL39;MRPL17;MRPL58;MRPL37;MRPL12;MRPL57;MRPL11;MRPL4;MRPL41;MRPL9;GADD45GIP1;TSFM;MRPS26;MRPS24;MRPS18B;MRPS18A;MRPS2;ERAL1;MRPS7;MRPL23;MRPL24;TUFM;MRPL52;MRPS9;AURKAIP1,7.500434405413744e-20,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
10,Mitotic Anaphase R-HSA-68882,4.854784562147721e-21,5.884581123571643,275.24729364218507,CDC20;PSMD8;TUBA1C;TUBA1B;PPP2R1A;PSMD2;PSMD3;RCC1;BANF1;SPDL1;NDC1;NUDC;SEC13;TUBB;KNL1;PSMA5;SGO1;PSMA1;ZW10;PSME2;BIRC5;KIF2C;MAD1L1;PSMD11;PSMD14;CDCA5;CDCA8;CENPA;AURKB;ANAPC11;PSMB6;CCNB2;CCNB1;PSMB5;PSMB2;BUB1;UBE2C;PLK1;ZWINT;PSMC5;KIF18A;CENPH;PSMC3;PSMC4;UBE2S;CDK1;CENPM;CENPN;SPC24;RAN;MAD2L1;SPC25;NUP37,5.505325693475516e-19,0,0,GTEX-1HCU7-0006-SM-A9G19,over,Reactome_2022
