rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,SPI1 23547873 ChIP-Seq NB4 Human,2.5892974819175212e-17,2.002044861501405,76.4632184645186,MAML2;AVIL;GMFG;LST1;JMJD1C;DDX60L;F11R;ANTXR2;BACH1;IFIT2;RASSF2;HERC1;CLP1;RASSF5;NAMPT;SLC12A6;ATP6V1E1;B2M;PISD;MRPS18C;MYL6;IFT88;SARNP;TXNIP;RPL26;ADPRM;ZNF397;ZNF274;ZNF395;EPB41;GATA2;MEFV;PIK3R5;ABR;RAB11FIP1;SEC14L1;SNX2;CHST11;DHX34;PDCD10;ZNF700;TNRC18;ARSG;HLA-DQA2;ZNF267;CDK19;PBX2;BBIP1;PPBP;PILRA;MED13L;SLC6A6;TREML2;SFXN3;SPRTN;ITM2B;GAPT;HERPUD2;PHF20;SLC44A2;PRKAG2;PPCDC;NIPBL;PCF11;CHMP1B;CCR7;JARID2;CTBS;APPL2;TIGD3;CEP68;ZNF484;ELOVL5;AMPD2;PARP8;RILPL2;IL1B;TAX1BP1;HNRNPH2;ARHGEF2;CEP63;PLEKHO2;TLR6;CD46;ZNF235;STK40;GAS8;GRAMD1C;MEGF6;ZNF350;PELI2;SNX30;TANK;AIF1;STX11;TMEM164;PTGS1;PURB;GPA33;PLAGL1;STAT6;ZSWIM6;BID;PAIP2;ZNF224;PET100;P2RY14;ZNF77;TMEM154;ZNF33A;RNF145;GHRL;YPEL3;ZNF333;DGKG;CCNT1;NCF2;ARID4A;PRDM2;NR3C1;SAT1;FAM204A;NPEPPS;RGS2;MAP3K8;ARHGEF40;IL6R;ANKRD13A;SLC16A5;ZNF441;RARS2;BNIP3L;PNISR;KHNYN;MITF;RAB37;MAPKAPK2;DPEP2;RELL1;PPIG;ABCG1;CUL3;BOD1L1;ERV3-1;DAPP1;UBR2;CSF2RB;STK4;CORO1C;SNN;BAG1;CD300LB;ATP6V1D;MCL1;AKIRIN1;SMURF2;OSBPL2;TCEANC;NUP153;TOR1B;ARHGAP25;IGF2R;PAN3;ARPC2;ATG16L2;CPD;DMXL2;NF1;PIN4;HPSE;SERINC5;NFE2L2;GSK3B;DOCK5;CALCOCO1;DDX3X;LDB1;CPQ;LRRK2;CHD7;PIK3CD;ECE1;SIRPB1;IRF2BPL;CASP8;ACP6;TAGAP;ITGAX;ZNF646;KLF10;KLF13;CAMK1D;TTC32;SH2D3C;DNMT3A;ARAP3;WIPI2;PPP2R5C;ARAP1;RRM2B;CAT;LCP2;SMCR8;EAPP;CUEDC1;PFDN5;BECN1;LEPROT;KDM3B;USP12;RPL36A;FURIN;DENND3;CBL;LTC4S;TNNI2;E2F3;SH2B3;GALNT7;SPEN;RWDD3;MX2;SCLT1;APOBR;EEPD1;SLC4A8;S100Z;DNAJA2;MGAT4B;RGS10;TAF7;ERCC5,1.952330301365811e-14,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
2,SMRT 22465074 ChIP-Seq MACROPHAGES Mouse,5.844734964632151e-17,2.2813515096650514,85.27328143063363,DGKG;MIDN;DGKD;FAM13B;CERK;NCF2;GMFG;NAB1;GTF2B;LST1;DCAF8;RNF19B;F11R;CXCL16;PREX1;NDST1;LGALS3;RGS2;HERC1;RASSF3;ZMIZ1;CLP1;FAM174A;WDR91;MAP3K8;SLC25A44;SBF2;MYLIP;BNIP3L;KHNYN;PPTC7;FNBP1;PRKCE;SLC11A1;HPCAL1;ADAM17;NINJ1;TXNIP;TAGLN2;ERP27;RELL1;WDFY2;RAF1;ABCG1;NSMAF;NOTCH2;L3MBTL3;ANKRD11;LY96;ALOX12;BAZ2B;MEFV;DNAJC27;PIK3R5;ATXN3;VCPIP1;SNX2;NUAK2;CHST11;CLEC7A;HIVEP1;CD300LB;RIPK1;ARSG;ST3GAL1;SLC15A4;PDZD8;SOCS5;HEXIM1;JAG1;IQSEC1;SMURF1;PHF12;PBX2;SSH2;FBXO33;ZZEF1;SLC2A9;HAL;ARPC2;CPD;TREML2;TMCC3;TAB2;GSK3B;BTG2;PPP1R10;LRRK2;ITGB3;SLC35F5;PRKAG2;CYB561D1;TREM1;MED11;CASP8;PCF11;CHMP1B;NFKBIZ;JARID2;CLEC1B;KLF10;SRGN;KDM6B;KLF13;CAMK1D;GSTO2;TTC32;MMD;PDPK1;NSUN3;NCOA4;TMEM40;VEZF1;DUSP28;GAB2;PPP2R5C;ARAP1;GPCPD1;ITPKB;PPM1A;AIM2;RILPL2;IL1B;NDUFS4;CAT;PELI1;WAC;ARHGEF2;PLEKHO2;TLR6;CRK;PTGS2;PPM1D;CBL;AIF1;STX11;FBXL20;OGFRL1;PAK1;FAM168B;RMND5A;POLR2A;STAT6;EXTL3;SH2B3;RNF130;PDLIM7;MX2;GTF2H2;SORL1;RNF145;RNF149;FKBP1B;PKN2;ERCC5;ERCC6,2.203465081666321e-14,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
3,AF4 28076791 ChIP-Seq SEM Human Blood Leukemia,3.4782112004120733e-15,2.931874589141255,97.6087259963327,GSK3B;BTG2;DGKD;PPP1R10;LRRK2;JMJD1C;ARID4B;PRDM2;NR3C1;AFF3;CHD2;BEST1;SENP6;PREX1;HOXA9;NIPBL;RASSF2;RASSF3;ZMIZ1;ZXDC;TAGAP;NFKBIZ;REV3L;JARID2;RBM5;MAP2K4;PPTC7;FNBP1;ELOVL5;PRKCE;HPCAL1;DYRK1A;PPP2R5C;RC3H2;PARP8;ITPKB;TMX4;PELI1;BMP2K;HECA;TAGLN2;WDFY2;BCAT1;GAS8;CDKL1;NSMAF;NOTCH2;L3MBTL3;MEGF6;AKNA;ANKRD11;CUL3;PELI2;USP12;ENDOD1;FURIN;PBLD;PURB;OGFRL1;NUAK2;RXRA;CHST11;KCTD20;TBC1D14;STXBP5;ARSG;LONRF1;SH2B3;MAP4K4;ABCA1;GALNT7;NIPSNAP3B;SSH2;SORL1;MED13L;PTPRE;PAN3;SESTD1;NF1;SERINC5;ZNF652;ITM2B;ZCCHC2,8.741904150369011e-13,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
4,RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,1.2412445775764764e-14,1.752247846184796,56.10711049194148,SPARC;SERPINE2;RPL31;GMFG;JMJD1C;F11R;PWP2;BACH1;DCAF6;HERC5;PREX1;NDST1;LGALS3;PPP4R1;ZFYVE27;RPS6KA5;HERC1;RASSF3;ZMIZ1;RASSF5;MAGOH;LIPN;EPC2;KIF21B;SLC12A6;ICOSLG;PRKAB2;GABARAPL1;FNBP1;DAPK2;PRKCE;SLC11A1;HPCAL1;ZNF10;AFAP1;CSNK1D;MRPS18C;KCNQ1;HECW2;NINJ1;SPATA13;SIK3;TAGLN2;HECA;MXRA7;ZNF710;SLC45A4;ZNF397;UNC119B;ZNF274;ZNF395;TPRG1L;XPC;PRKCZ;EPB41L5;ABR;RAB11FIP1;SEC14L1;NUAK2;INPP5A;CHST11;PRKAR2B;DHX34;PDCD10;HIVEP1;ZNF700;STXBP5;ST3GAL1;KIAA0319L;HEXIM1;SRPK2;JAG1;IQSEC1;MICAL2;PILRA;GP6;MED13L;SLC6A6;CYLD;COL9A2;TECPR2;HERPUD2;PHF2;BTG2;PHF20;SLC35F5;STON2;PCSK6;PHF7;PPCDC;ZCCHC14;MED11;NHSL2;DSTYK;PCF11;UIMC1;REV3L;JARID2;ZNF487;CEP68;CAMLG;ELOVL5;NOG;NBPF10;GP1BA;NBPF14;MED25;RILPL2;PELI1;TAX1BP1;VAMP1;ARHGEF2;CEP63;PLEKHO2;ERGIC1;GAS8;ZNF230;PELI2;NEDD9;SNX30;STX11;TMEM164;PURB;PAK1;RXRA;PNMA1;GPA33;CHRNE;MFN1;STAT6;ZSWIM6;STX3;TBL1X;MPZL3;ZNF224;RNF130;APBB3;SKI;ZNF33A;RIT1;GLB1L;RNF149;FKBP1B;MORN3;PKN2;YPEL5;YPEL3;ZNF333;ZFP28;PRDM8;DGKG;MIDN;CCNT1;FAM13B;NCF2;GTF2B;FRY;NR3C1;SESN3;EP300;MAP3K8;ZNF687;ZNF566;IL6R;SBF2;ANKRD13A;SLC16A5;RARS2;MYLIP;DYRK1A;EPDR1;MITF;ENKUR;FRMD3;TMX4;RAB37;MAPKAPK2;DPEP2;ADAM8;RELL1;PPIG;WDFY2;FAM8A1;PVALB;ABCG1;PDE9A;NSMAF;NOTCH2;ENY2;ABHD2;ANKRD11;ANKRD12;CSF2RB;FOXO4;FOXO3;STK4;CORO1C;VCPIP1;ATXN7;TMEM127;TBC1D14;MBP;SUDS3;LONRF1;SLC15A4;MYH10;PDZD8;ZNF420;MOAP1;SYT2;UBE2B;VDR;PHF12;TNFRSF10B;NUP153;FOXN3;TOR1B;FBXO33;COQ7;ESR2;SSH1;SELP;PTPRE;DNMBP;ARPC2;ATG16L2;MKRN1;ZNF416;ZNF652;ZCCHC2;NFE2L2;RERE;CNTNAP2;DOCK5;ST6GALNAC1;CALCOCO1;DDX3X;LDB1;CHD7;PDE3B;USP34;PIK3CD;ECE1;ZC3H6;CHD2;TREM1;MADCAM1;RBM5;KLF10;KDM6B;KLF13;CAMK1D;AKTIP;VPS13D;SH2D3C;DNMT3A;VEZF1;DUSP28;ARAP1;ETV3;DNM3;PPM1A;GREM2;ELF2;RRM2B;NDUFS4;CAT;BMP2K;ITGA5;BCAT1;CUEDC1;CRK;HDAC5;LEPROT;KDM3B;ASB13;NDUFB1;DENND3;LTC4S;CYTH3;FAM168B;KCTD20;CLMN;ATXN1L;MKNK2;ANKAR;SH2B3;CAMK2G;SPAG9;SLC35A4;KDM4B;SEMA4D;CCDC57;USP22;PLCL2;ZNF181;KIAA0232;SOD2;SORL1;BAIAP3;EEPD1;NIN;CLCN4;RGS10;CD9;ERCC5;SSBP2;LPIN2;TNRC6B,2.3397460287316583e-12,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
5,AF4 26711339 ChIP-Seq SEM Human Blood Leukemia,3.6286283536881765e-14,1.8409566001189037,56.97270354970587,ISCA1;RPL31;JMJD1C;BACH1;PREX1;RASSF3;ZMIZ1;RASSF5;WDR91;SLC12A6;B2M;RPL21;FNBP1;PRKCE;CIRBP;ZNF10;FRS2;RC3H2;PISD;MRPS18C;KCNQ1;SPATA13;HECA;L3MBTL3;ZNF395;EPB41;BAZ2B;ACTR3B;CHST11;TP53BP2;ZNF700;STXBP5;ST3GAL1;HEXIM1;MED13L;SLC6A6;SESTD1;TMCC3;ITM2B;PHF2;MTMR10;BTG2;AHCTF1;ZNF493;PPP1R10;SLC35F5;PRKAG2;PPCDC;LRRC1;NIPBL;UIMC1;KIF13A;REV3L;JARID2;CTBS;ZNF487;CAMLG;TSC22D1;ELOVL5;NOG;GAB2;ASH1L;PARP8;ITPKB;RILPL2;TET3;PELI1;WAC;ARHGEF2;CEP63;CD46;ERGIC1;MEGF6;SATB1;PELI2;SNX30;TANK;CAMKK1;PBLD;PURB;PAK1;PNMA1;MFN1;BID;RNF130;NKTR;MAP4K4;USP9X;PLXDC2;TMEM154;RNF145;NR6A1;ZNFX1;RNF149;MORN3;PKN2;GHRL;MIDN;DGKD;NAB1;GTF2B;RNF19B;ARID4A;PRDM2;ARID4B;FRY;TTF1;NR3C1;NPEPPS;RGS2;WWC3;MAP3K8;DENND5A;ZNF566;SBF2;MYLIP;PPTC7;MAGI3;DYRK1A;TBC1D2B;ADAM17;TMX4;ZNF91;CACNB4;PPIG;RAF1;FAM8A1;CDKL1;NSMAF;NOTCH2;AKNA;YTHDC1;CUL3;ANKRD11;ANKRD12;ARHGAP19;FOXO3;DNAJC27;CORO1C;VCPIP1;STK35;MAN2A2;ATXN7;TPR;BAG1;TBC1D14;MBP;IP6K1;PDZD8;MCL1;AKIRIN1;SYT2;UBE2B;DENND4A;SMURF1;PHF12;SSH2;ARHGAP26;FBXO33;ARHGAP25;ESR2;SSH1;PAN3;ARPC2;ATG16L2;DMXL2;NF1;ZNF652;SERINC5;ZCCHC2;RERE;GSK3B;RNF11;DDX3X;CHD7;PDE3B;USP34;PIK3CD;ZC3H6;CHD2;AFF3;SENP6;CASP8;SNAPC1;TAGAP;CYP2R1;NFKBIZ;RBM5;RBM33;SRGN;CAMK1D;PDPK1;VPS13D;PPP2R5C;ELF2;RRM2B;ZNF638;CAT;BMP2K;LCP2;BCAT1;USP12;ASB13;NDUFB1;FURIN;DENND3;PPM1D;TOB1;PPM1F;LRP6;KCTD20;CHSY1;CLMN;E2F3;RBBP6;SH2B3;WASF2;NIPSNAP3B;GALNT7;SPAG9;SPEN;CNBP;USP22;PLCL2;SCLT1;SOD2;KLF3;NIN;NAGK;DNAJA2;PDCD4;CD9;PDE7A;SSBP2;LPIN2;TNRC6B,5.471971557361771e-12,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
6,SPI1 23127762 ChIP-Seq K562 Human,6.657898628185469e-14,2.312748390982957,70.16968211442608,DGKG;SPARC;PITPNA;JMJD1C;ACRBP;PREX1;ZNF608;ZMIZ1;RASSF5;MAP3K8;ANKRD13A;DGAT2;PPTC7;ANK3;KCNQ1;HECW2;ZNF710;ABCG1;NSMAF;NOTCH2;L3MBTL3;TRANK1;DCUN1D1;BAZ2B;FOXO3;STK4;OAZ2;PRKAR2B;STXBP5;ARSG;RAB11FIP4;MCL1;SRPK2;SYT2;IQSEC1;VDR;SSH2;GP6;TOR1B;ARHGAP26;ARHGAP25;IGF2R;SLC6A6;DNMBP;ARPC2;ATG16L2;NFE2L2;TMEM45B;RERE;LDB1;PHF20;RASGRF2;USP34;PRKAG2;PIK3CD;PTPRJ;AFF3;PPCDC;ZCCHC14;POLB;DSTYK;CASP8;PCF11;CHMP1B;ZNF646;JARID2;TIGD3;KDM6B;ZNF484;TTC32;PDPK1;VPS13D;ARAP3;ARAP1;TMBIM1;LCP2;ARHGEF2;PLEKHO2;EFHC2;ZNF235;CUEDC1;PFDN5;STK40;HDAC5;ASB13;RPL36A;SNX30;AIF1;PPM1F;TMEM164;LRP6;KIAA0513;RXRA;ZSWIM6;E2F3;TBL1X;BID;REM2;PDLIM7;NKTR;POLR2J3;GALNT7;LMLN;SPEN;CCDC57;MX2;FOXJ2;SULF2;SKI;RNF145;CLCN4;NR6A1;S100Z;RGS10;TAF7;PDE7A;YPEL3;TNRC6B,8.366759276086407e-12,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
7,NCOR 22465074 ChIP-Seq MACROPHAGES Mouse,2.5084286407456945e-13,2.0749737894676707,60.203185138520205,DGKG;LPGAT1;NCF2;RPL31;NAB1;LST1;PITPNA;DCAF8;BACH1;IFIT2;PREX1;LGALS3;NPEPPS;RGS2;RASSF2;RPS6KA5;RASSF3;FAM174A;DHX58;MAP3K8;B2M;KHNYN;SLC11A1;HPCAL1;FRS2;UBE4B;MYL6;NINJ1;ULK1;TAGLN2;WDFY2;AKNA;CUL3;LY96;ALOX12;FOXO3;PIK3R5;SBNO1;SNX4;SEC14L1;SNX2;NUAK2;CHST11;MAN2A2;PDCD10;HIVEP1;CD300LB;ARSG;ST3GAL1;SLC15A4;SOCS5;JAG1;UBE2B;SMURF1;SSH2;FBXO33;ARHGAP25;MED13L;SLC6A6;RNF103;ARPC2;CPD;SFXN3;TMCC3;TAB2;ITM2B;ZCCHC2;NFE2L2;ATG2B;BTG2;AHCTF1;ITGB3;SLC35F5;TNFAIP2;TREM1;MED11;METTL14;CASP8;SNAPC1;KIF13A;SH3BGRL2;CLEC1B;KLF13;TTC32;TSC22D1;PDPK1;NCOA4;TMEM40;VEZF1;DUSP28;GAB2;WIPI2;PPP2R5C;SENP2;PARP8;AIM2;RILPL2;RRM2B;TMBIM1;PELI1;ARHGEF2;PLEKHO2;PPP1R12B;CRK;STK40;LEPROT;KDM3B;ASB13;PTGS2;CBL;TOB1;STX11;TMEM164;FBXL20;ZDHHC18;RMND5A;KCTD20;POLR2A;STAT6;ZSWIM6;E2F3;BID;EXTL3;RNF130;WASF2;KCNJ2;PDLIM7;GALNT7;LMLN;SPEN;WDR19;GTF2H2;SOD2;CPPED1;RNF145;RIT1;TRIM39;GLB1L;RNF149;CLCF1;FKBP1B;MGAT4B;ERCC5;ERCC6;YPEL5;LPIN2;TNRC6B,2.4307936854123448e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
8,IRF8 27001747 Chip-Seq BMDM Mouse,2.5790914434083235e-13,2.1114911080711356,61.20403815487049,DGKG;DGKD;PLEKHB2;SERPINE2;NCF2;RNF19B;ARID4A;F11R;NR3C1;ANTXR2;BACH1;CXCL16;HERC5;LGALS3;NPEPPS;SMCHD1;RGS2;DHX58;NAMPT;EP300;KIF21B;ANKRD13A;ARRDC4;ACOT9;KHNYN;PPTC7;FNBP1;SLC11A1;HPCAL1;TBC1D2B;ADAM17;MAPKAPK2;DPEP2;SIK3;PPIG;ABCG1;SLC45A4;LIPT2;AKNA;ANKRD11;LY96;DAPP1;CSF2RB;MEFV;PLA2G7;MTM1;ABR;SNN;NUAK2;ATXN7;DHX34;MBP;ST3GAL6;ARSG;ST3GAL1;MCL1;ABCA1;IQSEC1;PILRA;TOR1B;FBXO33;ARHGAP25;IGF2R;MED13L;HAL;RNF103;TREML2;TMCC3;TAB2;HPSE;GAPT;DOCK5;MTMR10;BTG2;PIK3CD;PTPRJ;LRRC1;POLB;MED11;NHSL2;METTL14;CASP8;CTSK;TAGAP;SH3BGRL2;IDS;CCR7;LRRFIP1;JARID2;CLEC1B;APPL2;KLF10;KDM6B;HGSNAT;CAMK1D;MMD;VEZF1;ARAP1;ETV3;KIF27;PARP8;ELF2;AIM2;RRM2B;IL1B;PELI1;BMP2K;LCP2;ITGA5;PLEKHO2;TLR6;ERGIC1;CLEC12A;PELI2;USP12;SNX30;AIF1;PTGS1;PURB;PLAGL1;TNNI2;ZSWIM6;GBP2;BID;EXTL3;SH2B3;REM2;PDLIM7;MAP4K4;IGBP1;P2RY14;MX2;PLCL2;NAP1L2;MAPK13;NIN;S100Z;FKBP1B;PDE7A;TNRC6B,2.4307936854123448e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
9,FLI1 21571218 ChIP-Seq MEGAKARYOCYTES Human,1.030604220525506e-12,1.651967757230915,45.59575699835194,SLC23A2;LPGAT1;SPARC;CERK;SERPINE2;RPL31;GMFG;RPL34;DCAF8;F11R;ANTXR2;CCT6B;PREX1;NDST1;LGALS3;ZFYVE27;RASSF2;RPS6KA5;HERC1;ZMIZ1;CLP1;MAGOH;EPC2;KIF21B;ATP6V1E1;DLEU7;ICOSLG;ZNF18;RPL21;FNBP1;PRKCE;HPCAL1;CIRBP;AFAP1;FRS2;CSNK1D;PISD;MRPS18C;KCNQ1;HECW2;NINJ1;TXNIP;TAGLN2;HECA;ZNF710;RPL26;SLC45A4;ZNF397;ZNF155;LIPT2;ZNF274;L3MBTL3;EPB41;XPC;MEFV;PIK3R5;EPB41L5;ABR;SEC14L1;NUAK2;INPP5A;CHST11;PRKAR2B;DHX34;HIVEP1;CHST15;ZNF700;STXBP5;TNRC18;ST3GAL1;KIAA0319L;ZNF267;HEXIM1;IQSEC1;MICAL2;GP6;MED13L;ABTB1;SLC6A6;SFXN3;TECPR2;HERPUD2;PHF2;AHCTF1;ZNF250;PHF20;SLC44A2;SLC35F5;PTPRJ;STON2;PCSK6;N4BP2L2;PPCDC;LRRC1;MED11;NIPBL;SCML1;C1QTNF6;CHMP1B;KIF13A;REV3L;CCR7;JARID2;ZNF487;APPL2;TIGD3;ZNF484;GSTO2;EXOC8;NSUN3;NCOA4;NBPF10;TMEM40;GP1BA;WDR35;ITPKB;PRPF18;RILPL2;IL1B;TET3;TAX1BP1;WAC;VAMP1;ARHGEF2;CEP63;PLEKHO2;CD46;ZNF235;SLU7;ERGIC1;STK40;GAS8;EXOC1;ZNF230;MEGF6;PELI2;NEDD9;ZNF2;SNX30;PTGS2;TANK;STX11;PURB;KIAA0513;ZDHHC18;ALS2CL;RXRA;PLAGL1;CHRNE;MFN1;STAT6;ZSWIM6;BID;PAIP2;MPZL3;APBB3;ZNF222;ADAT1;ZNF77;PLXDC2;TMEM154;SKI;ZNF33A;TTC9;RNF145;GLB1L;RNF149;MORN3;KBTBD2;GHRL;ZNF699;YPEL5;YPEL3;ZNF333;MIDN;DGKD;CCNT1;PRDM2;FRY;TTF1;FAM174A;TUBB1;ZNF449;CIR1;MAP3K8;ZNF324;SLC16A5;RARS2;BNIP3L;DYRK1A;EPDR1;FRMD3;ADAM17;TMX4;CACNB4;RAB37;SLC9A8;DPEP2;ADAM8;RELL1;PPIG;WDFY2;TTPAL;FAM8A1;PVALB;ABCG1;PDE9A;CDKL1;NOTCH2;ENY2;AKNA;YTHDC1;ABHD2;ANKRD11;ANKRD12;ARHGAP19;CSF2RB;ALOX12;STK4;CORO1C;ATXN3;SBNO1;VCPIP1;STK35;TMEM127;ZNF429;BAG1;TBC1D14;MBP;ZNF304;NLRP1;SLC15A4;ATP6V1D;PDZD8;ZNF420;MOAP1;CBX7;AKIRIN1;UBE2B;DENND4A;PHF12;TOR1B;FBXO33;ARHGAP25;ZZEF1;ESR2;SSH1;PTPRE;ARPC2;MKRN1;ZNF416;NF1;CASS4;ZCCHC2;NFE2L2;CNTNAP2;GSK3B;DOCK5;CALCOCO1;LDB1;PIK3CD;ECE1;PCTP;CHD2;RPGR;CASP8;ZNF646;LRRFIP1;ZNF763;EID2B;RBM5;RBM33;KLF10;KDM6B;PDPK1;AKTIP;VPS13D;DNMT3A;WIPI2;ARAP1;ETV3;SENP2;DNM3;PPM1A;ELF2;RRM2B;SYF2;ZNF638;NUP50;CTDSP2;BMP2K;LCP2;ITGA5;EAPP;CRK;PFDN5;CHMP5;BECN1;USP12;ASB13;RPL36A;DENND3;PPM1F;POLR2A;CHSY1;CLMN;E2F3;SH2B3;CAMK2G;PDLIM7;GALNT7;IGBP1;SLC35A4;KDM4B;RWDD3;ZNF185;SEMA4D;CCDC57;CNBP;PLCL2;SCLT1;KIAA0232;SOD2;KLF3;KBTBD11;MAPK13;NAGK;S100Z;DNAJA2;RGS10;TAF7;CD9;ERCC5;SSBP2;TNRC6B,8.634173136402572e-11,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
10,HNF1A 27111144 ChIP-Seq CD8+TCells Mouse Blood Lymphoma,3.2238268743810393e-12,1.7442948046305997,46.15482893736833,GMFG;PITPNA;DCAF8;RASSF2;HERC1;RASSF3;RASSF5;ZXDC;NAMPT;WDR91;EPC2;B2M;RPL21;PRKCE;CIRBP;RC3H2;SIK3;TXNIP;ULK1;HECA;OSER1;SLC45A3;ENDOD1;XPC;OAZ2;PIK3R5;SEC14L1;HIVEP1;SARAF;STXBP5;ST3GAL1;HEXIM1;CDK19;IQSEC1;GTF2IRD2;ABTB1;SLC6A6;CYLD;TREML2;ATG2A;TECPR2;HERPUD2;BTG2;TUT7;PPP1R10;SLC44A2;CCDC125;TRMO;PRKAG2;N4BP2L2;LRRC1;ZCCHC14;SIPA1L1;PCF11;C1QTNF6;CHMP1B;UIMC1;CNTRL;REV3L;CCR7;JARID2;APPL2;CEP68;ZER1;ELOVL5;MMD;NCOA4;NOG;TMEM40;ASH1L;CCSAP;MED25;PRPF18;TAX1BP1;WAC;CEP63;PLEKHO2;CACUL1;ERGIC1;STK40;EXOC1;CIPC;CXCR5;NEDD9;NKD1;PURB;UBN1;ZSWIM6;SUSD6;MPZL3;EXTL3;APBB3;ADAT1;SAMD4B;SKI;RNF145;ZNFX1;KBTBD2;PKN2;YPEL3;CCDC71L;GALNT11;MIDN;NAB1;CEP19;GTF2B;RNF19B;ARID4A;NR3C1;SAT1;FAM204A;CDC14B;RGS2;MAEA;SESN3;FAM174A;KMT5B;MAP3K8;SLC16A5;MYLIP;MAP2K4;KHNYN;MAGI3;DYRK1A;TTC21A;TMX4;SRSF5;PPIG;WDFY2;FAM8A1;NOTCH2;KMT2D;UQCRB;KMT2C;ABHD2;CUL3;ANKRD11;ARHGAP19;LY96;FOXO3;STK4;DNAJC27;CORO1C;VCPIP1;TPR;BAG1;TBC1D14;RIPK1;IP6K1;SLC15A4;PDZD8;MCL1;CBX7;AKIRIN1;UBE2B;SMURF2;SMURF1;PHF12;NUP153;FOXN3;SSH2;ARHGAP26;FBXO33;PTPRE;PAN3;ATG16L2;UVSSA;CPD;NF1;NABP1;NFE2L2;SWSAP1;RNF11;DDX3X;LDB1;CHD7;PIK3CD;ECE1;ZC3H6;AFF3;UFSP1;POLB;SENP6;METTL14;CASP8;TAGAP;NFKBIZ;VCPKMT;LRRFIP1;EID2B;RBM5;RBM33;KLF10;SRGN;KLF13;HSDL1;TTC32;AKTIP;SH2D3C;DUSP28;PPP2R5C;ETV3;SENP2;ELF2;SYF2;NUP50;CCDC191;PXYLP1;SPACA6;DCTN6;HDAC5;USP12;ASB13;LRP6;POLR2A;MKNK2;RBBP6;GBP2;SH2B3;WASF2;KDM4B;CNBP;USP22;SCLT1;ATP2B1;PPP2R3A;USF3;KLF3;NIN;NAGK;CLCN4;PDCD4;RGS10;ERCC6;PDE7A;SSBP2;TNRC6B,2.430765463283304e-10,0,0,GTEX-1HCU7-0006-SM-A9G19,under,ChEA_2022
