rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Regulation Of Protein Kinase Activity (GO:0045859),6.8577380861614e-06,3.6605504587155964,43.52443142535038,MMD;PDPK1;LRRK2;PRKAG2;CAMKK1;PPM1F;LRP6;RASSF2;CCNY;NF1;INPP5K;RAPGEF2;TAF7;TAB2;CCR7;LCP2;SMCR8;CACUL1;SNCA,0.022219071399162935,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
2,Regulation Of Intracellular Signal Transduction (GO:1902531),9.134960635202098e-05,2.2531328320802007,20.955975211417105,FAM13B;LRRK2;RASGRF2;ARHGAP19;STK4;PREX1;PAK1;RASSF2;NUAK2;PIP4P1;CLEC7A;TMEM127;TAGAP;WWC3;EP300;ARHGEF40;FBXO9;MAP4K4;PLK3;PDPK1;DAPK2;ARAP1;ARHGAP26;MOB3B;CYLD;ARHGAP32;DNMBP;IL1B;SPATA13;ARHGEF2;CRK,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
3,Dephosphorylation (GO:0016311),0.00013742260340073853,2.8555682976554535,25.392997405255098,PPTC7;DAPP1;PTPRJ;DUSP28;PPP2R5C;PPP2R3A;SSH2;PPM1D;PPM1F;CDC14B;MTM1;SSH1;PTPRE;PPM1A;PPP4R1;ACP6;CTDSP2;INPP5K;PXYLP1,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
4,Positive Regulation Of Response To External Stimulus (GO:0032103),0.0002757605674018322,2.686454398273071,22.018120013008375,LY96;MEFV;PLA2G7;AIF1;PPM1F;MAPK13;AIM2;IL1B;NINJ1;NFKBIZ;CASP1;PDCD4;ADAM8;RIPK1;NLRP1;STX3;SLC15A4;SCARF1;SNCA,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
5,Regulation Of Macroautophagy (GO:0016241),0.0002899524683294446,3.2757631227427892,26.68369011895563,BNIP3L;BECN1;ATP6V1G1;EXOC8;LRRK2;ATG14;SESN3;ATP6V1B2;WAC;SMCR8;ULK1;ATP6V1E1;ATP6V1D;CDK5R1,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
6,Protein Modification Process (GO:0036211),0.00030530770610806275,1.6956132584859953,13.724616588523645,EPHB6;GSK3B;ST6GALNAC1;CCNT1;GMFG;LRRK2;PRKAG2;PIK3CD;PTPRJ;CDC14B;PPP4R1;RPS6KA5;PDK3;PPTC7;PDPK1;DAPK2;PRKCE;DYRK1A;CSNK1D;WIPI2;PPP2R5C;ATG14;PPM1A;CTDSP2;B3GNT5;MAPKAPK2;SIK3;ULK1;CDKL1;BECN1;CSTA;DAPP1;CSF2RB;PPM1D;STK4;PRKCZ;PPM1F;MTM1;PAK1;NUAK2;MAN2A2;TP53INP2;MKNK2;ST3GAL6;ST3GAL1;MAP4K4;SRPK2;CDK19;PPP2R3A;SSH2;SSH1;PTPRE;SNRK;ATG16L2;MGAT4B;TAF7;PKN2,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
7,Positive Regulation Of Protein Kinase Activity (GO:0045860),0.00033815081560097197,2.7239443847523135,21.76981408478526,DDX3X;MMD;SLC11A1;ITGB3;LRRK2;PRKAG2;NEDD9;CAMKK1;RASSF2;PDCD10;CASS4;RAPGEF2;TAB2;CCR7;LCP2;IL6R;CACUL1;SNCA,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
8,Autophagosome Assembly (GO:0000045),0.0003458360135093174,3.9022956222147323,31.099523860621602,VMP1;BECN1;GABARAPL1;ATG16L2;SMURF1;TP53INP2;ATG2A;ULK1;WIPI2;ATG14;ATG2B,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
9,RISC Complex Assembly (GO:0070922),0.00036985338803996703,19.072289156626507,150.7169318202462,HEXIM1;AGO4;AGO1;AGO2,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
10,Negative Regulation Of Platelet Aggregation (GO:0090331),0.00036985338803996703,19.072289156626507,150.7169318202462,SERPINE2;CD9;ALOX12;SH2B3,0.11983249772494932,0,0,GTEX-1HCU7-0006-SM-A9G19,under,GO_Biological_Process_2023
