rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Herpes simplex virus 1 infection,4.351740128056032e-07,2.2819057349908234,33.42425956373395,ZNF254;ZNF250;ITGB3;PIK3CD;CASP8;ZNF606;ZNF324;ZNF566;ZNF565;ZNF763;B2M;ZNF441;ZNF484;ZNF10;HLA-C;ZNF14;HLA-E;ZNF91;IL1B;ZNF439;SRSF5;ITGA5;ZNF235;ZNF155;ZNF230;ZNF350;ZNF2;ZFP57;ZNF429;ZNF304;ZNF700;BID;HLA-DQA2;ZNF224;ZNF267;ZNF223;ZNF222;ZNF420;ZNF540;ZNF782;ZNF181;ZNF77;PILRA;ZNF33A;ZNF416;ZNF613;FAS;TAB2;ZNF699;ZNF333;ZNF211;ZFP28,0.00011836733148312407,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
2,Autophagy,0.00016558799846174408,2.9082989611323145,25.319673416200807,IGBP1;BECN1;GABARAPL1;PDPK1;DAPK2;PIK3CD;WIPI2;ATG14;TANK;VMP1;ATG16L2;TP53INP2;LAMP2;ATG2A;ULK1;SMCR8;RAF1;ATG2B,0.022519967790797193,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
3,Lipid and atherosclerosis,0.0004983814713672605,2.30608154213579,17.535777891856103,ABCA1;MAP2K4;GSK3B;NCF2;PDPK1;LY96;TNFRSF10B;PIK3CD;SOD2;TANK;MAPK13;SELP;RXRA;CASP8;IL1B;CASP1;FAS;TAB2;TLR6;BID;CAMK2G;ABCG1;NFE2L2,0.04518658673729829,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
4,Kaposi sarcoma-associated herpesvirus infection,0.0006876836380665832,2.348077060123049,17.09912368981963,MAP2K4;GSK3B;BECN1;GABARAPL1;CREBBP;HLA-C;PIK3CD;ATG14;PTGS2;GNG11;HLA-E;PIK3R5;MAPK13;PREX1;CASP8;MAPKAPK2;FAS;EP300;E2F3;BID;RAF1,0.04676248738852766,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
5,Endocytosis,0.0008880636090297497,2.1205241161188297,14.89979311849471,CBL;ACTR3B;PRKCZ;RAB22A;CYTH3;SNX4;ZFYVE27;RAB11FIP1;SNX2;CHMP1B;WASHC1;RAB11FIP4;SMURF2;IQSEC1;SMURF1;HLA-C;ARAP3;ARAP1;IGF2R;HLA-E;SPART;DNM3;ARPC2;CHMP3;CHMP5,0.048310660331218384,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
6,NOD-like receptor signaling pathway,0.0018444341765170224,2.2521866072664576,14.178827104759357,GABARAPL1;ANTXR2;MEFV;TANK;MAPK13;CASP8;AIM2;CASP5;IL1B;NAMPT;CASP1;MFN1;TXNIP;RIPK1;TAB2;PKN2;CARD16;NLRP1;GBP2,0.0752170730520212,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
7,C-type lectin receptor signaling pathway,0.002032697401178713,2.7368649587494573,16.964160767656214,PLK3;PIK3CD;PTGS2;MAPK13;CYLD;PAK1;CASP8;CLEC7A;IL1B;MAPKAPK2;CASP1;RAF1;CLEC1B,0.0752170730520212,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
8,FoxO signaling pathway,0.0023182255743883907,2.4790827936285664,15.040479348775623,PLK3;GABARAPL1;PRKAB2;CREBBP;PDPK1;PIK3CD;PRKAG2;FOXO4;FOXO3;STK4;SOD2;MAPK13;CAT;EP300;RAF1,0.0752170730520212,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
9,Notch signaling pathway,0.0024888002112801134,3.4419778002018164,20.637942374634942,PTCRA;NOTCH2;ADAM17;CREBBP;JAG1;MAML2;ATXN1L;EP300;CIR1,0.0752170730520212,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
10,Shigellosis,0.003004815170580986,1.9822326055326316,11.51189360015193,GSK3B;BECN1;GABARAPL1;FNBP1;PRKCE;PIK3CD;FOXO4;WIPI2;ATG14;FOXO3;ACTR3B;MAPK13;CYTH3;RPS6KA5;ARPC2;IL1B;CASP1;RIPK1;TAB2;ARHGEF2;ITGA5;CRK;WASF2,0.08173097263980282,0,0,GTEX-1HCU7-0006-SM-A9G19,under,KEGG_2021_Human
