rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,heme Metabolism,8.116047041428748e-07,3.153316106804479,44.22290108248265,ISCA1;BTG2;EPB41;DCUN1D1;ENDOD1;NR3C1;FOXO3;BACH1;SEC14L1;LAMP2;CIR1;ERMAP;RBM5;FBXO9;SNCA;BNIP3L;KHNYN;NCOA4;FOXJ2;VEZF1;KLF3;MKRN1;CAT;BMP2K;YPEL5;LPIN2;EZH1;TNRC6B,3.9768630503000866e-05,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
2,TNF-alpha Signaling via NF-kB,7.916330365623225e-06,2.8881729566428285,33.92616276779802,BTG2;TNFAIP2;RNF19B;PTGS2;TANK;SAT1;IFIT2;SNN;NAMPT;MAP3K8;DENND5A;ICOSLG;MCL1;ABCA1;KDM6B;KLF10;JAG1;TSC22D1;CCL20;ATP2B1;SOD2;PTPRE;IL1B;CLCF1;NINJ1;NFE2L2,0.000193950093957769,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
3,Interferon Gamma Response,6.508125602003565e-05,2.6300298062593144,25.353155885905075,P2RY14;MX2;TNFAIP2;CSF2RB;IFIT1;PTGS2;TOR1B;SOD2;IFIT3;IFIT2;OASL;HELZ2;SELP;ZNFX1;CASP8;NAMPT;DHX58;PELI1;CASP1;TXNIP;FAS;RIPK1;LCP2;B2M,0.0010629938483272489,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
4,p53 Pathway,0.0004465862443767286,2.3786447921692977,18.348575779229346,HEXIM1;PLK3;BTG2;TSC22D1;VDR;RNF19B;ABAT;XPC;FOXO3;PPM1D;SAT1;TOB1;PTPRE;RXRA;NINJ1;MKNK2;CASP1;TXNIP;FAS;ERCC5;ANKRA2;CDK5R1,0.0043881670706883485,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
5,Apoptosis,0.00044777215007023964,2.5721238747469526,19.83422862296914,BNIP3L;CREBBP;BTG2;SATB1;NEDD9;SOD2;SAT1;IGF2R;LGALS3;CYLD;PAK1;CASP8;IL1B;CASP1;PDCD4;TXNIP;FAS;BID;MCL1,0.0043881670706883485,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
6,Inflammatory Response,0.0010895334933623724,2.2554139727575166,15.386446892519778,ABCA1;BTG2;SEMA4D;CCL20;ITGB3;GP1BA;ATP2B1;MEFV;PIK3R5;BEST1;PTPRE;IL1B;NAMPT;CCR7;LCP2;ITGA5;RAF1;SCARF1;SCN1B;ICOSLG;KCNJ2,0.008897856862459374,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
7,TGF-beta Signaling,0.00511337968954388,3.3229312762973353,17.531435529020577,KLF10;SKI;PPM1A;SMURF2;SMURF1;NOG;ARID4B;FURIN,0.03420173605522356,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
8,KRAS Signaling Up,0.0055839569069752746,2.013736124486796,10.446976319804355,MTMR10;GUCY1A1;MMD;SATB1;CCL20;USP12;LY96;NAP1L2;PPBP;PTGS2;CBL;GNG11;CLEC4A;ADAM17;NIN;DNMBP;IL1B;ADAM8;SCN1B,0.03420173605522356,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
9,Interferon Alpha Response,0.009054768158294497,2.446140099231077,11.50777752625034,HELZ2;CASP8;DHX58;CASP1;HLA-C;TXNIP;GBP2;B2M;IFIT3;IFIT2;OASL,0.04929818219515893,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
10,UV Response Dn,0.013200048170655421,2.061007957559682,8.919083659631601,NOTCH2;YTHDC1;PRKCE;ITGB3;DYRK1A;PIK3CD;PRDM2;ATP2B1;NR3C1;NIPBL;SIPA1L1;RXRA;ZMIZ1;PRKAR2B,0.06468023603621156,0,0,GTEX-1HCU7-0006-SM-A9G19,under,MSigDB_Hallmark_2020
