rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Gene Expression (Transcription) R-HSA-74160,2.3498639547701766e-08,1.8131541145085164,31.850451384607616,CCNT1;MAML2;GTF2B;ARID4B;TTF1;NR3C1;NR3C2;LGALS3;SESN3;HENMT1;ZNF606;MAGOH;EP300;ZNF566;ZNF324;ZNF565;ZNF441;ZNF18;BNIP3L;PRKAB2;ZNF10;ZNF14;SARNP;ZNF439;DPEP2;TXNIP;SRSF5;ZNF710;PVALB;ZNF155;NOTCH2;KMT2D;ZNF274;KMT2C;FOXO4;GATA2;FOXO3;ATXN3;ZNF429;TPR;TP53BP2;ZNF700;ZNF304;SUDS3;ZNF267;ZNF420;ZNF540;ZNF782;PLK3;CREBBP;CBX6;JAG1;SMURF2;VDR;SMURF1;SETD1B;TNFRSF10B;NUP153;ESR2;AGO4;AGO1;AGO2;ZNF416;NABP1;ZNF254;GSK3B;BTG2;ZNF493;ZNF250;PHF20;PRKAG2;PIP4P1;SNAPC1;PCF11;CTSK;CASP1;JARID2;ZNF484;PDPK1;DNMT3A;GP1BA;PPP2R5C;PPM1A;MED25;ELF2;RRM2B;NUP50;TET3;ITGA5;ZNF235;SLU7;HDAC5;ZNF350;FURIN;PPM1D;RXRA;POLR2A;PLAGL1;TBL1X;BID;ZNF224;CAMK2G;ZNF223;ZNF222;USP9X;ZNF77;GTF2H2;SKI;ZNF33A;NR6A1;ZNF613;TAF7;ZNF699;ERCC6;LAMTOR4;ZNF333;ZNF211;ZFP28;TNRC6B;CDK5R1,2.8127871538599014e-05,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
2,RNA Polymerase II Transcription R-HSA-73857,1.7263663878158985e-07,1.7895952207142112,27.867714227089067,CCNT1;MAML2;GTF2B;NR3C1;NR3C2;LGALS3;SESN3;ZNF606;MAGOH;EP300;ZNF566;ZNF324;ZNF565;ZNF441;ZNF18;BNIP3L;PRKAB2;ZNF10;ZNF14;SARNP;ZNF439;TXNIP;SRSF5;ZNF710;PVALB;ZNF155;NOTCH2;KMT2D;ZNF274;KMT2C;FOXO4;GATA2;FOXO3;ATXN3;ZNF429;TP53BP2;ZNF700;ZNF304;ZNF267;ZNF420;ZNF540;ZNF782;PLK3;CREBBP;CBX6;JAG1;SMURF2;VDR;SMURF1;SETD1B;TNFRSF10B;ESR2;AGO4;AGO1;AGO2;ZNF416;NABP1;ZNF254;GSK3B;BTG2;ZNF493;ZNF250;PHF20;PRKAG2;PIP4P1;SNAPC1;PCF11;CTSK;CASP1;ZNF484;PDPK1;GP1BA;PPP2R5C;PPM1A;MED25;ELF2;RRM2B;ITGA5;ZNF235;SLU7;HDAC5;ZNF350;FURIN;PPM1D;RXRA;POLR2A;PLAGL1;TBL1X;BID;ZNF224;CAMK2G;ZNF223;ZNF222;USP9X;ZNF77;GTF2H2;SKI;ZNF33A;NR6A1;ZNF613;TAF7;ZNF699;LAMTOR4;ZNF333;ZNF211;ZFP28;TNRC6B;CDK5R1,7.819879442433822e-05,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
3,Generic Transcription Pathway R-HSA-212436,1.9598695344445667e-07,1.8256880733944953,28.198149826184075,CCNT1;MAML2;NR3C1;NR3C2;LGALS3;SESN3;ZNF606;EP300;ZNF566;ZNF324;ZNF565;ZNF441;ZNF18;BNIP3L;PRKAB2;ZNF10;ZNF14;ZNF439;TXNIP;ZNF710;PVALB;ZNF155;NOTCH2;KMT2D;ZNF274;KMT2C;FOXO4;GATA2;FOXO3;ATXN3;ZNF429;TP53BP2;ZNF700;ZNF304;ZNF267;ZNF420;ZNF540;ZNF782;PLK3;CREBBP;CBX6;JAG1;SMURF2;VDR;SMURF1;SETD1B;TNFRSF10B;ESR2;AGO4;AGO1;AGO2;ZNF416;ZNF254;GSK3B;BTG2;ZNF493;ZNF250;PHF20;PRKAG2;PIP4P1;CTSK;CASP1;ZNF484;PDPK1;GP1BA;PPP2R5C;PPM1A;MED25;ELF2;RRM2B;ITGA5;ZNF235;HDAC5;ZNF350;FURIN;PPM1D;RXRA;POLR2A;PLAGL1;TBL1X;BID;ZNF224;CAMK2G;ZNF223;ZNF222;USP9X;ZNF77;GTF2H2;SKI;ZNF33A;NR6A1;ZNF613;TAF7;ZNF699;LAMTOR4;ZNF333;ZNF211;ZFP28;TNRC6B;CDK5R1,7.819879442433822e-05,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
4,NR1H3 And NR1H2 Regulate Gene Expression Linked To Cholesterol Transport And Efflux R-HSA-9029569,8.760318051868699e-07,8.44186046511628,117.74591694172732,ABCA1;NCOA1;EEPD1;RXRA;AGO4;AGO1;AGO2;EP300;TBL1X;ABCG1;TNRC6B,0.0002621525177021708,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
5,NR1H2 And NR1H3-mediated Signaling R-HSA-9024446,1.8354513407861714e-06,6.775184567754227,89.48812928997633,ABCA1;NCOA1;MYLIP;EEPD1;RXRA;AGO4;AGO1;AGO2;EP300;TBL1X;ABCG1;TNRC6B,0.0004394070509842095,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
6,Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,6.314745222588715e-05,19.09045226130653,184.60539984982435,CREBBP;EP300;TXNIP;FOXO4;FOXO3,0.012597916719064486,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
7,RORA Activates Gene Expression R-HSA-1368082,0.00017001476847356342,9.551307847082494,82.90177277260487,NCOA1;HELZ2;CREBBP;RXRA;EP300;TBL1X,0.02881174286723755,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
8,Post-transcriptional Silencing By Small RNAs R-HSA-426496,0.00019255968499406884,25.431057563587682,217.565352468448,AGO4;AGO1;AGO2;TNRC6B,0.02881174286723755,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
9,Immune System R-HSA-168256,0.00022279998190881503,1.4299428182402447,12.024726812567645,NCF2;GMFG;PITPNA;RNF19B;IFIT1;IFIT3;IFIT2;HERC5;LGALS3;NPEPPS;RPS6KA5;HERC1;DHX58;LAMP2;EP300;MAP3K8;ATP6V1E1;IL6R;B2M;ICOSLG;FBXO9;MYLIP;MAP2K4;ATP6V1G1;AREL1;KCNH8;PRKCE;SLC11A1;HLA-C;ATG14;HLA-E;CLEC4A;ADAM17;RAB37;HECW2;MAPKAPK2;TXNIP;ADAM8;CUL3;C5AR2;LY96;DAPP1;UBR2;CSF2RB;FOXO3;MEFV;CLEC7A;TPR;CD300LB;RIPK1;NLRP1;LONRF1;HLA-DQA2;SLC15A4;ATP6V1D;SOCS5;MCL1;CREBBP;UBE2B;SMURF2;SMURF1;NUP153;PPBP;PILRA;IGF2R;CYLD;ARPC2;TREML2;MKRN1;TAB2;TNFSF8;HPSE;DDX3X;SLC44A2;PTPRJ;TREM1;SIRPB1;OASL;SEC61A2;CASP8;CTSK;ADGRE3;ITGAX;CASP1;MADCAM1;LRRFIP1;CLEC1B;HGSNAT;PDPK1;GAA;GAB2;PPP2R5C;DNM3;AIM2;IL1B;NUP50;TMBIM1;PELI1;ATP6V1B2;TAX1BP1;LCP2;PLEKHO2;TLR6;CD46;CRK;DCTN6;BECN1;CLEC12A;PELI2;ASB13;PTGS2;CBL;TANK;FBXL20;STAT6;RBBP6;STX3;GBP2;SH2B3;RNF130;WASF2;CAMK2G;CCL20;MX2;CPPED1;MAPK13;TRIM39;CLCF1;PDCD4;PKN2;YPEL5,0.0296323975938724,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
10,Heme Signaling R-HSA-9707616,0.00032788444088253043,4.784056508577195,38.3817645355756,HELZ2;NCOA1;CREBBP;RXRA;LY96;EP300;TBL1X;CLEC1B;NFE2L2,0.039247767573638896,0,0,GTEX-1HCU7-0006-SM-A9G19,under,Reactome_2022
