rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,GATA1 22383799 ChIP-Seq G1ME Mouse,1.3166832724277727e-13,2.089987570599638,61.98587610393414,SCARB1;TMEM183A;SPARC;NCF1;ITGA2B;LST1;ROGDI;WDR86;COX6A1;CLU;NDST1;STK11;UROD;BSG;TUBB1;FBXO7;FBXO9;SH3GLB2;MAP2K2;IFRD2;CCDC157;CNPY2;CNPY3;VASH1;PISD;ORAI3;HMBS;PGP;MPPE1;SNRNP25;RPP25;MYL9;UBA52;TTYH2;FECH;NPRL3;TAPBPL;ADIPOR1;GATA1;OAZ1;PIK3R6;ARHGAP22;SNN;CYB5R3;TMEM128;ISOC1;TSPAN5;BMF;ST3GAL6;FADD;GAS2L1;SLC38A5;SAC3D1;HMOX2;VTI1B;TMEM184B;PMM1;EIF2AK1;STARD10;PARVB;PRDX6;PBX1;TREML1;GP9;EHD3;GNAS;PXMP4;ESAM;PKIG;GALK1;KCNK6;ITGB3;CITED4;TNFAIP2;ARRB1;TRIOBP;NRGN;THTPA;ANKRD9;TMEM222;LYL1;TMEM101;ABCC4;GPX4;GLRX5;TESC;ABCC5;NCOA4;PPP2R5B;TMEM40;RAD23A;WIPI2;BPGM;YDJC;SIRT3;GCHFR;KAT2B;NDUFS7;CDC42EP2;TRIM58;TMEM9;ARF5;CSTB;NDUFB6;CEBPE;DERL3;ASB13;RBM4B;GPS2;PPOX;TSPAN33;MRM1;TMEM164;FSTL3;PDLIM1;DNAJB2;NT5DC1;ALS2CL;PDLIM2;CNR2;CREG1;TMEM205;MXI1;GNA12;AP2S1;E2F1;KISS1R;LCMT2;NT5M;S1PR3;BID;LY6G6F;SNCA;FAHD1;DOHH;DHRS4;PPP1CA;AGBL5;PINK1;GFI1B;CAPN12;S100Z;MGAT4B;RGS10;CD9;PI16;POLR3K;PF4,9.84879087775974e-11,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
2,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,2.3872011285512883e-12,1.7007637963123965,45.51396904701932,JRK;VIPR1;POP7;FAM89B;ECI1;HDAC11;TPGS1;ZDHHC2;RPS15;RPS6KA4;KRTCAP3;RPS6KA5;PSMD4;ZNF605;BSG;AP1S1;SMCO4;CPNE2;PDK2;ENDOG;SECISBP2;IFRD2;TANGO2;ZFYVE21;MTURN;PISD;CPED1;GPR162;RNF123;CDC34;ZNF837;HMBS;UBA52;KCTD15;VPS28;LIPT2;ANAPC13;SMIM5;NLRX1;NPRL3;GSKIP;ANAPC11;PRDX5;ZNHIT2;STMP1;TSPAN4;INPP5K;HBQ1;ZNF268;SNX8;HMOX2;VTI1B;LHPP;FIS1;PTPRN2;TMEM184B;JUP;SIVA1;STARD10;KLHDC8B;NTAN1;REX1BD;MRPL24;OCEL1;NR2F6;XKR8;TOLLIP;NDUFAF3;RETREG2;NOL12;INKA1;DET1;RARG;CCDC124;CITED4;MYL6B;CYB561D1;ASGR1;LETM2;BBC3;GLI4;GUK1;UFD1;SH3BGRL3;ELOB;TESC;NOG;NUTF2;DYNLL1;CBFA2T3;DUSP7;SIRT3;PDRG1;PIGC;MZT2B;BACE2;KAT2B;MED25;CTU1;TUBB2A;OAF;CDC42EP2;MPND;LYPLAL1;ARF5;SLC29A3;NAPA;GRAMD1C;CSTB;TSR3;TIMM13;FSTL3;STX10;PTPA;CREG1;KISS1R;ZNF346;DTD1;NPDC1;DMTN;YIPF3;PEX10;FMO4;DEF8;ELP6;YIF1A;ATP5F1E;PSMB9;PPP1CA;SPSB2;GID4;NDUFAB1;R3HCC1;LAMTOR4;ZNF213;ZNF576;TUSC2;ROGDI;NRL;MSI2;COX6A1;TMEM141;CLU;CHCHD5;STK11;UROD;HCFC1R1;NUDT18;TNFRSF8;NUDT17;MAF1;NUDT14;PLEKHJ1;RAB2B;TPM1;UBALD1;TMEM250;RPP25L;RBX1;FRMD3;OLFM1;MYCL;OLFM2;DPM3;MAPKAPK3;DPEP2;FKBP8;PGP;DENND6B;SNRNP25;ZNF555;NDUFB10;RPS19BP1;MAZ;TMEM121;ARHGAP22;TKFC;YBEY;PMVK;ISOC1;GAS2L1;SAC3D1;ESRRA;MPST;CBX8;CACFD1;YJU2;TRAPPC5;B3GALT4;PYM1;KLHL22;CHCHD10;ADAP1;EFNA3;TMEM11;ESAM;ACTL10;GALK1;BCL2L1;MCUR1;RNPEPL1;TRADD;DNPH1;UFSP1;TMEM101;MFSD5;MFSD3;MLST8;ZNF768;PGLS;CNPPD1;ZNF763;TSFM;GPX4;ABCC5;PPP2R5B;RAD23A;YDJC;DUSP23;PSRC1;NDUFS7;PPDPF;TRIM58;BLVRB;NAA38;PDE5A;HAGH;LTB;PPP1R12B;STOML2;NDUFB7;TSSC4;SMIM29;CEBPE;ZBTB42;RBM4B;PPM1J;AGPAT1;PPOX;LTC4S;PPM1F;DNAJB2;REPIN1;PARD6A;MXI1;E2F1;ZNF503;CDIPT;RILP;POLR2J;HES4;MARCKSL1;NDUFA7;CIZ1;ZNF185;SMOX;LRWD1;GFER;RSPH3;SLC25A37;PINK1;SLC25A39;NAGK;TEF;CARM1;TSPAN17;CDK2AP1;CPVL;ASB2;POLR3K;TRMT61A,8.928132220781818e-10,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
3,CTCF 33576154 ChIP-Seq Human HilarLN ProstateCancer,2.8363431610834444e-10,1.6184555756700931,35.57905163148193,JRK;VIPR1;POP7;FAM89B;ECI1;HDAC11;TPGS1;ZDHHC2;RPS15;KRTCAP3;RPS6KA5;BSG;ZNF844;SMCO4;CPNE2;FBXO7;PDK2;FBXO9;ENDOG;SECISBP2;TANGO2;GCAT;CPED1;GPR162;RNF123;BCAM;UBA52;KCTD15;VPS28;CFD;SMIM5;NLRX1;NEDD4L;SDSL;ANAPC11;PRDX2;FAM171A1;PRDX5;ZNHIT2;STMP1;TSPAN4;FAM43A;HBQ1;ZNF268;HMOX2;LHPP;FIS1;PRELID1;FZD2;JUP;SIVA1;STARD10;KLHDC8B;CCDC9B;NTAN1;REX1BD;MRPL24;OCEL1;NR2F6;XKR8;FBXL8;ADI1;TOLLIP;SDC1;NDUFAF3;RETREG2;INKA1;ITM2C;DET1;TGFB1I1;CCDC124;CYB561D1;LETM2;BBC3;LIMD2;GLI4;GUK1;TNFRSF12A;SLC2A11;NOG;DYNLL1;NUDT16L1;CBFA2T3;PDRG1;PIGC;MZT2B;BACE2;KAT2B;MED25;CTU1;TUBB2A;MMP17;CDC42EP2;CEP63;SLC18B1;LYPLAL1;ARF5;SLC29A3;NAPA;GRAMD1C;TSR3;UQCR11;FSTL3;PTPA;KISS1R;DTD1;NPDC1;DMTN;PEX10;FMO4;TUBB4B;DEF8;ELP6;YIF1A;PSMB9;DHRS4;PPP1CA;SPSB2;GFI1B;GID4;NDUFAB1;R3HCC1;YPEL3;NDUFA11;TMEM141;CLU;CDC14B;CHCHD5;UROD;NUDT18;TNFRSF8;NUDT17;MAF1;NUDT14;BORCS6;PLEKHJ1;BNIP3L;RAB2B;TPM1;ALG14;UBALD1;CNPY2;CNPY3;RPP25L;RBX1;OLFM1;MYCL;OLFM2;MAPKAPK3;NAAA;DPEP2;PGP;DENND6B;SNRNP25;ZNF555;ISCU;PARM1;NDUFB10;RPS19BP1;MAZ;ARL2;TMEM121;ARHGAP22;TKFC;SHARPIN;YBEY;BAG1;EIF4EBP3;BMF;GAS2L1;SAC3D1;ESRRA;MPST;CBX7;CACFD1;YJU2;TRAPPC5;B3GALT4;PYM1;KLHL22;CHCHD10;ADAP1;COQ5;EFNA3;TMEM11;MKRN1;GNAS;PXMP4;ESAM;ACTL10;GALK1;RNF187;BCL2L1;RNPEPL1;TRADD;DNPH1;LYL1;MFSD5;MFSD3;MLST8;ZNF768;PGLS;ZNF763;ABCC4;TSFM;ABCC5;PPP2R5B;NRG1;RAD23A;SHROOM1;YDJC;DUSP23;PSRC1;NDUFS7;TRIM58;BLVRB;TMEM219;PDE5A;HAGH;LTB;SPACA6;SLC25A6;NDUFB7;TSSC4;NDUFB6;SMIM29;CEBPE;RBM4B;PPM1J;PPOX;TSPAN33;MRM1;PPM1F;CLN6;SRM;DNAJB2;VPS51;MXI1;ZNF503;CDIPT;RILP;POLR2J;HES4;TIMM8B;MARCKSL1;NDUFA7;CIZ1;ZNF185;SMOX;LRWD1;RSPH3;EEPD1;PINK1;NAGK;CARM1;MGAT4B;RPS6KB2;RGS10;CDK2AP1;ASB2,7.071948948301388e-08,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
4,CEBPB 24764292 ChIP-Seq MC3T3 Mouse,3.1156824733500056e-09,1.8700388998746598,36.62811086692466,SCARB1;POP7;NDUFA11;TUSC2;HDAC11;TXNDC17;RPS15;ALKBH4;BSG;AP2M1;PSKH1;CHID1;BNIP3L;TRAPPC2L;TSTD1;SECISBP2;CTNNBIP1;BOLA1;CNPY2;RBX1;PISD;DOK1;TMEM134;MAPKAPK3;HMBS;PGP;TRIB3;TCTA;OPTN;ISCU;LIPT2;CD151;GYPC;ARL2;FOXO4;CFP;AGER;RRP7A;SNN;RRAS;UBB;PRKAR2B;FADD;GAS2L1;SNX8;MPST;CBX8;FZD2;PSPN;TRAPPC5;B3GALT6;HPS6;KLHDC8B;OCEL1;GNPTG;SSPN;CD27;NOL12;GALK1;RNPEPL1;TGFB1I1;CCDC124;CBY1;CYB561D1;NAT14;MED18;TMEM186;ING4;UBL5;TMEM101;GUK1;MFSD5;MFSD3;POLL;ACP1;TSFM;MRPS26;MRPS24;NCOA4;CTDSPL;NDUFC1;RAD23A;JOSD2;PIGC;TMEM177;CTU1;NDUFS7;DNAJC4;BMP2K;PIGM;PLEKHO1;LYPLAL1;CSTB;ELOF1;GPS2;PPOX;MRM1;SRM;REPIN1;POLD4;PARD6A;MARVELD1;TMEM205;LCMT2;BAK1;DTD1;NDUFA7;FAHD1;NAA10;PCGF5;TAF10;NDUFA2;GFER;YIF1A;KBTBD11;BAIAP3;DHRS4;RPIA;TPPP3;SLC25A39;TEF;MGAT4B;GHRL;GPR146,5.82632622516451e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
5,SRY 25088423 ChIP-ChIP EMBRYONIC GONADS Mouse,8.280996677141261e-09,1.6377488999343313,30.477364704729812,JRK;ISCA1;POP7;ECI1;LST1;HDAC11;NUDT1;ZDHHC2;TXNDC17;KRTCAP3;VSIG2;BSG;AP1S1;ATP6V1E2;CHID1;ENDOG;NHLRC4;IFRD2;KRT1;PISD;CYP27A1;RBP7;RNF123;BCAM;SPINT1;KCNQ1;TMEM79;CLDN7;CFD;RWDD2A;LPAR1;TAPBPL;SDSL;GATA1;CYB5R3;PRKAR2B;KCNMB1;KCNMB4;S100A14;SERF2;VTI1B;SURF2;SNAI3;FN1;KLHDC8B;PARVB;MRPL24;ABTB1;ADI1;SDC1;CD27;C2CD2L;RARG;ARPC1B;MYL6B;MRPL37;NAT14;TRIOBP;MED18;UBL5;AIFM3;SH3BGRL3;UBXN6;ATPAF2;TIGD3;TNFRSF12A;NME3;GPBAR1;NME4;TMEM42;JOSD2;NUDT16L1;PDRG1;NAALADL1;GCHFR;TUBB2A;CTTN;PAX8;TNNT1;SDHAF1;CDC42EP2;GAS6;LYPLAL1;CSTB;ELOF1;TIMM13;SNX33;RFNG;ASCL2;CREG1;KISS1R;SUSD3;MBNL3;YIPF2;DOHH;YIF1A;YIF1B;AGBL5;TPPP3;GHRL;YPEL3;TMEM229B;GPR146;SCARB1;NCF1;TMEM141;CLU;CDC14B;RPH3A;FADS2;STK11;SIT1;NUDT18;BNIP3L;ATG9B;TPM1;CNPY2;CNPY3;TMEM134;DPM3;RAB37;PGP;MAL;SNRNP25;CLEC4F;GNAZ;CD151;HVCN1;SLC1A5;CORO1B;TMEM121;EIF4EBP3;TXNDC5;CBX8;SLC14A1;SYT2;B3GALT4;MOB2;KCNK6;RNPEPL1;TRADD;SOWAHD;ARHGEF10L;ZFP82;MEA1;UFSP1;LYL1;TMEM223;MFSD3;TSFM;EGFL7;PTGIR;GPX4;CTDSPL;PPP2R5B;SSTR3;UPK3A;DUSP23;PTP4A3;PSRC1;NDUFS7;RASA4;AKT1S1;POLR1D;LTB;TSSC4;NDUFB6;CEBPE;LCAT;PPM1J;AGPAT1;LTC4S;TSPAN33;PSMB10;SRM;REPIN1;POLD4;PARD6A;TMEM205;IGF2BP2;RILP;RBM38;TXNRD2;CMTM5;LYSMD4;SMUG1;CCS;CAPN12;TEF;MGAT4B;RPS6KB2;SARDH;STUB1,1.2388371029003327e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
6,LXR 22292898 ChIP-Seq THP-1 Human,1.6534942614803804e-08,1.7806152893514298,31.904690756028966,SCARB1;JRK;TMEM183A;ROGDI;GIMAP5;ACRBP;TMEM141;CLU;NDST1;VSIG2;NUDT18;TNFRSF8;AP1S1;NUDT14;HLA-DOB;NUP214;CHID1;CNPY3;VASH1;FRMD3;DPM2;CDC34;MFNG;KCNQ1;TRIB3;RPP25;VPS28;GNAZ;SLC45A3;PARM1;TTYH2;FICD;FECH;RPS19BP1;TPRG1L;SLC1A5;TMEM121;SNN;KCNMB1;CPAMD8;FADD;SAC3D1;CBX8;SIVA1;SNAI3;TRAPPC5;B3GALT4;KLHL22;NR2F6;ABTB1;EFNA3;PROC;MOB2;FXYD6;COL9A3;ESAM;DYNLRB1;NOL12;ZNF653;DNAL4;CNIH3;RNF187;RNPEPL1;MRPS11;TNFAIP2;PCSK6;CYB561D1;PPCDC;BBC3;LFNG;ANKRD9;GLI4;TRIM7;MFSD5;MFSD3;SH3BGRL3;CCR7;PGLS;ABCC3;TIGD5;GPX4;PPP2R5B;RAD23A;EDF1;SSTR3;CBFA2T3;DUSP7;PTP4A3;DALRD3;NDUFS7;PAX8;OAF;TMEM9;ZP3;ST6GALNAC4;B4GALT7;NFIX;TSSC4;SSNA1;DERL3;RBM4B;SNX33;RFNG;TSPAN33;AGPAT3;PDLIM2;TMEM204;S1PR3;POLR2I;POLR2L;NPDC1;MARCKSL1;CARD9;BMP8B;PEX10;PPP1CA;RAB11B;SMUG1;AGBL5;SPSB2;TPPP3;TEF;CARM1;SRRD;MGAT4B;R3HCC1;STUB1;S100P;CAMK1;ASB2;GPR146,2.0613561793122077e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
7,BCL6 27268052 Chip-Seq Bcells Human,2.6508333680956503e-08,1.7793380492458688,31.041987616375884,JRK;POP7;NDUFA11;PDCD6;TUSC2;GIMAP1;WDR86;GIMAP5;TMEM141;CHCHD5;STK11;ABHD11;SIT1;AP1S1;PSKH1;SH3GLB2;ATG9B;IFRD2;KRT1;MRPS18A;RBX1;PISD;CYP27A1;GPR162;DPM2;CARHSP1;SNRNP25;CLEC4F;GTSF1;VPS28;CFD;NLRX1;CD151;TTYH2;GMPR;FOXO4;GATA1;OAZ1;RRP7A;PRDX2;SHARPIN;UBB;TSPAN4;TNFRSF17;INPP5K;MYH11;ZKSCAN4;NDUFV3;FADD;VTI1B;ST3GAL3;CBX7;FZD2;PMM2;KLHL22;FUZ;PILRA;ADAP1;GNPTG;EFNA3;TMEM11;PSMG4;CD27;CALM3;PYROXD2;ZNF653;MXD4;GALK1;GAPT;RTP4;UFSP1;TRIOBP;TMEM186;ASGR1;LETM2;THTPA;LFNG;GUK1;ZNF768;TIGD3;TIGD5;EGFL7;PTGIR;MRPS24;PPP2R5B;EDF1;JOSD2;MRPL43;BACE2;MED25;PTP4A3;PSRC1;PPDPF;TMEM219;ST6GALNAC4;CSTB;STOML2;CEBPE;TIMM13;LCAT;UQCR11;LTC4S;AGPAT3;PTGS1;ALS2CL;TMEM205;MXI1;NT5M;BID;HES4;POLR2L;GADD45GIP1;CARD9;PPP1CA;SLC25A37;EEPD1;GFI1B;CD4;POU2AF1;CD9;STUB1;S100P;PI16;CAMK1;CMTM2;YPEL3;GPR146,2.832604799050781e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
8,EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,3.1410699281107156e-08,1.9475504958273322,33.646110736920534,SCARB1;DDX49;ARPC1B;HDAC11;NUDT1;HBB;MRPL37;ETFB;STON2;YBX1;ECSIT;NRGN;ANKRD9;ABHD11;UROD;GRAP2;ACP5;AP1S1;SH3BGRL3;TIGD3;TMOD1;EGFL7;MRPS24;RAD23A;NME4;JOSD2;HBA1;NUDT16L1;REXO2;RNF123;DPM3;DALRD3;HMBS;DNAJC4;TRIM58;BLVRB;MPPE1;HAGH;CDKL1;HEMGN;CSTB;ELOF1;NDUFB10;FECH;RPS19BP1;GMPR;MRPL14;SLC1A5;PPOX;ADIPOR1;TSPAN33;SRM;CST3;PRDX2;CREG1;MXI1;GNA12;ST3GAL6;BAK1;DTD1;SNCA;TXNDC5;RBM38;MPST;NQO1;SURF1;SIVA1;SURF2;TXNRD2;SMOX;EIF2AK1;TAF10;TRAPPC4;PDZK1IP1;PRDX6;PPP1CA;YIF1B;RPIA;ABTB1;SLC25A37;RPS28;SLC25A39;ADI1;NDUFAB1;RANBP10;RGS10;CDK2AP1;CALM3;CRAT;YPEL3;GALK1;GPR146;RNF187;BCL2L1,2.936900382783519e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
9,TAL1 20887958 ChIP-Seq HPC-7 Mouse,5.7061038099845666e-08,1.7515953712417283,29.21511194899861,NDUFA11;GIMAP1;LST1;NUDT1;SCAMP5;RPS15;FADS2;STK11;ABHD11;RASSF4;GRAP2;BSG;HCFC1R1;TXNL4A;MAF1;MAP2K2;NHLRC4;SECISBP2;BOLA1;ALG14;PISD;ORAI3;FKBP8;PGP;RPP25;UBA52;ISCU;LIPT2;ANAPC13;TTYH2;NDUFB10;ADIPOR1;ANAPC11;PRDX2;SNN;UBB;TMEM129;ZMAT5;FAM43A;FADD;HMOX2;SERF2;PRELID1;LSM1;KLHL22;PARVB;PBX1;OCEL1;TREML1;FBXL8;GP9;ESAM;NOL12;ITGB3;ARPC1B;ARRB1;MYL6B;MRPL37;ETFB;UFSP1;LIMD2;LFNG;ANKRD9;LYL1;TMEM223;MFSD5;RBPMS2;SH3BGRL3;CCR7;UBL7;PTCRA;ABCC4;EGFL7;PTGIR;TNFRSF12A;MRPS24;GPX4;STRADB;NCOA4;GPBAR1;NDUFC1;NUTF2;WIPI2;BPGM;DYNLL1;NUDT16L1;CBFA2T3;PDRG1;TMEM177;GCHFR;NDUFS7;TNNT1;SDHAF1;PIGM;TAX1BP3;TMEM9;LTB;HEMGN;NFIX;NDUFB6;CEBPE;HAAO;PTAFR;MRPS34;UQCR11;AGPAT1;LTC4S;PTGS1;PDLIM2;CNR2;CREG1;CXCR3;KISS1R;ROMO1;TIMM8B;RBM38;MARCKSL1;NDUFA7;YIPF3;DOHH;AGBL5;SLC25A39;POU2AF1;MGAT4B;PI16;POLR3K;PF4,4.7424062776316176e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
10,TAL1 20566737 ChIP-Seq PRIMARY FETAL LIVER ERYTHROID Mouse,1.1734804624083535e-07,1.752054068380599,27.959491809532174,SCARB1;NDUFA13;SLC46A2;ITGA2B;HDAC11;ROGDI;CISD2;MSI2;AQP3;FRAT1;ALKBH4;RPS6KA5;UROD;GRAP2;BSG;TXNL4A;TMOD1;BNIP3L;MAP2K2;SECISBP2;IFRD2;TPM1;PISD;OLFM1;OLFM2;CARHSP1;MAPKAPK3;NINJ2;ORAI3;HMBS;TRIB3;MYL9;CDKL1;SLC45A3;FECH;GYPC;GMPR;NEDD4L;GATA1;SHARPIN;UBB;PRKAR2B;ST3GAL6;SLC38A5;MPST;SLC14A1;CBX7;SIVA1;STARD10;LY86;KLHL22;PARVB;PRDX6;PBX1;XKR8;ABTB1;GNAS;CNIH3;MXD4;CITED4;TNFAIP2;ARRB1;ARHGEF10L;MRPL37;TMEM186;PPCDC;BBC3;LIMD2;LYL1;TRIM7;ACP5;SH3BGRL3;PGLS;LDLRAP1;TIGD3;ABCC4;GLRX5;STRADB;TMEM40;RAD23A;CBFA2T3;KAT2B;PTP4A3;TUBB2A;CTTN;PAX8;CDC42EP2;BMP2K;TRIM58;BLVRB;HAGH;ARF5;GRAMD1C;HEMGN;ELOF1;HAAO;TMEM164;PTGS1;SRM;DNAJB2;SELENBP1;TMEM204;CREG1;TMEM205;MXI1;GNA12;SUSD3;GPR157;RBM38;FAHD1;DMTN;SMOX;DHRS4;RPIA;MORN1;GFI1B;RGS10;CD9;GPR146;PF4,8.777633858814483e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,ChEA_2022
