rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Cellular Respiration (GO:0045333),2.9723007608092487e-08,5.556266024155932,96.29756017656106,NDUFA13;NDUFA7;SURF1;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;UQCR11;ETFB;COX6A1;COX6B1;SIRT3;CHCHD5;NDUFS7;NDUFAB1;NDUFV3,8.589949198738728e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
2,Aerobic Respiration (GO:0009060),1.3836102391330915e-07,6.560682971850484,103.61548685596733,NDUFA13;NDUFA7;SURF1;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;CHCHD10;NDUFC1;SIRT3;NDUFS7;NDUFAB1;NDUFV3,0.00019993167955473172,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
3,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),2.1536552833191572e-07,6.90315701877568,105.96987410380815,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;ATP5F1E;NDUFS7;NDUFAB1;NDUFV3;ATP5MF,0.00020746879229307881,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
4,Oxidative Phosphorylation (GO:0006119),3.5106103462868174e-07,6.0126903553299496,89.36244238547035,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;CHCHD10;NDUFC1;ATP5F1E;NDUFS7;NDUFAB1;NDUFV3;ATP5MF,0.0002362044372689198,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
5,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),4.086581959669893e-07,4.818737270875764,70.8854888384979,NDUFA13;SURF1;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCC3;NDUFA3;NDUFA2;NDUFC1;ECSIT;TMEM186;TMEM223;NDUFS7;STMP1;SDHAF1;NDUFAB1;NDUFAF3,0.0002362044372689198,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
6,Proton Motive Force-Driven ATP Synthesis (GO:0015986),1.1203414035485174e-06,5.8505159185113325,80.16305005491631,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;ATP5F1E;NDUFS7;NDUFAB1;NDUFV3;ATP5MF,0.0005311298654824906,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
7,NADH Dehydrogenase Complex Assembly (GO:0010257),1.4702556829965136e-06,6.243161094224924,83.84611697702684,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;ECSIT;TMEM186;NDUFS7;NDUFAB1;NDUFAF3,0.0005311298654824906,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
8,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),1.4702556829965136e-06,6.243161094224924,83.84611697702684,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;ECSIT;TMEM186;NDUFS7;NDUFAB1;NDUFAF3,0.0005311298654824906,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
9,Hydrogen Peroxide Catabolic Process (GO:0042744),2.7928401879811906e-06,12.760752688172044,163.19026674651963,PRDX2;PRDX5;PRDX4;HBG2;HBB;HBA1;HBD;HBQ1,0.0008968120159184045,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
10,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",4.079861380825552e-06,7.986531986531986,99.10844975663362,NDUFA7;NDUFB7;NDUFB10;NDUFB6;NDUFS7;NDUFA3;NDUFA2;NDUFAB1;NDUFC1;NDUFV3,0.0011790799390585846,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,GO_Biological_Process_2023
