rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Oxidative phosphorylation,3.4675880484431034e-05,3.2086306489976213,32.950923996882864,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;UQCR11;COX6A1;ATP5F1E;COX6B1;NDUFS7;NDUFAB1;NDUFV3;ATP6V1E2;ATP5MF;LHPP,0.007718158203346586,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
2,Parkinson disease,5.416251370769534e-05,2.447777591568441,24.045795841594693,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCR11;COX6A1;PSMD4;UBB;TUBB1;NDUFV3;SNCA;NDUFA7;NDUFA3;NDUFA2;NDUFC1;TUBB4B;ATP5F1E;COX6B1;PINK1;TUBB2A;NDUFS7;NDUFAB1;GNAS;CALM3;UBA52;BCL2L1;SLC25A6,0.007718158203346586,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
3,Mitophagy,0.0005167720064552292,3.6963262554769125,27.973459900533584,BNIP3L;FIS1;PINK1;RRAS;UBB;ATG9B;E2F1;TBC1D17;UBA52;OPTN;BCL2L1,0.03525683501216816,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
4,Diabetic cardiomyopathy,0.0005479219323190061,2.3388468969257366,17.563284826062947,NDUFA13;NDUFA7;NDUFB7;NCF1;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;UQCR11;NDUFC1;COX6A1;AGER;ATP5F1E;PPP1CA;COX6B1;PTPA;NDUFS7;NDUFAB1;NDUFV3;PDK2;SLC25A6,0.03525683501216816,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
5,Thermogenesis,0.0006185409651257572,2.221626733921816,16.41370518993119,NDUFA13;NDUFA7;NDUFB7;SMARCD3;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;BMP8B;UQCR11;NDUFC1;COX6A1;ATP5F1E;COX6B1;NDUFS7;NDUFAB1;AKT1S1;RPS6KB2;GNAS;MLST8;NDUFAF3;NDUFV3;ATP5MF,0.03525683501216816,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
6,Huntington disease,0.0007550534351816381,2.018712332739704,14.511961831002921,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCR11;COX6A1;BBC3;PSMD4;TUBB1;AP2S1;NDUFV3;POLR2I;POLR2J;AP2M1;POLR2L;NDUFA7;NDUFA3;NDUFA2;NDUFC1;WIPI2;TUBB4B;ATP5F1E;COX6B1;TUBB2A;NDUFS7;NDUFAB1;DNAL4;SLC25A6,0.03586503817112781,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
7,Vascular smooth muscle contraction,0.0009969947236270673,2.6242790633034536,18.135776111550992,PPP1R14A;GUCY1A1;PTGIR;MAP2K2;MYL6B;PPP1CA;ACTA2;CALD1;KCNMB1;GNA12;GNAS;KCNMB4;MYH11;CALM3;PPP1R12B;MYL9,0.04059192803338774,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
8,Non-alcoholic fatty liver disease,0.0019638261093798664,2.3637636929246466,14.733009617663052,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;UQCR11;COX6A1;ADIPOR1;COX6B1;NDUFS7;NDUFAB1;NDUFV3;BID,0.06996130514665774,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
9,Pathways of neurodegeneration,0.003022876548202871,1.677935460544156,9.734620433119776,NDUFA13;NDUFB7;NDUFB6;NDUFA11;NDUFB10;UQCR11;COX6A1;AGER;FRAT1;PSMD4;UBB;TUBB1;BAK1;FADD;NDUFV3;BID;SNCA;NDUFA7;FZD2;MAP2K2;NDUFA3;NDUFA2;NDUFC1;WIPI2;TUBB4B;ATP5F1E;COX6B1;PINK1;CCS;TUBB2A;NDUFS7;NDUFAB1;CALM3;UBA52;DNAL4;OPTN;BCL2L1;SLC25A6,0.09572442402642425,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
10,Alzheimer disease,0.003434282680827746,1.7663607330194613,10.022237538233044,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCR11;COX6A1;AGER;FRAT1;PSMD4;TUBB1;FADD;NDUFV3;BID;SNCA;NDUFA7;FZD2;MAP2K2;NDUFA3;NDUFA2;NDUFC1;WIPI2;TUBB4B;ATP5F1E;COX6B1;BACE2;TUBB2A;NDUFS7;NDUFAB1;CALM3;SLC25A6,0.09787705640359076,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,KEGG_2021_Human
