rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,heme Metabolism,1.4909240175054788e-18,5.90075961774075,242.20928017340995,ISCA1;GYPC;FECH;ENDOD1;HBB;HBD;ADIPOR1;PPOX;AQP3;GATA1;SELENBP1;PRDX2;UROD;BSG;MXI1;TSPAN5;ACP5;HBQ1;PGLS;FBXO7;FBXO9;SNCA;RBM38;BNIP3L;DMTN;SMOX;EIF2AK1;GLRX5;NCOA4;PPP2R5B;RAD23A;BPGM;PDZK1IP1;TENT5C;RNF123;KAT2B;SLC25A37;BCAM;HMBS;MKRN1;RANBP10;BMP2K;BLVRB;TRIM58;HAGH;OPTN,7.156435284026298e-17,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
2,Reactive Oxygen Species Pathway,2.3380375340042744e-05,5.550050556117291,59.18359430315848,PDLIM1;PTPA;PRDX2;NQO1;PRDX4;GPX4;TXNRD2;PRDX6;HMOX2;ATOX1;FTL,0.0005611290081610258,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
3,DNA Repair,5.961429584542313e-05,2.9623233908948197,28.816341894919418,CDA;SURF1;GPX4;CETN2;TAF10;AK1;NME3;NME4;EDF1;RBX1;POLD4;BCAM;PNP;GUK1;POLR1D;POLL;POLR2I;POLR2J;VPS28;SAC3D1,0.0007809750722404278,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
4,Oxidative Phosphorylation,6.508125602003565e-05,2.6300298062593144,25.353155885905075,TIMM8B;ISCA1;SURF1;NDUFA7;NDUFB7;GPX4;NDUFB6;ECI1;MRPS11;NDUFA3;NDUFA2;TIMM13;UQCR11;NDUFC1;ETFB;COX6A1;ATP5F1E;COX6B1;CYB5R3;NDUFS7;NDUFAB1;ISCU;ATP5MF;SLC25A6,0.0007809750722404278,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
5,Adipogenesis,0.0025301257365507976,2.133786848072562,12.75894918086455,ESRRA;SCARB1;CD151;NDUFB7;GPX4;EPHX2;CHCHD10;UQCR11;SLC1A5;ETFB;FAH;COX6A1;LTC4S;AGPAT3;COQ5;SULT1A1;TST;NDUFAB1;SSPN;CRAT,0.024289207070887657,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
6,Xenobiotic Metabolism,0.0055839569069752746,2.013736124486796,10.446976319804355,ABCC3;CDA;CBR1;NQO1;PMM1;JUP;SMOX;PROS1;LCAT;SPINT2;SLC1A5;FAH;PSMB10;CYP27A1;PGRMC1;PINK1;TKFC;BLVRB;ACP1,0.044671655255802196,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
7,Coagulation,0.020953178928914133,1.988855116514691,7.687849654563858,CFD;SPARC;PROS1;ITGB3;FN1;CLU;GP9;PROC;MSRB2;CTSH;CD9;ISCU;PF4,0.13918663976191772,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
8,Myogenesis,0.023197773293652954,1.7782577033615174,6.692826710788153,CFD;NQO1;VIPR1;SPARC;AK1;MYL6B;FOXO4;CLU;OCEL1;PTP4A3;TNNT1;FKBP1B;BAG1;SSPN;MYH11;CRAT;PVALB,0.13918663976191772,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
9,Notch Signaling,0.07364989211173907,2.721170395869191,7.097989573332071,LFNG;ARRB1;ST3GAL6;RBX1,0.3658792230322201,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
10,Cholesterol Homeostasis,0.07622483813171252,1.9920187581728819,5.127591560871724,FADS2;LGALS3;TNFRSF12A;PMVK;CD9;TRIB3;CLU,0.3658792230322201,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,MSigDB_Hallmark_2020
