rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Respiratory Electron Transport R-HSA-611105,1.4365991383303784e-08,5.518950437317784,99.66342634968768,NDUFA13;NDUFA7;SURF1;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;UQCR11;ETFB;COX6A1;ECSIT;TMEM186;COX6B1;NDUFS7;NDUFAB1;NDUFAF3;NDUFV3,9.80790749469336e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
2,Complex I Biogenesis R-HSA-6799198,1.6104938414931624e-08,8.021996615905245,143.94782937778965,NDUFA13;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;ECSIT;TMEM186;NDUFS7;NDUFAB1;NDUFAF3;NDUFV3,9.80790749469336e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
3,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",3.050895637829942e-08,4.726425812315383,81.79195923089164,NDUFA13;SURF1;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA3;NDUFA2;NDUFC1;UQCR11;ETFB;COX6A1;ECSIT;TMEM186;ATP5F1E;COX6B1;NDUFS7;NDUFAB1;NDUFAF3;NDUFV3;ATP5MF,1.2386636289589563e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
4,Metabolism R-HSA-1430728,1.244184055001702e-07,1.6431008564282017,26.12467219557347,CDA;NDUFA13;ISCA1;NDUFA11;ECI1;NUDT1;COX6A1;RPS15;NDST1;FADS2;STK11;AKR7A2;PSMD4;UROD;VSIG2;BSG;NUDT18;PLCE1;PDK2;PSPH;NUP214;ACOT8;TSTD1;SECISBP2;ACOT13;NOSIP;GCAT;COX6B1;PISD;CYP27A1;PRKAR1B;HMBS;DPEP2;PGP;TRIB3;UBA52;ISCU;IDO1;LIPT2;HACD1;NDUFB10;FECH;AK1;GMPR;ALOX12;RPS4Y1;ADIPOR1;SDSL;OAZ1;PIK3R6;ABO;SULT1A1;CYB5R3;TKFC;APOM;UBB;PRKAR2B;PMVK;INPP5K;ST3GAL6;PSMF1;NDUFV3;HMOX2;ATP5MF;ST3GAL3;LHPP;ESRRA;MPST;SURF1;TMEM86B;SRD5A1;EPHX2;STARD10;B3GALT4;B3GALT6;GNG11;NMRAL1;COQ6;COQ5;RPS28;PROC;AMACR;ADI1;GNAS;SDC1;NDUFAF3;CRYL1;GALK1;ETFB;ECSIT;DNPH1;MED18;TMEM186;PPCDC;SMPD3;THTPA;GUK1;ACP5;PGLS;TNFAIP8L2;LDLRAP1;ABCC3;CBR1;EGFL7;CHST7;GPX4;GLRX5;ABCC5;NME3;NDUFC1;NME4;BPGM;GCHFR;MED25;NDUFS7;CPTP;BLVRB;HAGH;B4GALT7;NDUFB7;SMARCD3;NDUFB6;HAAO;GPS2;UQCR11;AGPAT1;PPOX;LTC4S;PSMB10;AGPAT3;PTGS1;NT5M;CDIPT;UBL4A;NQO1;NDUFA7;FAHD1;SMOX;NDUFA3;NDUFA2;FMO4;FAH;ATP5F1E;PSMB9;PPP1CA;RPIA;POMC;SLC25A37;CARM1;NDUFAB1;SARDH;PNPLA4;CHPT1;CRAT,3.677938725740102e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
5,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,1.5098270631117004e-07,3.6753998111482487,57.72619893812268,NDUFA13;NDUFB7;NDUFA11;NDUFB10;NDUFB6;UQCR11;ETFB;COX6A1;ECSIT;TMEM186;BSG;NDUFV3;PDK2;ATP5MF;SURF1;NDUFA7;FAHD1;NDUFA3;NDUFA2;NDUFC1;ATP5F1E;COX6B1;NDUFS7;NDUFAB1;NDUFAF3;HAGH,3.677938725740102e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
6,Cellular Response To Chemical Stress R-HSA-9711123,1.3716602067548437e-05,2.9324548661548038,32.83441453288912,UBL4A;NQO1;SURF1;SMARCD3;NCF1;TXNRD2;HBA1;COX6A1;PSMB10;ATOX1;COX6B1;RBX1;PSMB9;PRDX2;PRDX5;CCS;PSMD4;UBB;CARM1;UFD1;BLVRB;PSMF1;UBA52;HMOX2,0.002784470219712333,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
7,Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219,5.744789121932695e-05,4.5127411288402,44.06525761089807,DPM2;EGFL7;DPM3;NAGK;PMM1;PMM2;ST3GAL6;DOLK;FUOM;NUDT14;ST6GALNAC4;ST3GAL3,0.009995933072162889,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
8,Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,0.000105586419870685,3.8970364741641337,35.68119111357993,EGFL7;PMM1;PMM2;ALG14;DOLK;FUOM;DPM2;DPM3;NAGK;ST3GAL6;NUDT14;ST6GALNAC4;ST3GAL3,0.016075532425311793,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
9,Mitochondrial Translation Elongation R-HSA-5389840,0.00020354180249831558,3.613688090098821,30.71504478996287,GADD45GIP1;TSFM;MRPS26;MRPS24;MRPS11;MRPS34;MRPS18A;MRPL14;MRPL37;MRPL46;MRPL24;MRPL43;MRPL41,0.027545990604772044,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
10,Innate Immune System R-HSA-168249,0.00030579809265412176,1.571115790616511,12.71438886866944,CDA;NCF1;CLEC10A;ARPC1B;PROS1;ICAM3;BRK1;ECSIT;CLU;LGALS3;RPS6KA5;PSMD4;ADGRE3;GRAP2;CTSH;FCER1A;CPNE2;ATP6V1E2;PRSS2;CD33;EGFL7;KRT1;COMMD3;HLA-C;CNPY3;DYNLL1;DUSP7;CDC34;TYROBP;MAPKAPK3;RAB37;POLR1D;UBA52;FTL;CSTB;NLRX1;CLEC12A;HVCN1;PTAFR;FGL2;CFP;AGER;PSMB10;CST3;PGRMC1;PRDX5;CYB5R3;TKFC;PRDX4;UBB;CREG1;CD300LB;PSMF1;FADD;HMOX2;TXNDC5;POLR2L;TRAPPC1;PTPRN2;JUP;NDUFA2;CARD9;LY86;PPBP;LYZ;TUBB4B;ATOX1;PSMB9;IGLL5;CD4;TOLLIP;S100P;MNDA;LAMTOR1;POLR3K;BCL2L1;ITM2C,0.03724620768527203,0,0,GTEX-1JMQI-0005-SM-DHXJA,over,Reactome_2022
