rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Regulation Of DNA-templated Transcription (GO:0006355),2.6977145013831106e-14,2.0319796580137903,63.48673833980132,ATF1;RB1;ATF2;CCNK;ZNF292;GFI1;JADE1;IKZF1;PRDM1;ENO1;RBPJ;ETS2;TIAL1;GPBP1;EP300;ZNF326;KMT5A;JUNB;TRIM22;RNF111;CDK5RAP2;PIAS3;MAP2K1;SMARCC1;TLE1;KDM2A;SP110;DYRK1A;ARID5A;RFX3;ARID5B;FOXP1;RUNX1;JMJD6;PSPC1;KAT6A;ATF7;ZNF276;KMT2E;DDX5;ENY2;CASZ1;INO80D;SHC1;DHX9;BAZ2A;HIF1A;ATXN1;ATXN7;DHX36;DVL3;ZNF821;RREB1;BPTF;SMAD2;ZNF143;POU2F1;BICRAL;PHF12;PBX3;SMARCA2;HOPX;FOSL2;SNW1;HNRNPK;MAFB;BCL6;MAFG;BCL3;HNRNPD;REL;MXD1;ZNF410;RCOR1;BRWD3;NFE2L2;PICALM;KDM5A;LIN54;CSRNP1;SETD5;TENM1;GMEB1;KDM5C;BTG1;CDKN1B;SETD3;CHD7;RSF1;CHD2;CHD1;ING1;PHF8;MED12;NIPBL;MED13;SUMO1;TRPS1;UIMC1;LRRFIP1;HAVCR2;KLF10;NCOA1;BRD2;USP47;PBRM1;RBM15;NCOA6;MSL3;ARNT;ZFP91;BAZ1A;FOS;ACTR8;ASH1L;OXSR1;SAFB;ZFX;TGFBR1;ETV6;DNM2;TOX4;ELF1;SFPQ;ZEB2;NCOR1;SLTM;THRAP3;TRAF6;WAC;LCOR;LCORL;HDAC4;NFAT5;PRKAA1;CEBPB;SP100;FOXK1;ACVR1B;NR2C2;RNF2;PPP2CA;NFIL3;E2F3;GPBP1L1;BRD4;ATF7IP;MLXIP;KDM4C;NFYA;ASCC1;CNBP;STAT3;MBD2;PCGF3;ATP2B4;TBX19;GATAD2B;GATAD2A;HIPK2;PER2;PER1;KLF7;KLF6;RYBP;KANSL1;KLF9;RLIM;CTNNB1;NAA16;TRIM33,9.744144778995795e-11,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
2,Positive Regulation Of DNA-templated Transcription (GO:0045893),1.7756560751511268e-12,2.170768234436979,58.734152981837035,ATF1;ATF2;CCNK;HNRNPU;RBPJ;ETS2;ZC3H12A;NAMPT;EP300;JUNB;RNF111;CDK5RAP2;MAP2K1;SMARCC1;DYRK1A;RFX3;RUNX1;JMJD6;KAT6A;ATF7;KMT2E;ENY2;CASZ1;INO80D;SHC1;DHX9;KMT2C;HIF1A;PRDM10;PPP3R1;ATXN7;DHX36;DVL3;RREB1;BPTF;SMAD2;AKIRIN2;ZNF143;POU2F1;BICRAL;SMARCA2;FOSL2;CDK9;SNW1;MAFB;AGO2;BCL3;HNRNPD;REL;CDK12;ZNF410;NFE2L2;PICALM;KDM5A;ARF4;CSRNP1;DDX3X;SETD3;BMPR2;ELL;RSF1;ING1;CDC73;PHF8;MED12;MED13;KLF10;NCOA1;NCOA6;NCOA3;TET2;MSL3;ARNT;FOS;ACTR8;OXSR1;ZFX;TGFBR1;DNM2;PLSCR1;ELF1;SFPQ;ZEB2;THRAP3;TRAF6;TET3;WAC;HDAC4;GTF2A1;NFAT5;PRKAA1;CEBPB;SP100;NLRC5;FOXK1;NR2C2;ATAD2B;MAPK7;NFIL3;E2F3;BRD4;ATF7IP;MLXIP;NFYA;CNBP;STAT3;MBD2;OSM;USF3;GATAD2B;GATAD2A;HIPK2;PER1;KLF7;KLF6;RYBP;KANSL1;CTNNB1;NAA16;TAF3,3.206834871722935e-09,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
3,Protein Modification Process (GO:0036211),3.099199360635581e-12,2.5700295352090783,68.10546736241041,ERO1A;SETD3;BMPR2;UBE2D3;JADE1;TESK2;PPP2R2A;GOLGA2;STK10;PPP4R2;TLK2;JAK3;BRD2;MAP2K1;PRKCE;DYRK1A;LMTK2;VRK1;CSNK1D;PPP4R3A;IRAK3;OXSR1;PPP2R5C;FBXO11;YWHAZ;ATG12;TGFBR1;LATS1;PPM1B;LATS2;PEAK1;B3GNT5;MAPKAPK2;SIK3;ATG4A;TRIB1;B4GALT5;PRKAA1;PXK;MTMR3;ROCK1;FUT10;MTMR4;STK4;ACVR1B;RNF2;STK3;PPP2CA;UGCG;PPP3R1;OARD1;ABL2;PTK2B;MAPK6;PAK2;MARK3;MAP4K4;LYN;ARFGEF1;UVRAG;PTPN1;USP25;CSNK1A1;LIMK2;BRAF;PTPN12;HIPK1;CLK3;HIPK2;SRPK1;SSH1;CDK9;MSRA;PTPRC;TAOK3;STK24;STK17A;STK17B;CDK2;PTPN9;TAF3,3.731436030205239e-09,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
4,Regulation Of Transcription By RNA Polymerase II (GO:0006357),3.724018861064996e-11,1.8463353100509414,44.33721778975423,ATF1;RB1;ATF2;CCNK;ZMYND8;ZNF292;GFI1;UBE2D3;JADE1;HNRNPU;IKZF1;PRDM1;ENO1;RBPJ;ETS2;TIAL1;ZFP36;ZC3H12A;NAMPT;EP300;KMT5A;JUNB;PIAS3;SMARCC1;KDM2A;SP110;ARID5A;RFX3;ARID5B;FOXP1;RUNX1;JMJD6;ATF7;BCORL1;CGGBP1;ZNF276;DDX5;ENY2;CASZ1;DHX9;KMT2C;RTF1;HIF1A;PRDM10;PHF21A;PPP3R1;ATXN1;ATXN7;DHX36;DVL3;ZNF821;RREB1;BPTF;SMAD2;AKIRIN2;ZNF143;PLK3;POU2F1;BICRAL;GADD45A;PHF12;PBX3;SMARCA2;HOPX;FOSL2;CDK9;SNW1;HNRNPK;MAFB;BCL6;CNOT1;MAFG;AGO2;BCL3;REL;CDK12;MXD1;ZNF410;RCOR1;BRWD3;NFE2L2;ZNF254;ARF4;CSRNP1;GMEB1;DDX3X;SETD3;BMPR2;CHD2;CHD1;ING1;CDC73;PHF8;MED12;NIPBL;MED13;ZMYM5;TRPS1;LRRFIP1;HAVCR2;KLF10;NCOA1;BRD2;PBRM1;NCOA6;NCOA3;TET2;ARNT;ZFP91;BAZ1A;FOS;OXSR1;SAFB;ZFX;YWHAZ;ETV6;TOX4;PLSCR1;ELF1;SFPQ;ZEB2;NCOR1;SLTM;THRAP3;TRAF6;TET3;LCOR;LCORL;HDAC4;GTF2A1;NFAT5;CEBPB;SP100;NLRC5;FOXK1;NR2C2;RNF2;ATAD2B;MAPK7;NFIL3;E2F3;FNIP1;BRD4;MLXIP;KDM4C;NFYA;USP9X;CNBP;STAT3;MBD2;PCGF3;OSM;ATP2B4;USF3;TBX19;GATAD2B;GATAD2A;HIPK2;PER2;PER1;KLF7;KLF6;KLF9;CTNNB1;TAF3;TRIM33;HSPA1A,3.362789031541692e-08,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
5,Phosphorylation (GO:0016310),4.686332591811663e-11,2.9624437678920343,70.45812775268563,DGKD;BMPR2;TESK2;PIK3CB;HK2;STK10;TLK2;JAK3;BRD2;MAP2K1;PRKCE;DYRK1A;LMTK2;VRK1;CSNK1D;IRAK3;OXSR1;YWHAZ;TGFBR1;LATS1;LATS2;PEAK1;MAPKAPK2;SIK3;TOP1;TRIB1;PRKAA1;PXK;ROCK1;STK4;ACVR1B;STK3;GK5;PGK1;PTK2B;MAPK6;PAK2;MARK3;MAP4K4;LYN;UVRAG;CSNK1A1;LIMK2;STAT3;BRAF;HIPK1;CLK3;HIPK2;SRPK1;CDK9;TAOK3;STK24;STK17A;STK17B;CDK2;TAF3,3.385406664324745e-08,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
6,Chromatin Remodeling (GO:0006338),5.729868600015653e-11,3.9106029106029108,92.22274507548077,RB1;KDM5A;HDAC4;LIN54;KDM5B;NFAT5;SETD2;KDM5C;INO80D;CHD7;BAZ2A;RSF1;CHD2;CHD1;IWS1;RNF2;UBR5;BPTF;KDM6A;SMARCC1;PBRM1;KDM4C;BICRAL;MBD2;BAZ1A;ACTR8;SMARCA2;GATAD2B;GATAD2A;PER2;CDK9;PER1;SFPQ;RYBP;WAC;TOP1;HDGFL2;CGGBP1,3.449380897209423e-08,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
7,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),1.177406192923832e-09,2.5187587226007717,51.78555833428937,KDM5A;SETD3;RSF1;ING1;PHF8;MED12;MED13;EP300;RNF111;CDK5RAP2;NCOA1;MAP2K1;SMARCC1;NCOA6;DYRK1A;RFX3;MSL3;FOS;ACTR8;TGFBR1;JMJD6;RUNX1;DNM2;ELF1;THRAP3;KAT6A;WAC;KMT2E;HDAC4;ENY2;CEBPB;PRKAA1;CASZ1;SP100;INO80D;SHC1;FOXK1;HIF1A;NFIL3;ATXN7;DVL3;RREB1;BRD4;SMAD2;ATF7IP;NFYA;BICRAL;CNBP;MBD2;STAT3;SMARCA2;GATAD2B;GATAD2A;HIPK2;KLF6;RYBP;MAFB;KANSL1;BCL3;HNRNPD;CTNNB1;NAA16;PICALM,6.075415955486973e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
8,Regulation Of Gene Expression (GO:0010468),1.6717008218826429e-09,2.015755643812709,40.73726103564914,RB1;ATF2;JADE1;RBPJ;CRKL;ACTG1;GPBP1;ZC3H12A;CPNE1;ZNF326;VPS35;ZNF445;TRIM22;MAP2K1;TLE1;RFX3;RC3H1;FOXP1;MARF1;PSPC1;KAT6A;MYADM;ATF7;CGGBP1;ENY2;BAZ2A;HIF1A;ZFP36L1;ATXN7;DHX36;UBR5;PLCG2;RREB1;BPTF;LYN;ZNF143;TIPARP;MSN;BRAF;SMARCA2;CLK3;CLK1;PTPRC;MAFB;BCL6;HNRNPF;CDK2;HNRNPD;REL;ZNF410;NFE2L2;PICALM;LIN54;SETD2;DDX3X;BTG1;BMPR2;CELF1;CHD7;RSF1;PIK3CB;AFF4;AFF1;ZC3H7A;NFKBIZ;ITGAX;HAVCR2;KDM6A;MSL3;BAZ1A;ACTR8;ASH1L;OXSR1;PTBP2;TGFBR1;PTBP3;DNM2;PLSCR1;SFPQ;HDAC4;PRKAA1;CEBPB;ROCK1;ACVR1B;NR2C2;RNF2;PPP2CA;NFIL3;NOCT;GPBP1L1;ATF7IP;NFYA;ASCC1;CNBP;STAT3;ATP2B4;DTNBP1;PER1;RYBP;KANSL1;RLIM;KRAS;HSPA1A,7.547729210800133e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
9,Protein Phosphorylation (GO:0006468),2.1285426120840514e-09,2.5851514540161973,51.61986039195762,ATF2;BMPR2;MAST3;TESK2;IGF1R;STK10;TLK2;JAK3;BRD2;MAP2K1;PRKCE;DYRK1A;LMTK2;VRK1;CSNK1D;IRAK3;OXSR1;YWHAZ;TGFBR1;LATS1;LATS2;PEAK1;MAPKAPK2;SIK3;TOP1;TRIB1;PRKAA1;PXK;ROCK1;STK4;ACVR1B;STK3;ABL2;PTK2B;MAPK6;PAK2;MARK3;MAP4K4;LYN;SMAD2;UVRAG;CSNK1A1;LIMK2;BRAF;HIPK1;CLK3;HIPK2;SRPK1;CDK9;CLK1;TAOK3;STK24;RPS6KB1;STK17A;STK17B;CDK2;CDK12;TAF3,8.542551016497326e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
10,Negative Regulation Of DNA-templated Transcription (GO:0045892),3.748003132988756e-09,2.039624547020733,39.57288242407684,ZNF254;RB1;ATF2;KDM5C;CDKN1B;ZMYND8;GFI1;UBE2D3;HNRNPU;RSF1;IKZF1;PRDM1;ENO1;RBPJ;ING1;CDC73;ETS2;NIPBL;ZFP36;SUMO1;ZMYM5;TRPS1;UIMC1;EP300;KMT5A;LRRFIP1;KLF10;USP47;RBM15;TLE1;KDM2A;ARID5A;RFX3;ARID5B;OXSR1;YWHAZ;FOXP1;ETV6;RUNX1;SFPQ;ZEB2;NCOR1;PSPC1;KAT6A;TRAF6;LCOR;BCORL1;CGGBP1;HDAC4;DDX5;CEBPB;SP100;SHC1;BAZ2A;FOXK1;RTF1;NR2C2;HIF1A;RNF2;PHF21A;ATXN1;NFIL3;FNIP1;RREB1;BPTF;ATF7IP;SMAD2;PLK3;POU2F1;USP9X;GADD45A;CNBP;PHF12;STAT3;MBD2;SMARCA2;GATAD2B;GATAD2A;PER2;PER1;KLF7;SNW1;HNRNPK;MAFB;BCL6;CNOT1;MAFG;BCL3;RLIM;CTNNB1;MXD1;TAF3;TRIM33;RCOR1;HSPA1A,1.3537787316355387e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,GO_Biological_Process_2023
