rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Endocytosis,3.921772432570904e-09,3.356975536719071,64.98004267546897,ARF4;WIPF1;SH3KBP1;WASHC2C;VPS26A;ASAP1;PLD1;IL2RG;IGF1R;CDC42;CAPZB;KIF5B;PIP5K1A;VPS35;EPS15;LDLR;SMAD2;ARFGEF1;PDCD6IP;IST1;ARAP2;STAM;ARFGAP3;RBSN;RHOA;TGFBR1;DNM2;SPART;ITCH;ACAP1;TRAF6;CHMP2B;STAMBP;RAB5A;SMAP1;ARF6;HSPA1A,1.0902527362547113e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
2,Spliceosome,4.2486197217659034e-07,3.6834504293520687,54.04174847039198,RBM17;DDX5;PRPF38B;SF3B2;HNRNPA3;PRPF38A;DDX46;DDX42;HNRNPU;PRPF4;SART1;RBMXL1;HNRNPK;SNW1;PRPF3;SRSF2;SNRNP27;SRSF3;DHX38;ACIN1;SRSF4;SMNDC1;RBM22;HSPA1A,5.9055814132546056e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
3,Fc gamma R-mediated phagocytosis,1.3009985318406664e-06,4.390136378870298,59.49678981564586,LYN;VAV3;MAP2K1;PRKCE;LIMK2;INPPL1;ASAP1;PIK3CB;PLD1;CRKL;DNM2;CDC42;PTPRC;RPS6KB1;INPP5D;PLCG2;PIP5K1A;ARF6,0.00012055919728390176,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
4,Viral carcinogenesis,3.4487862904997604e-06,2.9679061945248995,37.32880510672408,RB1;HDAC4;ATF2;GTF2A1;SP100;CDKN1B;DDX3X;UBR4;PIK3CB;RBPJ;CDC42;EP300;JAK3;YWHAG;LYN;USP7;STAT3;ACTN4;YWHAZ;RHOA;HNRNPK;SNW1;MAPKAPK2;CDK2;RASA2;REL;KRAS,0.00023969064718973334,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
5,Autophagy,4.459113973276668e-06,3.4919868972561727,43.02323573636226,UVRAG;RUBCN;RAB1A;GABARAPL1;MAP2K1;PRKAA1;MTMR3;PIK3CB;MTMR4;ZFYVE1;HIF1A;ATG12;IGF1R;PPP2CA;LAMP1;RPS6KB1;TRAF6;DDIT4;RRAGD;ATG4A;KRAS,0.00024792673691418276,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
6,FoxO signaling pathway,7.957368945926916e-06,3.4728810443096156,40.77652767936051,PLK3;GABARAPL1;MAP2K1;USP7;PRKAA1;CDKN1B;GADD45B;GADD45A;STAT3;BRAF;PIK3CB;NLK;STK4;ATG12;TGFBR1;IGF1R;BCL6;CDK2;EP300;KRAS,0.0003686914278279471,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
7,Regulation of actin cytoskeleton,1.315384388846632e-05,2.7326452973746655,30.711644488984152,CYFIP2;ITGAM;ROCK1;IQGAP1;PIK3CB;IQGAP2;CRKL;ACTG1;CDC42;GNA13;ITGAX;PIP5K1A;NCKAP1L;PAK2;VAV3;MAP2K1;LIMK2;MSN;BRAF;ACTN4;RHOA;SSH1;DIAPH1;DIAPH2;SPATA13;KRAS;ARHGEF7,0.0005223955144276624,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
8,Pancreatic cancer,2.1056980883865132e-05,4.337041156840934,46.70246669315716,RB1;SMAD2;MAP2K1;GADD45B;GADD45A;STAT3;BRAF;PIK3CB;PLD1;TGFBR1;CDC42;RPS6KB1;E2F3;KRAS,0.0006591871885779262,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
9,Colorectal cancer,2.1340592435976025e-05,4.0599842711088865,43.6647230132597,SMAD2;MAP2K1;GADD45B;GADD45A;BRAF;PIK3CB;FOS;AREG;RHOA;TGFBR1;MSH6;RPS6KB1;MSH3;CTNNB1;KRAS,0.0006591871885779262,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
10,Hepatocellular carcinoma,3.4454281368643295e-05,2.904921982239404,29.85062182788658,RB1;SMAD2;MAP2K1;SMARCC1;PBRM1;GADD45B;SHC1;GADD45A;CSNK1A1;BRAF;PIK3CB;SMARCA2;TGFBR1;ACTG1;IGF1R;RPS6KB1;PLCG2;DVL3;CTNNB1;E2F3;KRAS;NFE2L2,0.0009578290220482837,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,KEGG_2021_Human
