rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,TNF-alpha Signaling via NF-kB,7.862572685868391e-15,5.066080364110938,164.52938232648472,PPP1R15A;NFAT5;CEBPB;BTG1;PFKFB3;BCL2A1;PLEK;TNFAIP3;SLC2A3;AREG;SAT1;ETS2;SOCS3;ZFP36;NFIL3;ZC3H12A;NAMPT;MAP3K8;CCNL1;PDLIM5;JUNB;LDLR;KLF10;GADD45B;GADD45A;TIPARP;DUSP1;FOS;PNRC1;FOSL2;PER1;KLF6;BCL6;BCL3;KLF9;REL;TRIB1;MXD1;CD44;NFE2L2;B4GALT5,3.774034889216828e-13,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
2,Hypoxia,8.193084313383622e-11,4.140210394096404,96.15698922134338,ERO1A;PPP1R15A;BTG1;CDKN1B;PFKFB3;ZNF292;GBE1;TNFAIP3;ADM;SLC2A3;ENO1;RBPJ;NDRG1;HK2;LDHA;ZFP36;UGP2;NFIL3;NOCT;PGK1;ATP7A;WSB1;HSPA5;TIPARP;DUSP1;FOS;PNRC1;JMJD6;FOSL2;EXT1;KLF7;KLF6;P4HA1;DDIT4;RRAGD,1.9663402352120692e-09,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
3,Mitotic Spindle,2.965118449594907e-10,4.017755191668235,88.14526577332377,TRIO;STAU1;ROCK1;TUBGCP2;KLC1;CDC42;PREX1;AKAP13;FGD4;PPP4R2;CAPZB;KIF5B;CDC27;KIF1B;PDLIM5;CLASP1;CDK5RAP2;ARFGEF1;RANBP9;CSNK1D;ACTN4;SMC1A;LATS1;NIN;ABI1;RASA2;NF1;MAPRE1;ARHGEF7;DOCK2;RAB3GAP1;ARL8A;ARF6;PAFAH1B1,4.744189519351851e-09,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
4,IL-2/STAT5 Signaling,2.1922340293212538e-07,3.3081117101835584,50.72385419174121,BMPR2;PTGER2;SLC2A3;CST7;NDRG1;HK2;IGF1R;SPRED2;NFIL3;SCN9A;NFKBIZ;MAP3K8;GABARAPL1;IL4R;POU2F1;GADD45B;NCOA3;SWAP70;HOPX;HIPK2;PLSCR1;KLF6;P4HA1;SYT11;RRAGD;MAPKAPK2;MXD1;CD44;IL18R1,2.6306808351855046e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
5,Protein Secretion,1.1108207362578483e-06,4.446655177816074,60.965471903291075,ARFGEF1;STX12;CD63;STX16;ATP1A1;STAM;ARFGAP3;ARCN1;GALC;AP1G1;ANP32E;ATP6V1H;RAB9A;KIF1B;ATP7A;SEC24D;RAB5A;GLA,1.0663879068075344e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
6,mTORC1 Signaling,2.5880278356104904e-06,3.0198539764389976,38.84925702891935,ERO1A;PPP1R15A;IDI1;RAB1A;GBE1;UBE2D3;SLC2A3;ENO1;ADIPOR2;HK2;LDHA;NFIL3;NAMPT;PGK1;LDLR;HSPA5;HSPA4;IFRD1;ASNS;ACSL3;EIF2S2;ACLY;RIT1;P4HA1;DDIT4;ETF1;GLA,2.0704222684883923e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
7,TGF-beta Signaling,1.1179703200304817e-05,5.48235974551764,62.506634723715244,KLF10;PPP1R15A;CDK9;BMPR2;UBE2D3;CTNNB1;JUNB;SKIL;TGFBR1;RHOA;TRIM33;HIPK2,7.666082194494731e-05,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
8,G2-M Checkpoint,2.3201937144561507e-05,2.758241758241758,29.433955726120878,PRIM2;CDKN1B;HNRNPU;PDS5B;HIF1A;KIF5B;CDC27;E2F3;KMT5A;TLE3;SMARCC1;CDKN2C;HUS1;SMC1A;RAD23B;STAG1;SFPQ;NASP;EWSR1;BCL3;HNRNPD;SRSF2;NUP98;TOP1;PAFAH1B1,0.00013921162286736904,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
9,Cholesterol Homeostasis,0.00028509329115262365,3.7099386182578034,30.283094047914705,IDI1;ABCA2;PLSCR1;ATXN2;NFIL3;CTNNB1;GUSB;LDLR;CPEB2;GNAI1;PNRC1;ACTG1,0.0015204975528139927,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
10,Inflammatory Response,0.0004465862443767286,2.3786447921692977,18.348575779229346,LYN;IL4R;SLC31A1;PTGER2;GNAI3;OSM;ADM;ACVR1B;ATP2C1;HIF1A;BEST1;KLF6;IL18RAP;IRAK2;NAMPT;ABI1;KIF1B;LCP2;MXD1;LDLR;CD55;IL18R1,0.002143613973008297,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,MSigDB_Hallmark_2020
