rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Signaling By Rho GTPases R-HSA-194315,5.0872017264478824e-15,2.9305468332054057,96.4502994314502,CYFIP2;ITSN2;TRIO;CDKN1B;WIPF1;DOCK8;AREG;ACTG1;PREX1;STK10;AKAP13;CAPZB;KIF5B;YWHAG;NDEL1;VAV3;PLEKHG1;RBM15;TPM4;ATP6AP1;FNBP1;TPM3;SWAP70;NCOA3;TMOD3;ARAP2;PPP2R5C;TEX2;ARFGAP3;YWHAZ;RHOA;SRRM1;ARMCX3;DYNC1LI2;GFOD1;PEAK1;CDC42EP3;SPATA13;ELMO2;NUP98;ARHGEF7;MAPRE1;DOCK2;PAFAH1B1;MTMR1;VCP;ROCK1;ARHGAP18;IQGAP1;IQGAP2;KLC1;ARHGAP15;CDC42;PPP2CA;GNA13;FGD4;SCFD1;CTNNA1;ABL2;DVL3;PTK2B;STOM;NCKAP1L;CLASP1;RANBP2;PRPF38B;KDM4C;USP9X;LIMK2;STAM;ARHGAP26;ARHGAP24;DIAPH1;DIAPH2;DNMBP;FMNL2;TAOK3;KANSL1;ABI1;CTNNB1;VIM;PICALM,4.472610740442756e-12,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
2,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",7.004871950575969e-15,2.889969741584437,94.19038654313047,CYFIP2;ITSN2;TRIO;CDKN1B;WIPF1;DOCK8;AREG;ACTG1;PREX1;STK10;AKAP13;CAPZB;KIF5B;YWHAG;NDEL1;VAV3;PLEKHG1;RBM15;TPM4;ATP6AP1;FNBP1;TPM3;SWAP70;NCOA3;TMOD3;ARAP2;PPP2R5C;TEX2;ARFGAP3;YWHAZ;RHOA;SRRM1;ARMCX3;DYNC1LI2;GFOD1;PEAK1;CDC42EP3;SPATA13;ELMO2;NUP98;ARHGEF7;MAPRE1;DOCK2;PAFAH1B1;MTMR1;VCP;ROCK1;ARHGAP18;IQGAP1;IQGAP2;KLC1;ARHGAP15;CDC42;PPP2CA;GNA13;FGD4;SCFD1;CTNNA1;ABL2;DVL3;PTK2B;STOM;NCKAP1L;CLASP1;RANBP2;PRPF38B;KDM4C;USP9X;LIMK2;STAM;ARHGAP26;ARHGAP24;DIAPH1;DIAPH2;DNMBP;FMNL2;TAOK3;KANSL1;ABI1;CTNNB1;RAB9A;VIM;PICALM,4.472610740442756e-12,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
3,Immune System R-HSA-168256,1.7128396668210193e-14,2.0363508426755206,64.54832778703796,CYFIP2;WIPF1;UBE2D3;INPPL1;IL1RAP;CRKL;ACTG1;STK10;HERC3;IL18RAP;HERC1;LAMP1;KIF5B;RNF19A;CDC27;CPNE1;EP300;MAP3K8;KPNA4;ENPP4;GYG1;TRIM22;RNF111;KPNA1;KCMF1;PDIA3;MAP2K1;IL4R;WSB1;IST1;PRKCE;UBE4A;ATP11B;ARMC8;FBXO11;ATG12;ACLY;DYNC1LI2;MAPKAPK2;ELMO1;ELMO2;NUP98;ARL8A;VCP;PSMD11;SHC1;DHX9;UBR4;IQGAP1;UBR1;IQGAP2;KLC1;GNS;HIF1A;KIR2DL4;UBE2J1;SOCS3;NCSTN;PPP3R1;RNF213;IRAK2;INPP5D;DHX36;PLCG2;ABL2;ATP6V1H;NCKAP1L;SLC15A4;PAG1;LYN;UBE2H;POU2F1;HSPA5;POLR3GL;MYO5A;MSN;NUP153;DNAJC13;UBE2A;DIAPH1;PTPRC;VNN1;BCL6;HNRNPF;REL;UBA1;KLRD1;EIF4G3;ITGAM;DDX3X;CDKN1B;EIF4E3;SH3KBP1;LPCAT1;TNFAIP3;CGAS;SLC2A3;PIK3CB;FCAR;CAPZB;SUMO1;ADGRE5;TRIM5;AP1G1;ITGAX;QSOX1;ARIH1;LRRFIP1;ATP7A;GUSB;JAK3;HAVCR2;CD53;VAV3;FCER1G;IRAK3;FOS;PPP2R5C;RBSN;YWHAZ;RHOA;DNM2;TOX4;RAP2C;NCR1;PPM1B;CEACAM1;UBE2R2;TRAF6;TCP1;LCP2;ARHGEF7;DOCK2;CD44;NUP58;DCTN6;CD63;SEC23A;SP100;ROCK1;PELI2;NLRC5;RCHY1;IL2RG;CDC42;PPP2CA;MAPK7;STOM;PTK2B;STX4;GBP2;EIF4E;CD55;RANBP2;PTPN1;SEC24B;SEC24A;STAT3;PTPN12;ERP44;TSPAN14;ITCH;HNRNPA2B1;ABI1;RLIM;PTPN9;CTNNB1;VIM;SEC24D;PIK3AP1;PTPN2;IL18R1;HSPA1A,7.290987515101473e-12,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
4,RHO GTPase Cycle R-HSA-9012999,5.005623098261016e-13,3.1831735889243875,90.1571666015394,CYFIP2;ITSN2;TRIO;WIPF1;DOCK8;ACTG1;PREX1;STK10;AKAP13;CAPZB;VAV3;PLEKHG1;RBM15;TPM4;ATP6AP1;FNBP1;TPM3;SWAP70;NCOA3;TMOD3;ARAP2;TEX2;ARFGAP3;RHOA;SRRM1;ARMCX3;GFOD1;PEAK1;CDC42EP3;SPATA13;ELMO2;ARHGEF7;DOCK2;MTMR1;VCP;ROCK1;ARHGAP18;IQGAP1;IQGAP2;ARHGAP15;CDC42;GNA13;FGD4;SCFD1;ABL2;PTK2B;STOM;NCKAP1L;PRPF38B;USP9X;STAM;ARHGAP26;ARHGAP24;DIAPH1;DIAPH2;DNMBP;FMNL2;TAOK3;ABI1;VIM;PICALM,1.5980451741198294e-10,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
5,Signal Transduction R-HSA-162582,3.4230540509864383e-12,1.822271625743757,48.108860126184865,ITSN2;CYFIP2;CCNK;TRIO;WIPF1;IKZF1;RBPJ;CRKL;TIAL1;PREX1;VPS35;RNF111;CPT1A;FNBP1;PRKCE;RUNX1;SRRM1;DYNC1LI2;SPATA13;RRAGD;NUP98;TRIB1;MTMR1;PDE1B;VPS26A;IQGAP1;MTMR4;IQGAP2;NLK;HIF1A;NCSTN;PPP3R1;SCFD1;PLCG2;PIP5K1A;NCKAP1L;PAG1;LYN;PRPF38B;BRAF;STAM;PHC3;SNW1;HNRNPF;AGO2;STRN;RCOR1;CDKN1B;SH3KBP1;ADM;AREG;AKAP13;JAK3;NDEL1;NCOA1;VAV3;NCOA3;FOS;RHOA;NCOR1;CDC42EP3;RDH5;ARHGEF7;MAPRE1;PAFAH1B1;ARF6;PTGER2;GNAI3;GNAI1;PPP2CA;FGD4;CTNNA1;EPS15;CD55;RANBP2;USP9X;CSNK1A1;STAT3;RANBP9;GATAD2B;GATAD2A;ITCH;TAOK3;ZDHHC9;ABI1;RAB9A;CTNNB1;DGKD;UBE2D3;IL1RAP;PRDM1;ACTG1;IGF1R;STK10;KIF5B;EP300;TLE4;TLE3;USP7;MAP2K1;TLE1;TPM4;TPM3;USP4;TMOD3;SWAP70;TEX2;ARMCX3;MAPKAPK2;ELMO1;ELMO2;VCP;DDX5;PSMD11;SHC1;ARHGAP18;KLC1;ARHGAP15;STK4;SOCS3;ABL2;DVL3;ATP6V1H;SKIL;MARK3;SMAD2;POU2F1;ARHGAP26;ARHGAP24;CDK9;DIAPH1;DIAPH2;DNMBP;STK24;GNB1;CDK2;NF1;PICALM;BMPR2;DOCK8;TNFAIP3;PIK3CB;CHD1;CDC73;SPRED2;CAPZB;ADGRE5;YWHAG;PLEKHG1;RBM15;ATP6AP1;PDE4D;ARAP2;PPP2R5C;SMC1A;ARFGAP3;YWHAZ;TGFBR1;DNM2;LATS1;LATS2;GFOD1;PEAK1;TRAF6;RASA2;SPOPL;DOCK2;PPP1R15A;HDAC4;GTF2A1;PRKAA1;ROCK1;IL2RG;ACVR1B;RNF2;CDC42;GNA13;GNG2;MAPK7;STOM;PTK2B;E2F3;MAPK6;EIF4E;CLASP1;PTPN1;USP25;KDM4C;LIMK2;PTPN12;FMNL2;RPS6KB1;KANSL1;VIM;PIK3AP1;PTPN2;TRIM33;TNRC6B,8.742480046219363e-10,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
6,Membrane Trafficking R-HSA-199991,1.1642552149442958e-11,2.673761294321036,67.3155620360082,ITSN2;ARF4;HIP1;GDI1;SH3KBP1;AREG;CLINT1;GOLGA2;RABGEF1;MAP1LC3B;TFG;CAPZB;AP1G1;KIF5B;KIF13B;TRAPPC11;KIF1B;MAN1A1;SBF2;YWHAG;AGFG1;RAB8B;FNBP1;CSNK1D;GAPVD1;ARFGAP3;YWHAZ;DNM2;DYNC1LI2;KIF9;TBC1D2;ARF6;PAFAH1B1;DCTN6;RAB1A;SEC23A;COPA;STX16;KLC1;GNS;RAB21;TGOLN2;SCFD1;VTI1A;UBQLN1;STX4;LDLR;EPS15;CD55;TBC1D15;ANKRD28;SEC24B;SEC24A;DENND4B;SEC16A;DTNBP1;MYO5A;STAM;ARCN1;SNX18;NECAP1;SYNJ1;GOLGB1;CHMP2B;UBAP1;RAB9A;COPG1;SEC24D;RAB5A;RAB3GAP1;PICALM,2.4779231824731097e-09,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
7,Vesicle-mediated Transport R-HSA-5653656,1.9372897586029226e-10,2.489119726747481,55.668069878704536,ITSN2;ARF4;HIP1;GDI1;SH3KBP1;AREG;CLINT1;GOLGA2;RABGEF1;MAP1LC3B;TFG;CAPZB;AP1G1;KIF5B;KIF13B;TRAPPC11;KIF1B;MAN1A1;SBF2;YWHAG;AGFG1;RAB8B;FNBP1;CSNK1D;GAPVD1;ARFGAP3;YWHAZ;DNM2;DYNC1LI2;KIF9;TBC1D2;ARF6;PAFAH1B1;DCTN6;RAB1A;SEC23A;COPA;STX16;KLC1;GNS;RAB21;TGOLN2;SCFD1;VTI1A;UBQLN1;STX4;LDLR;EPS15;CD55;TBC1D15;ANKRD28;SEC24B;SEC24A;DENND4B;SEC16A;DTNBP1;MYO5A;STAM;ARCN1;SNX18;NECAP1;SYNJ1;GOLGB1;CHMP2B;UBAP1;RAB9A;COPG1;SEC24D;RAB5A;RAB3GAP1;PICALM,3.5341700310513315e-08,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
8,Disease R-HSA-1643685,4.0892715081196685e-09,1.7911802380109554,34.59646538462858,CYFIP2;RB1;CCNK;MTRR;CCNH;WIPF1;ENO1;RBPJ;ACTG1;GOLGA2;TFG;KIF5B;CDC27;EP300;KPNA4;GYG1;KPNA1;MAP2K1;TPM4;TPM3;HUS1;MSH6;DYNC1LI2;MSH3;ELMO1;ELMO2;NUP98;VCP;DDX5;PSMD11;SHC1;ZC3HAV1;IQGAP1;KLC1;GNS;PHF21A;FXR1;NCSTN;RNF213;IRAK2;PGK1;PLCG2;DVL3;ATP6V1H;NCKAP1L;MARK3;LYN;SMAD2;UVRAG;MYO5A;MSN;NUP153;BRAF;STAM;QKI;SRPK1;EXT1;CDK9;SNW1;HNRNPK;GOLGB1;GNB1;CDK2;CHMP2B;NF1;STRN;GCLM;RAB5A;RCOR1;NFE2L2;CDKN1B;HIP1;ELL;SH3KBP1;GBE1;ADM;PIK3CB;AREG;SGSH;SPRED2;MAP1LC3B;SUMO1;AP1G1;LRRFIP1;GUSB;JAK3;YWHAG;VAV3;PARP6;PBRM1;PDCD6IP;RHBDF2;PPP2R5C;YWHAZ;TGFBR1;ETV6;PPM1B;NCOR1;TRAF6;RDH5;DOCK2;NUP58;HDAC4;GTF2A1;PRIM2;SEC23A;CEBPB;ROCK1;BCL2A1;ZDHHC20;PTGER2;GNAI3;RRBP1;GNAI1;CDC42;PPP2CA;GNG2;CHSY1;SLC17A5;E2F3;EPS15;BRD4;RANBP2;SEC24B;SEC24A;RNGTT;CSNK1A1;CNBP;STAT3;C1GALT1;PTPN12;GATAD2B;GATAD2A;ZDHHC9;ABI1;UBAP1;CTNNB1;SEC24D;PIK3AP1;TAF3;HSPA1A,6.527499644836021e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
9,Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,6.3901458437527886e-09,7.905357515113613,149.1623074068177,RANBP2;CEBPB;HIP1;TPM4;BCL2A1;TPM3;SHC1;STAT3;MSN;RRBP1;KLC1;PPM1B;RNF213;TFG;KIF5B;STRN,9.066906936080345e-07,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
10,Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,5.074769726870031e-08,3.179885332059245,53.41062470058811,SF3B2;DDX5;DDX46;DHX9;DDX42;HNRNPU;SART1;PCF11;DHX38;EIF4E;SMNDC1;SRRM2;RANBP2;RBM17;HNRNPA3;PRPF38A;NUP153;SRRM1;PRPF4;HNRNPK;SNW1;SARNP;HNRNPF;PRPF3;HNRNPA2B1;HNRNPD;SRSF2;SNRNP27;SRSF3;SRSF4;NUP98;NUP58;SF1;RBM22,6.48048094121303e-06,0,0,GTEX-1JMQI-0005-SM-DHXJA,under,Reactome_2022
