rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer,1.0948757511163958e-17,1.9226680616216087,75.08654355738501,ZNF175;CCNJ;GORAB;PITPNB;PHAX;IFI35;IFIT1;PWP2;IKZF4;IFIT3;HERC5;EFR3A;FDXR;PLCE1;GSTK1;DDX18;PRKAB2;ZNF19;ATP6V1G1;ZFP1;GIN1;IMP3;GOLPH3L;WDR75;FRS2;GTPBP8;AP1AR;ANK3;TMEM170A;ASRGL1;THAP1;ARMC1;PLPP6;XRN1;PPA1;PDE12;CLNS1A;MTHFD2L;RABL3;TFAM;UPRT;SRFBP1;ALG10B;ANAPC13;PDGFB;XPA;ZNF24;PGBD2;RIC8B;DHX33;PRDX1;GRPEL2;ZNF268;FZD1;ARL14EP;ICMT;SNAPIN;MTERF3;APOOL;TGDS;PTK6;LARP4;PARP14;BRI3BP;ACADSB;AIMP1;BST2;PM20D2;RAD17;MPHOSPH10;PSMG1;PSMG2;RETREG1;TMEM9B;FASTKD3;INTS10;MCUB;MRPS10;CHM;MRPL35;MEOX1;SH3RF1;LFNG;MRPL42;ZNF41;UBXN8;MCF2L2;RRP15;ZNF484;DFFA;WDR36;ATMIN;NCOA5;IL15;MRPS22;MRPS23;COMMD2;SLC35G1;PPHLN1;MRPL46;DUSP6;TOPORS;PSMA5;MRPL50;PSMA3;MBLAC2;PSMA4;POC5;OAF;NME7;G2E3;TMEM106B;CD46;ZNF599;GART;PIGH;PCYOX1;TRUB2;SAMD9;STX17;NIP7;MRPS30;SDAD1;ZNF8;TYMP;APOL6;CHN1;ZNF226;ZNF225;ZNF224;MAP4K3;TEFM;APOL2;NPDC1;UTP6;MDH1;GCH1;UTP3;STAT2;GINS3;SPRYD7;YIPF5;SNX24;NOC3L;SYNJ2BP;PSMB8;PSMB9;FAM200A;SEC23IP;GPAM;VMA21;PSMC2;MITD1;RAD1;N6AMT1;SRP19;ICE2;RPP30;ZBTB26;NRL;CAAP1;HNMT;MANEA;IFI44L;TMEM267;HMGN4;FNTA;ZFP30;RXYLT1;ZNF689;ZNF567;NBN;BORCS7;GEN1;PUS3;CISH;ANKRD46;TAP2;PUS7;MOB3B;KCTD6;ENKUR;MYCL;PACRGL;ARMCX5;RPL7L1;ZNF678;RPP25;CUL5;ABHD3;DDX1;METTL2A;UTP23;ZCCHC9;DDX60;TMEM243;ITPRIPL2;FAM83G;EMG1;TMEM128;ORC2;ZNF669;THEM4;ZNF546;ZKSCAN4;KDSR;ZNF302;SMAD1;ZBTB14;NOP16;BOD1;FANCL;M6PR;ZC3HC1;LSM8;OSTC;ZNF417;PDCL;SRPRB;TMEM18;TMEM19;CIITA;EFCAB13;DTWD2;MFSD8;UFL1;METTL14;CASP7;CASP6;TRIM69;GGACT;CYREN;EIF2B1;ZNF764;METTL15;COA7;COA6;CCDC50;ADSL;DTX3L;IQCE;UTP18;TSN;IMPACT;RCN1;IRF1;OAS3;NAA35;CCDC43;LDAH;ZNF510;ZNF197;STOML1;POLDIP3;ATP10D;MAK16;MAT2B;SAMHD1;OGFRL1;TIFA;POLR2D;SMIM30;PCBD2;GBP1;SMARCE1;PPIL1;STN1;SSB;ZNF181;RAB12;TSPAN17;ERCC8;SUGT1;VPS45;RBM45;CLUAP1;RBM43,4.055320707716341e-15,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
2,HOXC9 25013753 ChIP-Seq NEUROBLASTOMA BE2-C Human,1.170088900651485e-17,2.2935011464572934,89.41642382072268,LTV1;SCOC;ZNF175;RPP30;ZBTB26;GPATCH2;PHAX;IFIT1;CDC23;FNTA;KIAA1586;ZNF689;NBN;ZNF684;ZNF440;PRKAB2;ATP6V1G1;ZNF283;ZFP1;IMP3;TYW3;SLC30A5;ANGEL2;ALG2;GTPBP8;TRNT1;SDHD;ALG10;THAP1;EID2;ARMCX1;PACRGL;ZNF92;SCO1;CLNS1A;RUFY3;RPL7L1;THAP9;FDX1;ZNF678;GEMIN6;GEMIN7;FAM161B;ZNF555;ZNF671;ANAPC13;METTL2B;DDX1;METTL2A;FUT10;CSTF3;MRPL19;UBFD1;ZNF24;PGBD2;EMG1;PGBD4;ZNHIT3;ZNF549;GAR1;PNPO;ZNF426;THEM4;SLC38A6;ZNF304;ZKSCAN4;ZNF268;SCN3A;ZNF540;DNAJC19;NOP16;TGDS;MRPL27;LARP4;PALB2;FANCF;MRPL30;ZC3HC1;ZBTB6;ZNF30;PXMP4;TADA1;TMEM18;DZIP3;MRPS17;ZNF133;MRPS16;MRPS10;MRPL35;TMEM186;NANP;METTL14;ZNF528;DBT;ZNF766;ZNF248;EIF2B1;EID2B;ZNF484;TSFM;ZNF483;ADSL;RBM18;ACTL6A;COMMD2;IQCE;PLRG1;PPHLN1;MRPL45;MRPL46;DUSP6;TOPORS;IQCG;MRPL44;MRPL50;PSMA3;NME7;ZNF879;STRAP;ZNF780A;CD46;ZNF599;LYPLAL1;ZNF234;IRF9;TRUB1;ZNF197;STX17;NDUFB5;NIP7;ZBTB49;MRPS30;SDAD1;SAMHD1;ZNF626;TAF1A;CHN1;LEO1;NUP43;SNRPB2;ZNF585B;ZNF224;APOL2;ZNF286A;PPIL1;GCH1;GINS3;LYSMD2;NOC3L;ELP4;PEX12;NUDT21;TEF;ZNF737;PSMC2;DRG1;NUP35;RAD1;RBM45;RBM43;TRMT61B;BET1,4.055320707716341e-15,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
3,MYCN 28898695 ChIP-Seq NB1643 Human Nerve Neuroblastoma,1.816419133541381e-17,2.1150371804627404,81.5285063977359,TP53RK;WDR89;PDCD2L;RNF114;RPS6KA5;KIAA1586;PPAT;CDK20;MTERF1;DDX18;PRKAB2;TYW3;WDR75;ANK3;ARMC1;NIF3L1;SCO1;PDE12;CLNS1A;RFX5;THAP9;MTHFD2L;RABL3;TFAM;ANAPC13;FUT10;CSTF3;ZNF829;PGBD4;RIC8B;DHX33;PRDX1;GAR1;PNPO;MLEC;ZNF268;ARL14EP;ZNF141;ST8SIA1;TGDS;PNO1;INTS2;LARP4;GPN3;MRPL30;AIMP2;FAM135A;ZBTB6;SSPN;RAD17;TRMT13;MPHOSPH10;NOL11;MRPS17;MRPS16;PAK1IP1;SPIN3;INTS10;MRPL35;MRPL42;SYNCRIP;NANP;TRIM2;TNFAIP8L1;UBXN8;RIOK2;RRP15;ZNF485;CBR1;WDR36;ACTL6A;AKR1A1;UCHL3;DUSP6;MRPL44;NBPF15;TMEM106B;MRPS33;ABRACL;MIEF1;SDAD1;ZNF8;ATP6V0E2;APOL2;UTP6;MDH1;UTP3;PSMC2;EEF1AKMT3;EBAG9;CYB561;ZNF354C;N6AMT1;SRP19;ICE2;POGK;NRL;CAAP1;HNMT;UBE2Z;CHCHD4;PPP1CC;HMGN4;ZFP30;RXYLT1;SMARCAD1;NBN;NEPRO;TMEM14C;GUCY1A1;ANGEL2;TAP2;THNSL1;ALG10;KLHL42;PACRGL;PREPL;RPL7L1;ZNF793;UTP25;PARM1;DDX1;RPF2;TMEM243;ATXN3;EMG1;TMEM128;ZNF789;BRIX1;SMAD1;PNPT1;NOP16;FANCM;UQCC3;BOD1;UQCC1;EPHX2;M6PR;EIF2S1;RIOX2;UBE2N;TADA1;RMND1;TNFAIP2;ZNF644;CYREN;EIF2B1;ZNF764;COA7;COA6;ADSL;NCBP1;NCBP2;RBM18;UTP18;GREM2;POLR1B;POLR1C;CCDC43;ZNF512;LDAH;NUFIP1;CARNMT1;ZNF195;SRSF1;ATP10D;NOD1;MAT2B;PDHB;TMA16;WDCP;TMEM204;ZNF749;TRIM46;SMIM30;SNRPB2;DCAF13;ZNF286A;SMARCE1;PPIL1;STN1;PTCD2;NIFK;ZNF181;ZNF180;NECAP2;TEF;ZNF614;DRG1;NUP35;SLC25A32;FAM98A;SUGT1;VPS45;RBM45;CLUAP1;POLR3K;TRMT61B,4.055320707716341e-15,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
4,VDR 23849224 ChIP-Seq CD4+ Human,2.1628377107820487e-17,2.217310165315002,85.08379078552852,N6AMT1;JRK;GPATCH2;GIMAP5;UBE2Z;HERC5;EFR3A;HMGN4;RPS6KA5;CSPP1;EPSTI1;AP1S2;SMARCAD1;ZNF689;BTRC;SLC25A46;DDX18;PRKAB2;ATP6V1G1;GIN1;ANKRD46;TYW3;SLC30A5;ANGEL2;COG2;WDR75;TAP1;TRNT1;WDR73;THNSL1;ALG10;TMEM170A;THAP2;ARMC1;XRN1;PDE12;RUFY3;RPL7L1;THAP9;RABL3;CMPK2;GEMIN6;AAGAB;LAP3;ZNF555;ALG10B;ZNF793;LIPT1;CCDC142;RBM8A;DDX1;CSTF3;MRPL19;UTP23;ZCCHC9;DAPP1;ZNF24;ATXN3;EMG1;PGBD4;ZNHIT3;TMEM128;GAR1;PNPO;ZNF426;ZSCAN12;ZNF789;BRIX1;ZNF546;ZKSCAN4;ZNF141;FANCM;PNO1;TRAPPC4;MRPL27;DOLK;ACADSB;EIF2S1;MRPL30;AIMP1;OSTC;RAD17;PSMG1;PSMG2;NOL11;TMEM18;ZCCHC4;ZNF134;TRAM1;ABCD2;FASTKD2;PAK1IP1;MRPS11;INTS10;CBY1;MRPS10;ZC3H8;TRIAP1;MRPL35;DTWD1;TMEM223;CASP6;UBXN8;ZNF644;CEP290;RRP15;ZNF484;TSFM;WDR36;ADSL;CCDC115;MRPS23;KIAA1143;AKR1A1;TSN;MRPL44;PSMA5;PIGB;NSA2;PEX3;MED20;POLR1C;TMEM106B;NAA35;GART;CHMP7;IRF9;TRUB1;DDX28;TRUB2;STOML1;NDUFB5;ZBTB49;MRPS33;TUBD1;NOL8;TIMM10;PSMB10;HLA-DMB;DNPEP;NUP43;SNRPB2;BPNT1;ZNF585B;AASDHPPT;DCAF13;PPIL1;SSB;MDH1;STAT1;UTP3;NOC3L;PEX12;GTF2H3;TMEM156;NECAP2;FAM200A;SEC23IP;GPAM;TTC5;PSMC2;LYRM7;ZNF614;DRG1;NUP35;SLC25A32;RAD1;SUGT1;RBM45;EBAG9;ZNF576;TRMT61B;BET1,4.055320707716341e-15,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
5,ETS1 20019798 ChIP-Seq JURKAT Human,2.3449200528587513e-16,2.365286996320125,85.124574315959,JRK;ZNF175;RPP30;PARS2;WDR89;ZNF605;ZNF84;FDXR;ZNF689;ZNF567;ZNF566;BTRC;ZNF684;ZNF287;PUS3;DDX18;CHRNB1;ZFP1;GIN1;ANGEL2;ALG2;ALG14;WDR75;SDHD;ALG10;ZNF14;THAP1;WDR77;ARMC1;PDE12;CLNS1A;MFNG;RPL7L1;RABL3;GEMIN6;SRFBP1;GEMIN7;ALG10B;ZNF551;RBM8A;MRPL19;CCDC146;UTP23;ZCCHC9;ZNF24;EMG1;PGBD4;RIC8B;DHX33;ZNHIT3;ZNF549;ZNF304;ZNF546;ZKSCAN4;ZNF302;ZNF268;MCTS1;ZRANB3;DNAJC19;PNPT1;SNAPIN;API5;TGDS;M6PR;ZNF32;MRPL30;ZC3HC1;ZBTB6;ZNF417;ZNF416;SRPRB;ZCCHC4;ZNF134;ZNF133;MRPS16;FASTKD1;PAK1IP1;MRPS11;MRPS10;CHM;TRIAP1;SMPD3;MRPL42;UBXN8;RIOK2;EIF2B1;ZNF764;CEP290;RRP15;CCDC51;PRMT6;ZNF484;TSFM;DFFA;WDR36;NCBP1;NCBP2;MRPS22;MRPS23;TSN;IQCG;MRPL44;MRPL50;PEX3;POLR1B;ZNF599;TRUB1;STOML1;USP16;NIP7;MRPS33;TUBD1;TIMM10;ZFP14;ZNF749;LEO1;SNRPB2;ZNF226;ZNF225;ZNF585B;ZNF224;ZNF583;UTP3;GINS3;ZNF181;ZNF180;GTF2H1;PEX12;NECAP2;SEC23IP;LYRM7;POLR3F;SLC25A32;RAD1;SUGT1;ZNF576;BET1,3.517380079288127e-14,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
6,GABP 17652178 ChIP-ChIP JURKAT Human,4.291152827839764e-16,3.08295156068658,109.08964308769835,ZNF133;LTV1;SRP19;MOCS3;MRPS16;PAK1IP1;ZBTB26;CHM;THUMPD3;DTWD1;HMGN4;FNTA;SCRN3;ZNF84;SMARCAD1;EIF2B1;ZNF684;DDX18;WDR36;ADSL;NCBP2;MRPS22;MRPS23;COMMD2;FRS2;PLRG1;TFB2M;SDHD;THAP2;MRPL44;THAP1;PSMA5;EBNA1BP2;NIF3L1;SHQ1;SCO1;NME7;ANKRD42;SRFBP1;ZNF557;ZNF512;ZNF599;UMPS;ZNF551;LIPT1;TRUB2;NDUFB5;CSTF3;MRPS33;DDX1;ZCCHC9;NOL8;TIMM10;EMG1;PGBD4;RPS6KC1;GRPEL2;ZNF549;KRIT1;SNRPB2;LCMT2;ZNF226;ZNF302;ZRANB3;PPIL1;MDH1;FANCM;M6PR;KTI12;NOC3L;LARP4;PEX12;MRPL30;NUDT21;NECAP2;PSMC2;OCIAD1;MPHOSPH10;SLC25A32;RAD1;SUGT1;DZIP3,5.363941034799705e-14,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
7,JARID1A 20064375 ChIP-Seq MESCs Mouse,1.3182098499942425e-14,2.1145099164387515,67.5795607061297,SRP19;JRK;RPP30;ZBTB26;BCCIP;THUMPD3;PHAX;UBE2Z;PWP2;PDCD2L;CDC23;ALKBH1;CSPP1;SMARCAD1;MLYCD;NBN;NUDT15;PUS3;DDX18;TYW3;ANGEL2;COG2;MED9;TRNT1;ZCRB1;SDHD;ALG11;THAP1;ARMC1;NIF3L1;PACRGL;XRN1;CLNS1A;SHPK;ANKRD42;SRFBP1;FAM161B;COX19;UBIAD1;CCDC142;RBM8A;DDX1;CACNA1A;UBFD1;DNAJC24;EMG1;DHX33;ZNHIT3;TMEM128;GRPEL2;MBIP;ZSCAN12;MCTS1;DNAJC19;PNPT1;SRD5A1;TGDS;PNO1;INTS2;MRPL27;KTI12;DOLK;PALB2;EIF2S1;GPN3;MRPL30;ZC3HC1;LSM8;ZBTB6;RAD17;MPHOSPH10;PSMG1;NOL11;ZCCHC4;MRPS17;FASTKD2;PAK1IP1;MRPS11;RMND1;MRPS10;TRIAP1;MRPL35;TMEM186;SCRN3;DBT;RIOK2;EIF2B1;RRP15;TSFM;WDR36;CCDC115;NCBP2;MRPS22;RBM18;ACTL6A;MRPS23;MRPL49;COMMD2;LRRC40;TIMM23;PPHLN1;MRPL45;ZDHHC16;MRPL46;TSN;MRPL44;PIGB;GAN;PEX3;POLR1B;MED20;POLR1C;CCDC43;CHMP7;TRUB1;DDX28;TRUB2;NUFIP1;USP16;MRPS35;NDUFB5;NIP7;MIS12;TUBD1;NOL8;MRPS30;SDAD1;CRYZ;RAB40B;KRIT1;METTL5;NUP43;SNRPB2;FKTN;PTCD2;GTF2H1;NOC3L;PEX12;GTF2H3;SNX20;NECAP2;LYRM2;SEC23IP;GPAM;TRMT5;PSMC2;OCIAD1;POLR3F;ERCC8;MITD1;SLC25A32;RAD1;VPS45;ABCE1;CLUAP1;POLR3K;CYB561,1.4123676964224027e-12,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
8,FOXO3 22982991 ChIP-Seq MACROPHAGES Mouse,1.595365923813608e-14,2.128994583050621,67.63621662807952,N6AMT1;SRP19;JRK;KLHL36;NAB1;PARS2;GORAB;POGK;BCCIP;THUMPD3;TXNDC15;RNF114;RPS6KA5;FDXR;DUS4L;GEN1;CISH;TYW3;ALG14;MED9;TAP1;AP1AR;ZCRB1;SDHD;ALDH3A2;EID1;PACRGL;ZC2HC1A;TXLNB;CLNS1A;RABL3;PSME2;CMPK2;ZSCAN26;GEMIN7;ANAPC13;RBM8A;CUL2;ZCCHC9;CUL1;UBFD1;DDX60;SMIM7;ACAT2;TMTC4;ORC5;EMG1;RIC8B;AP5M1;PRDX1;THEM4;SLC38A6;MLEC;DNAJC19;ICMT;BOD1;FANCL;TRAPPC4;SETDB2;M6PR;DOLK;ACADSB;PALB2;GPN3;ZC3HC1;GGCT;AIMP1;TIMM10B;LACC1;ARMC10;PSMG4;RAD17;SRPRB;PSMG2;UBE2K;DZIP3;TMEM9B;FASTKD2;PAK1IP1;FASTKD3;INTS10;ETFA;PIGX;SMPD3;DTWD2;NANP;CTSO;ZMYM1;UBE2Q2;OPA3;COA6;USP46;TSFM;NAA30;WDR36;ADSL;DTX3L;COMMD2;LRRC40;PLRG1;PPHLN1;UTP18;TSN;NSA2;MBLAC2;PEX3;IRF1;MED20;POLR1C;G2E3;STRAP;CCDC43;CD46;UMPS;PIGH;TRIM56;DDX28;STX17;MRPS35;NDUFB5;NIP7;ZBTB49;MRPS33;MIS12;MRPS30;TIMM10;ZFP14;KRIT1;MAP4K3;TEFM;FDXACB1;TRMT10C;UTP3;STAT2;ERAP1;GTF2H1;NOC3L;SYNJ2BP;PSMB8;LYRM2;MIS18A;GPAM;GNPDA2;OCIAD1;TRIM35;DRG1;NUP35;RAD1;ABCE1;EBAG9;POLR3K;RBM43;BET1,1.4956555535752575e-12,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
9,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,2.962872194169913e-14,1.9431125768701347,60.528019275907575,LTV1;PARS2;WDR89;PWP2;TXNDC15;PDCD2L;RPS6KA5;CSPP1;VPS36;DDX18;IMP3;COG2;WDR75;AP1AR;HDHD5;THAP1;SCO1;PPA1;PDE12;CLNS1A;THAP9;SRFBP1;ANAPC13;SEH1L;SLC35D1;CSTF3;PRDX4;DHX33;PRDX1;GAR1;PNPO;PATZ1;PPARGC1B;ZRANB3;ARL14EP;TGDS;PNO1;KTI12;LARP4;GPN3;MRPL30;AIMP1;AIMP2;PM20D2;RAD17;MPHOSPH10;MRPS17;MRPS16;PAK1IP1;FASTKD3;INTS10;MRPL42;TUBA1C;SYNCRIP;TNFAIP8L1;RIOK2;ZNF248;RRP15;ZNF485;GATD1;DFFA;WDR36;ACTL6A;MRPL49;AKR1A1;LRRC40;UCHL3;MRPL46;MRPL44;MRPL50;NSA2;OAF;PDIK1L;NME7;UMPS;GART;TRUB2;MRPS35;MRPS33;MIS12;ABRACL;FITM2;MIEF1;MRPS30;SDAD1;ZNF8;METTL5;UTP3;GINS3;SPRYD7;GTF2H1;NOC3L;SEC23IP;TRMT5;PSMC2;EBAG9;EEF1AKMT1;TMEM229B;DCLRE1A;ICE2;POGK;CHCHD4;PPP1CC;TMEM267;HMGN4;ZNF84;SMARCAD1;ZNF566;NEPRO;CMTR2;TRNT1;THNSL1;PUS7;KLHL42;ALDH3A2;EBNA1BP2;PACRGL;PREPL;TXLNB;RPL7L1;GEMIN7;FAM161B;CDKL1;ZNF793;UTP25;UBIAD1;RBM8A;CUL5;DDX1;UTP23;CUL1;RPF2;TMEM243;EMG1;BCL2L11;ORC2;SMYD2;ZNF789;BRIX1;ZNF546;QSER1;DNAJC19;PNPT1;NOP16;FANCM;BOD1;M6PR;PALB2;EIF2S1;ZC3HC1;GGCT;RIOX2;DNAJC10;UBE2N;TADA1;TMEM18;CIITA;ZC3H8;EIF2B1;METTL15;COA7;TSFM;ADSL;NCBP1;DESI1;TWNK;UTP18;POLR1B;NAA35;AGPAT5;NUFIP1;USP16;ZNF195;NAA20;ZBTB49;PDHB;AGPAT3;TMA16;POLR2D;KRIT1;SNRPB2;DCAF13;PPIL1;SSB;NIFK;FBXL16;NAP1L4;NECAP2;SUCLA2;EIF3J;NUP35;FAM98A;CLUAP1;POLR3K;TRMT61B;BET1,2.469060161808261e-12,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
10,FOXP3 21729870 ChIP-Seq TREG Human,1.2414006747110557e-13,2.2640626975097966,67.28197958074347,DCLRE1A;SRP19;NAB1;PITPNB;ZBTB26;BCCIP;GPATCH2;GIMAP5;HERC5;HMGN4;RNF114;FNTA;GPR171;SMARCAD1;ZFP1;GIN1;IMP3;TYW3;ALG2;ALG14;ALG10;ARMC1;NIF3L1;PREPL;SCO1;CLNS1A;UPRT;SRFBP1;AAGAB;ALG10B;ANAPC13;CCDC142;FUT10;MRPL19;CUL2;TMTC3;UBFD1;DNAJC24;EMG1;DHX33;ZNHIT3;TMEM128;PNPO;ZNF426;THEM4;MLEC;TNFRSF14;ZKSCAN4;PNPT1;NOP16;FANCM;PNO1;TMEM50B;PHF11;ACADSB;PALB2;GPN3;AIMP1;TBCK;OSTC;ZNF416;RAD17;TADA1;CIITA;FASTKD2;PAK1IP1;MRPS11;RMND1;INTS10;CBY1;MIA3;DTWD1;RIOK2;ZNF644;RRP15;TSFM;WDR36;ACTL6A;MRPS23;KIAA1143;IQCE;UCHL3;MRPL46;UTP18;TSN;MRPL44;NSA2;MBLAC2;PEX3;NME7;POLR1B;POLR1C;CHMP7;DDX28;TRUB2;POLDIP3;NIP7;NOL8;FITM2;MRPS30;SDAD1;CRYZ;NUP43;SNRPB2;BPNT1;ZNF101;FDXACB1;CASP8AP2;MDH1;UTP3;STAT2;GINS3;PEX12;NUDT21;IL2RA;PSMC2;CYP20A1;TRIM35;PCYOX1L;MITD1;ZNF576,9.310505060332918e-12,0,0,GTEX-SSA3-0005-SM-32QOT,over,ChEA_2022
