rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Mitochondrial Gene Expression (GO:0140053),4.563257344733592e-12,6.56014827062055,171.30504956673852,MRPS17;MRPS16;FASTKD1;FASTKD2;FASTKD3;MRPS11;MRPS33;MRPL19;MRPS10;MRPS30;MRPL35;MRPL42;TEFM;MTERF3;MRPS22;MRPS23;TWNK;MRPL27;MRPL49;TFB2M;MRPL45;MRPL46;MRPL44;MRPL30;MRPL50;TFAM,1.1435522905902381e-08,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
2,tRNA Modification (GO:0006400),3.0009231486833818e-09,7.089197389750198,139.1208615836943,PUS3;TRUB1;METTL2B;TRMT10A;MOCS3;SSB;TYW3;THUMPD3;KTI12;PUS7;ELP5;DTWD2;GON7;DTWD1;ALKBH1;TRMT13;LCMT2;DUS4L,3.7601567053002774e-06,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
3,Mitochondrial RNA Metabolic Process (GO:0000959),1.0910813217417842e-08,19.181818181818183,351.6700842495408,PNPT1;FASTKD1;MTERF3;FASTKD2;FASTKD3;TWNK;TFAM;MTERF1;TFB2M;TEFM,9.114165974283038e-06,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
4,Mitochondrial Translation (GO:0032543),6.591862000103167e-08,4.950811093668237,81.86089349376505,MRPS17;TSFM;MRPS16;FASTKD2;MRPS11;MRPS22;MRPS33;MRPL19;MRPS23;MRPL27;MRPL49;MRPS10;MRPS30;MRPL45;MRPL35;MRPL46;MRPL44;MRPL30;MRPL42;MRPL50,4.129801543064634e-05,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
5,tRNA Processing (GO:0008033),9.668121540330267e-08,7.479603335587108,120.80940652641092,PUS3;TRUB1;METTL2B;SSB;TRMT10C;RPP30;DDX1;KTI12;TRNT1;ELP5;DTWD2;DTWD1;LCMT2;FAM98A,4.84566251601353e-05,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
6,Defense Response To Virus (GO:0051607),2.770973289504331e-06,3.0848817727163933,39.47510943525622,RTP4;IFIT5;IFIT1;DDX60;SAMHD1;IFI44L;IFIT3;IFIT2;IFIH1;CASP1;GBP5;NCBP1;STAT1;STAT2;BST2;CXCL10;CNOT7;PDE12;TRAF3;IRF1;OAS3;UBE2N;TRIM35;TLR7;TRIM32;TRIM56,0.0009998367872972663,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
7,Maturation Of LSU-rRNA (GO:0000470),2.7928401879811906e-06,12.760752688172044,163.19026674651963,DDX18;NSA2;NIFK;ZNHIT3;RPL7L1;MAK16;RPF2;RRP15,0.0009998367872972663,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
8,Defense Response To Symbiont (GO:0140546),4.460266217899799e-06,3.369591326646541,41.514383109961166,RTP4;GBP5;NCBP1;STAT1;STAT2;IFIT5;IFIT1;DDX60;SAMHD1;IFI44L;IFIT3;IFIT2;BST2;IFIH1;CNOT7;PDE12;TRAF3;IRF1;OAS3;CASP1;TLR7;TRIM56,0.001397178392757112,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
9,RNA Modification (GO:0009451),5.9430235035551775e-06,5.905014014325755,71.05676112708463,DTWD2;PUS3;TRUB1;DTWD1;METTL2B;SSB;ALKBH1;KTI12;LCMT2;PUS7;ELP5;MRM2,0.0015140199262053703,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
10,Ribonucleoprotein Complex Biogenesis (GO:0022613),6.041579913030209e-06,3.697721352155603,44.43494436133651,LTV1;WDR36;UTP6;NOP16;PNO1;UTP3;PAK1IP1;NIP7;WDR75;PWP2;RPF2;SDAD1;UTP18;TMA16;EBNA1BP2;EMG1;SHQ1;MPHOSPH10;RIOK2,0.0015140199262053703,0,0,GTEX-SSA3-0005-SM-32QOT,over,GO_Biological_Process_2023
