rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Herpes simplex virus 1 infection,2.308589020194016e-24,4.2450978309362455,231.04117171764585,ZNF133;ZNF175;ZFP82;IFIH1;PPP1CC;ZFP30;ZNF528;ZNF605;ZNF84;ZNF41;ZNF689;ZNF766;ZNF248;ZNF567;ZNF566;EIF2B1;ZNF764;ZNF124;ZNF684;ZNF761;ZNF484;ZNF440;ZNF19;ZNF283;ZFP1;TAP2;TAP1;ZNF14;ZNF519;TRAF3;OAS3;ZNF439;ZNF879;ZNF557;ZNF780A;ZNF599;ZNF555;ZNF510;ZNF234;ZNF674;IRF9;ZNF551;ZNF793;ZNF671;ZNF195;SRSF1;ZNF8;ZNF829;ZFP14;HLA-DMB;ZNF749;ZNF549;ZNF669;ZNF426;TNFRSF14;ZNF304;ZNF546;ZNF623;ZNF226;ZNF225;ZNF302;ZNF544;ZNF585B;ZNF268;ZNF224;ZNF101;ZNF286A;ZNF540;ZNF583;ZNF141;ZNF382;STAT1;STAT2;ZNF181;ZNF180;EIF2S1;BST2;ZNF816;ZNF737;ZNF30;ZNF417;ZNF416;ZNF614;ZNF778;ZNF354C;ZFP28,6.187018574119963e-22,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
2,Proteasome,0.0003897751993594759,4.654512231706985,36.537643595674794,PSMA5;PSMA3;PSMA4;PSMC2;PSME1;PSME2;PSMB10;PSMB8;PSMB9,0.05222987671416977,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
3,Ribosome biogenesis in eukaryotes,0.0009730785463500187,2.8557679858443743,19.804881642028263,WDR36;UTP6;IMP3;RPP30;WDR75;PWP2;UTP18;EMG1;XRN1;GAR1;MPHOSPH10;RIOK2;RPP25;RPP38,0.08692835014060166,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
4,RNA transport,0.005690370601029444,2.0546988652894966,10.620697137235037,SEH1L;RBM8A;NCBP1;NCBP2;RPP30;PHAX;TRNT1;EIF2S1;CLNS1A;EIF3J;STRAP;NUP35;GEMIN6;NUP43;GEMIN7;RPP25;EIF2B1;RPP38,0.3812548302689728,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
5,Ubiquitin mediated proteolysis,0.010468994734981482,2.126887536623845,9.697197620272796,ANAPC13;CUL5;FANCL;CUL2;CUL1;UBE2L6;UBE2Z;CDC23;UBE2Q2;UBE2N;ERCC8;BTRC;UBE2K;TRIM32,0.5611381177950074,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
6,RNA polymerase,0.017804675725432068,3.667182064166989,14.772488147655634,POLR1B;POLR2D;POLR1C;POLR3F;POLR3K,0.7407329335290411,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
7,Peroxisome,0.02105745765548775,2.35465767247695,9.090157118808744,GSTK1;ABCD2;PEX3;PRDX1;EPHX2;PXMP4;CROT;MLYCD;PEX12,0.7407329335290411,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
8,Terpenoid backbone biosynthesis,0.022111430851613167,4.2351628737170905,16.14300333781837,ICMT;FNTA;ACAT2;PCYOX1,0.7407329335290411,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
9,N-Glycan biosynthesis,0.03757690396507332,2.6005121638924455,8.533231348290107,ALG14;ALG2;DOLK;ALG11;ALG10;ALG10B,0.999923149893673,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
10,Antigen processing and presentation,0.04074943444415253,2.1808755760368665,6.979485151028399,CIITA;HLA-DMB;RFX5;TAP2;PSME1;TAP1;PSME2;CTSS,0.999923149893673,0,0,GTEX-SSA3-0005-SM-32QOT,over,KEGG_2021_Human
