rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Interferon Gamma Response,9.316222263789115e-22,6.614035087719298,320.2854086511209,RTP4;SAMD9L;CIITA;TNFAIP2;UBE2L6;IFI35;IFIT1;IFIT3;IFI44L;IFIT2;IFIH1;CASP7;EPSTI1;CASP1;IL15RA;IL15;TAP1;PSMA3;IRF1;OAS3;PSME1;PSME2;SERPING1;CMPK2;LAP3;VAMP5;IRF9;IDO1;FGL2;NOD1;DDX60;SAMHD1;PSMB10;RNF213;APOL6;GBP4;PNPT1;GCH1;STAT1;STAT2;P2RY14;LYSMD2;IFI44;PARP14;PSMB8;PSMB9;BST2;CXCL10;SSPN;XAF1,4.378624463980884e-20,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
2,Interferon Alpha Response,2.8051179796753043e-19,10.097078593588417,431.32368312145593,RTP4;SAMD9L;SAMD9;UBE2L6;IFI35;DDX60;IFIT3;IFI44L;IFIT2;IFIH1;NUB1;LAMP3;EPSTI1;CASP1;GBP4;PNPT1;IL15;STAT2;TAP1;IFI44;PARP14;PARP9;PSMB8;PSMB9;BST2;CXCL10;PSMA3;IRF1;PSME1;CMPK2;PSME2;LAP3;IRF9,6.592027252236965e-18,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
3,Fatty Acid Metabolism,0.005761041659281721,2.159395396770869,11.135218150950687,CBR1;ADSL;MDH1;UBE2L6;SDHD;PDHB;ACAT2;CRYZ;ALDH3A2;SUCLA2;OSTC;PSME1;MLYCD;NBN;ACADM;BLVRA,0.09025631932874696,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
4,Myc Targets V1,0.011693572061230506,1.8952351111210581,8.431362733472465,DDX18;SSB;NOP16;NCBP1;NCBP2;SRSF1;CUL1;EIF2S1;AIMP2;SYNCRIP;PRDX4;PSMA4;CLNS1A;ORC2;EIF3J;VDAC3;SNRPB2;ABCE1,0.10991957737556676,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
5,Oxidative Phosphorylation,0.011693572061230506,1.8952351111210581,8.431362733472465,PDHX;ATP6V1G1;MDH1;NDUFB5;MRPS11;MRPS22;ETFA;TIMM10;MRPS30;SDHD;PDHB;ACADSB;MRPL35;CASP7;SUCLA2;FDX1;VDAC3;ACADM,0.10991957737556676,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
6,DNA Repair,0.03792837434538329,1.813495144913067,5.933857277327031,NCBP2;CSTF3;GTF2H1;GTF2H3;POLB;NUDT21;ERCC4;POLR1C;POLR2D;CMPK2;ELOA;ERCC8;UMPS,0.29222850984846843,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
7,mTORC1 Signaling,0.04352339508381445,1.6627783669141039,5.211906738650658,NUFIP1;PNO1;SRD5A1;PITPNB;FGL2;M6PR;DAPP1;GTF2H1;PSMA3;PSMA4;PPA1;PRDX1;MTHFD2L;PSMC2;FDXR;PSMG1,0.29222850984846843,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
8,Myc Targets V2,0.06880939588139882,2.1995047206314813,5.886787372593528,DDX18;AIMP2;NOP16;NIP7;MPHOSPH10;TFB2M,0.4042552008032181,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
9,Allograft Rejection,0.12877979113229718,1.4362145303060045,2.9437390922496554,IL15;STAT1;TRAT1;GPR65;TAP2;TAP1;CD3G;CTSS;PSMB10;HLA-DMB;IL2RA;EIF3J;UBE2N;ABCE1,0.6725166870242186,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
10,IL-6/JAK/STAT3 Signaling,0.14456531199301625,1.6671701913393757,3.2243469744678728,IL15RA;CXCL10;STAT1;IRF1;STAT2;IL2RA;IRF9,0.6794569663671765,0,0,GTEX-SSA3-0005-SM-32QOT,over,MSigDB_Hallmark_2020
