rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Gene Expression (Transcription) R-HSA-74160,7.791443073284925e-15,2.220215526908823,72.12536723109366,TDRKH;ZNF175;TP53RK;ICE2;RORC;PHAX;CDC23;ZFP30;ZNF605;MTERF1;ZNF689;ZNF567;ZNF566;ZNF684;ZNF287;ZNF440;PRKAB2;ZNF19;MEF2C;ZFP1;ZNF14;KCTD6;ZNF92;SCO1;ZNF439;PSME1;PSME2;TFAM;ZNF678;ZNF557;ZNF555;KCTD15;ZNF793;ZNF551;ZNF671;COX19;SEH1L;RBM8A;CSTF3;CUL1;ATXN3;BCL2L11;PRDX1;ZNF549;ZNF669;ZKSCAN3;SMYD2;ZNF426;ZNF304;ZNF546;ZKSCAN4;ZNF544;ZNF302;ZNF268;PPARGC1B;ZNF540;SMAD1;ZNF382;INTS2;NR2F6;CNOT7;ZNF30;ZNF417;ZNF416;RAD17;ZNF778;ZNF133;RARG;INTS10;ZC3H8;TRIAP1;CASP6;ZNF528;ZNF41;CASP1;ELOA;ZNF248;ZNF764;ZNF124;ZNF761;ZNF485;PRMT6;ZNF484;ZNF483;NCBP1;NCBP2;ACTL6A;TFB2M;TSN;PSMA5;PSMA3;PSMA4;ZNF519;POLR1B;MED20;ZNF599;ZNF510;ZNF234;ZNF197;ZNF195;POLDIP3;SRSF1;PSMB10;ZFP14;ZNF749;ZNF626;TAF1A;POLR2D;LEO1;NUP43;ZNF226;ZNF225;ZNF585B;ZNF224;ZNF101;ZNF286A;SMARCE1;UBL4A;ZNF583;TIGAR;SSB;STAT1;ZNF180;GTF2H1;GTF2H3;PSMB8;PSMB9;POMC;NUDT21;GPAM;ZNF71;TTC5;IL2RA;ZNF737;PSMC2;ZNF614;POLR3F;NUP35;POLR3K;ZNF354C;ZFP28,7.916106162457483e-12,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
2,RNA Polymerase II Transcription R-HSA-73857,6.039899510688969e-14,2.23059842215543,67.89451741436037,ZNF175;TP53RK;ICE2;RORC;PHAX;CDC23;ZFP30;ZNF605;ZNF689;ZNF567;ZNF566;ZNF684;ZNF287;ZNF440;PRKAB2;ZNF19;MEF2C;ZFP1;ZNF14;KCTD6;ZNF92;SCO1;ZNF439;PSME1;PSME2;ZNF678;ZNF557;ZNF555;KCTD15;ZNF793;ZNF551;ZNF671;COX19;RBM8A;CSTF3;CUL1;ATXN3;BCL2L11;PRDX1;ZNF549;ZNF669;ZKSCAN3;SMYD2;ZNF426;ZNF304;ZNF546;ZKSCAN4;ZNF544;ZNF302;ZNF268;PPARGC1B;ZNF540;SMAD1;ZNF382;INTS2;NR2F6;CNOT7;ZNF30;ZNF417;ZNF416;RAD17;ZNF778;ZNF133;RARG;INTS10;ZC3H8;TRIAP1;CASP6;ZNF528;ZNF41;CASP1;ELOA;ZNF248;ZNF764;ZNF124;ZNF761;ZNF485;PRMT6;ZNF484;ZNF483;NCBP1;NCBP2;ACTL6A;PSMA5;PSMA3;PSMA4;ZNF519;POLR1B;MED20;ZNF599;ZNF510;ZNF234;ZNF197;ZNF195;POLDIP3;SRSF1;PSMB10;ZFP14;ZNF749;ZNF626;POLR2D;LEO1;ZNF226;ZNF225;ZNF585B;ZNF224;ZNF101;ZNF286A;SMARCE1;UBL4A;ZNF583;TIGAR;STAT1;ZNF180;GTF2H1;GTF2H3;PSMB8;PSMB9;POMC;NUDT21;GPAM;ZNF71;TTC5;IL2RA;ZNF737;PSMC2;ZNF614;ZNF354C;ZFP28,3.0682689514299965e-11,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
3,Generic Transcription Pathway R-HSA-212436,2.318008154491637e-12,2.1902053472871743,58.67628646639409,ZNF175;TP53RK;RORC;CDC23;ZFP30;ZNF605;ZNF689;ZNF567;ZNF566;ZNF684;ZNF287;ZNF440;PRKAB2;ZNF19;MEF2C;ZFP1;ZNF14;KCTD6;ZNF92;SCO1;ZNF439;PSME1;PSME2;ZNF678;ZNF557;ZNF555;KCTD15;ZNF793;ZNF551;ZNF671;COX19;CUL1;ATXN3;BCL2L11;PRDX1;ZNF549;ZNF669;ZKSCAN3;SMYD2;ZNF426;ZNF304;ZNF546;ZKSCAN4;ZNF544;ZNF302;ZNF268;PPARGC1B;ZNF540;SMAD1;ZNF382;NR2F6;CNOT7;ZNF30;ZNF417;ZNF416;RAD17;ZNF778;ZNF133;RARG;TRIAP1;CASP6;ZNF528;ZNF41;CASP1;ELOA;ZNF248;ZNF764;ZNF124;ZNF761;ZNF485;PRMT6;ZNF484;ZNF483;ACTL6A;PSMA5;PSMA3;PSMA4;ZNF519;POLR1B;MED20;ZNF599;ZNF510;ZNF234;ZNF197;ZNF195;PSMB10;ZFP14;ZNF749;ZNF626;POLR2D;ZNF226;ZNF225;ZNF585B;ZNF224;ZNF101;ZNF286A;SMARCE1;UBL4A;ZNF583;TIGAR;STAT1;ZNF180;GTF2H1;GTF2H3;PSMB8;PSMB9;POMC;GPAM;ZNF71;TTC5;IL2RA;ZNF737;PSMC2;ZNF614;ZNF354C;ZFP28,7.850320949878345e-10,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
4,Metabolism Of RNA R-HSA-8953854,3.252413752231814e-09,2.324240456087176,45.42464965780958,LTV1;TP53RK;RPP30;PHAX;PWP2;METTL14;RIOK2;RPP38;PUS3;WDR36;NCBP1;NCBP2;TYW3;WDR75;ZCRB1;PLRG1;TRNT1;PUS7;UTP18;WDR77;PSMA5;PSMA3;EBNA1BP2;PSMA4;XRN1;CLNS1A;PSME1;PSME2;GEMIN6;GEMIN7;RPP25;UTP25;SEH1L;RBM8A;POLDIP3;NIP7;CSTF3;DDX1;SRSF1;GSPT2;MRM2;PSMB10;EMG1;POLR2D;GAR1;SNRPB2;LCMT2;NUP43;DCAF13;TRMT10A;UTP6;PPIL1;TRMT10C;PNO1;UTP3;GTF2H1;GTF2H3;PSMB8;PSMB9;NUDT21;LSM8;SNRNP40;CNOT7;TRMT5;PSMC2;MPHOSPH10;TRMT13;NUP35;NOL11;TRMT61B,8.261130930668807e-07,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
5,Mitochondrial Translation Elongation R-HSA-5389840,1.5877975696012297e-08,5.821772405870266,104.5493267249037,MRPS17;TSFM;MRPS16;MRPS35;MRPS11;MRPS22;MRPS33;MRPS23;MRPL19;MRPL49;MRPS10;MRPS30;MRPL45;MRPL35;MRPL46;MRPL44;MRPL30;MRPL42;MRPL50,3.2264046614296985e-06,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
6,Mitochondrial Translation R-HSA-5368287,5.3993457084836937e-08,5.31384715389502,88.92405955610725,MRPS17;TSFM;MRPS16;MRPS35;MRPS11;MRPS22;MRPS33;MRPS23;MRPL19;MRPL49;MRPS10;MRPS30;MRPL45;MRPL35;MRPL46;MRPL44;MRPL30;MRPL42;MRPL50,9.142892066365723e-06,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
7,Mitochondrial Translation Initiation R-HSA-5368286,9.212557627763293e-08,5.42337067209776,87.85921898203885,MRPS17;MRPS16;MRPS35;MRPS11;MRPS22;MRPS33;MRPS23;MRPL19;MRPL49;MRPS10;MRPS30;MRPL45;MRPL35;MRPL46;MRPL44;MRPL30;MRPL42;MRPL50,1.1699948187259382e-05,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
8,Mitochondrial Translation Termination R-HSA-5419276,9.212557627763293e-08,5.42337067209776,87.85921898203885,MRPS17;MRPS16;MRPS35;MRPS11;MRPS22;MRPS33;MRPS23;MRPL19;MRPL49;MRPS10;MRPS30;MRPL45;MRPL35;MRPL46;MRPL44;MRPL30;MRPL42;MRPL50,1.1699948187259382e-05,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
9,Interferon Signaling R-HSA-913531,2.444041958898737e-07,3.2885913720105275,50.06697005734959,CIITA;SEH1L;IFIT5;UBE2L6;IFI35;IFIT1;SAMHD1;IFIT3;IFIT2;HERC5;TRIM2;TRIM46;NUP43;GBP1;GBP4;GBP5;STAT1;STAT2;PSMB8;BST2;PDE12;IRF1;OAS3;UBE2N;TRIM35;NUP35;XAF1;ABCE1;IRF9,2.7590518113790188e-05,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
10,Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,1.8782474768420648e-06,2.580897551714106,34.02957660855776,ANAPC13;CUL5;CUL2;CUL1;UBE2L6;UBE2Z;SH3RF1;PSMB10;HERC5;UFL1;CDC23;RNF114;RNF213;UBE2Q2;TRIM69;FBXO6;BTRC;DTX3L;FBXL16;PSMB8;KCTD6;PSMB9;KLHL42;PSMA5;SPSB2;PSMA3;PSMA4;KLHL5;GAN;PSMC2;PSME1;UBE2N;PSME2;UBE2K;TRIM32;DZIP3,0.00019082994364715377,0,0,GTEX-SSA3-0005-SM-32QOT,over,Reactome_2022
