rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,EGR1 20690147 ChIP-Seq ERYTHROLEUKEMIA Human,3.316525483689597e-29,2.1575101656693363,141.48099450583283,SPI1;RAPH1;TMEM91;ALKBH6;ZC3H12A;HOMER3;PKNOX1;JUNB;IER2;GABARAPL1;ZNF282;MAP1S;PRKCE;DAPK3;CLEC11A;HPCAL1;CACNA2D2;RFX1;UNC13D;BCAM;TFR2;DDIT3;PADI4;PRR14;SF1;NEDD4L;LYPD3;WDR62;ADAMTS10;DEDD2;PRDX5;PDGFD;S100A13;PLCG2;SERPINH1;ABCA2;PLK3;JUN;ST14;JUND;HOMER2;FOSL2;SNAI1;REL;SERPINA1;ELL;ING1;PRSS21;TIMP1;DLGAP4;DUSP2;SERPINB1;COPZ2;JOSD1;DUSP8;LRRC42;SLC7A5;ITPKC;KCNMA1;ZNF358;KIFC3;ERGIC1;HBEGF;GRAMD1A;WDR25;STAU1;PRAM1;FSTL3;MRPL55;ALOX5;CHRNE;MFN2;STX5;STX4;MEF2D;BRD4;CDKN2D;CDKN2C;GSN;GLYCTK;STAT3;LAPTM5;TMCO3;XAB2;CCDC9;IGLL1;SHKBP1;ZNF219;ZYX;LGR6;YPEL5;HSPA1A;ANKRD37;DGKD;ANKRD35;CLSTN3;ZBTB20;IRS2;PLOD1;METRNL;BEST1;ZFP36;LAMP1;SESN2;CFL1;TOM1;SLC16A3;PHLDA1;ZNF683;MAP2K3;SEMA6B;TLE3;IGFBP2;TEX2;PGD;RNF40;NRBP1;SAP30;FOXP1;MAPKAPK2;PKP2;ERF;FKBP5;PFKFB2;KCNE1;PFKFB3;AEBP1;PKMYT1;LIN7B;RLF;SOCS3;TBXA2R;SAFB2;IGFBP6;WDTC1;ZBTB16;TRAPPC5;OSBPL2;CDK9;MAFG;CNOT3;MAFF;BCL3;LCN2;DHCR7;OSBPL1A;ZNF653;ITGAM;ZC3H3;AKAP8L;DYSF;FHL3;ARRB2;LSP1;SART1;EMILIN2;PHACTR1;PGM1;UNC45A;BCAS3;PLEKHG1;CDADC1;RFC2;APOA1;WIPI1;KCNAB2;RAD23B;ARL4A;DNAJC4;GAPDH;CEBPB;WBP2;MLLT1;FURIN;U2AF1;DENND3;FOXRED1;RAB20;POLR2A;ZNF628;TP53INP2;SH3BP5;TNNI2;PCDH1;POLR2I;SH2B2;ATP9A;MLXIP;RPH3AL;MCOLN1;KLF2;BAIAP3;BCKDK;KLF6;KLF9;P4HB;MDGA1;VIPR2;GFI1;LDLRAD3;GOLGA2;ZNF608;CDC26;ANPEP;BSG;CPT1A;ACSL1;ACTN1;IL1R2;SLC11A1;CSNK1D;ACTN4;MAPK8IP3;POR;CRISPLD2;CDC37;ULK1;RIN3;BCORL1;TRIB1;ATP6V0D1;ZFPM1;TMEM63B;TXN;PGS1;SEC14L2;UGCG;SEC14L1;DHX34;PCBP1;MICAL1;ATP6V0A1;VAT1;VASP;CDT1;GADD45B;GADD45A;INSR;OSGIN1;XRCC1;GADD45G;EXT1;MSRA;SMTN;STAG3;ID1;TMCC3;ECHDC3;HIP1;GDI1;AATF;PTMS;MAP1LC3B;MAP1LC3A;UIMC1;CTSD;VAV3;TNFRSF12A;TSC22D3;RHOG;MLF2;RHOB;ARHGEF1;MAPRE3;MFGE8;AVPI1;CD63;CXCR4;GNAI2;SERTAD3;EXOSC4;ZDHHC19;NFIL3;SERTAD2;LMNA;MAP4K4;MPP1;SVIL;MYO9B;VEGFA;PER1;AXL;TRIP13;SIPA1;PNPLA2;GRINA;OTUD5;CRTC2;MIDN;CD82;ZFAND3;ROGDI;MPO;CMIP;IGF1R;CCND3;BASP1;ARHGDIA;HCFC1R1;GGT1;SH3GL1;RALBP1;IL4R;APLP2;ANXA11;OSCAR;ERN1;PROCR;DOK3;HGS;ELMO1;MYADM;CHMP4B;HTRA1;EFNA5;SLC1A7;NDRG1;ARHGAP22;MAN2A2;UBC;PACSIN2;MARK4;MARK3;IVNS1ABP;UBE2H;TGFB1;AUTS2;CPSF1;CBX4;RHBDD2;TDRD9;CLK3;SSH1;EFNA1;NR4A2;TP53I3;NR4A3;UBE2S;GNB2;TMEM117;MKRN1;CHMP2A;PHF13;UBE2M;FGFR1;GSK3A;PRR7;ACADVL;PRKCSH;MAST2;CHD7;HMGB2;SLC2A1;TNFAIP3;HSPB1;CHD4;GTDC1;LAMC1;PHTF1;HK1;SGSH;RASGEF1A;ALDH2;FLOT1;PDE4A;PLAUR;OXSR1;DNM2;UBE2R2;DDAH2;COL6A2;DOCK2;RBKS;B4GALT4;COLEC12;LAMA5;USP10;ATP1A3;SLC3A2;MOSPD3;ACVR1B;THBS1;AURKB;ADD1;AGPAT4;ADD2;GNA15;GNG5;MKNK1;REPS2;RALY;PDLIM7;CLASP1;MAPK3;GALNT2;LAMB2;HAGHL;ARID3B;USF2;PNKD;FMNL1;TNIP1;TBKBP1,2.494027163734577e-26,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
2,ELK3 25401928 ChIP-Seq HUVEC Human,1.2573148856060794e-26,2.6991956101515244,160.97525944765715,CRTC2;MIDN;ITPRIP;PLOD1;ENO1;CMIP;CCND3;ZFP36;ZNF608;FTH1;ARHGDIA;ZC3H12A;SESN2;CFL1;MACROD1;SLC16A3;JUNB;PHLDA1;IER2;IER3;AGFG1;TLE3;CPT1A;TLE1;DAPK3;CSGALNACT2;CLEC11A;HPCAL1;ARID5A;PGD;ADAM19;MAP7D1;MAPKAPK2;DDIT4;ERF;MYADM;RIN3;TRIB1;PFN1;NEIL1;ARL8A;STX1A;FTL;FKBP5;ZNF670;PFKFB3;PEF1;BRI3;TOR1AIP2;EFNA5;SLC1A7;NDRG1;PGS1;ARHGAP22;PRDX5;LDHA;UBB;TBXA2R;PDGFD;INPP5D;ALDH3B1;UBC;SERPINH1;ZNF787;IGFBP6;PLTP;PDZD8;WDTC1;IVNS1ABP;VAT1;VASP;JUN;PHC2;TGFB1;GADD45B;CBX4;GADD45A;PHF12;PCIF1;OSGIN1;XRCC1;TRAPPC9;CLK3;FOSL2;CDK9;EFNA1;NR4A2;NFKBIA;SMTN;NR4A3;DNMBP;BHLHE40;ID1;MAFF;BCL3;ATG2A;SNAI1;NFKBID;FERMT3;FGFR1;CSRNP1;KDM5B;ARF1;GSK3A;PRR7;ACADVL;CNRIP1;MAST3;SLC2A1;TNFAIP3;SRA1;HSPB1;CHD4;ADM;SMG7;ING1;LTB4R;HK2;PTMS;HK1;PDE4A;CD37;KIF1B;FGFBP3;PGM1;TEAD2;GPSM3;DLGAP4;KDM6B;PLEKHG1;TNFRSF12A;DUSP1;GPX3;RHOG;PLAUR;APOA1;VPS37B;FOS;OXSR1;DUSP8;RAB33A;CKAP4;PLCB3;MTF1;FAM193B;ARHGEF1;ALDOA;GAPDH;PPP1R15A;TRABD;LAMA5;GRAMD1A;WAS;MLLT1;FURIN;MOSPD3;RELA;GNAI2;SERTAD3;GNA15;PABPN1;CCDC85B;HLX;LMNA;EPS8L1;MEF2D;TP53I11;RELT;PDLIM7;CLASP1;MLXIP;MPP1;LAPTM5;SAMD4B;MYO9B;GATAD2B;KLF2;PER1;RIT1;KLF6;MYO15B;CCDC9;AXL;KLF9;VIM;SMAP2;SIPA1;GZF1,4.0944740438188806e-24,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
3,RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human,1.633433794076681e-26,2.138348830656523,126.96772921021042,ERRFI1;SPI1;ARAF;LDLRAD3;ENO1;ACCS;RBPJ;GOLGA2;RABGEF1;CDC26;FTH1;FAM53C;ATXN7L1;PELO;JUNB;GLUL;IER2;AGFG1;GABARAPL1;CPT1A;ACTN1;DAPK2;DDX11;PRKCE;SLC11A1;DAPK3;HPCAL1;AFAP1;HSD11B1L;CSNK1D;RFX1;RNASE1;MAPK8IP3;SYTL3;BCAM;POR;ZNF837;CDC37;NINJ2;DDIT4;UQCRC1;SIK3;RIN3;PADI4;NUP98;TRIB1;PFN1;NEIL1;ZFPM1;LRPAP1;STXBP2;ADAMTS10;DEDD2;PGS1;SEC14L2;UGCG;PRDX5;SEC14L1;DHX34;XRRA1;PCBP1;MICAL1;ST3GAL4;PLCG2;PIP5K1B;ATP6V0A1;VASP;CDT1;ST14;JUND;INTS1;GADD45A;INSR;ERLIN1;FOSL2;GADD45G;MSRA;SNAI1;COL9A2;CSRNP1;HIP1;ELL;CITED4;CLTB;ADM;AATF;PHF7;ING1;TMEM187;MAP1LC3B;UIMC1;KIF1B;TIMP1;FGFBP3;CTSD;DLGAP4;VAV3;FCER1G;TNFRSF12A;DUSP1;TSC22D3;EPS15L1;FOS;RAB33A;RHOB;SLC7A5;KCNMA1;ARHGEF1;ALDOC;TKT;ALDOA;ERGIC1;JDP2;HBEGF;AVPI1;RAB7A;C1QB;SF3B2;CTDP1;STAU1;PRUNE2;TRAK1;PRAM1;PTS;FSTL3;GNAI2;FGD4;ZDHHC19;SERTAD2;ALOX5;CHRNE;LMNA;ANO10;STX4;MEF2D;TP53I11;RELT;METTL9;CD55;CDKN2D;SVIL;SF3A1;GSN;STAT3;LAPTM5;LILRB3;SCAF1;VEGFA;HIPK2;PER1;RIT1;RYBP;GLB1L;CCDC9;IGLL1;ZYX;UBAP1;TRIP13;LGR6;KIAA1958;YPEL5;RAMP1;GZF1;OTUD5;MIDN;NARF;ITPRIP;CD82;ZFAND3;CLSTN3;SYAP1;SLA;ZBTB20;IRS2;CASC3;ETS2;CMIP;IGF1R;LAMP1;RGS1;ARHGDIA;CFL1;HCFC1R1;TOM1;GGT1;SLC16A3;GYG1;ZNF683;CSGALNACT1;MAP2K3;RALBP1;IL4R;RALGAPA2;APLP2;ARID5A;SHISA4;TEX2;TRPC4AP;TANC2;RNF40;SAP30;TPST1;MAP7D1;MAPKAPK2;ERF;ELMO1;CHMP4B;FTL;FKBP5;PFKFB3;PEF1;C5AR1;CREM;ABHD5;FOXO3;PKMYT1;SUPT6H;ARHGAP22;SOCS3;UBB;TBXA2R;UBC;PACSIN2;NLRP3;CYTL1;ZNF787;SRGAP1;MYH10;PDZD8;UBE2F;IVNS1ABP;AKIRIN2;TGFB1;AUTS2;CBX4;HSPA5;VDR;ZBTB16;PHF12;PCIF1;TRAPPC5;MSN;TRAPPC9;CLK3;SSH1;EFNA1;NR4A2;NFKBIA;DIAPH1;TP53I3;NR4A3;DNMBP;UBE2S;GNB2;LRFN1;TMEM117;BHLHE40;MKRN1;BCL3;PHF13;OSBPL1A;MXD1;ZNF653;SERINC2;NOP10;UBE2M;GSK3A;PRR7;KDM5C;FLT1;ZC3H3;AKAP8L;CHD7;DYSF;SLC2A1;TNFAIP3;HSPB1;CHD4;SLC2A3;GTDC1;ARRB2;LAMC1;TREM1;PHTF1;SYNE1;THBD;TRPS1;PDE4A;LRRFIP2;PHACTR1;PGM1;KDM6B;RFC2;PPP2R5B;PLAUR;VPS37B;KCNAB2;RAD23B;EPN2;DNM2;FGR;ARL4A;TBC1D2;ASPH;COL6A2;MYH9;BPI;LCP1;BCAT1;MCTP2;GAPDH;TRABD;COLEC12;CEBPD;MGRN1;WBP2;PRCD;MLLT1;U2AF1;SLC3A2;DENND3;MOSPD3;THBS1;ADD1;STRN3;DNAJB1;GNA15;MAPK7;SH3BP5;STOM;PCDH1;POLR2I;CLASP1;GALNT2;LAMB2;TAF10;SPAG4;ARID3B;MCOLN1;USF2;BAIAP3;BCKDK;KLF6;TNIP1;KLF9;ALOX5AP;TBKBP1;SPRY1;VIM;MDGA1,4.0944740438188806e-24,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
4,KDM2B 26808549 Chip-Seq DND41 Human,1.7677874555370837e-25,2.6632648485623514,151.79250994965562,CRTC2;MIDN;ITPRIP;CD82;GFI1;ENO1;RBPJ;IGF1R;CCND3;ZFP36;ZC3H12A;SESN2;BSG;CFL1;MACROD1;ATXN7L1;SLC16A3;JUNB;GLUL;IER2;MAP2K3;SEMA6B;TLE3;CPT1A;ACTN1;PRKCE;APLP2;DAPK3;CSGALNACT2;HPCAL1;ARID5A;HSD11B1L;CSNK1D;ACTN4;PGD;FOXP1;KATNAL1;NINJ2;MAP7D1;DDIT4;ERF;PFN1;ZFPM1;ARL8A;STX1A;FKBP5;PFKFB3;FLII;LYPD3;FOXO3;DEDD2;SOCS3;PRDX5;LDHA;MAN2A2;INPP5D;ST3GAL4;SERPINH1;PDZD8;MARK3;WDTC1;IVNS1ABP;PLK3;JUN;PHC2;JUND;TGFB1;POU2F1;AUTS2;GADD45B;CBX4;GADD45A;TMEM120A;PHF12;INSR;FOSL2;CDK9;EFNA1;NR4A2;SMTN;NR4A3;GNB2;LRFN1;MAFG;BHLHE40;ID1;BCL3;CHMP2A;PHF13;COL9A2;RGL4;CNIH3;EIF4G3;SERINC2;SLC26A6;FGFR1;KDM5B;GPSM2;PRR7;HIP1;MAST3;AKAP8L;SLC2A1;FHL3;SRA1;HSPB1;CHD4;ADM;LSP1;SMG7;ING1;HK2;HK1;RASGEF1A;ACP6;PDE4A;QSOX1;KIF1B;FGFBP3;CTSD;PGM1;KDM6B;ANKDD1A;RHOG;PLAUR;ARNT;FOS;KCNAB2;EPN2;FGR;SLC7A5;PLCB3;MMP23B;DNAJC4;PICK1;ARHGEF1;ALDOA;GAPDH;TRABD;C1QA;CTDP1;PRCD;CXCR4;ATP1A3;FURIN;RELA;FSTL3;GNAI2;SERTAD3;GNA15;PABPN1;CCDC85B;TP53INP2;UBTD1;RALY;MEF2D;RELT;SH2B2;CD55;PDLIM7;CDKN2C;GALNT2;TAF10;OSM;ARID3B;YY1AP1;GATAD2A;BAIAP3;VEGFA;PER1;KLF6;FMNL1;MYO15B;CCDC9;IGLL1;KLF9;SPRY1;VIM;SMAP2;MDGA1;IL18R1;GZF1;PNPLA2,3.3234404164097175e-23,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
5,UTX 26944678 Chip-Seq JUKART Human,2.5486545151354884e-25,2.674819315854505,151.47250819706727,CDA;MIDN;NARF;ITPRIP;CD82;CLSTN3;GFI1;ROGDI;CASC3;ENO1;CCND3;ZFP36;FTH1;ARHGDIA;ZC3H12A;SESN2;CFL1;FAM53C;ATXN7L1;GGT1;SLC16A3;JUNB;GLUL;IER2;TBC1D10B;ZNF683;MAP2K3;TLE3;CPT1A;ACTN1;IL1R2;DAPK3;ARID5A;PGD;SYTL3;ACAP1;MAP7D1;DDIT3;ERF;MYADM;ULK1;TRIB1;PFN1;NEIL1;ZFPM1;ARL8A;STX1A;FTL;FKBP5;PEF1;FOXO3;RASAL3;SEC14L2;PRDX5;UBC;SERPINH1;HMOX1;NLRP3;EIF4EBP3;ZNF821;WDTC1;ATP6V0A1;IVNS1ABP;OSBPL9;VAT1;VASP;CDT1;JUN;GSTM1;INTS1;GADD45B;CBX4;UBE2C;GADD45A;PHF12;TRAPPC5;MSN;TRAPPC9;CLK3;EXT1;CDK9;ID1;BCL3;CHMP2A;PHF13;COL9A2;RGL4;ZNF653;EIF4G3;SLC26A6;FERMT3;CSRNP1;KDM5B;FLT1;SERPINA1;QPRT;CHD4;ADM;SLC2A3;ARRB2;ING1;LTB4R;SART1;MAP1LC3B;UIMC1;PDE4A;QSOX1;CD37;KIF1B;LRRFIP2;CTSD;GPSM3;KDM6B;BCAS3;DUSP2;TPI1;RHOG;PLAUR;VPS37B;KCNAB2;JOSD1;SLC7A5;RNF167;DDAH2;MTF1;MMP23B;MYH9;ARHGEF1;LCP1;ALDOA;GAPDH;ERGIC1;HBEGF;AVPI1;TRABD;CD63;CEBPB;CTDP1;CXCR4;RRBP1;RELA;ADD1;GNAI2;SERTAD3;GNA15;PABPN1;POLR2A;SERTAD2;MKNK1;FAM177A1;SH3BP5;MFN2;STX5;EPS8L1;MEF2D;CLASP1;MLXIP;CDKN2C;HAGHL;LAPTM5;KIR3DL2;ARID3B;HIPK1;PER1;KLF6;FMNL1;NUDT8;CCDC9;IGLL1;P2RX1;ZNF219;ALOX5AP;ZYX;RBM42;S100P;VIM;KIAA1958;SIPA1;GZF1;PNPLA2,3.833176390763775e-23,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
6,RACK7 27058665 Chip-Seq MCF-7 Human,3.8471551028196174e-23,2.5436459602111245,131.2829686706196,ERRFI1;SPI1;ITPRIP;CD82;ROGDI;PLOD1;ENO1;ACCS;CMIP;IGF1R;ZFP36;ABHD11;ARHGDIA;ZC3H12A;CFL1;ATXN7L1;SLC16A3;JUNB;GLUL;TBC1D10B;MAP2K3;TLE3;G6PD;CPT1A;TLE1;ACTN1;DAPK2;PRKCE;APLP2;CSGALNACT2;CLEC11A;HPCAL1;AFAP1;ANXA11;RFX1;ACTN4;TEX2;PGD;MAPK8IP3;FOXP1;TPST2;PROCR;DDIT3;DDIT4;PKP2;SIK3;MYADM;NEIL1;ARL8A;S100A8;FTL;PRR13;FKBP5;LCN8;PFKFB3;ABHD4;CREM;HTRA1;NEDD4L;FOXO3;PKMYT1;RLF;ARHGAP22;SOCS3;LDHA;SEC14L1;MAN2A2;UBB;ALDH3B1;UBC;S100A13;ST3GAL4;DVL3;IGFBP6;MARK4;PDZD8;UBE2F;VASP;PLK3;CDT1;JUN;PHC2;POU2F1;CBX4;GADD45A;PHF12;INSR;OSGIN1;SLC16A11;CLK3;SSH1;FOSL2;GADD45G;CCDC88B;EFNA1;SMTN;NR4A3;ID1;BCL3;ATG2A;COL9A2;ZNF653;CNIH3;EIF4G3;GPI;KDM5B;ARF1;GSK3A;ACADVL;MAST2;SLC2A1;HSPB1;ADM;SLC2A3;GTDC1;LAMC1;EFCAB7;SMG7;HK2;PTMS;HK1;MAP1LC3B;TRPS1;KIF1B;EMD;DLGAP4;VAV3;KDM6B;TNFRSF12A;APOA1;VPS37B;EPS15L1;FOS;JOSD1;CKAP4;SLC7A5;ITPKC;RILPL1;MYH9;ARHGEF1;JDP2;AVPI1;COLEC12;CD63;CEBPB;PRCD;FURIN;DENND3;ACVR1B;MRPL55;SERTAD3;PABPN1;CCDC85B;LMNA;MFN2;STX5;PCDH1;RELT;SVIL;RPH3AL;CDKN2C;GSN;GALNT2;ASCC1;HAGHL;YY1AP1;VEGFA;BCKDK;PER1;MYO15B;ZNF219;KLF9;RAB13;ZYX;S100P;SPRY1;VIM;SMAP2;RAMP1,4.8217677288672535e-21,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
7,KDM2B 26808549 Chip-Seq SIL-ALL Human,1.0471196600883921e-22,2.5359012813429107,128.34406568485355,CRTC2;MIDN;ITPRIP;CD82;GFI1;ENO1;RBPJ;METRNL;IGF1R;ZFP36;FTH1;ZC3H12A;HCFC1R1;PKNOX1;JUNB;PHLDA1;GLUL;IER2;ZNF683;MAP2K3;TLE3;GABARAPL1;CPT1A;ACTN1;PRKCE;DAPK3;CLEC11A;HPCAL1;ARID5A;PGD;SYTL3;MAPKAPK2;ERF;MYADM;ELMO2;BCORL1;TRIB1;PFN1;ZFPM1;ARL8A;STX1A;PRR14;SF1;FTL;FKBP5;PFKFB3;RLF;SOCS3;LDHA;MAN2A2;UBC;CYTL1;ZNF821;ZNF787;IGFBP6;PDZD8;WDTC1;IVNS1ABP;OSBPL9;VAT1;CDT1;JUN;PHC2;JUND;TGFB1;POU2F1;INTS1;GADD45B;CBX4;GADD45A;ZBTB16;PHF12;TRAPPC9;CLK3;FOSL2;SRPK1;NR4A2;MSRA;NR4A3;GNB2;BHLHE40;ID1;BCL3;SNAI1;PHF13;COL9A2;CNIH3;EIF4G3;SERINC2;SLC26A6;FERMT3;FGFR1;GPI;GPSM2;ARF1;PRR7;FLT3;MAST2;SLC2A1;HSPB1;CHD4;ADM;EFCAB7;SMG7;ING1;TREM1;HK2;HK1;MAP1LC3B;PDE4A;KIF1B;FGFBP3;NEO1;PGM1;KDM6B;TNFRSF12A;DUSP1;RHOG;FOS;KCNAB2;FGR;SLC7A5;MTF1;MMP23B;DNAJC4;MYH9;KIFC3;ALDOA;GAPDH;CHST2;ERGIC1;AVPI1;TRABD;CD63;LAMA5;STAU1;CXCR4;FURIN;PRAM1;RELA;FSTL3;GNAI2;SERTAD3;MKNK1;MFN2;TNNI2;SCAND1;MEF2D;RELT;METTL9;SH2B2;BRD4;SVIL;CDKN2C;GALNT2;HAGHL;SPAG4;LAPTM5;ARID3B;YY1AP1;CDK11B;USF2;HIPK2;PER1;KLF6;CCDC9;AXL;P2RX1;KLF9;CHPT1;TBKBP1;SPRY1;VIM;SMAP2;GZF1;ENGASE,1.1249056919806726e-20,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
8,ATF3 23680149 ChIP-Seq GBM1-GSC Human,6.723379548710048e-22,2.4973444252589228,121.74874010108273,ERRFI1;MIDN;ITPRIP;SYAP1;IRS2;CASC3;ENO1;ACCS;SAT1;ETS2;GOLGA2;ZNF608;RGS1;ZC3H12A;SESN2;HCFC1R1;FAM53C;PHLDA1;CAST;MAP2K3;GABARAPL1;CCDC159;ACSL1;ACTN1;DAPK2;DAPK3;DNTTIP1;CSNK1D;ACTN4;PGD;GTPBP1;JMJD6;TBC1D25;NUP98;TRIB1;STX1A;PFKFB2;PFKFB3;PEF1;CREM;NEDD4L;RLF;PGS1;PRDX5;LDHA;SEC14L1;UBB;ALDH3B1;UBC;PACSIN2;S100A13;ST3GAL4;EIF4EBP3;IGFBP6;PLTP;ATP6V0A1;VAT1;AKIRIN2;PLK3;JUN;UBE2H;PHC2;GADD45B;HSPA5;UBE2C;GADD45A;KLRC3;RHBDD2;PLK2;PHF12;PCIF1;FN1;SSH1;FOSL2;GADD45G;EFNA1;NR4A3;BHLHE40;ID1;MAFF;SNAI1;PAF1;UBA1;MXD1;CDK16;CSRNP1;ELL;HMGB2;SLC2A1;SRA1;HSPB1;ADM;VLDLR;MED16;AREG;HK1;MAP1LC3B;MMP28;FLOT1;QSOX1;KIF1B;UPP1;FGFBP3;KDM6B;TNFRSF12A;DUSP1;GPX3;TSC22D3;TFE3;PPP2R5B;ARNT;COPZ2;VPS37B;EPS15L1;OXSR1;RAD23B;CKAP4;SLC7A5;ARL4A;DDAH2;B3GNT5;COL6A2;MYH9;FAM193B;PLIN2;ANG;ERGIC1;RBKS;AVPI1;RAB7A;PPP1R15A;CD63;LAMA5;WDR25;CEBPB;WBP2;PRCD;DENND3;PTS;MRPL55;AURKA;AGPAT4;DNAJB1;EXOSC4;NFIL3;GNG5;LMNA;SH3BP5;CCL3;MFN2;SCAND1;CD55;BRD4;CMTM7;CDKN2C;GSN;GALNT2;STAT3;SPAG4;OSM;HIPK1;CDK11B;PER1;KLF6;TNIP1;CCDC9;AXL;UBAP1;SPRY1;VIM;YPEL5;MDGA1;GLA;GZF1,6.319976775787445e-20,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
9,TCF21 26020271 ChIP-Seq SMOOTH MUSCLE Human,2.3526959586602693e-21,2.4817793265722496,117.88135390688537,ERRFI1;CDA;CRTC2;NARF;CD82;ZBTB20;TMEM91;CMIP;BEST1;ZNF608;ANPEP;FTH1;ZC3H12A;SLC16A3;JUNB;PHLDA1;GYG1;CDK5RAP2;ZNF683;TLE3;GABARAPL1;CPT1A;ENDOG;IL4R;CCDC159;ACTN1;ARID5A;CSNK1D;RFX1;ACTN4;PGD;SYTL3;JMJD6;ERN1;TPST1;CRISPLD2;DDIT3;MAPKAPK2;DDIT4;MYADM;ADAM9;ULK1;TRIB1;ATP6V0D1;STX1A;PRR14;KCNE1;PLD1;SLC1A7;NDRG1;HIF1A;PGS1;ARHGAP22;SOCS3;MAN2A2;UBC;PACSIN2;SERPINH1;HMOX1;DVL3;SRGAP1;PLTP;ELANE;PLK3;JUN;UBE2H;PHC2;ST14;JUND;ARHGEF37;GADD45B;HSPA5;VDR;FN1;OSGIN1;SLC16A11;CLK3;SSH1;FOSL2;CCDC88B;NFKBIA;NR4A3;DNMBP;CPD;BHLHE40;ID1;CNOT3;BCL3;CDK2;COL9A2;SLC26A6;FERMT3;CSRNP1;GPI;GSK3A;ALAS1;ELL;MAST2;SLC2A1;TNFAIP3;HSPB1;ADM;LAMC1;SLC2A5;PRSS23;CXCL2;HK2;THBD;MAP1LC3B;SLC22A15;ALDH2;UIMC1;LRRFIP2;CYTIP;KDM6B;SERPINB1;DUSP1;TSC22D3;PPP2R5B;ARNT;FOS;RAD23B;ARL4A;TBC1D7;FAM193B;TKT;GAPDH;ERGIC1;CD63;LAMA5;GRAMD1A;WBP2;PRCD;MLLT1;THBS1;RELA;SERTAD3;GNA15;SERTAD2;HLX;CHRNE;LMNA;STOM;MEF2D;TP53I11;RELT;BRD4;MAP4K4;MAPK3;MLXIP;CMTM7;CDKN2C;GSN;MYO10;NCKAP5L;SPAG4;MYO9B;ARID3B;KLF2;VEGFA;KLF6;FMNL1;TNIP1;KLF9;RAB13;ALOX5AP;P4HB;SMAP2;YPEL5;SPC24;GZF1,1.9658081787916916e-19,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
10,MECOM 23826213 ChIP-Seq KASUMI Mouse,4.496340612698876e-21,2.517954431586065,117.9687411989529,DGKD;ITPRIP;CD82;CLSTN3;ROGDI;ARAF;SLA;ALKBH6;BEST1;RABGEF1;IL18RAP;RGS1;FTH1;ARHGDIA;FAM53C;ATXN7L1;JUNB;IER2;AGFG1;CAST;TLE3;ECH1;CSGALNACT2;ARID5A;ANXA11;RFX1;GAPVD1;TEX2;UNC13D;NRBP1;SAP30;FOXP1;DOK3;CLEC4D;TFR2;MAPKAPK2;DDIT4;ELMO1;TRIB1;ZFPM1;ARL8A;PRR13;PXK;ABHD4;C5AR1;CREM;NDRG1;SAMSN1;DEDD2;SEC14L2;UGCG;LDHA;MICAL1;INPP5D;ALDH3B1;PACSIN2;MYH10;PDZD8;ATP6V0A1;UBE2F;IVNS1ABP;VAT1;JUN;PHC2;ST14;TGFB1;INTS1;GPR108;OSBPL2;ERLIN1;MSN;NKG7;TRAPPC9;ARHGAP26;CLK3;SSH1;FOSL2;GADD45G;CDK9;CCDC88B;NFKBIA;CPD;ID1;REL;NFKBID;FERMT3;CCNJL;PRR7;KDM5C;ITGAM;PRKCSH;CLTB;FHL3;HMGB3;TNFAIP3;ARRB2;PYGL;CXCL2;HK2;SYNE1;HK1;SGSH;ALDH2;CTSG;CD37;UPP1;EMD;GPSM3;VAV3;DUSP2;FCER1G;SERPINB2;RHOG;KCNAB2;F5;DNM2;APBB1IP;ARL4A;PKM;RILPL1;MTF1;HCLS1;MYH9;ARHGEF1;LCP1;KIFC3;TKT;MCTP2;GAPDH;JDP2;B4GALT4;PPP1R15A;TRABD;CTDP1;STAU1;CEBPD;FURIN;RRBP1;MOSPD3;ADD1;PTS;GNA15;EXOSC4;POLR2A;LMNA;CCL3;RALY;SCAND1;SLC36A4;RELT;SH2B2;CLASP1;OSM;LAPTM5;MYO9B;USF2;VEGFA;HIPK2;RIT1;P2RX1;SLCO4C1;ALOX5AP;VIM,3.3812481407495553e-19,0,0,GTEX-SSA3-0005-SM-32QOT,under,ChEA_2022
