rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Glycolytic Process (GO:0006096),5.385909627155867e-09,13.56251488449631,258.2232257652364,PFKFB2;GPI;HK3;LDHA;TPI1;PKM;ALDOC;ENO1;GAPDH;HK2;PGM1;HK1,1.9863234704950837e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
2,Phosphorylation (GO:0016310),2.3814005548884853e-08,2.585890848493265,45.390121275388104,GPI;GSK3A;DGKD;MAST2;HK2;HK1;HK3;PDK4;CTSG;DAPK2;PRKCE;DAPK3;CSNK1D;OXSR1;ERN1;FGR;PEAK1;MAPKAPK2;SIK3;PICK1;ULK1;DGKK;TRIB1;PXK;ACVR1B;AURKB;AURKA;GK5;MKNK1;PAK6;MARK4;MARK3;MAP4K4;MAPK3;TGFB1;PLK2;GLYCTK;INSR;TAF10;STAT3;HIPK1;CDK11B;CLK3;HIPK2;SRPK1;CDK9;BCKDK;CDK2;CDK16;FGFR1,4.3913026232143666e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
3,Endocytosis (GO:0006897),2.4964045556074144e-07,3.3707282161388443,51.24600397261832,HIP1;ITGAM;RNASEK;LDLRAD3;VLDLR;MRC1;TOM1;PACSIN2;REPS2;ELANE;ATP9A;PDLIM7;MAPK3;RALBP1;SLC11A1;INSR;ANXA11;CSNK1D;EPS15L1;JMJD6;DNM2;EPN2;TFR2;AXL;CEACAM4;AMPH;RIN3;RAB7A,0.0003068913333693381,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
4,Protein Modification Process (GO:0036211),4.577009044682542e-07,2.0468468108619096,29.877925062769968,GPI;GSK3A;MAST2;ARAF;GOLGA2;MACROD1;PDK4;CTSG;DAPK2;PRKCE;DAPK3;PPP2R5B;APOA1;WIPI1;CSNK1D;OXSR1;ERN1;FGR;PEAK1;B3GNT5;MAPKAPK2;SIK3;PICK1;ULK1;PADI4;TRIB1;ATG4D;PXK;MTMR3;CTDP1;ACVR1B;THBS1;AURKB;AURKA;UGCG;MAN2A2;TP53INP2;MKNK1;ST3GAL4;PAK6;MARK4;MARK3;MAP4K4;MAPK3;UBE2F;TGFB1;PLK2;GLYCTK;INSR;TAF10;FN1;PPP2R3B;HIPK1;CDK11B;CLK3;HIPK2;SRPK1;SSH1;CDK9;BCKDK;MSRA;UBE2S;CDK2;CDK16;ENGASE;FGFR1;UBE2M,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
5,Carbohydrate Catabolic Process (GO:0016052),4.696491896396479e-07,7.945413932709759,115.77484974662104,PFKFB2;GPI;HK3;LDHA;TPI1;PKM;ALDOC;ENO1;GAPDH;HK2;PGM1;HK1,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
6,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),6.165882295590909e-07,17.017025089605735,243.32753783888407,CEBPB;MAPK7;HSPA5;DDIT3;RBPJ;HIF1A;KLF2;VEGFA,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
7,Pyruvate Metabolic Process (GO:0006090),7.129517098014147e-07,6.750431282346176,95.54460629890949,PFKFB2;GPI;TPI1;ENO1;HK2;HK1;HK3;LDHA;PKM;NR4A3;ALDOC;GAPDH;PGM1,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
8,Positive Regulation Of Cell Migration (GO:0030335),8.450766087184651e-07,2.774622892635315,38.79987857466456,FLT1;CXCR4;ACVR1B;HIF1A;THBS1;IGF1R;PDGFD;PLCG2;CCL3;STX4;WASHC1;CLASP1;MAP4K4;SEMA6B;TGFB1;HSPA5;PRKCE;INSR;HGF;STAT3;FN1;ACTN4;VEGFA;FGR;IFNG;AGO2;SNAI1;MYADM;ADAM9;PFN1;LGR6;FERMT2;FERMT3;HBEGF,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
9,Cellular Response To Lipopolysaccharide (GO:0071222),8.508180709647459e-07,3.9354304471572936,55.00577705608829,TGFB1;CXCL8;GFI1;PRKCE;HMGB2;TNFAIP3;CXCL2;RHOA;RELA;ZFP36;PABPN1;TNIP1;AXL;ZC3H12A;PLCG2;CCL3;ADAM9;NLRP3;CTSG;BPI;VIM,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
10,Regulation Of Erythrocyte Differentiation (GO:0045646),8.760318051868699e-07,8.44186046511628,117.74591694172732,ZFP36;SPI1;STAT3;HMGB2;ARNT;ACVR1B;FOXO3;HIF1A;ZFPM1;HSPA1B;HSPA1A,0.00032308052975291764,0,0,GTEX-SSA3-0005-SM-32QOT,under,GO_Biological_Process_2023
