rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,HIF-1 signaling pathway,6.412447178497212e-10,5.472034715525554,115.82989652803428,PFKFB3;FLT1;INSR;STAT3;SLC2A1;ARNT;ENO1;HIF1A;HK2;RELA;IGF1R;HK1;VEGFA;HK3;LDHA;IFNG;MKNK1;PLCG2;HMOX1;ALDOC;TIMP1;ALDOA;GAPDH;MAPK3,1.8788470232996832e-07,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
2,MAPK signaling pathway,2.3620887860837276e-07,2.8020857324104713,42.75576341556929,FLT1;FLT3;ARAF;HSPB1;ARRB2;EFNA5;AREG;RELA;IGF1R;MAPK7;PDGFD;MKNK1;MAP4K4;MAPK3;MAP2K3;JUN;DUSP2;JUND;TGFB1;GADD45B;GADD45A;DUSP1;INSR;HGF;CACNA2D2;FOS;DUSP8;MAPK8IP3;EREG;GADD45G;VEGFA;EFNA1;DDIT3;MAPKAPK2;HSPA1B;HSPA1A;FGFR1,3.460460071612661e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
3,Amoebiasis,6.251505575968853e-07,4.414268695577417,63.05903484218661,LAMA5;TGFB1;CXCL8;ITGAM;LAMB2;ACTN1;IL1R2;FN1;HSPB1;ACTN4;LAMC1;CXCL2;RELA;PLCB3;GNA15;IFNG;COL4A3;CTSG;RAB7A,6.10563711252958e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
4,Shigellosis,2.1449659660552204e-06,2.795185638514892,36.483844333936084,ARF1;GSK3A;CXCL8;U2AF1;FOXO3;RELA;HK2;HK1;HK3;UBB;UBC;PLCG2;NLRP3;MAPK3;CAST;GABARAPL1;JUN;ACTN1;PRKCE;WIPI1;ACTN4;RHOA;NFKBIA;DIAPH1;PLCB3;TNIP1;RRAGD;ELMO1;HCLS1;ELMO2;PFN1,0.0001571187570135449,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
5,Glycolysis / Gluconeogenesis,4.559458750283064e-06,5.0759309579394545,62.42535538693072,GPI;TPI1;ENO1;HK2;HK1;HK3;LDHA;PKM;ALDH2;ALDH3B1;ALDOC;ALDOA;GAPDH;PGM1,0.00026718428276658755,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
6,FoxO signaling pathway,7.957368945926916e-06,3.4728810443096156,40.77652767936051,CDKN2D;PLK3;GABARAPL1;TGFB1;GADD45B;GADD45A;HOMER2;INSR;PLK2;STAT3;ARAF;IRS2;FOXO3;KLF2;IGF1R;GADD45G;CCNB2;CDK2;HOMER3;MAPK3,0.0003721286746111172,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
7,Pentose phosphate pathway,1.0399508020698832e-05,8.20772668300418,94.1734209258567,GPI;G6PD;GLYCTK;ALDOC;PGD;ALDOA;TKT;PGM1;RBKS,0.0003721286746111172,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
9,Transcriptional misregulation in cancer,1.143057362286708e-05,2.8916014125594964,32.9041654325985,CEBPB;SPI1;CXCL8;FLT1;ITGAM;BCL2A1;HPGD;FLT3;MLLT1;MPO;RELA;IGF1R;ELANE;CDKN2C;GADD45B;GADD45A;IL1R2;ZBTB16;TFE3;GADD45G;BAIAP3;CDK9;NR4A3;DDIT3;REL,0.0003721286746111172,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
8,Chemokine signaling pathway,1.143057362286708e-05,2.8916014125594964,32.9041654325985,GSK3A;CXCL8;CCL4L2;WAS;CXCR4;ARRB2;FOXO3;CXCL2;RELA;GNAI2;GNG5;CCL4;PLCG2;CCL3;MAPK3;VAV3;STAT3;RHOA;NFKBIA;FGR;PLCB3;GNB2;ELMO1;XCL2;DOCK2,0.0003721286746111172,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
10,Autophagy,1.5743650198055114e-05,3.2937380080237224,36.425690509720006,GABARAPL1;MTMR3;DAPK2;DAPK3;IRS2;WIPI1;HIF1A;IGF1R;ERN1;DEPTOR;LAMP1;TP53INP2;DDIT4;RRAGD;ATG2A;ULK1;CTSD;ATG4D;RAB7A;MAPK3,0.00046128895080301484,0,0,GTEX-SSA3-0005-SM-32QOT,under,KEGG_2021_Human
