rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,TNF-alpha Signaling via NF-kB,3.7570194081845465e-25,7.371455877668047,414.57806027994184,TNFAIP3;IRS2;SLC2A3;AREG;SAT1;CXCL2;ETS2;ZFP36;ZC3H12A;JUNB;PHLDA1;IER2;IER3;MAP2K3;KDM6B;DUSP2;SERPINB2;DUSP1;PLAUR;FOS;RHOB;TRIB1;HBEGF;PPP1R15A;CEBPB;PFKFB3;BCL2A1;CEBPD;RELA;SOCS3;NFIL3;CCL4;JUN;GADD45B;GADD45A;PLK2;G0S2;KLF2;FOSL2;VEGFA;NFKBIA;NR4A2;EFNA1;PER1;KLF6;NR4A3;TNIP1;MAFF;BHLHE40;BCL3;KLF9;REL;PTX3;MXD1,1.8785097040922734e-23,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
2,Hypoxia,2.7591860699682772e-24,7.17776149530562,389.37279225169266,ERRFI1;GPI;GBE1;SLC2A1;TNFAIP3;ADM;IRS2;SLC2A3;ENO1;VLDLR;RBPJ;SLC2A5;HK2;HK1;ZFP36;PGM1;IER3;TPI1;DUSP1;PLAUR;FOS;JMJD6;SAP30;TPST2;DDIT3;DDIT4;RRAGD;MYH9;ALDOC;PLIN2;ALDOA;GAPDH;CHST2;PPP1R15A;PFKFB3;NEDD4L;CXCR4;FOXO3;NDRG1;LDHA;PRDX5;NFIL3;HMOX1;ANKZF1;JUN;HSPA5;FOSL2;VEGFA;EXT1;EFNA1;KLF6;BHLHE40;MAFF,6.897965174920693e-23,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
3,Glycolysis,1.9701846256171927e-08,3.56471321010497,63.247114796125615,CXCR4;IRS2;ENO1;TXN;VLDLR;PYGL;PLOD1;HK2;AURKA;LDHA;QSOX1;GUSB;SLC16A3;ANKZF1;IER3;G6PD;TPI1;HSPA5;SPAG4;VEGFA;SAP30;EXT1;TPST1;PKM;DDIT4;RRAGD;PKP2;ANG;ALDOA;CHST2;B4GALT4,2.4627307820214906e-07,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
4,p53 Pathway,1.9701846256171927e-08,3.56471321010497,63.247114796125615,PPP1R15A;CD82;ABHD4;SLC3A2;FOXO3;ACVR1B;SAT1;NDRG1;SERTAD3;CCND3;HMOX1;STOM;UPP1;CTSD;IER3;TSPYL2;PLK3;JUN;ST14;TGFB1;GADD45A;VDR;PLK2;ZBTB16;OSGIN1;FOS;PROCR;DDIT3;DDIT4;MXD1;HBEGF,2.4627307820214906e-07,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
5,mTORC1 Signaling,7.074462277452468e-08,3.425712553062462,56.40157998326826,PPP1R15A;GPI;GBE1;SLC2A1;CXCR4;SLA;SLC2A3;ENO1;VLDLR;HK2;AURKA;LDHA;NFIL3;SERPINH1;PGM1;MAP2K3;G6PD;TPI1;HSPA5;TUBA4A;SLC7A5;RIT1;DDIT3;DDIT4;BHLHE40;DHCR7;ALDOA;BCAT1;GAPDH;GLA,7.074462277452469e-07,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
6,IL-2/STAT5 Signaling,2.1922340293212538e-07,3.3081117101835584,50.72385419174121,SLC2A3;FURIN;CST7;NDRG1;HK2;IGF1R;CCND3;NFIL3;CA2;ST3GAL4;PHLDA1;GABARAPL1;IL4R;POU2F1;GADD45B;IL1R2;CKAP4;RHOB;HIPK2;ADAM19;ARL4A;KLF6;RRAGD;MAPKAPK2;BHLHE40;MAFF;PLIN2;MXD1;IL18R1,1.745744256356241e-06,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
7,Epithelial Mesenchymal Transition,2.444041958898737e-07,3.2885913720105275,50.06697005734959,CXCL8;HTRA1;TNFAIP3;PLOD1;LAMC1;AREG;SAT1;THBS1;FSTL3;BASP1;ANPEP;SERPINH1;QSOX1;TIMP1;COLGALT1;JUN;TGFB1;GADD45B;TNFRSF12A;GADD45A;IGFBP2;FN1;PLAUR;RHOB;VEGFA;COL6A2;PTX3;VIM;FERMT2,1.745744256356241e-06,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
8,Apoptosis,4.405386797090478e-07,3.5565610859728505,52.051223181934525,HMGB2;HSPB1;SAT1;ADD1;RELA;GNA15;LMNA;HMOX1;IGFBP6;TIMP1;IER3;BCAP31;JUN;GSTM1;GSN;GADD45B;TNFRSF12A;GADD45A;GPX3;HGF;PPP2R5B;EREG;RHOB;DDIT3;CDK2,2.7533667481815486e-06,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
9,Complement,8.116047041428748e-07,3.153316106804479,44.22290108248265,CDA;C1QA;CEBPB;SERPINA1;ITGAM;WAS;TNFAIP3;GNAI2;CA2;S100A13;S100A12;STX4;TIMP1;CTSD;CD55;SERPINB2;FCER1G;HSPA5;FN1;RHOG;PLAUR;F5;GNB2;MAFF;ADAM9;ANG;PFN1;HSPA1A,4.058023520714374e-06,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
10,Inflammatory Response,8.116047041428748e-07,3.153316106804479,44.22290108248265,CXCL8;CD82;C5AR1;ADM;ACVR1B;HIF1A;RELA;BEST1;GNA15;IL18RAP;RGS1;CLEC5A;NLRP3;KIF1B;TIMP1;CD55;IL4R;RHOG;OSM;PLAUR;EREG;NFKBIA;KLF6;AXL;MXD1;CHST2;IL18R1;HBEGF,4.058023520714374e-06,0,0,GTEX-SSA3-0005-SM-32QOT,under,MSigDB_Hallmark_2020
