rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Neutrophil Degranulation R-HSA-6798695,3.10033181092019e-18,3.709161170510562,149.53491616524707,CDA;SERPINA1;ITGAM;PRKCSH;LPCAT1;SLC2A3;PYGL;SLC2A5;MPO;FCAR;SIRPB1;LAMP1;ANPEP;FTH1;MMP28;CLEC5A;TOM1;CTSG;QSOX1;GUSB;GYG1;CTSD;PGM1;SERPINB1;FCER1G;SLC11A1;RHOG;PLAUR;MCEMP1;KCNAB2;RNASE1;UNC13D;RHOA;CKAP4;OSCAR;FGR;CEACAM1;CLEC4D;PKM;DOK3;CRISPLD2;BPI;ALDOC;DOCK2;SLC27A2;ARL8A;S100A8;FTL;RAB7A;CD63;C5AR1;PRDX5;ALOX5;ALDH3B1;S100A12;STOM;ELANE;CD55;ATP6V0A1;VAT1;GSN;AZU1;DIAPH1;VNN1;P2RX1;SLCO4C1;LCN2;CYSTM1;PTX3;S100P;YPEL5;HSPA1B;HSPA1A,4.111039981280172e-15,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
2,Immune System R-HSA-168256,2.2033485300822767e-12,1.9291385124877025,51.78008948420089,OTUD5;CDA;PGLYRP2;IFITM2;EIF4A3;IRS2;MPO;CDC20;IL18RAP;LAMP1;CDC26;ANPEP;FTH1;CLEC5A;TOM1;GYG1;MAP2K3;IL4R;PRKCE;IL1R2;SLC11A1;MCEMP1;RNASE1;UNC13D;OSCAR;DOK3;CLEC4D;CRISPLD2;MAPKAPK2;ELMO1;ELMO2;NUP98;ATP6V0D1;SLC27A2;ARL8A;S100A8;STX1A;FTL;STXBP2;C5AR1;NEDD4L;FOXO3;HIF1A;KIR2DL3;KIR2DL4;SEC14L2;SOCS3;PRDX5;UBB;INPP5D;ALDH3B1;UBC;PLCG2;S100A12;HMOX1;NLRP3;ELANE;ATP6V0A1;UBE2F;VAT1;VASP;JUN;UBE2H;TGFB1;POU2F1;HSPA5;UBE2C;ZBTB16;FN1;MSN;AZU1;NFKBIA;DIAPH1;VNN1;UBE2S;MKRN1;LCN2;REL;CYSTM1;UBA1;OSBPL1A;EIF4G3;UBE2M;ITGAM;SERPINA1;CXCL8;FLT3;PRKCSH;LPCAT1;TNFAIP3;SLC2A3;PYGL;SLC2A5;TREM1;CXCL2;SIRPB1;FCAR;MMP28;MRC1;QSOX1;CTSG;TIMP1;GUSB;CTSD;PGM1;VAV3;SERPINB1;FCER1G;SERPINB2;TNFRSF12A;RHOG;PPP2R5B;PLAUR;FOS;KCNAB2;RHOA;CKAP4;DNM2;TOX4;NCR1;FGR;CEACAM1;PKM;UBE2R2;IFNG;MYH9;BPI;ALDOC;DOCK2;NUP58;RAB7A;C1QB;COLEC12;CD63;LAMA5;C1QA;CEBPD;MGRN1;WAS;RELA;MAPK7;ALOX5;CCL4;CCL3;STOM;STX4;CD55;MAPK3;GSN;MYO10;STAT3;KIR3DL1;MYO9B;KIR3DL2;VEGFA;P2RX1;SLCO4C1;S100P;PTX3;P4HB;VIM;YPEL5;IL18R1;HSPA1B;SIPA1;HSPA1A,1.4608200754445494e-09,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
3,Innate Immune System R-HSA-168249,1.3356654241439142e-11,2.226070688656992,55.73859824287,OTUD5;CDA;PGLYRP2;MPO;LAMP1;ANPEP;FTH1;CLEC5A;TOM1;GYG1;MAP2K3;PRKCE;SLC11A1;MCEMP1;RNASE1;UNC13D;OSCAR;DOK3;CLEC4D;CRISPLD2;MAPKAPK2;ELMO1;ELMO2;ATP6V0D1;SLC27A2;ARL8A;S100A8;FTL;C5AR1;PRDX5;UBB;ALDH3B1;UBC;PLCG2;S100A12;HMOX1;NLRP3;ELANE;ATP6V0A1;VAT1;JUN;AZU1;NFKBIA;DIAPH1;VNN1;LCN2;CYSTM1;UBE2M;ITGAM;SERPINA1;PRKCSH;LPCAT1;TNFAIP3;SLC2A3;PYGL;SLC2A5;TREM1;SIRPB1;FCAR;MMP28;QSOX1;CTSG;GUSB;CTSD;PGM1;VAV3;SERPINB1;FCER1G;RHOG;PLAUR;FOS;KCNAB2;RHOA;CKAP4;DNM2;FGR;CEACAM1;PKM;MYH9;BPI;ALDOC;DOCK2;RAB7A;C1QB;CD63;C1QA;WAS;RELA;MAPK7;ALOX5;STOM;CD55;MAPK3;GSN;MYO10;MYO9B;P2RX1;SLCO4C1;S100P;PTX3;YPEL5;HSPA1B;HSPA1A,5.9036411747161005e-09,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
4,Hemostasis R-HSA-109582,1.0315195185275146e-10,2.608769901683944,59.988188973411376,SERPINA1;DGKD;ITGAM;ARRB2;TREM1;THBD;BSG;KIF1B;QSOX1;TIMP1;SLC16A3;VAV3;SERPINB2;FCER1G;PRKCE;ACTN1;APLP2;RHOG;PLAUR;PPP2R5B;APOA1;ACTN4;RNASE1;TUBA4A;RHOA;F5;RHOB;APBB1IP;RAD51B;FGR;SLC7A5;PROCR;CEACAM1;KCNMA1;PICK1;DGKK;PFN1;DOCK2;ZFPM1;ITIH4;CD63;STXBP2;SLC3A2;THBS1;GNAI2;GNA15;GNG5;TBXA2R;INPP5D;MICAL1;PLCG2;MFN2;STX4;SH2B2;MAPK3;TGFB1;HSPA5;F12;FN1;VEGFA;IGLL1;MAFG;P2RX1;GNB2;CDK2;MAFF;FERMT3,3.419487203918711e-08,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
5,Signal Transduction R-HSA-162582,2.0728540664023416e-10,1.736546742723951,38.719651606746154,DGKD;VIPR2;ARAF;IRS2;RBPJ;IGF1R;CDC20;CCND3;RGS1;BASP1;MPZ;ARHGDIA;PDK4;SH3GL1;IER3;TLE3;GOLGA8R;CPT1A;TLE1;ACTN1;PRKCE;TEX2;RNASE1;EREG;PCP2;HGS;CDC37;MAPKAPK2;COL4A3;RRAGD;ELMO1;ELMO2;NUP98;TRIB1;DGKK;PFN1;ATP6V0D1;S100A8;FKBP5;C5AR1;NEDD4L;FOXO3;RASAL3;LIN7B;HIF1A;ARHGAP22;SOCS3;UBB;DHX34;TBXA2R;PDGFD;UBC;ST3GAL4;PLCG2;DVL3;NLRP3;PIP5K1B;SRGAP1;PLTP;MYH10;MARK3;ATP6V0A1;JUN;PHC2;JUND;TGFB1;POU2F1;ARHGEF37;CBX4;HOMER2;INSR;FN1;IFT122;ARHGAP26;ARHGAP24;CDK9;ARHGAP33;NFKBIA;DIAPH1;DNMBP;GNB2;AGO2;ID1;MKRN1;CDK2;SNAI1;COL9A2;FERMT2;UBE2M;FGFR1;GPSM2;GSK3A;FLT1;CXCL8;FLT3;PRKCSH;CLTB;TNFAIP3;HSPB1;CHD4;ADM;ARRB2;LAMC1;EFCAB7;AATF;AREG;CXCL2;LTB4R;RASGEF1A;FLOT1;PDE4A;FGFBP3;CTSD;EMD;GPSM3;NDEL1;VAV3;DUSP2;PLEKHG1;ATP6AP1;RHOG;PPP2R5B;EPS15L1;FOS;DUSP8;GFRA2;RHOA;CKAP4;RHOB;DNM2;APBB1IP;PLCB3;PEAK1;COL6A2;XCL2;MYH9;ARHGEF1;DOCK2;HBEGF;RAB7A;PPP1R15A;LAMA5;WAS;CXCR4;FURIN;ACVR1B;TRAK1;THBS1;RELA;AURKB;FSTL3;GNAI2;FGD4;DNAJB1;GNA15;MAPK7;OS9;GNG5;POLR2A;MKNK1;CCL4;CCL3;STOM;MFN2;STX5;POLR2I;MEF2D;SH2B2;CD55;CLASP1;MAPK3;BCAP31;STAT3;AKR1C3;MYO9B;USF2;GATAD2B;GATAD2A;VEGFA;FMNL1;PRC1;ABHD17A;AXL;SHKBP1;SPRY1;P4HB;VIM;LGR6;RAMP1;SPC24;LAMTOR5,5.49720898409901e-08,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
6,"Platelet Activation, Signaling And Aggregation R-HSA-76002",1.4121205366623014e-09,3.435127435127435,70.00162230293859,CD63;ITIH4;SERPINA1;DGKD;STXBP2;ARRB2;THBS1;GNAI2;GNA15;GNG5;TBXA2R;PLCG2;QSOX1;STX4;TIMP1;MAPK3;VAV3;FCER1G;TGFB1;HSPA5;ACTN1;PRKCE;APLP2;FN1;RHOG;APOA1;ACTN4;RNASE1;RHOA;TUBA4A;F5;RHOB;VEGFA;APBB1IP;GNB2;PFN1;DGKK;FERMT3,3.120786386023686e-07,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
7,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,6.682215323521308e-08,2.3966881271942833,39.596238606450704,FLT1;FLT3;HSPB1;IRS2;CHD4;LAMC1;AREG;IGF1R;FGFBP3;SH3GL1;VAV3;ATP6AP1;PRKCE;EPS15L1;FOS;RNASE1;RHOA;EREG;DNM2;HGS;CDC37;COL6A2;MAPKAPK2;COL4A3;ELMO1;ELMO2;ATP6V0D1;TRIB1;HBEGF;LAMA5;FURIN;HIF1A;THBS1;MAPK7;POLR2A;UBB;PDGFD;MKNK1;UBC;POLR2I;MEF2D;SH2B2;ATP6V0A1;MAPK3;JUND;INSR;STAT3;VEGFA;DIAPH1;AXL;ID1;SPRY1;COL9A2;FGFR1,1.2658025027127506e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
8,Vesicle-mediated Transport R-HSA-5653656,1.8889824700821145e-07,2.1583413592940626,33.41556468923882,SERPINA1;HIP1;GDI1;CLTB;ARRB2;AREG;GOLGA2;RABGEF1;MAP1LC3B;FTH1;MPZ;KIF1B;AGFG1;TBC1D10B;SH3GL1;RALGAPA2;COPZ2;APOA1;CSNK1D;EPS15L1;VPS37B;HBA1;GAPVD1;RNASE1;RAB33A;F5;EREG;DNM2;EPN2;TBC1D2;HGS;TBC1D7;CHMP4B;TBC1D25;MYH9;RIN3;ULK1;AMPH;HBEGF;FTL;RAB7A;COLEC12;DENND3;MAN2A2;UBB;UBC;PACSIN2;REPS2;STX5;NLRP3;STX4;CD55;CD163;HOMER2;GALNT2;SEC16A;TRAPPC5;TRAPPC9;RAB13;CHMP2A;UBAP1;COPG2;CNIH3,3.130988444161105e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
9,Membrane Trafficking R-HSA-199991,5.324036284095886e-07,2.143385681111505,30.96305791010875,SERPINA1;HIP1;GDI1;CLTB;ARRB2;AREG;GOLGA2;RABGEF1;MAP1LC3B;FTH1;MPZ;KIF1B;AGFG1;TBC1D10B;SH3GL1;RALGAPA2;COPZ2;CSNK1D;EPS15L1;VPS37B;GAPVD1;RNASE1;RAB33A;F5;EREG;DNM2;EPN2;TBC1D2;HGS;TBC1D7;CHMP4B;TBC1D25;MYH9;RIN3;ULK1;AMPH;HBEGF;FTL;RAB7A;DENND3;MAN2A2;UBB;UBC;PACSIN2;REPS2;STX5;NLRP3;STX4;CD55;HOMER2;GALNT2;SEC16A;TRAPPC5;TRAPPC9;RAB13;CHMP2A;UBAP1;COPG2;CNIH3,7.844080125234606e-05,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
10,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,1.3388864997232031e-06,4.162357520155686,56.29035893071819,LAMA5;IL4R;POU2F1;TGFB1;CXCL8;ITGAM;CEBPD;STAT3;FN1;FOS;FOXO3;HIF1A;VEGFA;SOCS3;ALOX5;LCN2;HMOX1;TIMP1;VIM,0.00017753634986329673,0,0,GTEX-SSA3-0005-SM-32QOT,under,Reactome_2022
