rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,8.666745546688956e-33,2.6871716488344317,198.38263626218037,RPL5;AHCYL2;JPT2;PARS2;THUMPD2;WDR89;PWP1;RPL6;PDCD2L;ALKBH2;MTBP;LSM11;FLAD1;SNRPD3;MCCC2;JMJD4;ALG8;IMP3;METTL1;ALG5;SETMAR;WDR75;SOX12;SCO1;CLNS1A;TMEM126A;GUF1;LIPT2;AASDH;CSTF3;MRPL16;MRPL17;MRPL15;HACD3;MRPL20;LDHB;CHTF8;PTPMT1;PRDX1;GAR1;ATP6V0A2;DPH5;B3GALNT2;ZNF383;MTERF4;KTI12;PYCR3;PAICS;MRPL30;AIMP1;GLUD1;RAD17;MPHOSPH10;SFXN2;ITPA;FARSB;MRPS17;SETD4;PAK1IP1;RPLP0;OLA1;KHK;MRPL40;NUDCD1;C1QBP;ZNF280C;RIOK2;ZNF248;RRP15;ZNF485;CCT2;WDR36;ZHX3;ACTL6A;MRPL49;NUTF2;MRPL48;UCHL3;MRPL46;GNL3;MRPL50;KIF9;RPUSD2;UMPS;GART;DMAC1;MRPS35;MRPS33;MRPL58;FITM2;ZNF3;SDAD1;AKAP1;EXOSC7;ARFRP1;CFAP298;SAMM50;CNPY4;STAMBPL1;EXOSC9;METTL5;METTL8;EXOSC2;RTRAF;SF3A3;SPRYD4;GINS3;GATC;NOC3L;WDR12;LRPPRC;YIF1A;ADAT2;ZNF33B;RSL1D1;CMSS1;LYRM4;APEX1;TRMT5;PSMC2;NDUFAB1;ZNF337;DCLRE1A;CSE1L;PDCD5;TSEN2;HDDC3;IPO4;ZNF84;CHCHD6;ZNF566;ZNF202;NEPRO;ZNF565;TRAPPC2L;CNPY2;CDPF1;THNSL1;PUS7;ILF2;DHDDS;EBNA1BP2;PACRGL;TXLNB;TMX2;RPL7L1;MRTO4;ANAPC4;ANAPC5;PPIH;FAM161B;GEMIN8;SLC27A5;FAIM;ZNF793;RTN4R;UTP25;RNASEH2B;LRRC56;UBIAD1;RBM8A;SMYD5;DDX1;UTP23;BTF3L4;NTPCR;RPF2;RPF1;TMEM243;EMG1;ZNF789;BRIX1;THEM6;ZNF783;COA4;DNAJC19;NOP16;CPSF3;TDRD3;GGCT;UBE2N;TMEM18;WNT2B;WDR3;ZC3H8;TTC27;CYP2R1;MFSD3;COA5;TSFM;ADSL;JAGN1;UTP11;NCBP1;DESI1;MARS2;DCAKD;TWNK;URB2;UTP18;SLC25A15;DNAJC2;SFPQ;RBL1;POLR1B;ATG4C;NAA35;DCTPP1;SEC22A;FXN;SMIM20;BCAT2;AGPAT5;NUFIP1;ZNF195;NAA20;EI24;TMA16;POLR2D;SNRPB2;CFAP20;MEST;DCAF13;METAP1D;PPIL1;SSB;MMAA;KCNIP2;PDE4DIP;FBXL16;DHODH;NAP1L4;EIF3M;SUCLA2;POLR3B;POLR3C;DOLPP1;GLOD4;NUP35;ESF1;PDCD2;SSBP1;CLUAP1;TRMT61A;MMACHC;RAN;TRMT61B,3.242279421862891e-30,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
2,JARID1A 20064375 ChIP-Seq MESCs Mouse,8.71580489748089e-33,2.9682494917803552,219.11668219362986,JRK;NUP107;ZDHHC6;PHAX;PHB2;PWP1;PDCD2L;ZDHHC4;MTBP;CDC23;SNRPD2;FLAD1;SNRPD3;JMJD4;ALG8;MED9;IFT88;NIF3L1;CLNS1A;TMEM126A;GUF1;AASDH;MRPL16;COPS7B;MRPL15;LIAS;MRPL20;SCFD1;WDR70;ARSK;ZSCAN12;DPH5;WDR53;KTI12;GPN1;MRPL30;CDC16;RAD17;MPHOSPH10;PSMG1;NOL11;FARSB;MRPS17;FASTKD2;PAK1IP1;MRPS11;RPLP0;MRPL39;PIGZ;ZCCHC17;ARV1;C1QBP;RIOK2;RRP15;WDR36;METRN;CCDC115;MRPS22;SSR2;ACTL6A;MRPL49;TIMM23;NUTF2;MRPL48;PPHLN1;MRPL45;GNL2;ZDHHC16;MRPL46;MRPL43;COPZ1;RPUSD4;MRPS9;KIF9;RPUSD2;FRG1;PIGM;MRPS35;NIP7;MRPS31;NOL8;SDAD1;EXOSC7;ARFRP1;RECQL5;SAMM50;CNPY4;EXOSC9;PSMB1;METTL5;EXOSC2;SF3A3;SPRYD4;LRRC28;GATC;ELP2;ELP3;NOC3L;LRPPRC;GTF2H5;YIF1A;ADAT2;MORN1;RSL1D1;LYRM4;TTC4;TRMT5;PSMC2;RAD1;CIAPIN1;CYB561;MTCH2;RPP30;BCCIP;TXN2;TATDN1;NEK1;PUS3;TRAPPC2L;HARBI1;ALG11;DHDDS;PACRGL;SHPK;MRTO4;PPIE;ANAPC5;FAM161B;UBIAD1;RBM8A;DDX1;UBA5;ARL1;CACNA1A;EMG1;MBIP;SMN1;DNAJC19;CPSF3;CWC15;COQ4;MNAT1;ZCCHC4;RMND1;TTC27;IFT52;MADCAM1;UTP15;TSFM;NCBP2;DARS2;URB2;TSN;DNAJC2;DALRD3;GORASP2;PEX3;DAD1;POLR1B;POLR1C;NDUFS3;CCDC43;ITGB1BP1;NDUFB9;GTF3C3;NDUFB8;NUFIP1;NDUFB5;TAF9;FOXRED1;CRYZ;MTHFSD;NFS1;RAB40B;NUP43;SNRPB2;RPP14;NDUFA9;SLC35A4;PTCD2;MMAA;CCDC59;PDE4DIP;TRIT1;DHODH;EIF3M;POLR3B;POLR3C;XPNPEP3;DOLPP1;GLOD4;POLE3;OCIAD1;POLR3F;ERCC8;ESF1;PDCD2;VPS45;SSBP1;ABCE1;CLUAP1;MMACHC,3.242279421862891e-30,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
3,YY1 33199912 ChIP-Seq 293T Human KidneyEmbryo,2.5373012440191887e-28,2.2566069196617367,143.38769572019882,TDRKH;POP5;RPL5;JRK;ZNF175;SLC35B4;TP53RK;ZFYVE9;JPT2;GPATCH2;PHAX;MTFR1L;ISM1;PWP1;PDCD2L;ALKBH2;CDC23;MSANTD2;PPAT;FBXO4;ARFIP2;ARL10;JMJD4;TSTD3;ALG8;ZFP1;METTL1;ALG5;BOLA1;SETMAR;WDR75;MED9;ZNF717;CLNS1A;TMEM126A;RABL3;UQCRC2;CLOCK;LINS1;LIPT2;LIPT1;ANAPC16;CSTF3;CSTF2;B3GLCT;MRPL16;XPA;COPS7B;LIAS;MRPL20;LDHB;SCFD1;PGBD4;RIC8B;CHTF8;WDR70;PTPMT1;PRDX1;GAR1;ATRIP;ZNF383;MTERF3;MTERF4;FZD6;KTI12;PAICS;GPN1;RNF227;RAD17;PSMG1;NOL11;INTS9;FARSB;DCP1B;MRPS17;SPAG16;SETD4;INTS12;DET1;CETN2;SPIN3;PIGP;MAGEF1;MCUB;MRPL39;TFB1M;CLYBL;ARV1;ZMYM1;MRPL40;TCTN3;ERMARD;C1QBP;ZNF280C;RIOK2;RRP15;MRPS28;PRMT6;CCT2;NCOA5;CCDC115;MRPS22;ZDHHC13;NUTF2;MRPL48;TIMM21;SLC35G1;MRPL45;UCHL3;ZDHHC16;MRPL46;MRPL43;COPZ1;PSMA5;MRPL50;MRPS9;POT1;UMPS;GART;ATPAF1;MRPS35;NIP7;MRPS31;NOL8;MRPL58;FITM2;ZNF2;COX5A;AKAP1;EXOSC7;EXOSC6;ARFRP1;SAMM50;EXOSC9;PSMB1;CHN1;METTL5;ZNF227;ZNF589;ZNF346;METTL8;EXOSC2;RTRAF;ZNF584;SF3A3;SPRYD4;DDTL;SAAL1;GATC;GATB;ELP2;NPM3;ELP6;GTF2H5;YIF1A;ADAT2;KBTBD3;RSL1D1;MIS18A;TTC5;TTC4;NDUFAB1;R3HCC1;PCYOX1L;ATP5PO;TRIP11;ZNF337;FRA10AC1;CCDC167;N6AMT1;BCCIP;HIKESHI;CAAP1;TSEN2;HDDC3;TXN2;CHCHD6;PMPCB;NEK1;NUDT17;MACROD2;ZNF202;ZNF565;ZNF682;BIVM;TRAPPC2L;ANKRD46;HARBI1;CNPY2;CDPF1;RPGRIP1L;ALG11;THNSL1;ILF2;DHDDS;TMEM254;SHQ1;RPL7L1;ANKS6;PPIE;PPIH;FAM161B;ZNF554;FAIM;INO80C;METTL2B;UBIAD1;COX16;PSMD14;RBM8A;SMYD5;DDX1;METTL2A;ARL1;GLT8D1;RPF2;DNAJC27;KRBOX4;EMG1;GRK4;SLC38A6;BRIX1;THEM6;NAE1;ZNF420;COA4;CPSF3;UQCC1;TCEANC;SREK1IP1;CWC15;DNAJC16;DNAJC18;COPS4;NBEA;HOOK1;TMEM18;MNAT1;ZCCHC4;MIPEP;WNT2B;RMND1;ZC3H8;UFSP2;ATRAID;DTWD2;IFT52;DTWD1;SFR1;SGCB;CYP2R1;MDP1;EID2B;BRD3OS;TSFM;ADSL;GLRX3;DCAKD;DARS2;URB2;PLRG1;TSN;ZFP90;DNAJC2;SFPQ;SMDT1;POLR1B;ZNF879;POLR1C;NDUFS3;NAA35;CCDC191;CCDC43;IFT46;LDAH;BCAT2;AGPAT5;NDUFB9;GTF3C3;NUFIP1;ZNF195;NDUFB5;NAA20;HDAC1;PLAG1;EI24;RBM4B;MESD;TMA16;NT5DC1;POLR2D;EEF2KMT;SMIM30;RPP14;CFAP20;METAP1D;SPAG8;MMAA;CCDC59;ZNF180;PDE4DIP;GDAP1;TRIT1;DHODH;RAD50;SNRNP40;SUCLA2;CDKN2AIPNL;SPATA33;DOLPP1;GLOD4;OCIAD1;ERCC8;NUP35;ESF1;TAF5;SSBP1;TRIM32;CLUAP1;RAN;TRMT61B,6.292507085167589e-26,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
4,MYC 28411283 ChIP-Seq MDA231-LM2-4175 Human BreastCancer,1.5374896266317723e-27,2.4538255625685896,151.49832289661074,RPL5;JRK;NUP107;POP1;LRR1;WDR89;PWP1;RPL6;PDCD2L;ALKBH2;SNRPD2;MSANTD2;FLAD1;MCCC2;ALG8;IMP3;METTL1;SETMAR;WDR75;SOX12;SCO1;CYP2U1;CLNS1A;PPP1R3E;GUF1;HACD1;AASDH;CSTF3;MRPL17;MRPL15;LIAS;MRPL20;LDHB;PGBD4;CHTF8;PRDX1;HLTF;GAR1;MLEC;DPH5;B3GALNT2;MTERF3;WDR53;TYSND1;KTI12;PYCR3;PAICS;SNUPN;TADA2A;RNF227;ZNF37A;PSMG4;RAD17;MPHOSPH10;SFXN2;NOL11;TMEM9B;ITPA;FARSB;SETD4;GFM2;SPIN3;OLA1;MRPL40;ERMARD;C1QBP;GNPNAT1;RIOK2;RRP15;ZNF485;MRPS28;CCT2;WDR36;ZNF480;ACTL6A;MRPL49;NUTF2;MRPL48;MRPL45;GNL2;UCHL3;GNL3;TMEM177;RPUSD2;ZNF239;GART;DYNC1I2;MRPS35;MRPS33;MRPL58;FITM2;ZNF2;ZNF3;SDAD1;EXOSC7;EXOSC6;CFAP298;SAMM50;STAMBPL1;PSMB1;LCMT2;METTL8;EXOSC2;ZNF584;SF3A3;UTP6;TRMT10C;SLF2;SPRYD4;GINS3;SAAL1;GATC;ELP2;NOC3L;WDR12;LRPPRC;YIF1A;ADAT2;ZNF33B;RSL1D1;CMSS1;APEX1;TTC4;NDUFAB1;HYLS1;TRIP11;CYB561;FRA10AC1;N6AMT1;CSE1L;BCCIP;NRL;HIKESHI;CAAP1;TSEN2;IPO4;CSKMT;CHCHD6;RXYLT1;ZNF566;ZNF202;ZNF565;CNPY2;RPGRIP1L;THNSL1;DHDDS;EBNA1BP2;PACRGL;MSH2;RPL7L1;NHP2;ANAPC5;PPIH;GEMIN8;UTP25;UBIAD1;PSMD14;SMYD5;DDX1;METTL2A;UTP23;BTF3L4;ARL1;GLT8D1;RPF2;TMEM243;EMG1;ORC3;SLC38A6;BRIX1;ZNF544;ZNF785;COA4;UQCC1;TDRD3;TMEM116;TMEM18;MIPEP;WDR3;RABEPK;TTC27;DTWD1;PPP1R13L;CYP2R1;MFSD3;CEP290;TSFM;ADSL;JAGN1;UTP11;NCBP1;DESI1;NCBP2;MARS2;DCAKD;TWNK;DARS2;URB2;UTP18;ZNF75A;DNAJC2;SFPQ;SLC25A17;RBL1;POLR1B;POLR1C;NDUFS3;CCDC43;DCTPP1;FXN;BCAT2;AGPAT5;NDUFB9;NUFIP1;NAA20;EI24;TAF9;DDX20;RBM4B;TMA16;CRYZ;DCAF17;DCAF13;METAP1D;PPIL1;DHODH;NAP1L4;EIF3M;RAD50;SUCLA2;POLR3B;POLR3C;POLE2;BRMS1L;GLOD4;DRG1;NUP35;NAGS;TAF5;SSBP1;MMACHC;RAN;TRMT61B,2.8597307055350966e-25,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
5,HOXC9 25013753 ChIP-Seq NEUROBLASTOMA BE2-C Human,4.788000556654135e-26,2.698958935801041,157.352273500037,POP5;ZNF175;SLC35B4;CSE1L;RPP30;GPATCH2;THYN1;PHAX;HDDC3;IPO4;ZDHHC4;ALKBH2;LAPTM4B;CDC23;FLAD1;NUDT17;SNRPD3;ZNF563;ZNF17;BIVM;JMJD4;SUPT16H;AQR;ZNF283;ZFP1;IMP3;METTL1;UBE2E1;BOLA1;ACYP1;ARMCX1;PACRGL;SCO1;CLNS1A;RPL7L1;TMEM126A;ACOT2;NHP2;GUF1;ZNF678;ANAPC5;PPIH;UQCRC2;FAM161B;ZNF555;INO80C;METTL2B;SMYD5;AASDH;DDX1;UBA5;METTL2A;CSTF3;MRPL16;ARL1;COPS7B;DNAJC27;RPF1;MRPL20;EMG1;PGBD4;FIGNL1;HLTF;GAR1;ZNF426;THEM4;SLC38A6;DPH5;SLC38A9;ZKSCAN4;NAE1;ZNF785;ZNF540;DNAJC19;NOP16;LRRN3;WDR53;FANCF;MRPL30;COQ4;ZNF419;TMEM116;ZNF30;CDC16;TUBGCP5;PXMP4;TMEM18;INTS9;DZIP3;ZNF256;ZNF530;DCP1B;MRPS17;ZNF133;SETD4;INTS12;GFM2;MRPL39;HSCB;TTC27;ARV1;METTL14;MRPL40;SPEG;ZNF766;ZNF248;MDP1;EID2B;MRPS28;UTP15;TSFM;ZNF483;ADSL;SSR2;ACTL6A;LANCL1;COMMD3;MRPL48;PLRG1;PPHLN1;MRPL45;MRPL46;ZNF75A;PDRG1;DNAJC2;MRPL50;BBS12;ZNF879;POT1;PIGM;ITGB1BP1;EEF1E1;ZNF599;FXN;BCAT2;RNFT2;DYNC1I2;NDUFB5;NIP7;MRPS31;RNF8;ZNF3;SDAD1;FOXRED1;TSPAN31;ANKMY2;RECQL5;SAMM50;PSMB1;ZNF626;CHN1;NUP43;SNRPB2;BCO2;EXOSC2;ZNF223;ZNF343;NDUFA9;SF3A3;PPIL1;SPRYD4;GINS3;KLHL3;NOC3L;S100B;GDAP1;YIF1A;DHODH;ADAT2;RSL1D1;CDKN2AIPNL;XPNPEP3;TTC4;PSMC2;NDUFAB1;POLE3;DRG1;NUP35;ESF1;RAD1;RBM45;MMACHC;TRMT61B,7.124544828301354e-24,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
6,VDR 23849224 ChIP-Seq CD4+ Human,3.37518497300811e-24,2.5329090936837124,136.89257170922664,N6AMT1;POP5;RPL5;JRK;NUP107;POP1;GPATCH2;THYN1;GIMAP5;IPO4;TXN2;ALKBH2;PAIP2B;PMPCB;NEK1;ZNF569;SNRPD3;BTRC;TMEM14B;JMJD4;AQR;ANKRD46;METTL1;ALG5;BOLA1;WDR75;THNSL1;THAP2;DHDDS;TMX2;RPL7L1;MRTO4;RABL3;PPIH;AAGAB;UQCRC2;ZNF555;ZNF554;LINS1;INO80C;ZNF793;LIPT1;COX16;FICD;RBM8A;STXBP4;AASDH;DDX1;CSTF3;UTP23;MRPL16;GLT8D1;COPS7B;LIAS;RPF1;EMG1;SCFD1;PGBD4;GAR1;STAP1;ZNF426;ZSCAN12;ZNF789;BRIX1;ZKSCAN4;ZSCAN16;ZNF141;CCDC138;TRAPPC4;WDR53;CNOT10;PAICS;GPN1;DNAJC16;SNUPN;MRPL30;AIMP1;COPS4;COQ4;ZNF419;TMEM116;OSTC;CDC16;RAD17;PSMG1;PSMG2;NOL11;TMEM18;ZCCHC4;FARSB;ZNF134;MIPEP;SPAG16;INTS12;DET1;ABCD2;FASTKD2;PAK1IP1;MRPS11;RPLP0;CBY1;ZC3H8;HSCB;RABEPK;KHK;DTWD1;MRPL40;NUDCD1;TCTN3;CASP6;C1QBP;MFSD3;MDP1;CEP290;RRP15;MRPS28;TSFM;WDR36;ADSL;CCDC115;LANCL1;MRPL48;ZNF75A;TSN;PSMA5;DNAJC2;SFPQ;BDH2;HAX1;SLC25A17;RAD51C;RBL1;PEX3;BBS12;ZNF517;RPUSD2;POLR1C;FRG1;NAA35;PIGM;DCTPP1;GART;GTF3C3;NDUFB5;MRPS33;TAF9;MRPS31;DDX20;NOL8;ZNF3;SAMM50;CNPY4;EXOSC9;ZNF227;NUP43;SNRPB2;RPP14;ZNF345;DCAF13;NDUFA9;SF3A3;PPIL1;SSB;MDH1;SPRYD4;DDTL;ELP2;ELP3;NOC3L;MLH3;ADAT2;TMEM156;LYRM4;POLR3B;TTC5;XPNPEP3;TTC4;BRMS1L;GLOD4;PSMC2;NDUFAB1;DRG1;NUP35;TRIP11;PDCD2;RAD1;OCIAD2;SSBP1;RBM45;MMACHC;TRMT61B,4.1852293665300564e-22,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
7,ETS1 20019798 ChIP-Seq JURKAT Human,2.4255686336419644e-23,2.7539845954396402,143.4093170700384,RPL5;JRK;AHCYL2;ZNF175;ZNF691;NUP107;SLC35B4;RPP30;PARS2;THYN1;WDR89;RPL6;IPO4;ZNF605;ZNF84;CHCHD6;ZNF569;SNRPD3;ZNF566;BTRC;ZNF565;ZNF287;ZNF17;PUS3;ZNF682;JMJD4;CHRNB1;AQR;ZFP1;BOLA1;ALG14;SETMAR;WDR75;CNPY2;DHDDS;CLNS1A;RPL7L1;MRTO4;RABL3;GUF1;ANAPC5;UQCRC2;ZNF554;COX16;RBM8A;AASDH;CCDC146;UTP23;MRPL20;EMG1;PGBD4;RIC8B;ARSK;SLC38A9;ZKSCAN4;ZNF420;B3GALNT2;DNAJC19;API5;ZNF32;WDR53;DNAJC16;MRPL30;COPS4;COQ4;ZNF37A;ZNF419;ZNF416;SRPRB;ZCCHC4;ZNF256;FARSB;ZNF134;ZNF530;ZNF133;INTS12;DET1;GFM2;PAK1IP1;MRPS11;RPLP0;MED19;ARV1;NUDCD1;PPP1R13L;RIOK2;MADCAM1;CEP290;RRP15;MRPS28;PRMT6;TSFM;WDR36;NCBP1;GGPS1;NCBP2;MRPS22;DCAKD;SSR2;DARS2;NUTF2;TSN;GNL3;MRPL50;HAX1;RBL1;GORASP2;PEX3;POLR1B;ATG4C;ZNF599;BCAT2;DYNC1I2;NIP7;MRPS33;TAF9;MRPS31;ZNF2;ZNF3;HDAC8;EXOSC6;ARFRP1;METTL4;ZNF227;SNRPB2;ZNF589;ZNF225;RPP14;ZNF345;ZNF343;NDUFA9;ZNF584;SF3A3;SPAG8;ZNF580;GINS3;CCDC59;ZNF180;PDE4DIP;ELP3;WDR12;GDAP1;ZNF33B;CDKN2AIPNL;BRMS1L;NDUFAB1;POLE3;POLR3F;ESF1;RAD1;ZNF337;TAF5;SSBP1;MMACHC,2.578032947756602e-21,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
8,MYCN 28898695 ChIP-Seq NB1643 Human Nerve Neuroblastoma,5.5268607474013745e-22,2.3078974264098924,112.9652370782778,RPL5;AHCYL2;OSGEPL1;TP53RK;DIXDC1;WDR89;PWP1;RPL6;PDCD2L;ALKBH2;MTBP;FLAD1;OGFOD1;PPAT;ARFIP2;AQR;METTL1;BOLA1;SETMAR;WDR75;SOX12;NIF3L1;SCO1;CLNS1A;RABL3;UQCRC2;ANAPC16;AASDH;ZNF391;CSTF3;MRPL17;MRPL15;LDHB;PGBD4;RIC8B;PRDX1;HLTF;GAR1;MLEC;DPH5;B3GALNT2;ZNF141;ST8SIA1;PAICS;MRPL30;ZNF37A;CDC16;SSPN;RAD17;MPHOSPH10;NOL11;INTS9;ITPA;FARSB;MRPS17;GFM2;PAK1IP1;SPIN3;BHLHE41;OLA1;TFB1M;KHK;TRIM2;RIOK2;RRP15;ZNF485;CCT2;WDR36;ACTL6A;MRPL48;UCHL3;GNL3;BACE1;RPUSD2;PIGM;DMAC1;MRPS33;MRPL58;ZNF2;ZNF3;SDAD1;EXTL2;EXOSC9;ZNF589;ATP6V0E2;METTL8;EXOSC2;SF3A3;RIC3;UTP6;MDH1;SPRYD4;GATB;ELP3;WDR12;LRPPRC;ADAT2;KBTBD3;RSL1D1;CMSS1;APEX1;PSMC2;NDUFAB1;SARM1;ATP5PO;EEF1AKMT3;CYB561;ZNF212;FRA10AC1;N6AMT1;ZNF691;NRL;CAAP1;IPO4;TATDN1;ZFP30;CHCHD6;RXYLT1;MTREX;NEPRO;THNSL1;ILF2;DHDDS;KCTD7;PACRGL;RPL7L1;NHP2;ANKS6;ANAPC5;PPIH;GEMIN8;INO80C;ZNF793;RTN4R;UTP25;COX16;DDX1;ARL1;RPF2;TMEM243;EMG1;ZNF789;BRIX1;COA4;NOP16;CCDC138;UQCC3;UQCC1;SREK1IP1;TDRD3;COPS4;COQ4;NBEA;TBCE;UBE2N;WNT2B;WDR3;RMND1;RABEPK;ADSL;UTP11;NCBP1;NCBP2;DCAKD;UTP18;GREM2;DNAJC2;GORASP2;POLR1B;POLR1C;ATG4C;CCDC191;CCDC43;ITGB1BP1;ZNF512;LDAH;DCTPP1;GTF3C3;NUFIP1;ZNF195;DDX20;RBM4B;TMA16;WDCP;TMEM204;TRIM46;SMIM30;SNRPB2;RPP14;CFAP20;DCAF13;NDUFA9;METAP1D;PPIL1;URGCP;PTCD2;ZNF180;DHODH;EIF3M;RAD50;POLR3B;POLR3C;DRG1;NUP35;ESF1;TAF5;VPS45;RBM45;CLUAP1;MMACHC;TRMT61B,5.139980495083278e-20,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
9,GABP 17652178 ChIP-ChIP JURKAT Human,8.525524789744833e-21,3.516031070787687,162.48009368144204,ZNF133;NUP107;OSGEPL1;GFM2;WDR3;PAK1IP1;PRR3;ZDHHC6;RPL6;HDDC3;IPO4;TXN2;MTBP;DTWD1;TATDN1;FLAD1;ZNF84;PMPCB;BBS4;WDR36;SUPT16H;ADSL;AQR;NCBP2;SSR2;MRPS22;PLRG1;TFB2M;GNL2;MRPL43;THAP2;PSMA5;EBNA1BP2;NIF3L1;KIF9;DALRD3;SHQ1;SCO1;ATG4C;NDUFS3;PIGM;PPIH;ZNF512;ZNF599;UMPS;FKBP3;LIPT1;GTF3C3;RALA;PSMD14;NDUFB5;CSTF3;MRPS33;DDX1;GLT8D1;MRPS31;NOL8;SCFD1;EMG1;RECQL5;PGBD4;SAMM50;PSMB1;SNRPB2;LCMT2;ZNF343;SF3A3;PPIL1;SPAG8;MDH1;ZNF580;CPSF3;WDR53;KTI12;ELP3;CNOT10;NOC3L;MRPL30;TTC4;PSMC2;CDC16;TBCE;OCIAD1;MPHOSPH10;PDCD2;RAD1;SSBP1;DZIP3;ITPA;ZNF256;ZNF530,7.047767159522396e-19,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
10,MYC 19030024 ChIP-ChIP MESCs Mouse,2.6592788532852902e-20,2.0979062240190864,94.56028433221248,POP5;RPL5;NUP107;SLC35B4;PARS2;PITPNB;ZDHHC6;STMN3;PHB2;PWP1;RPL6;PDCD2L;ZDHHC4;KRTCAP3;ALKBH2;MTBP;CDC23;SNRPD2;OGFOD1;ARFIP2;SNRPD3;DUS4L;MCCC2;JMJD4;ALG8;ZFP1;IMP3;METTL1;ALG5;BOLA1;WDR75;SOX12;THAP2;NIF3L1;NEIL2;CLNS1A;TMEM126A;RABL3;GUF1;VDAC3;CLOCK;CSTF3;CSTF2;MRPL16;MRPL17;COPS7B;MRPL15;LIAS;ADH5;MRPL20;LDHB;RIC8B;FIGNL1;PRDX1;DPH5;FZD6;KTI12;PAICS;MRPL30;POLA2;GPR180;MPHOSPH10;SFXN2;NOL11;ITPA;DCP1B;SPAG16;SETD4;DET1;FASTKD2;GFM2;MRPS11;TFB1M;ARV1;NUDCD1;C1QBP;GNPNAT1;RIOK2;RRP15;MRPS28;CCT2;WDR36;NCOA5;CCDC115;PLLP;SSR2;ACTL6A;TIMM23;NUTF2;MRPL48;TFB2M;PPHLN1;MRPL45;GNL2;ZDHHC16;MRPL43;GNL3;RPUSD4;MRPL50;MRPS9;RAD51C;RPUSD2;PIGM;EEF1E1;UMPS;GART;DYNC1I2;MRPS35;NIP7;MRPS33;MRPS31;NOL8;SDAD1;COX5A;AKAP1;EXOSC7;TCEAL8;ARFRP1;ANKMY2;EXTL2;STAMBPL1;PSMB1;METTL4;METTL5;BRD7;METTL8;EXOSC2;UTP6;SPRYD4;LRRC28;NOC3L;WDR12;KBTBD3;SPSB2;RSL1D1;LYRM4;TTC5;APEX1;TTC4;PSMC2;NDUFAB1;RAD1;RTN4IP1;N6AMT1;DCLRE1A;MTCH2;CSE1L;PDCD5;BCCIP;IPO4;LAPTM4B;PAIP2B;NEK1;RPP38;PUS3;BIVM;SUPT16H;THNSL1;ILF2;DHDDS;KCTD7;EBNA1BP2;SHQ1;RPL7L1;MRTO4;PPIE;ANAPC5;FKBP3;RNASEH2B;UBIAD1;PSMD14;RBM8A;SMYD5;BTF3L4;GTF2E2;EMG1;GRK4;AP4S1;SMN1;TRAPPC4;CPSF3;GLMN;TDRD3;COQ4;TUBGCP5;UBE2N;SRPRB;TMEM18;WDR3;RMND1;ZC3H8;RABEPK;TTC27;IFT52;DTWD1;PPP1R13L;TSFM;JAGN1;NCBP2;MARS2;DARS2;UTP18;DNAJC2;SFPQ;HAX1;DALRD3;RBL1;GORASP2;DAD1;NDUFS3;AGPAT5;RALA;NUFIP1;NDUFB5;DDX20;FOXRED1;TSPAN31;MTHFSD;NFS1;FIP1L1;POLR2D;TRIM46;RPP14;NDUFA9;PPIL1;SSB;PTCD2;MMAA;CCDC59;ACVR2B;TRIT1;DHODH;MAPK11;RAD50;POLR3B;XPNPEP3;GLOD4;OCIAD1;TRIM35;DRG1;ERCC8;NUP35;ESF1;SSBP1;ABCE1;TRIM32;CLUAP1;MMACHC;RAN,1.978503466844256e-18,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,ChEA_2022
