rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Mitochondrial Gene Expression (GO:0140053),1.2131107072716845e-14,7.638461324352159,244.75924225411927,MRPS17;FASTKD2;GFM2;MRPS11;MRPS33;MRPL16;MRPS31;MRPL17;MRPL39;MRPL58;MRPL20;MRPL40;MRPS28;MTERF3;MRPS22;MTERF4;TWNK;MRPL49;GATC;GATB;MRPL48;TFB2M;MRPL45;MRPL46;MRPL43;MRPL30;MRPL50;MRPS9;DAP3,2.798646401675776e-11,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
2,Mitochondrial Translation (GO:0032543),1.3091655730562627e-12,7.017567875884097,192.01210378159357,MRPS17;FASTKD2;GFM2;MRPS11;MRPS33;MRPL16;MRPS31;MRPL17;MRPL39;MRPL58;MRPL20;MRPL40;MRPS28;TSFM;MRPS22;MRPL49;GATC;GATB;MRPL48;MRPL45;MRPL46;MRPL43;MRPL30;MRPL50;MRPS9;DAP3,1.510122488520399e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
3,tRNA Processing (GO:0008033),1.296558802725917e-11,10.865071283095723,272.3734552327293,PUS3;METTL2B;SSB;TRMT10C;POP1;METTL1;RPP30;DDX1;ELAC1;KTI12;C2ORF49;TSEN2;ELP5;TRIT1;DTWD2;DTWD1;LCMT2;RTRAF,9.970537192962303e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
4,Ribosome Biogenesis (GO:0042254),3.0165999944877827e-09,4.2808398950131235,83.9863778231674,RPL5;PAK1IP1;WDR3;NIP7;NOL8;RPF2;SDAD1;TMA16;EXOSC7;EMG1;EXOSC9;MTREX;RIOK2;EXOSC2;DCAF13;UTP15;WDR36;UTP6;NOP16;UTP11;WDR75;URB2;WDR12;UTP18;EBNA1BP2;MRTO4;MPHOSPH10;ESF1,1.7398240468208287e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
5,Ribosomal Large Subunit Biogenesis (GO:0042273),4.750146421760079e-09,8.113821138211382,155.50211555246972,RPL5;NOP16;PAK1IP1;NIP7;RPLP0;MAK16;RPF2;SDAD1;WDR12;RPL6;TMA16;MRPL20;EBNA1BP2;MRTO4;BRIX1;RRP15,2.1917175590001003e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
6,RNA Methylation (GO:0001510),5.85688132795081e-09,7.284616254097434,138.08462569178033,METTL2B;TRMT10C;METTL1;THUMPD2;TFB2M;TFB1M;TARBP1;METTL14;SNRPD2;METTL4;METTL5;LCMT2;SNRPD3;METTL8;ZCCHC4;TRMT61A;TRMT61B,2.2519708705970864e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
7,tRNA Modification (GO:0006400),2.1075084446612586e-08,6.55442522889115,115.8506085281033,PUS3;METTL2B;SSB;OSGEPL1;METTL1;THUMPD2;KTI12;PUS7;ELP5;TRIT1;TARBP1;DTWD2;DTWD1;LCMT2;DUS4L;METTL8;TRMT61A,5.638970252027606e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
8,Translation (GO:0006412),2.1777573789706324e-08,3.308488612836439,58.36963027906522,MRPS17;RPL5;FASTKD2;GFM2;MRPS11;MRPS33;RPLP0;MRPL16;MRPS31;MRPL17;MRPL39;MRPL58;GSPT2;RPL6;MRPL20;MRPL40;MRPS28;TSFM;MRPS22;MARS2;MRPL49;GATC;GATB;MRPL48;MRPL45;MRPL46;MRPL43;MRPL30;MRPL50;MRPS9;DRG1;ABCE1;FARSB;DAP3,5.638970252027606e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
9,rRNA Processing (GO:0006364),2.199858355797506e-08,5.073033707865169,89.44919020089027,UTP15;RPL5;WDR36;WDR3;MAK16;NOL8;TFB1M;EXOSC7;EBNA1BP2;EMG1;EXOSC9;MRTO4;NHP2;MPHOSPH10;ESF1;MTREX;RIOK2;NOL11;EXOSC2;RRP15;DCAF13,5.638970252027606e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
10,Ribonucleoprotein Complex Biogenesis (GO:0022613),8.147304079722534e-08,4.429618268575323,72.30463091056964,UTP15;RPL5;WDR36;UTP6;NOP16;UTP11;PAK1IP1;WDR3;NIP7;WDR75;URB2;RPF2;SDAD1;WDR12;UTP18;TMA16;EBNA1BP2;EMG1;SHQ1;MRTO4;MPHOSPH10;RIOK2,1.8795830511919885e-05,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,GO_Biological_Process_2023
