rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Herpes simplex virus 1 infection,1.3183491655368782e-13,3.0938866963590743,91.75609662328195,ZNF133;ZNF253;ZNF891;ZNF175;TRADD;ZNF44;ZFP82;ZFP30;ZNF605;ZNF84;ZNF569;ZNF888;ZNF766;ZNF248;ZNF566;ZNF565;ZNF563;ZNF17;ZNF682;ZNF19;ZNF283;ZFP1;ZNF480;ZFP90;ZNF717;ZNF517;ZNF836;ZNF879;ZNF559;ZNF599;ZNF555;ZNF554;ZNF510;ZNF793;ZNF195;ZNF2;ZNF3;ZNF823;ZNF426;ZNF227;ZNF623;ZNF347;ZNF589;ZNF225;ZNF544;ZNF785;ZNF223;ZNF343;ZNF420;ZNF783;ZNF584;ZNF540;ZNF141;ZNF383;ZNF382;ZNF180;ZNF33B;ZNF619;ZNF37A;ZNF419;ZNF30;ZNF416;ZNF337;ZNF256;ZNF212;ZNF530;ZFP28,3.4672583053619896e-11,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
2,Ribosome biogenesis in eukaryotes,1.5496290614510031e-06,4.115371840245564,55.05336609613053,UTP15;POP5;WDR36;UTP6;POP1;IMP3;RPP30;WDR3;WDR75;GNL2;UTP18;GNL3;EMG1;NHP2;GAR1;MPHOSPH10;RIOK2;RPP38;RAN,0.00020377622158080692,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
3,RNA transport,0.0010569458261203456,2.3154659454143105,15.86643360817713,POP5;NUP107;RBM8A;NCBP1;POP1;NCBP2;RPP30;ELAC1;DDX20;PHAX;SNUPN;CLNS1A;SMN2;NUP35;NUP43;SMN1;GEMIN8;RPP14;RPP38;RAN,0.09265891742321697,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
4,RNA polymerase,0.0038666123029882523,4.58148893360161,25.45189609056009,POLR3B;POLR3C;POLR1B;POLR2D;POLR1C;POLR3F,0.2542297589214776,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
5,Nucleotide excision repair,0.008364841000202511,3.3413897280966767,15.9842660284958,CETN2;POLE2;POLE3;XPA;ERCC8;MNAT1;GTF2H5,0.4399906366106521,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
6,N-Glycan biosynthesis,0.011679559996652222,3.107777699711937,13.82934652122451,ALG8;FUT8;DAD1;DOLPP1;ALG5;ALG14;ALG11,0.5119540465199224,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
7,Spliceosome,0.018291854004491973,1.9694547190072784,7.880378093030947,SF3A3;AQR;PPIL1;RBM8A;NCBP1;NCBP2;CWC15;PLRG1;SNRNP40;SNRPD2;PPIE;PPIH;SNRPB2;SNRPD3,0.6872510861687698,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
8,Peroxisome,0.02105745765548775,2.35465767247695,9.090157118808744,ABCD2;SLC25A17;PEX3;PEX11A;PRDX1;PXMP4;HACL1;CROT;PAOX,0.6922639204241597,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
9,DNA replication,0.032227243715029656,3.074890581941968,10.562074206292207,RNASEH2B;POLA2;POLE2;POLE3;SSBP1,0.9417516774503111,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
10,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.038635239533284925,3.4644030668127055,11.271748829137955,PIGN;PIGP;PIGZ;PIGM,0.9999956107384721,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,KEGG_2021_Human
