rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Myc Targets V1,1.9701846256171927e-08,3.56471321010497,63.247114796125615,PSMD14;CSTF2;RPLP0;PWP1;PHB2;COX5A;RPL6;EXOSC7;SNRPD2;C1QBP;SNRPB2;SNRPD3;TOMM70;CCT2;SSB;NOP16;NCBP1;NCBP2;UBE2E1;ILF2;GNL3;RSL1D1;CLNS1A;APEX1;NDUFAB1;POLE3;VDAC3;NHP2;SSBP1;ABCE1;RAN,9.456886202962524e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
2,Oxidative Phosphorylation,0.0004465862443767286,2.3786447921692977,18.348575779229346,TOMM70;NDUFA9;NDUFB8;MDH1;NDUFB5;MRPS11;MRPS22;MRPL15;PHB2;COX5A;LRPPRC;LDHB;GLUD1;BDH2;SUCLA2;NDUFAB1;VDAC3;ATP5PO;NDUFS3;UQCRC2;SLC25A12;FXN,0.010718069865041487,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
3,Myc Targets V2,0.0022050308429259814,3.5124075866471713,21.485445617136484,NOP16;NIP7;MRTO4;MPHOSPH10;TFB2M;RABEPK;DCTPP1;IPO4;GNL3,0.0352804934868157,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
4,DNA Repair,0.0034734757698879847,2.2892852809125106,12.963305740990094,SF3A3;RALA;NCBP2;CSTF3;CETN2;TAF9;GTF2H5;POLA2;MRPL40;DAD1;POLR3C;POLR1C;POLR2D;ERCC8;UMPS;ITPA,0.041681709238655815,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
5,Unfolded Protein Response,0.1126969016644807,1.6500815027555693,3.602215952693635,IMP3;FKBP14;EXOSC9;NHP2;SRPRB;MTREX;SDAD1;EXOSC2;YIF1A,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
6,E2F Targets,0.2025262111604923,1.3250816767712887,2.1160043294411266,NUP107;GINS3;CSE1L;PAICS;POLA2;RAD50;RAD51C;MSH2;BRMS1L;RAD1;DCTPP1;ASF1A;RAN,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
7,Pperoxisome,0.4200266801120024,1.1642508109883793,1.0099142838748305,ABCD2;SLC25A17;MSH2;PEX11A;PRDX1;ITGB1BP1,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
8,Bile Acid Metabolism,0.49101551898111034,1.0759272616833073,0.7652850529290158,ABCD2;PEX11A;HACL1;CROT;SLC27A5;PAOX,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
9,Fatty Acid Metabolism,0.5367521851002154,1.0134408602150538,0.6305819267758969,ADSL;SUCLA2;MDH1;OSTC;APEX1;ACOT2;ACAT2;CRYZ,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
10,Apical Surface,0.6532378269725155,0.904571046855616,0.3851790241735059,AFAP1L2;MAL,0.9999634585030809,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,MSigDB_Hallmark_2020
