rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Metabolism Of RNA R-HSA-8953854,1.5080170521424068e-18,3.2078729612091643,131.6374282675475,POP5;RPL5;NUP107;TP53RK;WDR3;RPP30;RPLP0;PHAX;TSEN2;TFB1M;RPL6;METTL14;LSM11;SNRPD2;RIOK2;MTREX;SNRPD3;RPP38;PUS3;UTP15;WDR36;AQR;NCBP1;UTP11;METTL1;NCBP2;WDR75;PLRG1;PUS7;UTP18;GNL3;PSMA5;NT5C3B;EBNA1BP2;CLNS1A;NHP2;PPIE;PPIH;GEMIN8;UTP25;PSMD14;RBM8A;NIP7;CSTF3;DDX1;CSTF2;DDX20;LIN9;GSPT2;EXOSC7;EXOSC6;EMG1;FIP1L1;EXOSC9;PSMB1;POLR2D;GAR1;SNRPB2;LCMT2;NUP43;SMN1;RPP14;EXOSC2;DCAF13;RTRAF;SF3A3;UTP6;PPIL1;TRMT10C;CPSF3;MTERF4;CNOT10;CWC15;WDR12;SNUPN;GTF2H5;TRIT1;ADAT2;MAPK11;SNRNP40;CNOT11;TRMT5;PSMC2;MPHOSPH10;NUP35;NOL11;MNAT1;TRMT61A;TRMT61B;RAN;DCP1B,1.4326161995352865e-15,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
2,Gene Expression (Transcription) R-HSA-74160,1.8321254725202183e-13,2.140201509199333,62.76810692297343,TDRKH;ZNF175;ZNF691;NUP107;TP53RK;PHAX;TXN2;LSM11;CDC23;ZFP30;ZNF605;ZNF569;SNRPD3;ZNF566;ZNF202;ZNF565;ZNF563;SKP1;ZNF287;ZNF17;ZNF682;ZNF19;SUPT16H;ZFP1;UBE2E1;KCTD6;SCO1;MSH2;ZNF717;ZNF559;ANAPC4;ZNF678;ANAPC5;ZNF555;ZNF554;L3MBTL1;ZNF793;COX16;PSMD14;ANAPC16;RBM8A;CSTF3;CSTF2;GTF2E2;KRBOX4;PRDX1;ZNF426;SLC38A9;ZKSCAN4;ZNF544;ZNF785;ATRIP;ZNF420;ZNF540;ZNF383;ZNF382;CPSF3;CNOT10;NR2F6;ZNF37A;ZNF419;CNOT11;ZNF30;CDC16;ZNF416;RAD17;MNAT1;INTS9;ZNF256;ZNF530;ZNF133;ZNF253;INTS12;ZC3H8;PPP1R13L;AIFM2;CASP6;ZNF248;TEAD2;ZNF485;PRMT6;ZNF483;NCBP1;ZNF480;NCBP2;ACTL6A;TFB2M;ZNF75A;TSN;ZFP90;PSMA5;RBL1;ZNF517;POLR1B;ZNF599;ZNF510;GTF3C3;ZNF195;HDAC1;TAF9;ZNF3;HDAC8;COX5A;FIP1L1;PSMB1;ZNF626;POLR2D;ZNF227;NUP43;ZNF347;ZNF589;ZNF225;BRD7;ZNF223;ZNF343;ZNF584;SSB;ZNF180;LRPPRC;GTF2H5;ZNF33B;MAPK11;RAD50;ZNF619;ZNF71;POLR3B;TTC5;POLR3C;IL2RA;PSMC2;POLR3F;NUP35;ZNF337;TAF5;ZNF212;RAN;ZFP28,8.702595994471037e-11,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
3,RNA Polymerase II Transcription R-HSA-73857,1.4432728247236916e-12,2.143819954266458,58.44933830750988,ZNF175;ZNF691;TP53RK;PHAX;TXN2;LSM11;CDC23;ZFP30;ZNF605;ZNF569;SNRPD3;ZNF566;ZNF202;ZNF565;ZNF563;SKP1;ZNF287;ZNF17;ZNF682;ZNF19;SUPT16H;ZFP1;UBE2E1;KCTD6;SCO1;MSH2;ZNF717;ZNF559;ANAPC4;ZNF678;ANAPC5;ZNF555;ZNF554;L3MBTL1;ZNF793;COX16;PSMD14;ANAPC16;RBM8A;CSTF3;CSTF2;GTF2E2;KRBOX4;PRDX1;ZNF426;SLC38A9;ZKSCAN4;ZNF544;ZNF785;ATRIP;ZNF420;ZNF540;ZNF383;ZNF382;CPSF3;CNOT10;NR2F6;ZNF37A;ZNF419;CNOT11;ZNF30;CDC16;ZNF416;RAD17;MNAT1;INTS9;ZNF256;ZNF530;ZNF133;ZNF253;INTS12;ZC3H8;PPP1R13L;AIFM2;CASP6;ZNF248;TEAD2;ZNF485;PRMT6;ZNF483;NCBP1;ZNF480;NCBP2;ACTL6A;ZNF75A;ZFP90;PSMA5;RBL1;ZNF517;POLR1B;ZNF599;ZNF510;ZNF195;HDAC1;TAF9;ZNF3;HDAC8;COX5A;FIP1L1;PSMB1;ZNF626;POLR2D;ZNF227;ZNF347;ZNF589;ZNF225;BRD7;ZNF223;ZNF343;ZNF584;ZNF180;LRPPRC;GTF2H5;ZNF33B;MAPK11;RAD50;ZNF619;ZNF71;TTC5;IL2RA;PSMC2;ZNF337;TAF5;ZNF212;ZFP28,4.570363944958357e-10,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
4,Mitochondrial Translation R-HSA-5368287,3.608989515241075e-11,6.857806471931344,164.89601286839138,MRPS17;TSFM;MRPS35;GFM2;MRPS11;MRPS22;MRPS33;MRPL49;MRPL16;MRPS31;MRPL39;MRPL17;MRPL58;MRPL48;MRPL15;MRPL45;MRPL46;MRPL43;MRPL30;MRPL20;MRPL50;MRPS9;MRPL40,8.571350098697553e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
5,Mitochondrial Translation Elongation R-HSA-5389840,5.490595154170286e-11,7.100886162235856,167.76127143771092,MRPS17;TSFM;MRPS35;MRPS11;MRPS22;MRPS33;MRPL49;MRPL16;MRPS31;MRPL39;MRPL17;MRPL58;MRPL48;MRPL15;MRPL45;MRPL46;MRPL43;MRPL30;MRPL20;MRPL50;MRPS9;MRPL40,8.693442327436286e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
6,Mitochondrial Translation Termination R-HSA-5419276,5.490595154170286e-11,7.100886162235856,167.76127143771092,MRPS17;MRPS35;GFM2;MRPS11;MRPS22;MRPS33;MRPL49;MRPL16;MRPS31;MRPL39;MRPL17;MRPL58;MRPL48;MRPL15;MRPL45;MRPL46;MRPL43;MRPL30;MRPL20;MRPL50;MRPS9;MRPL40,8.693442327436286e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
7,Generic Transcription Pathway R-HSA-212436,1.0857280527700015e-10,2.073776806629477,47.57990585497067,ZNF175;ZNF691;TP53RK;TXN2;CDC23;ZFP30;ZNF605;ZNF569;ZNF566;ZNF202;ZNF565;ZNF563;SKP1;ZNF287;ZNF17;ZNF682;ZNF19;SUPT16H;ZFP1;UBE2E1;KCTD6;SCO1;MSH2;ZNF717;ZNF559;ANAPC4;ZNF678;ANAPC5;ZNF555;ZNF554;L3MBTL1;ZNF793;COX16;PSMD14;ANAPC16;KRBOX4;PRDX1;ZNF426;SLC38A9;ZKSCAN4;ZNF544;ZNF785;ATRIP;ZNF420;ZNF540;ZNF383;ZNF382;CNOT10;NR2F6;ZNF37A;ZNF419;CNOT11;ZNF30;CDC16;ZNF416;RAD17;MNAT1;ZNF256;ZNF530;ZNF133;ZNF253;PPP1R13L;AIFM2;CASP6;ZNF248;TEAD2;ZNF485;PRMT6;ZNF483;ZNF480;ACTL6A;ZNF75A;ZFP90;PSMA5;RBL1;ZNF517;POLR1B;ZNF599;ZNF510;ZNF195;HDAC1;TAF9;ZNF3;HDAC8;COX5A;PSMB1;ZNF626;POLR2D;ZNF227;ZNF347;ZNF589;ZNF225;BRD7;ZNF223;ZNF343;ZNF584;ZNF180;LRPPRC;GTF2H5;ZNF33B;MAPK11;RAD50;ZNF619;ZNF71;TTC5;IL2RA;PSMC2;ZNF337;TAF5;ZNF212;ZFP28,1.4734880716164306e-08,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
8,Mitochondrial Translation Initiation R-HSA-5368286,3.868743271219392e-10,6.659840251846146,144.3381930611426,MRPS17;MRPS35;MRPS11;MRPS22;MRPS33;MRPL49;MRPL16;MRPS31;MRPL39;MRPL17;MRPL58;MRPL48;MRPL15;MRPL45;MRPL46;MRPL43;MRPL30;MRPL20;MRPL50;MRPS9;MRPL40,4.594132634573028e-08,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
9,rRNA Processing R-HSA-72312,1.196495649736885e-09,3.8718804899016956,79.54340496577223,RPL5;UTP25;NIP7;RPP30;WDR3;RPLP0;TFB1M;RPL6;EXOSC7;EXOSC6;EMG1;EXOSC9;GAR1;RIOK2;MTREX;RPP14;EXOSC2;RPP38;DCAF13;UTP15;WDR36;UTP6;TRMT10C;UTP11;MTERF4;WDR75;WDR12;UTP18;GNL3;EBNA1BP2;NHP2;MPHOSPH10;NOL11,1.262967630277823e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
10,tRNA Processing R-HSA-72306,1.6194143222978191e-09,5.4311855605761785,109.93372013431384,PUS3;POP5;NUP107;TRMT10C;TP53RK;METTL1;RPP30;DDX1;CSTF2;TSEN2;PUS7;TRIT1;ADAT2;TRMT5;NUP35;LCMT2;NUP43;RPP14;TRMT61A;RPP38;RAN;TRMT61B;RTRAF,1.538443606182928e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,over,Reactome_2022
