rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Endocytosis (GO:0006897),2.851550947670178e-14,5.099895941727367,159.05722874023343,RAB1A;HIP1;ITGAM;DENND1A;ITGB2;LDLRAD3;AP2A1;C9ORF72;CXCL16;MRC1;STAB1;TOM1;PACSIN2;REPS2;APOE;ATP9A;PDLIM7;MAPK3;MSR1;SORT1;SLC11A1;SFTPD;CSNK1D;DNAJC13;EPS15L1;SORL1;IGF2R;EPN1;JMJD6;DNM2;EPN2;EHD1;DNM3;DAB2;SNX18;CTTN;AXL;AMPH;RIN3,1.0838745152094347e-10,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
2,Receptor-Mediated Endocytosis (GO:0006898),1.3877088844031343e-12,6.071813782487847,165.78096013970102,RAMP2;CXCL8;ITGAM;RALB;ITGB2;STON1;LDLRAD3;ADM;AP2A1;ARRB2;CXCL16;CTSL;MRC1;STAB1;APOE;PDLIM7;SNCA;MSR1;SFTPD;DNAJC13;LILRB4;SORL1;IGF2R;DNM2;DNM3;DAB2;RAB31;CTTN;RAMP1,2.6373407348081565e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
3,Positive Regulation Of Cell Migration (GO:0030335),6.980907419306658e-11,3.577834256149587,83.66857398362069,DOCK5;GRN;NOTCH1;CXCR4;NEDD9;ACVR1B;HIF1A;THBS1;VSIR;MYLK;CXCL16;IGF1R;SDCBP;MDK;PDGFC;PLCG2;ITGAX;CCL3;PTK2B;WASHC1;CLASP1;MAP4K4;SEMA6B;SEMA4A;TGFB1;HSPA5;PRKCE;STAT3;DAB2IP;ACTN4;VEGFA;FGR;MMP14;DAB2;IFNG;AGO2;TRIP6;SNAI1;MYADM;NUMB;ADAM9;FERMT3,8.844809700261535e-08,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
4,Positive Regulation Of DNA-templated Transcription (GO:0045893),1.6548993433688007e-10,2.036695211607787,45.8706751049121,CRTC2;SPI1;NCF1;KDM1B;ETS2;ZMIZ1;ZC3H12A;NAMPT;EP300;JUNB;IER5;IER2;SOX4;CDK5RAP2;MAP2K3;SLC11A1;MITF;JMJD6;KAT6A;DDIT3;MAML3;CASZ1;NOTCH1;CTBP2;STXBP2;FOXO4;FOXO3;HIF1A;SBNO2;PPP3R1;ATXN7;PCBP1;NLRP3;CYTL1;APOE;AKIRIN2;CREBBP;JUN;JAG1;TGFB1;POU2F1;AUTS2;ZBTB16;SS18L1;FOSL2;NR4A2;NFKBIA;NR4A1;DAB2;MAFB;NR4A3;AGO2;MAFF;BCL3;SNAI1;REL;CSRNP1;RNF10;ELL;HMGB2;ILK;ING1;PTMS;MED12;IKBKG;ARHGEF11;KDM6B;NCOA6;TFE3;TET2;RHOG;MSL3;FOS;ZFY;DNM2;ZEB2;PSRC1;TFDP1;TET3;ZNF516;RARA;WAC;PLCB1;TLR2;HDAC4;NFAT5;CEBPB;WBP2;WAS;NR2C2;ATAD2B;RXRA;NFIL3;PLAGL1;TNNI2;HES1;E2F3;BRD4;MAPK3;NFYA;STAT3;DAB2IP;OSM;KLF2;GATAD2A;VEGFA;HIPK2;PER1;KLF7;KLF6;KLF5;TNIP1;CARM1;PF4,1.5725681010362028e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
5,Regulation Of Erythrocyte Differentiation (GO:0045646),7.543751738301244e-10,12.248386501936197,257.27896660850905,LYN;SPI1;STAT3;HMGB2;ACVR1B;FOXO3;MAPK14;HIF1A;ZFP36L1;FAM210B;ZFP36;MAFB;HSPA1B;HSPA1A,5.376384535519192e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
6,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),8.486794846912695e-10,2.145569102364782,44.815230308732005,CSRNP1;RNF10;CRTC2;SPI1;ELL;KDM1B;HMGB2;ETS2;PTMS;MED12;ZMIZ1;ZC3H12A;NAMPT;EP300;IKBKG;IER5;JUNB;IER2;SOX4;KDM6B;NCOA6;SLC11A1;TFE3;TET2;MITF;FOS;ZFY;JMJD6;ZEB2;TFDP1;DDIT3;TET3;RARA;MAML3;TLR2;HDAC4;NFAT5;CEBPB;CASZ1;NOTCH1;CTBP2;WBP2;STXBP2;WAS;FOXO4;FOXO3;NR2C2;HIF1A;ATAD2B;SBNO2;PPP3R1;RXRA;PLAGL1;PCBP1;NLRP3;E2F3;CYTL1;HES1;BRD4;MAPK3;AKIRIN2;CREBBP;JUN;JAG1;POU2F1;TGFB1;AUTS2;NFYA;SS18L1;STAT3;DAB2IP;OSM;KLF2;VEGFA;FOSL2;HIPK2;NFKBIA;NR4A2;PER1;KLF7;NR4A1;DAB2;KLF6;KLF5;NR4A3;TNIP1;AGO2;BCL3;MAFF;REL;PF4,5.376384535519192e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
7,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),1.2343904573439265e-09,3.6013405681455475,73.87317742068778,GSK3A;SPI1;DGKD;NPRL3;WWC2;PDE3B;PLEK;PTEN;TNFAIP3;ARRB2;ADIPOR1;THBS1;PBLD;IGF1R;ZC3H12A;CPNE1;NLRP3;FNIP1;LYN;MAP2K3;TLE1;UBE2B;DUSP1;RIOK3;DAB2IP;PLAUR;MAPK14;LILRB4;PER1;PINK1;TNIP1;DDIT3;CARD19;TNIP3;DDIT4;MYADM,6.702740183377521e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
8,Integrin-Mediated Signaling Pathway (GO:0007229),5.0184573160470955e-09,5.945054945054945,113.61085167687013,ITGAM;MPIG6B;ITGB3;ITGA2B;ITGB2;PLEK;ILK;APOA1;NEDD9;FGR;DAB2;TEC;ADAMTS1;ITGAX;ZYX;ADAM9;MYH9;PTK2B;ITGAV;FERMT3,2.384394532286876e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
9,Regulation Of Cell Migration (GO:0030334),1.312307896821931e-08,2.612250905859404,47.40946323365738,PTEN;ING1;VSIR;MYLK;CXCL16;IGF1R;MDK;ITGAX;EMILIN2;PHACTR1;WASHC1;ARPIN;SEMA6B;APLP2;MITF;ACTN4;RHOA;SAP30;RHOB;FGR;CLDN5;MMP14;NUMB;MYADM;ADAM9;GRN;NOTCH1;CXCR4;NEDD9;FOXO3;THBS1;SDCBP;PDGFC;CCL3;PTK2B;SRGAP1;MAP4K4;SEMA4A;NTNG2;HACE1;JAG1;TGFB1;HSPA5;STAT3;OSGIN1;SORL1;VEGFA;DAB2;TRIP6;SNAI1;FERMT3,5.542313684244622e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
10,Positive Regulation Of Cell Motility (GO:2000147),1.7763607448807286e-08,3.414794604941803,60.94081379917582,GRN;NOTCH1;CXCR4;NEDD9;THBS1;VSIR;MYLK;CXCL16;IGF1R;SDCBP;MDK;PDGFC;ITGAX;CCL3;PTK2B;WASHC1;MAP4K4;SEMA6B;SEMA4A;TGFB1;HSPA5;STAT3;ACTN4;VEGFA;FGR;MMP14;DAB2;TRIP6;SNAI1;MYADM;NUMB;ADAM9;FERMT3,6.75194719129165e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,GO_Biological_Process_2023
