rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Osteoclast differentiation,3.3813229747110503e-09,4.7506284565108094,92.66100230261964,LILRA6;SPI1;NCF1;ITGB3;SIRPB1;SOCS3;PPP3R1;PLCG2;IKBKG;JUNB;MAPK3;JUN;TGFB1;IFNGR1;MITF;FOS;GAB2;LILRB3;MAPK14;LILRB4;FOSL2;NFKBIA;TEC;IFNG;LCP2,9.361160698281232e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
2,Chemokine signaling pathway,7.324090054121398e-09,3.743431468697319,70.12232106425179,GSK3A;CXCL8;NCF1;WAS;CXCR4;ARRB2;FOXO3;CXCL16;GNAI2;PREX1;PLCG2;CCL3;PTK2B;IKBKG;PRKACA;MAPK3;LYN;CCL20;PRKCD;STAT3;GNG11;RHOA;NFKBIA;FGR;PLCB3;GNB2;GNB1;DOCK2;PLCB1;SOS2;PF4,9.361160698281232e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
3,Platelet activation,9.853853366611824e-09,4.647540983606557,85.67929217009838,LYN;VASP;ITGB3;ITGA2B;ITPR2;PLA2G4A;GP6;MAPK14;RHOA;MYLK;GNAI2;APBB1IP;GNA13;PLCB3;TBXAS1;P2RY1;PLCG2;GNAS;LCP2;PRKACA;TLN1;PLCB1;FERMT3;MAPK3,9.361160698281232e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
4,Chagas disease,2.641384214270133e-08,5.010138841599516,87.42380467899109,C1QB;C1QA;JUN;TGFB1;CXCL8;IFNGR1;FOS;CFLAR;MAPK14;GNAI2;NFKBIA;PLCB3;GNA15;IFNG;PPP2R2D;GNAS;CCL3;IKBKG;PLCB1;TLR2;MAPK3,1.4789189755854834e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
5,TNF signaling pathway,3.050895637829942e-08,4.726425812315383,81.79195923089164,MAP2K3;JUN;CEBPB;JAG1;CCL20;DAB2IP;TNFAIP3;FOS;CFLAR;TNFRSF1B;PTGS2;MAPK14;ICAM1;NFKBIA;SOCS3;MMP14;BCL3;MAP3K8;IKBKG;JUNB;IL18R1;MAPK3,1.4789189755854834e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
6,Kaposi sarcoma-associated herpesvirus infection,3.113513632811544e-08,3.574157232306622,61.77905353068248,CDKN1A;CXCL8;ITPR2;PTGS2;HIF1A;ICAM1;PREX1;PPP3R1;ZFP36;UBC;PLCG2;EP300;E2F3;IKBKG;MAPK3;LYN;GABARAPL1;CREBBP;JUN;IFNGR1;STAT3;HLA-B;FOS;MAPK14;GNG11;VEGFA;NFKBIA;GNB2;MAPKAPK2;GNB1,1.4789189755854834e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
7,Pathways in cancer,4.704407191291935e-08,2.362470971985449,39.860037785934445,CDKN1A;SPI1;CSF3R;CXCL8;FLT3;ITGA2B;PTEN;IGF1R;EP300;ITGAV;IKBKG;PRKACA;ARHGEF11;IL4R;IFNGR1;MITF;FOS;RHOA;PLCB3;IFNG;RARA;PLCB1;SOS2;NOTCH1;RALB;CTBP2;CXCR4;PTGS2;PLD1;HIF1A;GNAI2;GNA13;RXRA;PLCG2;CTNNA1;HMOX1;PMAIP1;E2F3;HES1;MAPK3;CREBBP;JUN;GSTM1;JAG1;TGFB1;GADD45B;GADD45A;LAMB2;ZBTB16;STAT3;GNG11;GADD45G;VEGFA;NFKBIA;GNB2;GNB1;GNAS,1.9153657850260024e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
8,Endocytosis,1.375878094568876e-07,3.0324045054798945,47.90896942410387,ARF1;WIPF1;CXCR4;AP2A1;ASAP1;ARRB2;PLD1;IGF1R;SNX3;WASHC1;SH3GL1;IQSEC1;HSPA6;HLA-B;EPS15L1;ARAP1;VPS37B;ARFGAP3;RHOA;IGF2R;EPN1;DNM2;EPN2;EHD1;DNM3;DAB2;RAB31;CHMP2A;AMPH;FOLR3;FOLR2;SMAP2;HSPA1B;HSPA1A,4.381432423921456e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
9,Notch signaling pathway,1.3836102391330915e-07,6.560682971850484,103.61548685596733,PTCRA;TLE4;TLE3;NUMBL;CREBBP;TLE1;NOTCH1;JAG1;CTBP2;NCSTN;ATXN1;NUMB;EP300;HES1;MAML3,4.381432423921456e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
10,Vascular smooth muscle contraction,1.7514353965772068e-07,4.042709593374895,62.89510122173252,ARHGEF11;RAMP2;PRKCE;PRKCD;ITPR2;PLA2G4A;ADM;RHOA;MYLK;ACTA2;GNA13;PLCB3;CALD1;KCNMA1;GNAS;MYH9;MYH11;PRKACA;PLCB1;MYL9;MYH10;RAMP1;MAPK3,4.99159088024504e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,KEGG_2021_Human
