rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,TNF-alpha Signaling via NF-kB,2.031951650313016e-38,10.429054493432176,905.129680014715,CDKN1A;PLEK;TNFAIP3;IRS2;SLC2A3;AREG;SAT1;ETS2;ICAM1;ZFP36;ZC3H12A;NAMPT;CCRL2;MAP3K8;DENND5A;JUNB;IER5;IER2;IER3;MAP2K3;KDM6B;DUSP1;PLAUR;FOS;RHOB;TUBB2A;NINJ1;TRIB1;TLR2;B4GALT5;PPP1R15A;NFAT5;CEBPB;PFKFB3;BCL2A1;CEBPD;PTGS2;SOCS3;NFIL3;HES1;JUN;JAG1;GADD45B;GADD45A;CCL20;PLK2;G0S2;CFLAR;PNRC1;KLF2;FOSL2;VEGFA;EHD1;NFKBIA;NR4A2;PER1;NR4A1;PTPRE;KLF6;MARCKS;NR4A3;BCL6;TNIP1;MAFF;BCL3;REL;PTX3;MXD1,1.015975825156508e-36,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
2,Hypoxia,5.025006929808515e-17,5.559596609805815,208.6489907579997,ERO1A;PPP1R15A;ERRFI1;CDKN1A;PFKFB3;CXCR4;TNFAIP3;ADM;IRS2;SLC2A3;FOXO3;NDRG1;HK2;HK1;SELENBP1;ZFP36;NFIL3;NOCT;HMOX1;IER3;BNIP3L;JUN;WSB1;TPI1;HSPA5;DUSP1;SIAH2;PLAUR;FOS;PNRC1;JMJD6;FOSL2;VEGFA;SAP30;EXT1;SLC6A6;KLF7;KLF6;DDIT3;DDIT4;MAFF;MYH9;PLIN2;ALDOA,1.2562517324521289e-15,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
3,Inflammatory Response,1.504175718521261e-15,5.228218070346978,178.44186071322972,CDKN1A;CSF3R;CXCL8;ITGB3;C5AR1;FPR1;ADM;MEFV;ACVR1B;HIF1A;ICAM1;BEST1;GNA15;IL18RAP;RGS1;IRAK2;NAMPT;STAB1;CCRL2;C3AR1;NLRP3;KIF1B;TIMP1;CD55;LYN;MSR1;IL4R;CCL20;RHOG;OSM;PLAUR;TNFRSF1B;NFKBIA;RNF144B;PTPRE;MMP14;KLF6;AXL;LCP2;MXD1;IL18R1;TLR2,2.5069595308687685e-14,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
4,p53 Pathway,9.300010436750108e-13,4.59333692667026,127.25192610180952,PPP1R15A;CDKN1A;NOTCH1;HSPA4L;FOXO3;ACVR1B;SAT1;NDRG1;TOB1;ZFP36L1;RXRA;MKNK2;HMOX1;UPP1;IER5;CTSD;IER3;SLC19A2;PLK3;JUN;TGFB1;GADD45A;VDR;PLK2;ZBTB16;RHBDF2;OSGIN1;FOS;BAIAP2;PROCR;PTPRE;TCN2;DDIT3;DDIT4;NINJ1;TXNIP;SDC1;MXD1,1.1625013045937635e-11,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
5,IL-2/STAT5 Signaling,2.965118449594907e-10,4.017755191668235,88.14526577332377,IFITM3;SLC2A3;FURIN;CST7;NDRG1;HK2;IGF1R;NFIL3;CA2;PLAGL1;NFKBIZ;ST3GAL4;TNFRSF8;DENND5A;MAP3K8;ITGAV;WLS;GABARAPL1;IL4R;POU2F1;GADD45B;IFNGR1;IL1R2;TNFRSF1B;IGF2R;RHOB;HIPK2;KLF6;MAPKAPK2;MAFF;PLIN2;MXD1;IL18R1;TNFRSF21,2.4318763229103947e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
6,Complement,3.4046268520745524e-10,3.9933398189029408,87.05766562446078,FCN1;CDA;C1QA;CEBPB;SERPINA1;ITGAM;PLEK;WAS;TNFAIP3;CLU;GNAI2;CASP5;CTSL;CA2;S100A13;TIMP2;ME1;TIMP1;CTSD;CD55;CTSB;LYN;HSPA5;PRKCD;RHOG;PLAUR;PLA2G4A;EHD1;MMP14;GNB2;MAFF;ADAM9;LCP2;HSPA1A,2.4318763229103947e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
7,Epithelial Mesenchymal Transition,3.4046268520745524e-10,3.9933398189029408,87.05766562446078,FBN2;SPARC;CXCL8;WIPF1;ITGB3;HTRA1;TNFAIP3;PLOD1;AREG;SAT1;THBS1;MYLK;EFEMP2;BASP1;CALD1;ANPEP;QSOX1;ITGAV;TIMP1;JUN;TGFB1;GADD45B;GADD45A;TPM2;IGFBP2;PLAUR;RHOB;VEGFA;ACTA2;MMP14;DAB2;SDC1;PTX3;MYL9,2.4318763229103947e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
8,Apoptosis,2.982443484164616e-08,3.9068429691215045,67.69753203476272,IFITM3;CDKN1A;HMGB2;NEDD9;CLU;SAT1;PPP3R1;GNA15;TIMP2;PMAIP1;HMOX1;TIMP1;IER3;BNIP3L;JUN;CREBBP;GSTM1;GADD45B;GADD45A;IFNGR1;CFLAR;IGF2R;RHOB;DDIT3;DPYD;RARA;TXNIP,1.8640271776028847e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
9,IL-6/JAK/STAT3 Signaling,4.439268861661704e-08,5.3922767883911975,91.2922762319993,JUN;CSF3R;IL4R;TGFB1;IFNGR1;ITGB3;IL1R2;STAT3;TNFRSF1B;ACVR1B;SOCS3;PDGFC;LEPR;HMOX1;MAP3K8;TNFRSF21;IL18R1;TLR2;PF4,2.466260478700947e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
10,Mitotic Spindle,7.321961942560614e-07,3.1719250114311843,44.81047400350363,TRIO;ITSN1;NEDD9;LMNB1;PREX1;FGD4;ARHGDIA;KIF1B;MYH10;CLASP1;CDK5RAP2;ARHGEF11;MAP1S;RANBP9;ARHGAP29;CSNK1D;KIF23;MYO9B;ACTN4;SHROOM1;TUBA4A;MARCKS;NIN;CTTN;PALLD;MYH9;DOCK2;ARL8A,3.660980971280307e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,MSigDB_Hallmark_2020
