rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Immune System R-HSA-168256,4.400642126862371e-24,2.4751864601262192,133.11624999504272,IFITM3;CDA;PGLYRP2;IFITM2;WIPF1;ICAM1;ANPEP;FTH1;C3AR1;CPNE1;TRIM25;WSB1;PRKCE;IL1R2;SLC11A1;PRKCD;HLA-B;MCEMP1;RNASE1;RNF123;IFI27;CRISPLD2;TXNIP;NUP98;ATP6V0D1;STX1A;STXBP2;FPR1;FPR2;MEFV;GNS;HIF1A;PPL;NCSTN;PPP3R1;CYB5R3;INPP5D;PLCG2;HMOX1;PAG1;LYN;CTSA;VASP;CREBBP;JUN;HACE1;YES1;SIAH2;TREML1;VNN1;REL;SDC1;CYSTM1;ARHGAP9;CDKN1A;SERPINA1;AP2A1;PYGL;CTSL;MRC1;TIMP2;QSOX1;IKBKG;TIMP1;CTSD;CTSB;HAVCR2;CD53;IFNGR1;RHOG;KIF23;FOS;GAB2;RHOA;NCR1;RNF144B;PELI1;TLR2;C1QB;LILRA6;C1QA;ASAH1;GRN;WAS;PTGS2;ALOX5;CD55;CCL20;STAT3;CARD9;KLHL2;KIR3DL1;MYO9B;LILRB4;VEGFA;SLCO4C1;YPEL5;CD68;IL18R1;HSPA1B;SIPA1;HSPA1A;FCN1;CSF3R;RAB3A;NCF1;IRS2;IL1RAP;CLU;STK10;IL18RAP;LAMP1;TOM1;COTL1;TNFRSF8;EP300;MAP3K8;GYG1;KCMF1;MAP2K3;IL4R;ATP11B;ATP11A;RAB31;MAPKAPK2;ELMO2;ADAM8;CLEC4E;ARL8A;FTL;C5AR1;ITPR2;FOXO3;KIR2DL4;SOCS3;SDCBP;IRAK2;UBC;NLRP3;SLC15A4;UBE2F;UBE2H;TGFB1;POU2F1;UBE2B;HSPA5;ZBTB16;HSPA6;MSN;DNAJC13;IGF2R;NFKBIA;BCL6;OSBPL1A;EIF4G3;UBE2M;ITGAM;CXCL8;FLT3;ITGB2;PTEN;TNFAIP3;SLC2A3;TCIRG1;SIRPB1;FCAR;LMNB1;ADGRE5;NAPRT;ITGAX;ITGAV;PLAUR;IRAK3;TNFRSF1B;DNM2;DNM3;FGR;UBE2R2;IFNG;MYH9;LCP2;DOCK2;SOS2;NUP58;CEBPD;DCTN4;CCL3;PTK2B;NCAM1;MAPK3;MYO10;PTPN12;BAIAP2;MAPK14;GALNS;TEC;PTX3;FOLR3;PIK3AP1;NECTIN2,5.932065587010476e-21,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
2,Neutrophil Degranulation R-HSA-6798695,3.3845607166263975e-21,4.036876355748373,190.27842065890206,ARHGAP9;FCN1;CDA;SERPINA1;RAB3A;ITGAM;ITGB2;SLC2A3;PYGL;TCIRG1;FCAR;SIRPB1;STK10;LAMP1;ADGRE5;ANPEP;FTH1;NAPRT;C3AR1;TIMP2;TOM1;ITGAX;CPNE1;COTL1;ITGAV;QSOX1;GYG1;CTSD;CTSB;KCMF1;CD53;SLC11A1;PRKCD;HLA-B;RHOG;PLAUR;MCEMP1;ATP11B;ATP11A;TNFRSF1B;RNASE1;RHOA;FGR;RAB31;CRISPLD2;ADAM8;DOCK2;ARL8A;FTL;TLR2;LILRA6;ASAH1;GRN;C5AR1;FPR1;FPR2;GNS;SDCBP;NCSTN;CYB5R3;ALOX5;SLC15A4;CD55;CTSA;HSPA6;DNAJC13;MAPK14;IGF2R;GALNS;VNN1;SLCO4C1;CYSTM1;PTX3;FOLR3;YPEL5;CD68;HSPA1B;HSPA1A,2.281193923006192e-18,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
3,Innate Immune System R-HSA-168249,5.3630478825323925e-21,2.8691800530167435,133.91827460406014,FCN1;CDA;PGLYRP2;RAB3A;NCF1;WIPF1;CLU;STK10;LAMP1;ANPEP;FTH1;C3AR1;TOM1;CPNE1;COTL1;TRIM25;EP300;MAP3K8;GYG1;KCMF1;MAP2K3;PRKCE;SLC11A1;PRKCD;HLA-B;MCEMP1;ATP11B;ATP11A;RNASE1;RAB31;CRISPLD2;MAPKAPK2;TXNIP;ELMO2;ADAM8;CLEC4E;ATP6V0D1;ARL8A;FTL;C5AR1;FPR1;ITPR2;FPR2;MEFV;GNS;SDCBP;NCSTN;PPP3R1;CYB5R3;IRAK2;UBC;PLCG2;HMOX1;NLRP3;SLC15A4;LYN;CTSA;CREBBP;JUN;YES1;HSPA6;DNAJC13;IGF2R;NFKBIA;VNN1;CYSTM1;UBE2M;ARHGAP9;ITGAM;SERPINA1;ITGB2;TNFAIP3;SLC2A3;PYGL;TCIRG1;SIRPB1;FCAR;ADGRE5;CTSL;NAPRT;ITGAX;TIMP2;ITGAV;QSOX1;IKBKG;CTSD;CTSB;CD53;RHOG;PLAUR;IRAK3;FOS;GAB2;TNFRSF1B;RHOA;DNM2;DNM3;FGR;PELI1;MYH9;LCP2;DOCK2;TLR2;C1QB;LILRA6;C1QA;ASAH1;GRN;WAS;ALOX5;CD55;MAPK3;MYO10;CARD9;MYO9B;BAIAP2;MAPK14;GALNS;TEC;SLCO4C1;PTX3;FOLR3;YPEL5;CD68;HSPA1B;HSPA1A,2.4097961818845548e-18,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
4,"Platelet Activation, Signaling And Aggregation R-HSA-76002",1.146968101629433e-15,4.599983682793506,158.24704875119815,ITIH4;SPARC;SERPINA1;DGKD;ITGB3;STXBP2;ITGA2B;PLEK;ITPR2;ARRB2;CLU;THBS1;GNAI2;GNA13;GNA15;P2RY1;PLCG2;QSOX1;TIMP1;LY6G6F;MAPK3;LYN;SRGN;TGFB1;HSPA5;ACTN1;PRKCE;APLP2;PRKCD;RHOG;APOA1;PLA2G4A;ACTN4;GP6;MAPK14;RNASE1;GNG11;RHOA;TUBA4A;RHOB;VEGFA;APBB1IP;GNB2;GNB1;LCP2;TLN1;FERMT3;PF4,3.8234587694486956e-13,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
5,Signal Transduction R-HSA-162582,1.4181968729409107e-15,1.9739257346543546,67.48731704548595,TRIO;SPARC;WIPF1;ITSN1;MYLK;PREX1;C3AR1;PDK4;SOX4;WLS;IER3;ACTN1;PRKCE;PRKCD;RNASE1;NUP98;MAML3;TRIB1;TLN1;ATP6V0D1;MYL9;CTBP2;FPR1;FPR2;HIF1A;SNX3;NCSTN;PPP3R1;PRKAR2B;DHX34;PDGFC;ST3GAL4;PLCG2;APOE;PAG1;LYN;CREBBP;JUN;PHC2;JAG1;YES1;PTK6;GNG11;AGO2;ID1;SNAI1;COL9A3;COL9A2;ARHGAP9;CDKN1A;ARHGAP8;AP2A1;ADM;PCSK6;AREG;ARHGAP6;IKBKG;CTSD;ZNF367;NDEL1;RHOG;EPS15L1;FOS;GAB2;GMIP;RHOA;RHOB;APBB1IP;PLCB3;CTTN;CDC42EP3;RARA;PLCB1;RAMP2;WAS;CXCR4;GNAI2;FGD4;RXRA;CTNNA1;MFN2;CD55;CCL20;KIDINS220;STAT3;DAB2IP;RANBP9;MYO9B;GATAD2A;VEGFA;AXL;TACC3;CENPQ;RAMP1;PF4;DGKD;NCF1;KDM1B;ITGA2B;IRS2;IL1RAP;CXCL16;IGF1R;STK10;HHAT;RGS1;BASP1;ARHGDIA;CCRL2;EP300;SH3GL1;TLE4;TLE3;TLE1;MAPKAPK2;ELMO2;FKBP5;NOTCH1;C5AR1;ITPR2;FOXO4;FOXO3;SOCS3;HCAR3;UBC;NLRP3;MYH11;SRGAP2;SRGAP1;SKIL;MYH10;TGFB1;POU2F1;CBX4;ARHGAP29;ARHGAP26;NFKBIA;NR4A1;GNB2;GNB1;GNAS;UBE2M;ARHGAP11B;DOCK5;GSK3A;CXCL8;FLT3;ITGB3;PDE3B;PTEN;TNFAIP3;ECE1;ARRB2;TCIRG1;LMNB1;RASGEF1A;ADGRE5;FLOT1;PDE4A;ITGAV;PTCRA;ARHGEF11;ATP6AP1;PLA2G4A;ARAP1;ARFGAP3;EPN1;DNM2;ACTA2;DNM3;LATS2;TFDP1;NUMB;SPOPL;MYH9;DOCK2;SOS2;PPP1R15A;HDAC4;RGS18;RALB;FURIN;ACVR1B;THBS1;GNA13;DNAJB1;GNA15;POLR2A;MKNK1;P2RY1;CCL3;PTK2B;E2F3;S1PR3;NCAM1;SH2B2;CLASP1;MAPK3;KDM4B;SMOX;LIMK2;CFLAR;PTPN12;BAIAP2;MAPK14;FMNL1;TEC;CARM1;RGS12;PIK3AP1,3.8234587694486956e-13,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
6,Hemostasis R-HSA-109582,8.0036781285277e-15,3.0432900432900434,98.78177169071826,DOCK5;SERPINA1;DGKD;ITGAM;SPARC;ITGB3;ITGA2B;ITGB2;PLEK;ARRB2;HBD;CLU;THBD;ITGAX;ITGAV;KIF1B;QSOX1;TIMP1;SLC16A3;SRGN;PRKCE;ACTN1;APLP2;PRKCD;RHOG;PLAUR;APOA1;PLA2G4A;KIF23;ACTN4;RNASE1;TUBA4A;RHOA;RHOB;APBB1IP;FGR;PROCR;KCNMA1;LCP2;TLN1;DOCK2;ITIH4;GYPC;STXBP2;ITPR2;THBS1;PHF21A;GNAI2;GNA13;GNA15;PRKAR2B;INPP5D;P2RY1;PLCG2;MFN2;SH2B2;LY6G6F;MAPK3;LYN;YES1;TGFB1;HSPA5;GP6;MAPK14;GNG11;VEGFA;EHD1;MAFG;GNB2;MAFF;GNB1;GNAS;SDC1;ESAM;FERMT3;PF4,1.7981596862092231e-12,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
7,Signaling By Interleukins R-HSA-449147,4.5872042271490644e-11,2.9000779381332475,69.03683465745108,CDKN1A;CSF3R;ITGAM;CXCL8;ITGB2;IRS2;IL1RAP;ICAM1;LMNB1;IL18RAP;ITGAX;MAP3K8;IKBKG;TIMP1;HAVCR2;MAP2K3;IL4R;IL1R2;IRAK3;FOS;GAB2;TNFRSF1B;IFNG;MAPKAPK2;PELI1;SOS2;STX1A;CEBPD;STXBP2;FPR1;PTGS2;FOXO3;HIF1A;SOCS3;IRAK2;ALOX5;INPP5D;UBC;CCL3;HMOX1;PTK2B;MAPK3;LYN;JUN;YES1;POU2F1;TGFB1;CCL20;STAT3;MSN;PTPN12;MAPK14;VEGFA;NFKBIA;TEC;BCL6;SDC1;IL18R1,8.833644711709914e-09,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
8,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,2.1393731624072423e-10,2.717743509662307,60.51147799913636,SPARC;NCF1;FLT3;ITGB3;PDE3B;IRS2;AP2A1;TCIRG1;PCSK6;AREG;IGF1R;EP300;ITGAV;SH3GL1;ATP6AP1;PRKCE;PRKCD;EPS15L1;FOS;GAB2;RNASE1;RHOA;EPN1;DNM2;DNM3;MAPKAPK2;ELMO2;ATP6V0D1;TRIB1;RALB;ITPR2;FURIN;HIF1A;THBS1;NCSTN;POLR2A;MKNK1;PDGFC;UBC;CTNNA1;PTK2B;APOE;SH2B2;PAG1;MAPK3;LYN;YES1;KIDINS220;STAT3;RANBP9;PTK6;PTPN12;BAIAP2;MAPK14;VEGFA;TEC;AXL;ID1;COL9A3;COL9A2,3.604843778656203e-08,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
9,Cytokine Signaling In Immune System R-HSA-1280215,5.457930802259594e-09,2.2623152709359604,43.04325396893343,IFITM3;CDKN1A;CSF3R;ITGAM;IFITM2;CXCL8;FLT3;ITGB2;IRS2;IL1RAP;ICAM1;LMNB1;IL18RAP;ITGAX;TNFRSF8;TRIM25;MAP3K8;IKBKG;TIMP1;HAVCR2;MAP2K3;IL4R;IFNGR1;IL1R2;PRKCD;HLA-B;IRAK3;FOS;GAB2;TNFRSF1B;IFI27;IFNG;MAPKAPK2;PELI1;NUP98;SOS2;STX1A;NUP58;CEBPD;STXBP2;FPR1;PTGS2;FOXO3;HIF1A;SOCS3;IRAK2;ALOX5;INPP5D;UBC;CCL3;HMOX1;PTK2B;NCAM1;MAPK3;LYN;JUN;YES1;POU2F1;TGFB1;CCL20;STAT3;MSN;PTPN12;MAPK14;VEGFA;NFKBIA;TEC;BCL6;SDC1;EIF4G3;IL18R1;UBE2M,8.174767468273258e-07,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
10,Platelet Degranulation R-HSA-114608,1.162613402037954e-08,4.601282259373479,84.06547445642853,SRGN;ITIH4;SPARC;TGFB1;SERPINA1;HSPA5;ACTN1;APLP2;ITGB3;ITGA2B;STXBP2;PLEK;APOA1;ACTN4;CLU;THBS1;TUBA4A;VEGFA;QSOX1;TIMP1;TLN1;LY6G6F;FERMT3;PF4,1.5545767968648437e-06,0,0,GTEX-W5X1-0006-SM-3GIJZ,under,Reactome_2022
