rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Mitochondrial Gene Expression (GO:0140053),2.397696644652283e-19,9.656644762504875,414.0248609291545,MRPS17;FASTKD2;MRPS14;MRPS11;MRPS12;MRPS34;MRPL16;MRPL17;MRPL39;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;MRPS26;NDUFA7;MTERF3;MRPS22;TWNK;MRPS18B;MRPL27;MRPS18A;MRPL47;MRPL23;MRPL45;MRPL24;MRPL46;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,5.662843722199385e-16,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
2,Mitochondrial Translation (GO:0032543),4.0304937524550783e-19,9.94121390501949,421.0623803431066,MRPS17;FASTKD2;MRPS14;MRPS11;MRPS12;MRPS34;MRPL16;MRPL17;MRPL39;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;TSFM;MRPS26;NDUFA7;MRPS22;MRPS18B;MRPL27;MRPS18A;MRPL47;MRPL23;MRPL45;MRPL24;MRPL46;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,5.662843722199385e-16,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
3,Proton Motive Force-Driven ATP Synthesis (GO:0015986),2.9275304121890396e-16,12.953551912568306,463.3123115404103,ATP5PF;NDUFA8;NDUFA13;NDUFB8;NDUFA7;NDUFB7;ATP5PD;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFA2;NDUFA1;ATP5MC3;NDUFC1;ATP5MC1;ATP5F1B;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFS2;NDUFV3;ATP5ME,2.7421201527504005e-13,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
4,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),2.000022954720505e-15,13.764694241044923,465.87457954986746,ATP5PF;NDUFA8;NDUFA13;NDUFB8;NDUFA7;NDUFB7;ATP5PD;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFA2;NDUFA1;NDUFC1;ATP5F1B;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFS2;NDUFV3;ATP5ME,1.4050161256911548e-12,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
5,Oxidative Phosphorylation (GO:0006119),1.412910019898294e-13,10.401965185296024,307.77287560299175,ATP5PF;NDUFA8;NDUFA13;NDUFB8;NDUFA7;NDUFB7;ATP5PD;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFA2;NDUFA1;NDUFC1;ATP5F1B;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFS2;NDUFV3;ATP5ME,7.940554311828412e-11,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
6,Translation (GO:0006412),3.2026614549593225e-11,3.91363163371488,94.5707710149616,MRPS17;FASTKD2;MRPS14;MRPS11;MRPS12;MRPS34;MRPL16;MRPL17;MRPL39;MRPL36;MRPL58;MRPL12;APEH;GSPT2;MRPL35;MRPL57;YARS2;MRPL20;MRPL40;RPL36AL;TSFM;MRPS26;NDUFA7;MRPS22;MRPS18B;MRPL27;MRPS18A;MRPL47;MRPL23;MRPL45;MRPL24;MRPL46;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51;DRG1;FARSB,1.4999131147392825e-08,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
7,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),1.1819832957375538e-10,7.73469387755102,176.80471545499665,NDUFA8;NDUFB8;NDUFA7;NDUFB7;NDUFB10;NDUFB6;UQCC3;NDUFA12;NDUFA2;NDUFA1;NDUFC1;COX5B;COX5A;UQCRHL;COX6B1;NDUFS6;NDUFAB1;NDUFS3;NDUFS2;NDUFV3,4.744818658603609e-08,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
8,NADH Dehydrogenase Complex Assembly (GO:0010257),3.91730371916344e-10,9.110093817113146,197.32870738387967,NDUFA8;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;DMAC2;NDUFA2;NDUFA1;NDUFC1;TIMM21;TMEM186;NDUFAB1;NDUFS3;NDUFS2;NDUFAF3,1.2230692723165852e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
9,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),3.91730371916344e-10,9.110093817113146,197.32870738387967,NDUFA8;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;DMAC2;NDUFA2;NDUFA1;NDUFC1;TIMM21;TMEM186;NDUFAB1;NDUFS3;NDUFS2;NDUFAF3,1.2230692723165852e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
10,Aerobic Electron Transport Chain (GO:0019646),5.250867935013213e-10,7.490669662360357,160.05656600193987,NDUFA8;NDUFB8;NDUFA7;NDUFB7;NDUFB10;NDUFB6;UQCC3;NDUFA2;NDUFA1;NDUFC1;COX5B;COX5A;UQCRHL;COX6B1;NDUFS6;NDUFAB1;NDUFS3;NDUFS2;NDUFV3,1.4754938897387129e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,GO_Biological_Process_2023
