rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Huntington disease,2.0662254080967787e-19,4.760320444698766,204.80513871922324,NDUFA13;NDUFA11;NDUFA12;CLTB;CLTA;PSMD8;CASP9;TUBA1B;PSMD7;PSMD4;PSMD2;TBP;NDUFC1;COX6B1;PSMA5;CREB3;PSMA3;NDUFS6;VDAC3;NDUFS3;NDUFS2;NDUFB8;NDUFB7;NDUFB10;NDUFB6;HDAC1;DCTN3;ATP5MC3;COX5B;COX5A;PSMA7;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;ATG101;POLR2D;POLR2F;POLR2G;NDUFV3;POLR2I;POLR2L;ATP5PF;NDUFA8;NDUFA7;ATP5PD;ADRM1;NDUFA2;NDUFA1;TUBB4B;UQCRHL;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;DNAL4,5.78543114267098e-17,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
2,Parkinson disease,2.103624966473918e-17,4.972494049193335,190.9451864111365,NDUFA13;NDUFA11;NDUFA12;PARK7;UBE2L3;PSMD8;CASP9;TUBA1B;PSMD7;PSMD4;PSMD2;NDUFC1;COX6B1;PSMA5;PSMA3;NDUFS6;VDAC3;NDUFS3;NDUFS2;NDUFB8;NDUFB7;NDUFB10;NDUFB6;ATP5MC3;COX5B;COX5A;PSMA7;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;NDUFV3;ATP5PF;NDUFA8;XBP1;NDUFA7;ATP5PD;ADRM1;NDUFA2;NDUFA1;TUBB4B;UQCRHL;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;CALM3,2.945074953063485e-15,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
3,Prion disease,2.086001384160334e-14,4.207282913165266,132.53337621078313,NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;ATP5MC3;COX5B;COX5A;PSMA7;ATP5MC1;PSMD8;PSMB6;CASP9;TUBA1B;ATP5F1A;PSMD7;ATP5F1B;PSMB5;PSMD4;PSMD2;NDUFV3;ATP5PF;NDUFA8;NDUFA7;ATP5PD;ADRM1;NDUFA2;NDUFA1;NDUFC1;TUBB4B;UQCRHL;COX6B1;PSMA5;CREB3;MAPK11;PSMA3;PSMC5;PSMC3;NDUFS6;PSMC1;NDUFAB1;PSMC2;VDAC3;ATP5PO;NDUFS3;NDUFS2,1.9469346252163117e-12,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
4,Amyotrophic lateral sclerosis,5.303757136566622e-14,3.600154083204931,110.04870300059636,NDUFA13;NDUFA11;NDUFA12;PSMD8;CASP9;TUBA1B;PSMD7;PSMD4;PSMD2;NEFL;SEC13;SIGMAR1;NDUFC1;COX6B1;PSMA5;PSMA3;NDUFS6;NDUFS3;NDUFS2;NDUFB8;NDUFB7;NDUFB10;NDUFB6;DCTN3;ATP5MC3;COX5B;COX5A;PSMA7;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;ATG101;NDUFV3;BID;RAE1;ATP5PF;NDUFA8;XBP1;NDUFA7;ATP5PD;ADRM1;NDUFA2;NDUFA1;TUBB4B;UQCRHL;MAPK11;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;DNAL4;NUP37,3.712629995596635e-12,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
5,Alzheimer disease,1.3369251048997512e-11,3.232826205593047,80.94370860781771,NDUFA13;NDUFA11;NDUFA12;PSMD8;CASP9;TUBA1B;PSMD7;PSMD4;PSMD2;NDUFC1;COX6B1;PSMA5;PSMA3;NDUFS6;VDAC3;NDUFS3;NDUFS2;NDUFB8;NDUFB7;NDUFB10;NDUFB6;ATP5MC3;COX5B;COX5A;HSD17B10;PSMA7;ATP5MC1;PSMB6;ATP5F1A;ATP5F1B;PSMB5;ATG101;NDUFV3;BID;ATP5PF;NDUFA8;XBP1;NDUFA7;ATP5PD;ADRM1;NDUFA2;NDUFA1;TUBB4B;UQCRHL;PSMC5;PSMC3;CDK5;PSMC1;NDUFAB1;PSMC2;ATP5PO;CALM3,6.457028523301735e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
6,Oxidative phosphorylation,1.3836489692789433e-11,5.426443793076131,135.68123687909122,NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;ATP5MC3;COX5B;COX5A;ATP5MC1;ATP5F1A;ATP5F1B;NDUFV3;ATP5ME;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA2;NDUFA1;NDUFC1;UQCRHL;COX6B1;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFS2,6.457028523301735e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
7,Thermogenesis,2.4468369910176405e-11,3.9546079483267107,96.62546638323269,COX19;NDUFA13;NDUFB8;SMARCD2;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;ATP5MC3;COX5B;COX5A;ATP5MC1;ATP5F1A;ATP5F1B;NDUFV3;COA7;ATP5ME;COA4;ATP5PF;COA3;NDUFA8;NDUFA7;ATP5PD;ACTL6A;NDUFA2;NDUFA1;SIRT6;NDUFC1;UQCRHL;COX6B1;CREB3;MAPK11;NDUFS6;NDUFAB1;ATP5PO;NDUFS3;NDUFAF3;NDUFS2,9.787347964070563e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
8,Pathways of neurodegeneration,3.689083626246587e-11,2.85849782107152,68.66985876408468,NDUFA13;NDUFA11;NDUFA12;PARK7;UBE2L3;PSMD8;CASP9;TUBA1B;PSMD7;PSMD4;PSMD2;NEFL;SIGMAR1;NDUFC1;COX6B1;PSMA5;PSMA3;NDUFS6;VDAC3;NDUFS3;NDUFS2;NDUFB8;NDUFB7;NDUFB6;NDUFB10;DCTN3;ATP5MC3;COX5B;HSD17B10;COX5A;PSMA7;ATP5MC1;PSMB6;ATP5F1A;PSMB5;ATP5F1B;ATG101;BAK1;NDUFV3;BID;NDUFA8;ATP5PF;NDUFA7;XBP1;ATP5PD;ADRM1;NDUFA2;NDUFA1;TUBB4B;UQCRHL;MAPK11;PSMC5;PSMC3;CDK5;PSMC1;PSMC2;NDUFAB1;ATP5PO;CALM3;DNAL4,1.2911792691863055e-09,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
9,Diabetic cardiomyopathy,5.122942147955993e-10,3.9218273365430556,83.89620891551469,NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;ATP5MC3;PDHB;COX5B;COX5A;ATP5MC1;PTPA;ATP5F1A;ATP5F1B;NDUFV3;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NOS3;NDUFA2;NDUFA1;NDUFC1;UQCRHL;PPP1CA;COX6B1;MAPK11;NDUFS6;NDUFAB1;VDAC3;ATP5PO;NDUFS3;NDUFS2,1.593804223808531e-08,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
10,Proteasome,3.2700692363236545e-09,9.318323235631242,182.06563622434078,ADRM1;PSMA7;PSMB10;PSMB6;PSMD8;PSMA5;PSMA3;PSMC5;PSMB5;PSMD7;PSMD4;PSMC3;PSMD2;PSMC1;PSMC2,9.156193861706232e-08,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,KEGG_2021_Human
