rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Oxidative Phosphorylation,4.279265421407834e-12,4.440169715039275,116.23138716827546,SLC25A3;NDUFB8;NDUFB7;NDUFB6;ECI1;MRPS11;MRPS12;ATP5MC3;ETFB;PDHB;COX5B;MRPL35;COX5A;HSD17B10;ATP5MC1;ATP5F1A;CYB5R3;ATP5F1B;POLR2F;ATP5ME;ATP5PF;NDUFA8;NDUFA7;ATP5PD;MDH1;MRPS22;NDUFA2;NDUFA1;NDUFC1;COX6B1;NDUFS6;NDUFAB1;VDAC3;ATP5PO;NDUFS3;NDUFS2;SUCLG1,2.0968400564898386e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
2,Myc Targets V1,2.3201937144561507e-05,2.758241758241758,29.433955726120878,YWHAE;SLC25A3;CSTF2;COX5A;PSMA7;UBE2L3;SRM;PSMD8;PSMD7;PRDX4;SNRPD1;SNRPD3;TXNL4A;CCT5;NOP16;MRPS18B;MRPL23;ILF2;NME1;AIMP2;CDK4;NDUFAB1;VDAC3;SSBP1;EIF3D,0.0005684474600417569,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
3,DNA Repair,5.961429584542313e-05,2.9623233908948197,28.816341894919418,FEN1;BRF2;MPG;CETN2;ADRM1;TARBP2;NME1;SEC61A1;MRPL40;DAD1;POLR1C;POLR2D;POLR2F;NELFB;POLR2G;UMPS;POLR2I;RAE1;SAC3D1;NELFE,0.0009737001654752445,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
4,Myc Targets V2,0.00012105115987936267,4.485145106813244,40.45285711972136,AIMP2;EXOSC5;NOP16;CDK4;GRWD1;PES1;MPHOSPH10;RRP12;MAP3K6;DCTPP1;SRM,0.0014828767085221927,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
5,Unfolded Protein Response,0.00015652744542965486,3.1687201408096555,27.765210558896797,XBP1;IMP3;WFS1;POP4;SDAD1;PDIA6;PDIA5;YIF1A;EXOSC5;SPCS1;PSAT1;SRPRA;SRPRB;PREB;SEC11A;EXOSC1,0.0015339689652106177,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
6,Reactive Oxygen Species Pathway,0.010484599803003085,3.181940248405505,14.502799309642716,PTPA;PRDX4;SELENOS;PRDX1;NDUFS2;HMOX2;ATOX1,0.07162312887503686,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
7,IL-2/STAT5 Signaling,0.011143706101774925,1.9058072937178607,8.570187495083207,CD86;XBP1;RNH1;CISH;CTSZ;CDC6;PDCD2L;SELP;UCK2;SYNGR2;PTRH2;SH3BGRL2;TNFRSF8;TLR7;LTB;UMPS;DCPS;EEF1AKMT1,0.07162312887503686,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
8,Adipogenesis,0.011693572061230506,1.8952351111210581,8.431362733472465,SCARB1;SLC27A1;MTCH2;JAGN1;CD151;NDUFB7;ETFB;DNAJC15;AGPAT3;SAMM50;TST;NDUFAB1;ATP5PO;NDUFS3;SUCLG1;PREB;CRAT;HIBCH,0.07162312887503686,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
9,Fatty Acid Metabolism,0.027241888688915826,1.8592517466756817,6.6988830485269215,ADSL;MDH1;ECI1;PDHB;HSD17B10;HMGCL;NSDHL;NTHL1;ERP29;SUCLG1;MLYCD;CRAT;HIBCH;BLVRA,0.1483169495285417,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
10,Glycolysis,0.04352339508381445,1.6627783669141039,5.211906738650658,MDH1;CHPF;BIK;B3GAT3;AKR1A1;B3GALT6;ALG1;NOL3;GMPPB;NSDHL;FUT8;EFNA3;SDC1;NDUFV3;PGLS;POLR3K,0.2132646359106908,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,MSigDB_Hallmark_2020
