rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Mitochondrial Translation Elongation R-HSA-5389840,1.2370399200891468e-17,10.676855216369042,415.66305503042065,MRPS17;MRPS14;MRPS11;MRPS34;MRPL16;MRPL39;MRPL17;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;TSFM;MRPS26;MRPS22;MRPS18B;MRPS18A;MRPL47;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,1.357032792337794e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
2,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",3.9669583920634145e-17,8.173432120744048,308.6774036911069,COX19;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;TACO1;ATP5MC3;ETFB;COX5B;COX5A;TMEM186;ATP5MC1;ATP5F1A;ATP5F1B;NDUFV3;ATP5ME;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA2;NDUFA1;NDUFC1;COX6B1;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFAF3;NDUFS2,2.1758766780467827e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
3,Mitochondrial Translation R-HSA-5368287,1.114900906811793e-16,9.588036097680183,352.1934560236476,MRPS17;MRPS14;MRPS11;MRPS34;MRPL16;MRPL39;MRPL17;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;TSFM;MRPS26;MRPS22;MRPS18B;MRPS18A;MRPL47;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,2.7227123736275647e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
4,Mitochondrial Translation Initiation R-HSA-5368286,1.3021442879476124e-16,10.106843468983387,369.68154216749,MRPS17;MRPS14;MRPS11;MRPS34;MRPL16;MRPL39;MRPL17;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;MRPS26;MRPS22;MRPS18B;MRPS18A;MRPL47;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,2.7227123736275647e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
5,Mitochondrial Translation Termination R-HSA-5419276,1.3021442879476124e-16,10.106843468983387,369.68154216749,MRPS17;MRPS14;MRPS11;MRPS34;MRPL16;MRPL39;MRPL17;MRPL36;MRPL58;MRPL12;MRPL35;MRPL57;MRPL20;MRPL40;MRPS26;MRPS22;MRPS18B;MRPS18A;MRPL47;MRPL45;MRPL23;MRPL46;MRPL24;MRPL43;MRPS18C;MRPL52;MRPS9;MRPL51,2.7227123736275647e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
6,Metabolism Of RNA R-HSA-8953854,1.4891772326130708e-16,3.031678291120204,110.48386946583423,POP7;TP53RK;RTCB;PWP2;PRPF19;TFB1M;PSMD8;TRMT112;PSMD7;PSMD4;RPL36AL;PSMD2;MAGOH;RIOK2;SNRPD3;SNRNP35;TXNL4A;UTP14A;RPP38;SEC13;UTP11;METTL1;THOC3;TFIP11;THOC6;PSMA5;DUS2;PSMA3;EBNA1BP2;PRPF6;GEMIN7;SNRPC;RPP25;SRSF9;UTP25;POLDIP3;URM1;DDX1;TSR3;CSTF2;HSD17B10;LAGE3;MRM1;GSPT2;PSMA7;MRM2;OSGEP;PSMB10;MRM3;PSMB6;EXOSC5;PSMB5;PES1;POLR2D;GAR1;RRP36;POLR2F;POLR2G;LCMT2;POLR2I;EXOSC3;RPP14;DCPS;EXOSC1;POLR2L;RTRAF;UTP6;PPIL1;UTP3;CPSF3;CNOT10;CWC15;MAGOHB;SNUPN;TRIT1;MAPK11;PSMC5;SNRNP40;PSMC3;PSMC1;TRMT5;PSMC2;TSR1;MPHOSPH10;TRMT61A;SUGP1;NUP37,2.7227123736275647e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
7,Translation R-HSA-72766,6.486777416342823e-14,4.061095682908356,123.32095926192937,MRPS17;MRPS14;PARS2;MRPS11;MRPS34;MRPL16;MRPL17;MRPL39;MRPL36;MRPL58;MRPL12;APEH;GSPT2;MRPL35;MRPL57;YARS2;MRPL20;TRMT112;SEC61A1;MRPL40;RPL36AL;SEC61B;EIF2B1;SEC11A;SEC11C;EIF2B4;TSFM;MRPS26;MRPS22;MRPS18B;MRPS18A;MRPL47;MRPL23;MRPL45;MRPL24;MRPL46;MRPL43;DDOST;MRPS18C;MRPL52;AIMP2;MRPS9;MRPL51;SPCS1;SRPRA;SRPRB;EIF3D;FARSB,1.0165706893897253e-11,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
8,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,1.7386910805917724e-13,5.347474093264249,157.11132159128252,COX19;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;TACO1;ATP5MC3;ETFB;PDHB;COX5B;COX5A;TMEM186;ATP5MC1;ATP5F1A;ATP5F1B;NDUFV3;ATP5ME;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA2;NDUFA1;NDUFC1;COX6B1;NDUFS6;NDUFAB1;NDUFS3;ATP5PO;NDUFAF3;NDUFS2;SUCLG1,2.384180144261468e-11,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
9,Respiratory Electron Transport R-HSA-611105,1.1443872005800933e-12,7.4694280078895465,205.38052649997718,COX19;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;TACO1;ETFB;COX5B;COX5A;TMEM186;NDUFV3;NDUFA8;NDUFA7;NDUFA2;NDUFA1;NDUFC1;COX6B1;NDUFS6;NDUFAB1;NDUFS3;NDUFS2;NDUFAF3,1.3948808433737358e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
10,Complex I Biogenesis R-HSA-6799198,1.7048541825723818e-12,11.480377166156982,311.0899970660442,NDUFA8;NDUFA13;NDUFB8;NDUFA7;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFA2;NDUFA1;NDUFC1;TMEM186;NDUFS6;NDUFAB1;NDUFS3;NDUFS2;NDUFAF3;NDUFV3,1.8702250382819028e-10,0,0,GTEX-ZVZO-0006-SM-HL9SJ,over,Reactome_2022
