rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Regulation Of DNA-templated Transcription (GO:0006355),4.583536180760087e-11,1.8634668396302903,44.36162679307874,ATF1;ATF2;NAB1;ZNF292;ZBTB21;PRDM1;RBPJ;IKZF2;NR3C1;ETS2;IKZF5;RPS6KA3;BBX;EPC2;ARID2;TRIM22;RNF111;ZNF680;TLE1;ZNF281;F2R;SOX13;DYRK1A;ARID5A;RFX3;ARID5B;PIAS2;RUNX2;SAP30;FOXP1;EREG;DKK3;RUNX1;JMJD6;PRKAR1A;TBL1XR1;KAT6A;DDIT3;HOXB3;PHIP;TOX;ATF3;ZNF430;KMT2E;L3MBTL3;ZNF273;CBFB;MYNN;CREM;BAZ2B;FOXO4;FOXO3;GATA1;HIF1A;SEC14L2;ATXN1;ATXN7;RAD21;MIER1;APOE;CDK17;EGR1;JUN;POU2F1;BICRAL;ZBTB16;ZBTB11;FOXN3;FOXN2;HOPX;FOSL2;NR4A2;GCLC;NR4A3;SP4;ID1;MDM2;SNAI1;REL;CREBRF;RCOR3;MXD1;BRWD1;BRWD3;CREBZF;LIN54;CSRNP1;RNF10;TENM1;BTG1;CDKN1B;BNC2;SPIN4;CHD7;HMGB2;SUMO4;ILK;HMGB1;CHD2;CHD1;ING1;MED13;ZMYM2;TRPS1;YAF2;MYBL1;GABPA;NCOA2;CHUK;ATRX;FOS;TGFBR1;PHF20L1;PPM1A;KAT2B;ELF1;ZEB2;ZEB1;TFDP1;AEBP2;IFNG;WAC;XCL1;NCOA7;ZNF117;PLCB1;CRYAB;KDM7A;NFAT5;PRKAA1;CEBPB;NFIX;ACVR1B;TRAK1;NR2C2;ZBTB41;BTAF1;NFIL3;MXI1;PAK6;HES1;E2F3;ZNF100;ZNF460;NFYA;PCGF5;PCGF3;DAB2IP;DEK;GTF2H2;KLF3;HIPK2;PER1;KLF6;RYBP;NFIA;KLF9;RLIM;TRIM33;CDK5R1,1.4745915136099402e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
2,Negative Regulation Of DNA-templated Transcription (GO:0045892),8.43346590569025e-11,2.171171171171171,50.36298193895532,ATF2;NAB1;UBE2D3;ZBTB21;ZBTB20;PRDM1;RBPJ;NR3C1;ETS2;IKZF5;ZFP36;ZNF684;TLE1;ZNF281;ZBTB37;SOX13;ARID5A;RFX3;ARID5B;RUNX2;SAP30;FOXP1;EREG;DKK3;RUNX1;TBL1XR1;KAT6A;DDIT3;CGGBP1;ATF3;L3MBTL3;CBFB;CREM;FOXO3;GATA1;HIF1A;SDCBP;ATXN1;MIER3;MIER1;PLK3;JUN;POU2F1;GADD45A;ZBTB16;FOXN3;NR4A2;GCLC;NR4A3;ID1;MDM2;SNAI1;RCOR3;MXD1;CPEB3;ZNF254;CREBZF;CDKN1B;HMGB2;SUMO4;HMGB1;LDB2;PHF6;ING1;FLCN;ZMYM2;ZMYM5;TRPS1;YAF2;TGIF1;PPM1A;ZEB2;ZEB1;IFNG;XCL1;PLCB1;CRYAB;CEBPB;NFIX;MOSPD1;NR2C2;DNAJB1;BTAF1;NFIL3;DNAJB4;MXI1;NRIP1;HES1;TAF9B;FNIP1;FNIP2;JAZF1;DAB2IP;VEGFA;PER1;PER3;RLIM;TRIM33;HSPA1A;CDK5R1,1.4745915136099402e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
3,Regulation Of Transcription By RNA Polymerase II (GO:0006357),2.4357957983114556e-09,1.7469154685428776,34.64656106649563,ATF1;ATF2;ZNF292;UBE2D3;ZBTB21;ZBTB20;PRDM1;RBPJ;IKZF2;NR3C1;ETS2;IKZF5;RPS6KA3;ZFP36;BBX;EPC2;ARID2;ZNF684;ZNF281;ZBTB37;SOX13;ARID5A;RFX3;ARID5B;PIAS2;RUNX2;SAP30;FOXP1;RUNX1;JMJD6;PRKAR1A;TBL1XR1;DDIT3;HOXB3;PHIP;TOX;CGGBP1;ATF3;CBFB;KMT2C;MYNN;CREM;BAZ2B;FOXO4;FOXO3;GATA1;HIF1A;PRDM10;SDCBP;PPP3R1;ATXN1;ATXN7;MIER3;RAD21;MIER1;EGR1;AKIRIN2;PLK3;JUN;AKIRIN1;POU2F1;AUTS2;BICRAL;GADD45A;ZBTB16;HOPX;FOSL2;NR4A2;NR4A3;SP4;AGO2;ID1;MDM2;SNAI1;REL;CREBRF;RCOR3;MXD1;CPEB3;BRWD1;BRWD3;ZNF254;CREBZF;CSRNP1;RNF10;DDX3X;BMPR2;HMGB2;HMGB1;LDB2;EFCAB7;CHD2;CHD1;MYSM1;PHF6;ING1;PPP3CA;FLCN;MED13;ZMYM5;TRPS1;MYBL1;GABPA;TGIF1;NCOA2;PPP1R12A;CHUK;ATRX;TET2;FOS;PHF20L1;PPM1A;KAT2B;ELF1;ZEB2;ZEB1;TFDP1;AEBP2;IFNG;TET3;NCOA7;KDM7A;GTF2A1;NFAT5;CEBPB;NFIX;MOSPD1;TRAK1;NR2C2;ZBTB41;BCLAF3;DNAJB1;NFIL3;DNAJB4;MXI1;NRIP1;HES1;E2F3;TAF9B;FNIP1;FNIP2;JAZF1;NFYA;PCGF5;PCGF3;DAB2IP;OSM;DEK;GTF2H2;USF3;KLF3;VEGFA;HIPK2;PER1;KLF6;PER3;NFIA;KLF9;TRIM33;HSPA1A,2.839325968898387e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
4,Protein Modification Process (GO:0036211),4.069118834525502e-09,2.2664306269930643,43.787075642035184,ERO1A;SMG1;PGAP1;BMPR2;UBE2D3;PTEN;PTPRM;ILK;PTPN22;PPP1CB;PPP3CA;PTAR1;PPP4R2;PPP2R5E;RB1CC1;DSP;CSNK1G3;PPP1R12A;CHUK;PRKCE;KRT2;STRADB;KRT1;DYRK1A;PPP2R5B;LMTK2;WIPI1;IRAK3;TGFBR1;ERN1;LATS1;PPM1A;PPM1B;CDC34;LATS2;PEAK1;B3GNT5;TRIB1;CDKL1;BRSK1;PRKAA1;MTMR3;MTMR4;ACVR1B;THBS1;MTMR6;PPP3R1;MAN2A2;PAK6;MAPK6;FNIP2;MAP4K3;MAP4K4;CDK17;UBE2F;YES1;CSNK1A1;PLK2;NEK7;FN1;BRAF;PTPN12;HIPK1;HIPK3;CLK3;HIPK2;SNRK;WNK1;STK17A;TAOK1;STK26;STK17B;PKN2,3.1282258723688043e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
5,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),4.472727870129832e-09,3.479644707623982,66.89709979641228,PRKAA1;DDX3X;RTKN2;PDE3B;PTEN;TNFAIP3;UBR1;ADIPOR1;TANK;THBS1;IGF1R;ARHGAP12;FLCN;SPRED2;FNIP1;RFFL;DUSP2;TLE1;UBE2B;DUSP1;RIOK3;PDE4D;DAB2IP;PLAUR;CD2AP;PER1;PPM1A;PPM1B;CDC34;DDIT3;DLG5;DDIT4;MDM2;NF1;BCL2L1,3.1282258723688043e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
6,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),1.6158294679315883e-08,2.158076681332495,38.71769186634927,ZNF254;ATF2;UBE2D3;ZBTB21;HMGB2;ZBTB20;PRDM1;HMGB1;LDB2;RBPJ;NR3C1;ING1;PHF6;ETS2;IKZF5;FLCN;ZFP36;ZMYM5;TRPS1;ZNF684;TGIF1;ZNF281;ZBTB37;SOX13;ARID5A;ARID5B;SAP30;RUNX1;PPM1A;ZEB2;ZEB1;IFNG;TBL1XR1;DDIT3;ATF3;CGGBP1;CEBPB;NFIX;CBFB;CREM;MOSPD1;FOXO3;NR2C2;GATA1;DNAJB1;SDCBP;ATXN1;NFIL3;MIER3;DNAJB4;MIER1;MXI1;NRIP1;HES1;TAF9B;FNIP1;FNIP2;JAZF1;PLK3;JUN;GADD45A;ZBTB16;DAB2IP;VEGFA;NR4A2;PER1;PER3;NR4A3;ID1;SNAI1;MDM2;CPEB3;MXD1;TRIM33;HSPA1A,9.41759274892794e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
7,Protein Phosphorylation (GO:0006468),3.553918929991023e-08,2.426787943641876,41.62579526203249,ATF2;SMG1;BMPR2;FLT1;FLT3;ILK;IGF1R;RPS6KA3;RB1CC1;PDGFRB;CSNK1G3;CHUK;PRKCE;STRADB;DYRK1A;LMTK2;IRAK3;TGFBR1;UHMK1;ERN1;LATS1;TGFBR3;LATS2;PEAK1;TRIB1;CDKL1;BRSK1;PRKAA1;USP15;ACVR1B;PAK6;RICTOR;MAPK6;FNIP2;MAP4K3;MAP4K4;CDK17;CSNK1A1;PLK2;NEK7;DAB2IP;BRAF;HIPK1;HIPK3;CLK3;HIPK2;CLK1;SNRK;WNK1;STK17A;TAOK1;STK26;STK17B;PKN2;CDK5R1,1.6891200067588505e-05,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
8,Positive Regulation Of DNA-templated Transcription (GO:0045893),3.8641578650474135e-08,1.8627830607253675,31.795726658066783,ATF1;ATF2;RBPJ;NR3C1;ETS2;RPS6KA3;EPC2;RNF111;ZNF281;F2R;DYRK1A;RFX3;RUNX2;RUNX1;JMJD6;TBL1XR1;KAT6A;DDIT3;HOXB3;PHIP;ATF3;KMT2E;KMT2C;FOXO4;FOXO3;GATA1;HIF1A;PRDM10;SEC14L2;PPP3R1;ATXN7;APOE;EGR1;AKIRIN2;JUN;AKIRIN1;POU2F1;AUTS2;BICRAL;ZBTB16;FOSL2;NR4A2;NR4A3;AGO2;SNAI1;REL;CREBRF;CREBZF;CSRNP1;RNF10;DDX3X;BMPR2;ELL;HMGB2;ILK;HMGB1;LDB2;EFCAB7;MYSM1;ING1;PPP3CA;FLCN;MED13;YAF2;MYBL1;GABPA;NCOA2;PPP1R12A;CHUK;ATRX;TET2;FOS;TGFBR1;PPM1A;KAT2B;ELF1;ZEB2;TFDP1;TET3;WAC;NCOA7;PLCB1;GTF2A1;NFAT5;PRKAA1;CEBPB;NFIX;MOSPD1;NR2C2;BCLAF3;NFIL3;NRIP1;HES1;E2F3;NFYA;PCGF5;DAB2IP;OSM;DEK;USF3;VEGFA;HIPK2;PER1;KLF6;RYBP;NFIA,1.6891200067588505e-05,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
9,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),1.8163324485021372e-07,2.294607677586401,35.615239812515085,BMPR2;FLT1;HIP1;DDX3X;TFRC;RNF13;FLT3;RTKN2;ILK;SPATC1L;HMGB1;IGF1R;AKAP13;FLCN;ITGAV;TRIM22;BOK;PDGFRB;CHUK;F2R;ARRDC3;ZDHHC17;TGFBR1;PPM1A;DDIT3;PELI1;TRIM58;NFAT5;PELI2;THBS1;PDGFD;PDGFC;CCL4;MIER1;CCL3;PMAIP1;RICTOR;FNIP1;SASH1;OSBPL8;PLK2;SIAH1;FN1;DAB2IP;AKR1C3;OSM;VEGFA;AXL;DLG5;REL;TAB3;SPRY2;TAB2;PIK3AP1;FERMT2,7.057460636013304e-05,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
10,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),2.820760259506245e-07,1.9208772567551193,28.96892126438548,ATF1;CREBZF;ATF2;CSRNP1;RNF10;DDX3X;BMPR2;ELL;HMGB2;HMGB1;LDB2;RBPJ;EFCAB7;NR3C1;MYSM1;ETS2;PPP3CA;RPS6KA3;FLCN;MED13;MYBL1;GABPA;NCOA2;PPP1R12A;CHUK;ATRX;TET2;RFX3;FOS;RUNX2;JMJD6;RUNX1;KAT2B;ELF1;ZEB2;TFDP1;TBL1XR1;DDIT3;TET3;HOXB3;NCOA7;PHIP;ATF3;GTF2A1;NFAT5;CEBPB;NFIX;KMT2C;MOSPD1;FOXO4;FOXO3;NR2C2;GATA1;HIF1A;PRDM10;BCLAF3;PPP3R1;NRIP1;E2F3;HES1;EGR1;AKIRIN2;JUN;AKIRIN1;POU2F1;AUTS2;NFYA;PCGF5;DAB2IP;OSM;DEK;USF3;VEGFA;FOSL2;HIPK2;NR4A2;PER1;KLF6;NR4A3;NFIA;AGO2;REL;CREBRF,9.250616019422836e-05,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,GO_Biological_Process_2023
