rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,MAPK signaling pathway,2.6841146921774978e-08,2.983228254881557,52.007602017968516,ATF2;FLT1;FLT3;IL1RAP;AREG;IGF1R;RPS6KA3;PPP3CA;PPP3R1;PDGFD;PDGFC;MAP3K8;MAP4K3;MAP4K4;MAP3K2;PDGFRB;JUN;DUSP2;GADD45B;CHUK;GADD45A;DUSP1;CACNA2D2;BRAF;FOS;TGFBR1;EREG;VEGFA;PPM1A;PPM1B;CACNB4;DDIT3;TAOK1;RASA2;NF1;TAB2;KRAS;HSPA1B;HSPA1A,7.542362285018769e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
2,FoxO signaling pathway,2.795953125714098e-05,3.266273481869812,34.24606874607254,PLK3;GABARAPL1;PRKAA1;CDKN1B;GADD45B;HOMER1;CHUK;GADD45A;PLK2;PTEN;IRS2;BRAF;FOXO4;FOXO3;TGFBR1;IGF1R;CCNG2;MDM2;KRAS,0.00314323392060302,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
3,Transcriptional misregulation in cancer,3.355765751533473e-05,2.756440281030445,28.397524422558053,ATF1;CEBPB;CDKN1B;CXCL8;FLT1;CDKN2C;GADD45B;BCL2A1;GADD45A;FLT3;IL1R2;ZBTB16;KLF3;RUNX2;AFF1;IGF1R;RUNX1;NR4A3;ZEB1;DDIT3;MDM2;REL;BCL2L1;KDM6A,0.00314323392060302,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
4,Antigen processing and presentation,0.00012098767202532169,3.8368794326241136,34.60796914035929,KLRC2;NFYA;KLRC3;KLRC4;KIR3DL1;KIR2DL1;KIR2DL3;KIR2DL4;IFNG;KLRD1;KLRC1;HSPA1B;HSPA1A,0.00849938395977885,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
5,Autophagy,0.00016558799846174408,2.9082989611323145,25.319673416200807,RAB1A;GABARAPL1;PRKAA1;MTMR3;PTEN;IRS2;WIPI1;HMGB1;MTMR4;HIF1A;TANK;IGF1R;RAB33B;ERN1;RB1CC1;DDIT4;KRAS;BCL2L1,0.009306045513550017,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
6,Inositol phosphate metabolism,0.00025006362262876205,3.7709563947700273,31.275539978340735,PIKFYVE;MTMR3;INPP5A;SYNJ1;INPP5D;IPMK;PTEN;PIP4K2A;PIK3C2A;PLCB1;MTMR4;MTMR6,0.010038268279811734,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
7,p53 signaling pathway,0.00025006362262876205,3.7709563947700273,31.275539978340735,SESN3;GADD45B;GADD45A;SESN1;CCNG2;SIAH1;CCNG1;PTEN;MDM2;PMAIP1;THBS1;BCL2L1,0.010038268279811734,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
8,Phosphatidylinositol signaling system,0.00032354799679330413,3.2361250274933404,26.00602849349939,MTMR3;IPMK;PTEN;MTMR4;PIK3C2A;MTMR6;PIKFYVE;INPP5A;SYNJ1;INPP5D;PIP4K2A;DGKK;PLCB1;DGKH,0.011364623387364808,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
9,Lipid and atherosclerosis,0.0004983814713672605,2.30608154213579,17.535777891856103,ABCA1;VAV3;ERO1A;JUN;POU2F1;CXCL8;CHUK;VLDLR;FOS;TANK;CXCL2;MIB1;ERN1;PPP3CA;PPP3R1;DDIT3;CCL3;TAB2;KRAS;PLCB1;HSPA1B;HSPA1A;BCL2L1,0.01556057705046669,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
10,Ferroptosis,0.0008318285004919687,4.635141739980449,32.87188878389587,MAP1LC3B;GCLC;TFRC;FTH1;ACSL6;ACSL4;GCLM;SAT1,0.0202262566667398,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,KEGG_2021_Human
