rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,TNF-alpha Signaling via NF-kB,6.4423454958604505e-27,7.767890772128061,468.4574495214445,BTG1;TNFAIP6;TNFAIP3;IRS2;SLC2A3;AREG;SAT1;CXCL2;ETS2;ZFP36;SLC16A6;MAP3K8;CCNL1;PHLDA1;TGIF1;DUSP2;DUSP1;PLAUR;FOS;TRIB1;IL6ST;ATF3;PTGER4;PPP1R15A;NFAT5;CEBPB;PFKFB3;SDC4;BCL2A1;PTGS2;TANK;NFIL3;DNAJB4;CCL4;HES1;PDLIM5;ABCA1;EGR1;JUN;GADD45B;GCH1;GADD45A;TIPARP;PLK2;G0S2;PNRC1;FOSL2;VEGFA;NR4A2;PER1;KLF6;NR4A3;KLF9;REL;CD69;MXD1,3.156749292971621e-25,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
2,Hypoxia,2.790963582791506e-16,5.392708104546453,193.13970368989803,ERO1A;PPP1R15A;ERRFI1;BTG1;CDKN1B;PFKFB3;SDC4;ZNF292;SLC2A1;NEDD4L;CXCR4;TNFAIP3;IRS2;SLC2A3;VLDLR;RBPJ;NR3C1;FOXO3;HK2;ZFP36;NFIL3;MXI1;ATP7A;TKTL1;BNIP3L;JUN;WSB1;TIPARP;DUSP1;PLAUR;FOS;KLHL24;PNRC1;JMJD6;FOSL2;VEGFA;SAP30;KLF6;DDIT3;CCNG2;DDIT4;PLIN2;ATF3,6.83786077783919e-15,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
3,heme Metabolism,1.504175718521261e-15,5.228218070346978,178.44186071322972,ISCA1;USP15;TFRC;FECH;DCUN1D1;SLC2A1;HBB;MOSPD1;NR3C1;FOXO3;ADIPOR1;GATA1;NUDT4;TRAK2;SDCBP;CA2;RNF19A;MXI1;TSPAN5;DCAF10;CLIC2;FBXO7;BNIP3L;ARHGEF12;RIOK3;NEK7;ACSL6;PPP2R5B;BPGM;KLF3;KAT2B;SLC25A37;GCLC;SYNJ1;MKRN1;RANBP10;TRIM58;HAGH;YPEL5;GCLM;KDM7A;TNRC6B,2.4568203402513927e-14,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
4,IL-2/STAT5 Signaling,6.308815419273019e-08,3.446166046483255,57.13306612326729,PHTF2;ABCB1;BMPR2;PTGER2;SLC2A3;IKZF2;GATA1;HK2;IGF1R;SPRED2;ALCAM;NFIL3;CA2;MAP3K8;ITGAV;PHLDA1;GABARAPL1;POU2F1;GADD45B;GSTO1;IL1R2;HOPX;HIPK2;ARL4A;KLF6;ETFBKMT;PLIN2;MXD1;IL18R1;BCL2L1,7.728298888609449e-07,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
5,Apoptosis,1.1722733754904039e-07,3.7302456460567344,59.53155253081216,CDKN1B;PRF1;HMGB2;NEDD9;SAT1;PPP3R1;PMAIP1;TIMP3;PDGFRB;BNIP3L;JUN;GSTM1;GADD45B;GCH1;GADD45A;F2R;PPP2R5B;EREG;TGFBR3;DDIT3;FEZ1;TXNIP;ETF1;CD69;ATF3;BCL2L1,1.1488279079805959e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
6,UV Response Dn,7.592564957548299e-07,3.6730504073018264,51.7566821357776,PDGFRB;CDKN1B;DUSP1;PRKCE;INSIG1;NEK7;ATRX;DYRK1A;PTEN;PTPRM;VLDLR;NR3C1;IGF1R;RUNX1;SYNE1;TGFBR3;ATXN1;ID1;RASA2;KCNMA1;PMP22;AMPH;PDLIM5,6.200594715331111e-06,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
7,TGF-beta Signaling,6.109754982507496e-05,4.903402544265996,47.577905107911725,TGIF1;PPP1R15A;PPM1A;BMPR2;UBE2D3;ID1;THBS1;SKIL;TGFBR1;TRIM33;HIPK2,0.00031889815449817475,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
8,Inflammatory Response,6.508125602003565e-05,2.6300298062593144,25.353155885905075,ABCA1;PTGER4;MSR1;CALCRL;CXCL8;GCH1;TNFAIP6;PTGER2;OSM;PLAUR;CXCR6;ACVR1B;SLC4A4;HIF1A;EREG;RNF144B;KLF6;AXL;RGS1;IRAK2;CD69;MXD1;CD55;IL18R1,0.00031889815449817475,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
9,p53 Pathway,6.508125602003565e-05,2.6300298062593144,25.353155885905075,PPP1R15A;PLK3;JUN;BTG1;GADD45A;PLK2;ZBTB16;F2R;CCP110;FOS;FOXO3;ACVR1B;SAT1;TOB1;DDIT3;SESN1;DDIT4;CCNG1;MDM2;TXNIP;MXD1;ATF3;SLC19A2;CDK5R1,0.00031889815449817475,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
10,KRAS Signaling Up,6.508125602003565e-05,2.6300298062593144,25.353155885905075,ERO1A;PPP1R15A;PIGR;MTMR10;ABCB1;CDADC1;GALNT3;USP12;PLAUR;CXCR4;G0S2;TOR1AIP2;TNFAIP3;PRDM1;BPGM;PTGS2;PTBP2;EREG;NIN;CA2;CCSER2;SPRY2;STRN;TRIB1,0.00031889815449817475,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,MSigDB_Hallmark_2020
