rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,donor,direction,library
1,Signal Transduction R-HSA-162582,1.0853917783067573e-14,1.9354437689392459,62.23274337663469,TFRC;WIPF1;CCP110;RBPJ;RPS6KA3;PIP4K2A;RNF111;PTGDR;PRKCE;PAQR3;SOX13;EREG;RUNX1;UHMK1;DYNC1LI2;ZFYVE16;PRKAR1A;SPATA13;TRIB1;NEDD4L;TWF1;MTMR4;HIF1A;PPP3R1;PDGFD;RAD21;PDGFC;APOE;PAG1;ABCA1;EGR1;PRPF38B;JUN;YES1;FN1;BRAF;PHC3;STAG2;AGO2;ID1;RANBP10;SNAI1;STRN;COL9A2;FERMT2;ARHGAP8;CDKN1B;EFCAB7;AREG;PPP3CA;AKAP13;TMED5;VAV3;NCOA2;LYPLA1;DUSP2;CNOT6L;STRADB;FOS;KAT2B;PLCB1;PTGER4;PTGER2;CXCR4;CXCR6;TRAK1;TANK;TRAK2;FGD4;RICTOR;SHOC2;EPS15;CD55;SUZ12;CSNK1A1;DAB2IP;AKR1C3;ERBIN;RANBP9;MPP7;VEGFA;MIB1;AXL;TAOK1;PKN2;LGR6;RAMP1;CDK5R1;RTKN;FAM13B;NAB1;UBE2D3;IRS2;IL1RAP;PRDM1;NR3C1;IGF1R;PPP1CB;RGS5;RGS1;KIF5B;PDGFRB;TLE4;TLE1;TMOD3;F2R;FAM91A1;LEMD3;COL4A1;TBL1XR1;PHIP;IL6ST;DGKK;FKBP5;DGKH;CALCRL;CBFB;RHOBTB3;FOXO4;FOXO3;ARHGAP12;BAG4;UBC;MYH11;RAB6A;SRGAP1;SKIL;MYH10;POU2F1;ARHGAP29;GNAQ;DLG5;MKRN1;MDM2;NF1;TAB3;TAB2;BCL2L1;FLT1;BMPR2;CXCL8;FLT3;PDE3B;PTEN;TNFAIP3;CHD1;CXCL2;SPRED2;RASGEF1A;PPP2R5E;ITGAV;LBR;TGIF1;ARHGEF10;PLEKHG1;PPP1R12A;ARHGEF12;CHUK;PDE4D;PPP2R5B;ARAP2;TGFBR1;LATS1;ACTA2;PPM1A;LATS2;TFDP1;GFOD1;PEAK1;RASA2;ALDH1A1;XCL2;SPOPL;XCL1;PPP1R15A;RGS18;GTF2A1;PRKAA1;USP15;ABHD17C;ACVR1B;THBS1;GNA13;DNAJB1;GNG2;ARL13B;CCL4;P2RY1;NRIP1;CCL3;NHS;E2F3;S1PR3;NCAM1;S1PR5;MAPK6;CLASP1;GALNT3;LAMB1;PTPN12;SLC4A7;FMNL2;SPRY2;SPRY1;PIK3AP1;TRIM33;TNRC6B,1.3556543311051399e-11,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
2,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,2.81199873139329e-07,2.4362017473787927,36.74815471001134,CEBPB;CDKN1B;HIP1;BCL2A1;FLT3;PTEN;IRS2;ZC3HAV1;FOXO4;RBPJ;FOXO3;TRAK1;AREG;PPP1CB;SPRED2;BAG4;ZMYM2;PPP2R5E;KIF5B;FGFR1OP2;UBC;RICTOR;SHOC2;PDGFRB;YES1;CHUK;CSNK1A1;FN1;ERBIN;PPP2R5B;BRAF;PTPN12;QKI;TGFBR1;EREG;MIB1;KAT2B;PPFIBP1;PPM1B;PRKAR1A;TBL1XR1;MDM2;NF1;STRN;PIK3AP1;KDM7A;BCL2L1,0.00017560932077551096,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
3,Immune System R-HSA-168256,3.2487071582712664e-06,1.5665674796726958,19.797110268697445,ATP8A1;WIPF1;UBE2D3;IRS2;IL1RAP;RPS6KA3;KIF5B;RNF19A;FTH1;MAP3K8;KPNA4;ENPP4;KPNA5;FBXO7;TRIM22;RNF111;WSB1;RSAD2;PRKCE;IL1R2;KRT1;ATP11B;SCAMP1;DYNC1LI2;CDC34;KLRF1;TXNIP;IL6ST;NEDD4L;UBR1;FOXO3;HIF1A;KIR2DL3;KIR2DL4;SEC14L2;SDCBP;PPP3R1;IRAK2;INPP5D;RNF217;UBC;KLRC1;RAB6A;SLC15A4;PAG1;SOCS5;UBE2F;BTNL9;EGR1;JUN;UBE2H;HACE1;YES1;PTPRN2;POU2F1;UBE2B;KLRC2;ZBTB16;SIAH1;FN1;MYO5A;MEX3C;FBXO30;UBE2W;VNN1;MKRN1;REL;TAB3;TAB2;KLRD1;BRWD1;EIF4G3;BCL2L1;PIGR;DDX3X;CDKN1B;CXCL8;TNFAIP6;FLT3;PTEN;TNFAIP3;CGAS;PTPN22;SLC2A3;HMGB1;CXCL2;FCAR;EEA1;PPP3CA;PPP2R5E;ITGAV;ARIH1;ATP7A;VAV3;CHUK;GSTO1;PPP2R5B;PLAUR;IRAK3;FOS;PJA2;ENAH;RAP2C;NCR1;RNF144B;PPM1B;ZEB1;IFNG;PELI1;NUP58;C1QB;C1QA;ASAH1;DCTN4;PELI2;PTGS2;TANK;ZNRF2;RNF138;CCL4;CCL3;RICTOR;NCAM1;CD55;SEC24A;AGL;KIR3DL1;PTPN12;VEGFA;PIKFYVE;KBTBD6;SLCO4C1;RLIM;PKN2;SIGLEC1;PIK3AP1;YPEL5;KBTBD8;IL18R1;HSPA1B;HSPA1A,0.0013525450802269372,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
4,ESR-mediated Signaling R-HSA-8939211,2.3681686384643522e-05,2.8242702918832467,30.08076212970109,NCOA2;GTF2A1;JUN;POU2F1;CDKN1B;CBFB;FOS;FOXO3;AREG;CHD1;IGF1R;EREG;RUNX1;UHMK1;KAT2B;STAG2;GNG2;RAD21;AGO2;NRIP1;STRN;S1PR3;FKBP5;TNRC6B,0.005280254203671174,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
5,Oncogene Induced Senescence R-HSA-2559585,2.448140259288996e-05,7.180625630676085,76.24098776494046,CDKN2C;TFDP1;UBC;ID1;MDM2;E2F3;ETF1;ETS2;TNRC6B,0.005280254203671174,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
6,Signaling By TGFB Family Members R-HSA-9006936,2.536551258769179e-05,3.429876388860882,36.29536380197479,TGIF1;PPP1R15A;USP15;BMPR2;UBE2D3;NEDD4L;MTMR4;ACVR1B;TGFBR1;PPP1CB;PPM1A;ZFYVE16;TFDP1;UBC;ITGAV;SKIL;RNF111;TRIM33,0.005280254203671174,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
7,Signaling By TGF-beta Receptor Complex R-HSA-170834,4.254214772136688e-05,3.7918781725888326,38.16531168012958,TGIF1;PPP1R15A;USP15;UBE2D3;NEDD4L;MTMR4;TGFBR1;PPP1CB;PPM1A;TFDP1;UBC;ITGAV;SKIL;RNF111;TRIM33,0.007276125240403954,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
8,Signaling By Nuclear Receptors R-HSA-9006931,4.6604485126686655e-05,2.4266543617727963,24.202998698454508,GTF2A1;CDKN1B;CBFB;FOXO3;AREG;CHD1;IGF1R;GNG2;RAD21;NRIP1;S1PR3;APOE;ABCA1;NCOA2;JUN;POU2F1;AKR1C3;FOS;EREG;RUNX1;UHMK1;KAT2B;STAG2;TBL1XR1;AGO2;ALDH1A1;STRN;FKBP5;TNRC6B,0.007276125240403954,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
9,Vesicle-mediated Transport R-HSA-5653656,5.822317569964208e-05,1.8418334878815978,17.960136573923048,USP6NL;DENND1B;SCOC;HIP1;TFRC;PIK3C2A;AREG;RABGEF1;MAP1LC3B;FTH1;KIF5B;PPP6R3;MAN1A1;TMED7;SH3D19;AGFG1;RAB8B;COPZ2;VPS37A;HBA1;KIF27;EREG;RAB33B;EPN2;DYNC1LI2;COL4A1;AMPH;DENND6A;RAB1A;DCTN4;RHOBTB3;RAB21;MAN2A2;FCHO2;UBC;UBQLN1;APOE;RAB6A;EPS15;CD55;MSR1;CD163;SEC24A;TRAPPC10;DENND4C;MYO5A;SNX18;NECAP1;SYNJ1;RAB12;CHMP2B;UBAP1;COPG2;CNIH3;RAB5A,0.008080082938761439,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
10,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,8.72588972204842e-05,1.9379970049105537,18.113742938669166,FLT1;FLT3;NAB1;PDE3B;IRS2;PRDM1;HIF1A;AREG;THBS1;IGF1R;RPS6KA3;SPRED2;PDGFD;PDGFC;UBC;RICTOR;ITGAV;APOE;EPS15;PAG1;VAV3;PDGFRB;EGR1;YES1;GALNT3;PRKCE;ERBIN;RANBP9;BRAF;LAMB1;FOS;PTPN12;EREG;VEGFA;AXL;COL4A1;ID1;RANBP10;SPRY2;PKN2;TAB2;SPRY1;COL9A2;TRIB1;CDK5R1,0.010898636262838476,0,0,GTEX-ZVZO-0006-SM-HL9SJ,under,Reactome_2022
