tissue,blood_pc,best_tissue_pc,abs_cos,blood_pc_var,tissue_pc_var
spleen,1,1,0.4050624966621399,0.311095654964447,0.1782931238412857
spleen,2,2,0.36143437027931213,0.20210470259189606,0.10569660365581512
spleen,3,2,0.6245496273040771,0.09455453604459763,0.10569660365581512
spleen,4,4,0.40975141525268555,0.05736613646149635,0.06271158158779144
spleen,5,1,0.31259310245513916,0.03003804013133049,0.1782931238412857
spleen,6,10,0.3019993305206299,0.02143150381743908,0.023644035682082176
spleen,7,8,0.2527065575122833,0.016563845798373222,0.028750134631991386
spleen,8,5,0.305761456489563,0.014018715359270573,0.04544886574149132
spleen,9,16,0.2461441308259964,0.011562871746718884,0.008453759364783764
spleen,10,4,0.23490270972251892,0.010568276047706604,0.06271158158779144
spleen,11,10,0.19528742134571075,0.009228507056832314,0.023644035682082176
spleen,12,3,0.298117995262146,0.007673018611967564,0.08740920573472977
spleen,13,10,0.2933396100997925,0.007044782862067223,0.023644035682082176
spleen,14,1,0.23387955129146576,0.006070536095649004,0.1782931238412857
spleen,15,17,0.20652803778648376,0.005723634734749794,0.008201145566999912
spleen,16,3,0.2283836156129837,0.005120979622006416,0.08740920573472977
spleen,17,19,0.23803839087486267,0.004745474085211754,0.007369654718786478
spleen,18,1,0.18808892369270325,0.004209307953715324,0.1782931238412857
spleen,19,13,0.15182901918888092,0.004022514913231134,0.013230775482952595
spleen,20,6,0.3116934299468994,0.003939915914088488,0.03509746864438057
liver,1,2,0.5522297024726868,0.311095654964447,0.12383127212524414
liver,2,2,0.3126116096973419,0.20210470259189606,0.12383127212524414
liver,3,6,0.5653208494186401,0.09455453604459763,0.034153763204813004
liver,4,3,0.30215808749198914,0.05736613646149635,0.08924592286348343
liver,5,1,0.353725790977478,0.03003804013133049,0.26098325848579407
liver,6,3,0.22444261610507965,0.02143150381743908,0.08924592286348343
liver,7,2,0.15311285853385925,0.016563845798373222,0.12383127212524414
liver,8,2,0.16683876514434814,0.014018715359270573,0.12383127212524414
liver,9,6,0.1936834305524826,0.011562871746718884,0.034153763204813004
liver,10,11,0.196445032954216,0.010568276047706604,0.01411087904125452
liver,11,3,0.20026199519634247,0.009228507056832314,0.08924592286348343
liver,12,5,0.23354411125183105,0.007673018611967564,0.03964700177311897
liver,13,3,0.16366678476333618,0.007044782862067223,0.08924592286348343
liver,14,2,0.26508691906929016,0.006070536095649004,0.12383127212524414
liver,15,12,0.1438978612422943,0.005723634734749794,0.012636521831154823
liver,16,8,0.2675500512123108,0.005120979622006416,0.0223808865994215
liver,17,1,0.13611096143722534,0.004745474085211754,0.26098325848579407
liver,18,3,0.13007865846157074,0.004209307953715324,0.08924592286348343
liver,19,4,0.2912026345729828,0.004022514913231134,0.052033040672540665
liver,20,8,0.11530987173318863,0.003939915914088488,0.0223808865994215
lung,1,2,0.33109167218208313,0.311095654964447,0.1328570395708084
lung,2,6,0.4294741153717041,0.20210470259189606,0.031360331922769547
lung,3,5,0.40707382559776306,0.09455453604459763,0.042272839695215225
lung,4,12,0.31200191378593445,0.05736613646149635,0.013718655332922935
lung,5,3,0.2932088077068329,0.03003804013133049,0.07413087785243988
lung,6,12,0.39596647024154663,0.02143150381743908,0.013718655332922935
lung,7,9,0.2887420356273651,0.016563845798373222,0.02021697349846363
lung,8,15,0.2306813895702362,0.014018715359270573,0.009573210962116718
lung,9,11,0.19860196113586426,0.011562871746718884,0.016334855929017067
lung,10,8,0.39386776089668274,0.010568276047706604,0.025642557069659233
lung,11,1,0.15925300121307373,0.009228507056832314,0.2585260272026062
lung,12,5,0.2553251385688782,0.007673018611967564,0.042272839695215225
lung,13,14,0.20038171112537384,0.007044782862067223,0.010275346226990223
lung,14,2,0.29862862825393677,0.006070536095649004,0.1328570395708084
lung,15,11,0.22442160546779633,0.005723634734749794,0.016334855929017067
lung,16,20,0.12817108631134033,0.005120979622006416,0.0050304606556892395
lung,17,7,0.15772423148155212,0.004745474085211754,0.027430444955825806
lung,18,2,0.13317136466503143,0.004209307953715324,0.1328570395708084
lung,19,7,0.21786464750766754,0.004022514913231134,0.027430444955825806
lung,20,9,0.2523815631866455,0.003939915914088488,0.02021697349846363
muscle,1,1,0.489075630903244,0.311095654964447,0.2882674038410187
muscle,2,1,0.37610527873039246,0.20210470259189606,0.2882674038410187
muscle,3,4,0.537320613861084,0.09455453604459763,0.04263673350214958
muscle,4,13,0.3737446963787079,0.05736613646149635,0.009404032491147518
muscle,5,11,0.24233248829841614,0.03003804013133049,0.012198551557958126
muscle,6,13,0.34544679522514343,0.02143150381743908,0.009404032491147518
muscle,7,8,0.19789132475852966,0.016563845798373222,0.02272558957338333
muscle,8,8,0.16338111460208893,0.014018715359270573,0.02272558957338333
muscle,9,8,0.15991659462451935,0.011562871746718884,0.02272558957338333
muscle,10,17,0.17226874828338623,0.010568276047706604,0.007486523129045963
muscle,11,5,0.16332973539829254,0.009228507056832314,0.036896001547575
muscle,12,11,0.277275025844574,0.007673018611967564,0.012198551557958126
muscle,13,5,0.2082405686378479,0.007044782862067223,0.036896001547575
muscle,14,2,0.2070629894733429,0.006070536095649004,0.13042983412742615
muscle,15,18,0.09816025197505951,0.005723634734749794,0.0066515677608549595
muscle,16,14,0.11808241903781891,0.005120979622006416,0.0091089503839612
muscle,17,2,0.18993040919303894,0.004745474085211754,0.13042983412742615
muscle,18,19,0.1206483319401741,0.004209307953715324,0.006031425204128027
muscle,19,2,0.17605812847614288,0.004022514913231134,0.13042983412742615
muscle,20,12,0.09420572966337204,0.003939915914088488,0.009706146083772182
