tissue,pc,score
blood,1,-110.69464111328125
blood,1,-62.62129592895508
blood,1,4.437723159790039
blood,1,-33.02588653564453
blood,1,-47.73310852050781
blood,1,47.5291862487793
blood,1,135.85604858398438
blood,1,-6.904802322387695
blood,1,0.368404358625412
blood,1,50.17121887207031
blood,1,-66.41620635986328
blood,1,33.58150863647461
blood,1,-110.61009979248047
blood,1,70.74674224853516
blood,1,-68.1756820678711
blood,1,71.37873077392578
blood,1,72.49579620361328
blood,1,25.720796585083008
blood,1,113.46536254882812
blood,1,-55.76236343383789
blood,1,-49.02861022949219
blood,1,-11.973812103271484
blood,1,-36.639739990234375
blood,1,78.21957397460938
blood,1,-22.63796615600586
blood,1,13.30606746673584
blood,1,-53.67385482788086
blood,1,-51.75166702270508
blood,1,-23.598506927490234
blood,1,80.62335205078125
blood,1,145.57968139648438
blood,1,-32.54884719848633
blood,1,69.8429946899414
blood,1,21.751937866210938
blood,1,-11.049917221069336
blood,1,-40.553863525390625
blood,1,-5.588854789733887
blood,1,-3.5348167419433594
blood,1,-13.745635032653809
blood,1,-18.97983741760254
blood,1,-65.82029724121094
blood,1,59.92037582397461
blood,1,43.85911560058594
blood,1,-8.703933715820312
blood,1,70.2304458618164
blood,1,178.71551513671875
blood,1,29.983705520629883
blood,1,54.610694885253906
blood,1,-39.0934944152832
blood,1,-89.57880401611328
blood,1,116.72982025146484
blood,1,31.550090789794922
blood,1,-77.56846618652344
blood,1,68.6263198852539
blood,1,35.15083694458008
blood,1,85.1710433959961
blood,1,41.56379318237305
blood,1,8.02883529663086
blood,1,-53.96772003173828
blood,1,-39.27676773071289
blood,1,80.83967590332031
blood,1,-124.55500030517578
blood,1,97.43923950195312
blood,1,134.38160705566406
blood,1,63.22373580932617
blood,1,16.810224533081055
blood,1,29.148292541503906
blood,1,17.477582931518555
blood,1,30.244949340820312
blood,1,-8.390504837036133
blood,1,-55.86166763305664
blood,1,-74.92797088623047
blood,1,-36.576141357421875
blood,1,-9.979209899902344
blood,1,-62.12516784667969
blood,1,85.18466186523438
blood,1,99.20061492919922
blood,1,-7.863971710205078
blood,1,61.73210906982422
blood,1,-84.25557708740234
blood,1,48.40672302246094
blood,1,27.361631393432617
blood,1,-22.451351165771484
blood,1,-90.02533721923828
blood,1,-16.686080932617188
blood,1,-19.18623924255371
blood,1,34.067169189453125
blood,1,87.22321319580078
blood,1,40.01515579223633
blood,1,21.79033851623535
blood,1,-34.96315002441406
blood,1,-43.080570220947266
blood,1,-116.80599975585938
blood,1,122.64076232910156
blood,1,56.40497589111328
blood,1,-22.813270568847656
blood,1,-63.89885711669922
blood,1,61.19260787963867
blood,1,-14.608613014221191
blood,1,41.0618782043457
blood,1,-4.802989959716797
blood,1,36.22691345214844
blood,1,92.97107696533203
blood,1,14.952176094055176
blood,1,50.99519348144531
blood,1,-103.74723052978516
blood,1,-19.053916931152344
blood,1,-7.278301239013672
blood,1,-116.26239013671875
blood,1,-70.94447326660156
blood,1,-101.61791229248047
