cohort,latent,target,kind,metric,value,std,n,n_classes
GTEx,PCA-50,AGE_mid,continuous,R2,0.21851772220993682,0.0757877435243416,803,
GTEx,PCA-50,DTHHRDY,continuous,R2,0.528134712780548,0.07940435532506272,788,
GTEx,PCA-50,SMRIN,continuous,R2,0.4657193413056528,0.09149339692537667,803,
GTEx,PCA-50,SMTSISCH,continuous,R2,0.6960486139816788,0.08244489303670352,798,
GTEx,PCA-50,SMRDLGTH,continuous,R2,-0.2799390349176599,0.5732895700580997,803,
GTEx,PCA-50,SEX,categorical,bal_acc,0.9667853586799406,0.016623338783067754,803,2.0
GTEx,PCA-50,SEX,categorical,macro_auc,0.9955250324624567,,803,2.0
GTEx,PCA-50,SMCENTER,categorical,bal_acc,0.48073732062189156,0.022108102407704094,803,3.0
GTEx,PCA-50,SMCENTER,categorical,macro_auc,0.8492039357004542,,803,3.0
GTEx,Rand-64,AGE_mid,continuous,R2,0.14154428366319988,0.07773146894593792,803,
GTEx,Rand-64,DTHHRDY,continuous,R2,0.4995233505528415,0.026555204331254165,788,
GTEx,Rand-64,SMRIN,continuous,R2,0.37447509025019815,0.10282419532740802,803,
GTEx,Rand-64,SMTSISCH,continuous,R2,0.6360193710198471,0.09893117186854852,798,
GTEx,Rand-64,SMRDLGTH,continuous,R2,-0.3568733816678888,0.7225456640221704,803,
GTEx,Rand-64,SEX,categorical,bal_acc,0.6714214117580918,0.02309375692626457,803,2.0
GTEx,Rand-64,SEX,categorical,macro_auc,0.783667118404006,,803,2.0
GTEx,Rand-64,SMCENTER,categorical,bal_acc,0.44534885587274153,0.026583265171924653,803,3.0
GTEx,Rand-64,SMCENTER,categorical,macro_auc,0.8164454519055073,,803,3.0
GTEx,CM-VAE,AGE_mid,continuous,R2,0.11852994888482651,0.058661912332565666,803,
GTEx,CM-VAE,DTHHRDY,continuous,R2,0.5051714970704362,0.06253690038031028,788,
GTEx,CM-VAE,SMRIN,continuous,R2,0.26679509026892606,0.08583866444942655,803,
GTEx,CM-VAE,SMTSISCH,continuous,R2,0.590279349420728,0.09794614702334423,798,
GTEx,CM-VAE,SMRDLGTH,continuous,R2,-0.17499970130557493,0.3146933916277432,803,
GTEx,CM-VAE,SEX,categorical,bal_acc,0.5801704322130149,0.025424267718255317,803,2.0
GTEx,CM-VAE,SEX,categorical,macro_auc,0.6557387964454782,,803,2.0
GTEx,CM-VAE,SMCENTER,categorical,bal_acc,0.42768322199196424,0.01796572265425544,803,3.0
GTEx,CM-VAE,SMCENTER,categorical,macro_auc,0.7990126655047414,,803,3.0
GTEx,Sane-VAE,AGE_mid,continuous,R2,0.16921973039190588,0.05355109910462426,803,
GTEx,Sane-VAE,DTHHRDY,continuous,R2,0.5154855397219194,0.0693417845135288,788,
GTEx,Sane-VAE,SMRIN,continuous,R2,0.3254169373032737,0.07944596656244991,803,
GTEx,Sane-VAE,SMTSISCH,continuous,R2,0.660359727705774,0.0893437557376386,798,
GTEx,Sane-VAE,SMRDLGTH,continuous,R2,-0.351277538602342,0.6636291398891966,803,
GTEx,Sane-VAE,SEX,categorical,bal_acc,0.5839847647143822,0.03462619568240225,803,2.0
GTEx,Sane-VAE,SEX,categorical,macro_auc,0.6769838531025133,,803,2.0
GTEx,Sane-VAE,SMCENTER,categorical,bal_acc,0.4737285220661417,0.020987145482364064,803,3.0
GTEx,Sane-VAE,SMCENTER,categorical,macro_auc,0.8345795137840739,,803,3.0
GSE279480,PCA-50,AGE_cat,categorical,bal_acc,0.7366709401709401,0.09673019329246144,255,2.0
GSE279480,PCA-50,AGE_cat,categorical,macro_auc,0.8110132953466286,,255,2.0
GSE279480,PCA-50,SEX_bin,categorical,bal_acc,1.0,0.0,255,2.0
GSE279480,PCA-50,SEX_bin,categorical,macro_auc,1.0,,255,2.0
GSE279480,PCA-50,CMV_bin,categorical,bal_acc,0.8312004711929749,0.06153862382455161,255,2.0
GSE279480,PCA-50,CMV_bin,categorical,macro_auc,0.9085301505091611,,255,2.0
GSE279480,Rand-64,AGE_cat,categorical,bal_acc,0.6172549857549858,0.07003743512909144,255,2.0
GSE279480,Rand-64,AGE_cat,categorical,macro_auc,0.6831861348528014,,255,2.0
GSE279480,Rand-64,SEX_bin,categorical,bal_acc,0.627426059697424,0.03140575451228974,255,2.0
GSE279480,Rand-64,SEX_bin,categorical,macro_auc,0.6654792733503379,,255,2.0
GSE279480,Rand-64,CMV_bin,categorical,bal_acc,0.5824728869331568,0.05747473508603224,255,2.0
GSE279480,Rand-64,CMV_bin,categorical,macro_auc,0.6288011838236727,,255,2.0
GSE279480,CM-VAE,AGE_cat,categorical,bal_acc,0.5919002849002849,0.05271953147354965,255,2.0
GSE279480,CM-VAE,AGE_cat,categorical,macro_auc,0.6412792022792023,,255,2.0
GSE279480,CM-VAE,SEX_bin,categorical,bal_acc,0.7828340699779981,0.030746730027531827,255,2.0
GSE279480,CM-VAE,SEX_bin,categorical,macro_auc,0.8674633462489535,,255,2.0
GSE279480,CM-VAE,CMV_bin,categorical,bal_acc,0.7259657508907884,0.01781552392149227,255,2.0
GSE279480,CM-VAE,CMV_bin,categorical,macro_auc,0.830346190541093,,255,2.0
GSE279480,Sane-VAE,AGE_cat,categorical,bal_acc,0.6055868945868946,0.045799558567071345,255,2.0
