latent_dim,latent_var,top1_cluster,top1_w,top2_cluster,top2_w,top3_cluster,top3_w,frac_top3_l1
43,2.5796918869018555,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.20468367636203766,HALLMARK_PROTEIN_SECRETION,0.18508575856685638,OTHER,0.18379124999046326,0.14574435798273486
15,2.268810749053955,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.3307517170906067,HALLMARK_MYC_TARGETS_V1,0.286526620388031,HALLMARK_DNA_REPAIR,0.2395554482936859,0.20091988864422436
7,0.9382677674293518,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.2016640305519104,HALLMARK_HEME_METABOLISM,-0.16904906928539276,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.15965910255908966,0.1525042685549061
45,0.8038133382797241,HALLMARK_HEME_METABOLISM,-0.25502851605415344,HALLMARK_PROTEIN_SECRETION,-0.0986027792096138,HALLMARK_MYC_TARGETS_V2,0.08416838198900223,0.21611259796998303
16,0.705998957157135,HALLMARK_PROTEIN_SECRETION,-0.16759292781352997,HALLMARK_MYC_TARGETS_V2,0.16408143937587738,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.11824966967105865,0.21238648238660926
25,0.6325692534446716,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.13334040343761444,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.09846644848585129,HALLMARK_PROTEIN_SECRETION,0.08462434262037277,0.21823547179542793
8,0.44392240047454834,HALLMARK_COAGULATION,-0.08273002505302429,HALLMARK_MYOGENESIS,-0.057620804756879807,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05717635899782181,0.17107079941752096
30,0.012250416912138462,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0070694824680686,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.00672659557312727,HALLMARK_MYC_TARGETS_V2,-0.006261094473302364,0.16552736475139354
44,0.007927680388092995,HALLMARK_MYOGENESIS,0.010938786901533604,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.009961605072021484,HALLMARK_ANGIOGENESIS,0.008734878152608871,0.2293101190107579
20,0.006196499336510897,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.00823887251317501,HALLMARK_COAGULATION,-0.006733207497745752,HALLMARK_FATTY_ACID_METABOLISM,-0.005421524401754141,0.15642931325695764
47,0.005165663082152605,HALLMARK_NOTCH_SIGNALING,-0.006363094784319401,HALLMARK_HEME_METABOLISM,-0.004415549803525209,HALLMARK_GLYCOLYSIS,-0.004062526859343052,0.1404483320164323
14,0.005128213204443455,HALLMARK_HYPOXIA,0.00508585711941123,HALLMARK_PROTEIN_SECRETION,-0.004803087562322617,HALLMARK_APICAL_SURFACE,0.0047347634099423885,0.13239404958470027
0,0.00443671690300107,HALLMARK_INFLAMMATORY_RESPONSE,-0.007678792346268892,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.007569261360913515,HALLMARK_COAGULATION,-0.006271109450608492,0.17722083714739853
46,0.00443496135994792,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.011969896033406258,HALLMARK_PROTEIN_SECRETION,0.008782912977039814,HALLMARK_HEDGEHOG_SIGNALING,-0.006997612304985523,0.19775725329459126
40,0.00430910661816597,HALLMARK_ANGIOGENESIS,-0.006955685559660196,HALLMARK_COAGULATION,-0.005763647146522999,HALLMARK_UV_RESPONSE_DN,-0.005733865313231945,0.17839741779541923
41,0.003134214086458087,HALLMARK_E2F_TARGETS,-0.006484351120889187,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.004839581903070211,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00452663516625762,0.17260469243090892
1,0.0029243119060993195,HALLMARK_MYC_TARGETS_V2,0.008105703629553318,HALLMARK_ANGIOGENESIS,0.006395525764673948,HALLMARK_INFLAMMATORY_RESPONSE,0.006122462917119265,0.17542863830989924
35,0.0028670462779700756,HALLMARK_APICAL_SURFACE,-0.005954812280833721,HALLMARK_PANCREAS_BETA_CELLS,0.004761788994073868,HALLMARK_MYC_TARGETS_V2,0.004084327723830938,0.15247701784993387
12,0.002763007767498493,HALLMARK_PROTEIN_SECRETION,-0.006658791098743677,HALLMARK_ANDROGEN_RESPONSE,-0.005918677896261215,HALLMARK_APICAL_SURFACE,0.004673691000789404,0.1721874206155819
19,0.0026224255561828613,HALLMARK_ANGIOGENESIS,-0.0066380491480231285,HALLMARK_PROTEIN_SECRETION,-0.006080306135118008,HALLMARK_ANDROGEN_RESPONSE,-0.005854355171322823,0.17290267548266344
37,0.002562865847721696,HALLMARK_MYOGENESIS,-0.004667660221457481,HALLMARK_MYC_TARGETS_V2,-0.004565359093248844,HALLMARK_KRAS_SIGNALING_UP,0.004550217185169458,0.15758517123447205
3,0.002514459192752838,HALLMARK_ANGIOGENESIS,0.0042788260616362095,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.003761476371437311,HALLMARK_SPERMATOGENESIS,0.00355689600110054,0.16369226698095096
28,0.0025136247277259827,HALLMARK_PROTEIN_SECRETION,0.0060454667545855045,HALLMARK_UV_RESPONSE_UP,-0.004410817287862301,HALLMARK_MYC_TARGETS_V2,-0.004308344796299934,0.1598657051861687
4,0.0025058400351554155,HALLMARK_APICAL_SURFACE,-0.009834248572587967,HALLMARK_HEDGEHOG_SIGNALING,-0.009619577787816525,HALLMARK_MYC_TARGETS_V2,-0.008766447193920612,0.20001671742100932
