latent_dim,kind,recon_r2,age_r2,sex_auc,active_dims,active_frac,final_train_mse,final_test_mse
4,PCA,0.6575370132923126,0.14409933937842087,0.5765797922994566,4,1.0,,
4,Sane-VAE,0.6888685524463654,0.13741463141542654,0.5740082059863088,4,1.0,0.28308460116386414,0.3192596435546875
8,PCA,0.7337040603160858,0.16802796301789538,0.6218258979142657,8,1.0,,
8,Sane-VAE,0.739359587430954,0.18765072865642593,0.5732274919158249,8,1.0,0.1830256998538971,0.2671583592891693
16,PCA,0.7934884577989578,0.2016895457865588,0.6719897698260171,16,1.0,,
16,Sane-VAE,0.7885687500238419,0.2047526378920494,0.6796748526798726,15,0.9375,0.154403755068779,0.2167084813117981
32,PCA,0.8387022167444229,0.21903745048440762,0.744605468339673,32,1.0,,
32,Sane-VAE,0.7937440276145935,0.19081695633955223,0.6660993873928789,17,0.53125,0.15498182773590088,0.21161580085754395
64,PCA,0.8670405298471451,0.21023279685076757,1.0,64,1.0,,
64,Sane-VAE,0.7939878851175308,0.16921973039190588,0.6769838531025133,16,0.25,0.1593560054898262,0.21116147935390472
128,PCA,0.8812219202518463,0.0725512752338939,1.0,128,1.0,,
128,Sane-VAE,0.7862102389335632,0.07693625699014925,0.6391138883587386,44,0.34375,0.17102642953395844,0.2191590964794159
256,PCA,0.8897414207458496,0.1960617089056609,1.0,256,1.0,,
256,Sane-VAE,0.7897598147392273,-0.08495809847271145,0.632498395987231,131,0.51171875,0.1831708088517189,0.21603716909885406
