chr,expressed,annotated,expressed_frac,expected_under_H0,obs_over_exp,std_residual
1,1159,7090,0.1635,1023.6,1.132,4.23
2,759,5686,0.1335,820.9,0.925,-2.16
3,635,4158,0.1527,600.3,1.058,1.42
4,399,3577,0.1115,516.4,0.773,-5.17
5,480,3946,0.1216,569.7,0.843,-3.76
6,569,4230,0.1345,610.7,0.932,-1.69
7,519,3957,0.1312,571.3,0.908,-2.19
8,365,3265,0.1118,471.4,0.774,-4.9
9,447,3188,0.1402,460.3,0.971,-0.62
10,428,3268,0.131,471.8,0.907,-2.02
11,649,4166,0.1558,601.5,1.079,1.94
12,630,3860,0.1632,557.3,1.13,3.08
13,193,2001,0.0965,288.9,0.668,-5.64
14,408,2797,0.1459,403.8,1.01,0.21
15,347,2818,0.1231,406.8,0.853,-2.97
16,512,3188,0.1606,460.3,1.112,2.41
17,698,3780,0.1847,545.7,1.279,6.52
18,145,1653,0.0877,238.7,0.608,-6.06
19,907,3545,0.2559,511.8,1.772,17.47
20,311,1970,0.1579,284.4,1.093,1.58
21,111,1134,0.0979,163.7,0.678,-4.12
22,295,1747,0.1689,252.2,1.17,2.69
X,374,2958,0.1264,427.1,0.876,-2.57
Y,8,672,0.0119,97.0,0.082,-9.04
MT,13,37,0.3514,5.3,2.434,3.31
