rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Graft-versus-host disease,3.60548144263933e-06,16.97938144329897,212.80352569829228,PRF1;GZMB;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3,0.0006122370756247265,0,0,PC2,neg,KEGG_2021_Human
2,MAPK signaling pathway,8.743708023159162e-06,4.828953127676176,56.243667936333274,DUSP4;JUN;DUSP2;JUND;GADD45B;VEGFB;HSPB1;GADD45G;VEGFA;NR4A1;DDIT3;HSPA1B;HSPA1A,0.0006122370756247265,0,0,PC2,neg,KEGG_2021_Human
3,Protein processing in endoplasmic reticulum,8.916073916864948e-06,6.420071918927754,74.65038039903673,PPP1R15A;DNAJB2;DNAJB1;HSP90AB1;DDIT3;BAG1;RAD23A;UBXN6;HSPA1B;HSPA1A,0.0006122370756247265,0,0,PC2,neg,KEGG_2021_Human
4,Antigen processing and presentation,1.3048671437076766e-05,10.078304021017296,113.34891391093362,HSP90AB1;KIR3DL1;KIR2DL1;KIR3DL2;KIR2DL3;HSPA1B;HSPA1A,0.0006720065790094535,0,0,PC2,neg,KEGG_2021_Human
5,Coronavirus disease,2.2947503599480157e-05,5.156192391486509,55.080001217693614,RPS15;JUN;CXCL8;RPL12;RPLP1;RPLP2;RPS11;RPL28;UBA52;RPS12;HBEGF,0.0009454371482985825,0,0,PC2,neg,KEGG_2021_Human
6,Malaria,0.0001398365134139565,11.256410256410257,99.9010527744165,CXCL8;GYPC;HBB;HBA2;HBA1,0.004801053627212507,0,0,PC2,neg,KEGG_2021_Human
7,Ribosome,0.00019454733881342284,5.458333333333333,46.64055791195152,RPS15;RPLP1;RPL12;RPLP2;RPS11;RPL28;UBA52;RPS12,0.0057252502565093,0,0,PC2,neg,KEGG_2021_Human
8,Apoptosis,0.0005737992125583318,5.2832469775474955,39.43009276479297,JUN;GADD45B;DDIT3;PRF1;GZMB;CTSW;GADD45G,0.013776564933101596,0,0,PC2,neg,KEGG_2021_Human
9,Toll-like receptor signaling pathway,0.0006244951835763466,6.217757205975174,45.87813776640311,JUN;CXCL8;CCL4L2;CCL5;CCL4;CCL3,0.013776564933101596,0,0,PC2,neg,KEGG_2021_Human
10,Bladder cancer,0.0007356418168161046,10.900717043574186,78.64613599642355,CDKN1A;CXCL8;VEGFA;HBEGF,0.013776564933101596,0,0,PC2,neg,KEGG_2021_Human
11,Ferroptosis,0.0007356418168161046,10.900717043574186,78.64613599642355,MAP1LC3A;FTH1;SLC3A2;FTL,0.013776564933101596,0,0,PC2,neg,KEGG_2021_Human
12,Pancreatic cancer,0.0009887099209859827,7.124954857349223,49.29834337305474,CDKN1A;GADD45B;RALGDS;GADD45G;VEGFA,0.016972853643592706,0,0,PC2,neg,KEGG_2021_Human
13,Lipid and atherosclerosis,0.0014826832721619267,3.943840579710145,25.689790294529075,JUN;CXCL8;HSP90AB1;DDIT3;CCL5;CCL3;HSPA1B;HSPA1A,0.023494827235796687,0,0,PC2,neg,KEGG_2021_Human
14,Colorectal cancer,0.001719952740982219,6.2421652421652425,39.734243578842936,CDKN1A;JUN;GADD45B;RALGDS;GADD45G,0.025307876045881222,0,0,PC2,neg,KEGG_2021_Human
15,Human cytomegalovirus infection,0.0019724031324471966,3.7601766513056836,23.420270107307864,CDKN1A;CXCL8;CCL4L2;CCL5;CCL4;GNAS;CCL3;VEGFA,0.026530094066960316,0,0,PC2,neg,KEGG_2021_Human
