rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),2.078410050543521e-05,4.14660818179049,44.70591910352186,ZRANB1;RNF11;WDR26;KLHL15;UBA6;SIAH1;UBE2D3;PJA2;RNF19A;PELI1;RLIM;SPOPL;FEM1C;RNF111,0.023561670603915123,0,0,PC3,pos,GO_Biological_Process_2023
2,Negative Regulation Of Cytoplasmic Translation (GO:2000766),5.3162099096467675e-05,60.28934010152284,593.3776232841345,FMR1;CPEB2;CPEB4,0.023561670603915123,0,0,PC3,pos,GO_Biological_Process_2023
3,Regulation Of RNA Splicing (GO:0043484),7.453736990169465e-05,7.523043359694573,71.50058354539571,CLK1;KAT2B;ATXN7;DYRK1A;QKI;PTBP2;PTBP3,0.023561670603915123,0,0,PC3,pos,GO_Biological_Process_2023
4,Regulation Of DNA-templated Transcription (GO:0006355),7.60053890448875e-05,2.1573448764055914,20.461782565771728,KMT2E;ATF2;LIN54;NFAT5;KDM3A;ZNF292;JMJD1C;ARID4A;ARID4B;FOXO3;HIF1A;CHD1;MED13;ZMYM2;BTAF1;ATXN7;RAD21;RNF111;CDK17;NCOA2;DYRK1A;RFX3;TGFBR1;PHF20L1;KAT2B;PPM1A;KLF6;ZEB1;RYBP;KLF5;WAC;RLIM;PHIP;RCOR3;MXD1;KDM7A;TRIM33,0.023561670603915123,0,0,PC3,pos,GO_Biological_Process_2023
5,Positive Regulation Of DNA-templated Transcription (GO:0045893),0.00011932925341974287,2.385191664131427,21.546924781043476,KMT2E;ATF2;NFAT5;KDM3A;TMF1;DDX3X;KMT2C;FOXO3;HIF1A;MYSM1;PRDM10;ATAD2B;MED13;ATXN7;RNF111;NCOA2;TET2;DYRK1A;RFX3;TGFBR1;KAT2B;PPM1A;KLF6;RYBP;KLF5;WAC;PHIP,0.024737905085472085,0,0,PC3,pos,GO_Biological_Process_2023
6,Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0090101),0.00012710940148194603,6.868872060581905,61.616958641429406,PPM1A;UBE2D3;ARID4A;ARID4B;LEMD3;SKIL;TRIM33,0.024737905085472085,0,0,PC3,pos,GO_Biological_Process_2023
7,Negative Regulation Of RNA Metabolic Process (GO:0051253),0.00015320271943439296,37.6751269035533,330.92884130781977,KAT2B;PTBP2;PTBP3,0.024737905085472085,0,0,PC3,pos,GO_Biological_Process_2023
8,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.000159599387648207,3.095555734147714,27.063959978463384,KMT2E;KDM3A;DYRK1A;RFX3;FOXO3;HIF1A;TGFBR1;KAT2B;PPM1A;KLF6;MED13;RYBP;ATXN7;WAC;PHIP;RNF111,0.024737905085472085,0,0,PC3,pos,GO_Biological_Process_2023
9,Peptidyl-Serine Phosphorylation (GO:0018105),0.00019454733881342284,5.458333333333333,46.64055791195152,PIKFYVE;NEK7;DYRK1A;LMTK2;RICTOR;TOP1;HIPK1;TGFBR1,0.026804300014293812,0,0,PC3,pos,GO_Biological_Process_2023
10,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.00022608486566735937,2.030403687760567,17.04442703559638,ATF2;NFAT5;KDM3A;TMF1;DDX3X;KMT2C;ZNF292;UBE2D3;JMJD1C;ARID4A;ARID4B;FOXO3;HIF1A;MYSM1;PRDM10;CHD1;ATAD2B;MED13;ATXN7;ZMYM5;RAD21;FNIP1;JAZF1;NCOA2;TET2;RFX3;PHF20L1;KAT2B;PPM1A;KLF6;ZEB1;KLF5;PHIP;RCOR3;MXD1;KDM7A;TRIM33,0.02803452334275256,0,0,PC3,pos,GO_Biological_Process_2023
11,Peptidyl-Threonine Phosphorylation (GO:0018107),0.00028348784410563496,9.553459119496855,78.0359148140527,ATF2;DYRK1A;LMTK2;HIPK1;TGFBR1,0.03195681151736249,0,0,PC3,pos,GO_Biological_Process_2023
12,Protein Transport (GO:0015031),0.0003271136099214601,3.7576299099477906,30.15574288803342,RAB21;RAB1A;SNX18;ARL5B;ARRDC3;SNX13;LMTK2;PHIP;ZDHHC17;RAB5A;RAB8B,0.03380173969188421,0,0,PC3,pos,GO_Biological_Process_2023
13,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),0.00038405982805878833,3.683295540438398,28.968059429357584,WDR26;KLHL15;SIAH1;UBE2D3;PELI1;UBQLN1;SPOPL;YOD1;FEM1C;UBXN4;PJA2,0.03663339898406904,0,0,PC3,pos,GO_Biological_Process_2023
14,Chromatin Remodeling (GO:0006338),0.0004977575631731953,4.213081833177939,32.04216170603938,KAT2B;LIN54;NFAT5;RYBP;UBR5;WAC;TOP1;MYSM1;CHD1,0.042851394363861546,0,0,PC3,pos,GO_Biological_Process_2023
15,Peptidyl-Threonine Modification (GO:0018210),0.0005183636414983251,8.297183690626314,62.76681356484983,ATF2;DYRK1A;LMTK2;HIPK1;TGFBR1,0.042851394363861546,0,0,PC3,pos,GO_Biological_Process_2023
