rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Intracellular Signal Transduction (GO:1902531),5.440397808420013e-08,6.040228995822374,101.03387487149203,PLK3;MYO9B;ARAP1;GMIP;ARHGAP26;ARHGAP45;FGD3;PREX1;KAT6A;BCL3;PLCG2;PRKD2;ARHGEF1;ARHGEF2;DOCK2;MAP4K4,7.790649661657459e-05,0,0,PC4,neg,GO_Biological_Process_2023
2,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),3.0483034826920857e-07,9.596491228070175,143.981056426353,FGD3;PREX1;ARHGEF1;MYO9B;ARAP1;ARHGEF2;ARHGAP26;GMIP;DOCK2;ARHGAP45,0.00021825852936075332,0,0,PC4,neg,GO_Biological_Process_2023
3,Positive Regulation Of GTPase Activity (GO:0043547),7.071073636020774e-07,6.158854985844605,87.22221749356487,RAP1GAP2;AGAP2;ARAP1;GMIP;ARHGAP45;PREX1;SIPA1L1;TBC1D30;RAPGEF1;SIPA1;TBC1D10B;MAP4K4;NDEL1,0.0003375259148927249,0,0,PC4,neg,GO_Biological_Process_2023
4,Regulation Of Transcription By RNA Polymerase II (GO:0006357),1.4896037911547535e-06,2.4580692775433586,32.979916444002576,KMT2D;HDAC5;CCNK;GMEB2;AKNA;NOTCH1;CHD4;MED12;CUX1;ZMIZ1;SAFB2;STAT6;CAMTA2;CIC;MEF2D;NCOA1;KDM6B;PLK3;CREBBP;KDM2A;CBX4;NCOA6;PHF12;TFE3;STAT3;ARID5A;WWP2;RFX1;ARID3B;SAFB;RNF40;GATAD2A;FOSL2;TOX4;SP2;ELF4;THRAP3;NFIC;BCL3;ERF;PRKD2;ARHGEF2;BCORL1,0.0005332781572334017,0,0,PC4,neg,GO_Biological_Process_2023
5,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),2.512373187156769e-06,3.0946763460375077,39.90363185224007,KMT2D;HDAC5;CCNK;AKNA;NOTCH1;ELL;SUPT6H;MED12;ZMIZ1;STAT6;CAMTA2;MEF2D;NCOA1;KDM6B;CREBBP;NCOA6;TFE3;STAT3;RNF40;FOSL2;ELF4;THRAP3;NFIC;BCL3;PRKD2;ARHGEF2,0.0007195436808016986,0,0,PC4,neg,GO_Biological_Process_2023
6,Regulation Of DNA-templated Transcription (GO:0006355),5.926865285891061e-06,2.3801806588735386,28.647890361172134,KMT2D;HDAC5;CCNK;GMEB2;NOTCH1;KMT2B;BAZ2A;CHD4;MED12;CUX1;POLR2A;ZMIZ1;SAFB2;STAT6;CAMTA2;CIC;NCOA1;CREBBP;KDM2A;CBX4;NCOA6;PHF12;TFE3;STAT3;ARID5A;WWP2;RFX1;ARID3B;SAFB;GATAD2A;FOSL2;DNM2;TOX4;SP2;ELF4;THRAP3;NFIC;KAT6A;BCL3;ERF,0.0013293669903321004,0,0,PC4,neg,GO_Biological_Process_2023
7,Positive Regulation Of DNA-templated Transcription (GO:0045893),6.49830232704239e-06,2.7040880655642305,32.297545639008504,KMT2D;HDAC5;CCNK;AKNA;NOTCH1;ELL;KMT2B;CHD4;MED12;ZMIZ1;STAT6;CAMTA2;MEF2D;NCOA1;KDM6B;CREBBP;NCOA6;TFE3;STAT3;RNF40;GATAD2A;FOSL2;DNM2;ELF4;THRAP3;NFIC;KAT6A;BCL3;PRKD2;ARHGEF2,0.0013293669903321004,0,0,PC4,neg,GO_Biological_Process_2023
8,Activation Of GTPase Activity (GO:0090630),8.533873633610442e-06,8.734929078014185,101.94943805989425,RAP1GAP2;SIPA1L1;TBC1D30;AGAP2;GMIP;SIPA1;TBC1D10B;ARHGAP45,0.0015275633804162692,0,0,PC4,neg,GO_Biological_Process_2023
9,Endocytosis (GO:0006897),2.131560311311202e-05,5.769185533666569,62.05377044057348,GAK;PACSIN2;CSNK1D;RIN3;EPS15L1;CSNK1G2;IGF2R;PDLIM7;CXCL16;DNM2,0.0033915492953307124,0,0,PC4,neg,GO_Biological_Process_2023
10,Regulation Of GTPase Activity (GO:0043087),6.125678622774233e-05,5.055727554179566,49.04276116385745,FGD3;PREX1;SIPA1L1;TBC1D30;RAPGEF1;ARAP1;GMIP;TBC1D10B;MAP4K4;NDEL1,0.008771971787812702,0,0,PC4,neg,GO_Biological_Process_2023
11,Lysosomal Transport (GO:0007041),8.958238180663645e-05,7.291635825314581,67.9606117379354,GAK;HGS;MGRN1;PLEKHM1;LAPTM5;DENND3;IGF2R,0.011468553212974115,0,0,PC4,neg,GO_Biological_Process_2023
12,Positive Regulation Of Cell Migration (GO:0030335),9.681470876094742e-05,4.357051632913702,40.27097177919429,DOCK5;NOTCH1;STAT3;PLCG2;MYADM;ITGAX;NEDD9;ACTN4;ARHGEF2;MAP4K4;CXCL16,0.011468553212974115,0,0,PC4,neg,GO_Biological_Process_2023
13,Regulation Of B Cell Activation (GO:0050864),0.00010411396073230691,19.221574344023324,176.26230732641343,THEMIS2;SH3KBP1;LAPTM5;SUPT6H,0.011468553212974115,0,0,PC4,neg,GO_Biological_Process_2023
14,Cytoskeleton Organization (GO:0007010),0.00012710940148194603,6.868872060581905,61.616958641429406,FGD3;DIAPH1;MAST3;SH3KBP1;PACSIN2;NEDD9;SIPA1,0.01300147592301048,0,0,PC4,neg,GO_Biological_Process_2023
15,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),0.000159599387648207,3.095555734147714,27.063959978463384,NCOA1;CREBBP;NOTCH1;NCOA6;TFE3;STAT3;KMT2B;CHD4;GATAD2A;DNM2;MED12;ZMIZ1;ELF4;THRAP3;KAT6A;BCL3,0.015236421540815497,0,0,PC4,neg,GO_Biological_Process_2023
