rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Ribosome,1.079712250295604e-25,23.433040638926887,1347.117064475344,RPL31;RPL34;RPS27L;MRPL36;RPL9;MRPL13;RPL7;MRPL3;RPS17;RPS15A;RPL39;RPL17;RPL41;RPL21;RPS7;RPL23;MRPL27;RPL35A;RPS3A;MRPS18C;MRPL22;RPL27;RPL22L1;RPL26;RSL24D1;RPS24;RPL26L1,8.31378432727615e-24,0,0,PC4,pos,KEGG_2021_Human
2,Oxidative phosphorylation,3.842729186836578e-22,23.259887005649716,1146.961059101727,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6A1;ATP5F1C;COX6C;COX7C;UQCRH;ATP5F1E;UQCRQ;NDUFS4;NDUFAB1;ATP5PO;ATP5MG;ATP5MF;ATP5ME,1.4794507369320825e-20,0,0,PC4,pos,KEGG_2021_Human
3,Thermogenesis,8.455803362706961e-19,13.521739130434783,562.6972188404046,COX7B;COX16;NDUFB2;NDUFB1;UQCR11;COX7A2;COX6A1;COX7C;UQCRH;ATP5MG;ATP5MF;COA6;ATP5ME;ATP5PF;NDUFA6;NDUFA4;NDUFA2;NDUFA1;COX6C;ATP5F1C;ATP5F1E;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,2.1703228630947868e-17,0,0,PC4,pos,KEGG_2021_Human
4,Parkinson disease,5.848366377697936e-17,11.863636363636363,443.43643994980727,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;PSMA6;PSMB7;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,9.449914150317013e-16,0,0,PC4,pos,KEGG_2021_Human
5,Huntington disease,6.136307889816243e-17,10.417077175697866,388.8666089852558,COX7B;NDUFB2;NDUFB1;UQCR11;COX7A2;COX6A1;COX7C;UQCRH;PSMB7;AP2S1;POLR2K;ATP5PF;NDUFA6;NDUFA4;NDUFA2;NDUFA1;COX6C;ATP5F1C;ATP5F1E;PSMA6;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,9.449914150317013e-16,0,0,PC4,pos,KEGG_2021_Human
6,Prion disease,4.808373547315964e-16,10.707009857612267,377.6469725348517,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;PSMA6;PSMB7;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,6.170746052388821e-15,0,0,PC4,pos,KEGG_2021_Human
7,Diabetic cardiomyopathy,1.364760648979116e-15,12.645896003437903,432.84116546676523,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;UQCRQ;MPC2;NDUFAB1;NDUFS4;ATP5PO,1.5012367138770277e-14,0,0,PC4,pos,KEGG_2021_Human
8,Coronavirus disease,2.014262597387446e-14,10.891710132648468,343.48029687449036,RPL41;RPL21;RPS7;RPL31;RPL23;RPL34;RPS27L;RPL35A;RPS3A;RPL9;RPL7;RPS17;RPS15A;RPL27;RPL22L1;RPL26;RPL17;RPL39;RSL24D1;RPS24;RPL26L1,1.9387277499854168e-13,0,0,PC4,pos,KEGG_2021_Human
9,Amyotrophic lateral sclerosis,2.865785743103225e-13,7.804812834224599,225.40895472338414,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;PSMA6;PSMB7;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,2.45183891354387e-12,0,0,PC4,pos,KEGG_2021_Human
10,Alzheimer disease,3.849957634844201e-13,7.689723320158103,219.81492481311557,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;PSMA6;PSMB7;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,2.9644673788300347e-12,0,0,PC4,pos,KEGG_2021_Human
11,Non-alcoholic fatty liver disease,3.850945576837221e-12,12.299655927431967,323.2681962820525,COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS4;NDUFAB1,2.6956619037860547e-11,0,0,PC4,pos,KEGG_2021_Human
12,Pathways of neurodegeneration,7.884157106901623e-11,5.8503325942350335,136.09968446605254,ATP5PF;COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;UQCR11;COX7A2;COX6C;ATP5F1C;COX6A1;COX7C;ATP5F1E;UQCRH;PSMA6;PSMB7;PSMA4;PSMA2;UQCRQ;NDUFAB1;NDUFS4;ATP5PO,5.059000810261875e-10,0,0,PC4,pos,KEGG_2021_Human
13,Cardiac muscle contraction,2.583958097821003e-06,10.401371308016877,133.82600066417413,COX7B;UQCRQ;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH,1.5304982579401325e-05,0,0,PC4,pos,KEGG_2021_Human
14,Retrograde endocannabinoid signaling,0.0001239673938185765,5.851190476190476,52.634337002102534,NDUFA6;NDUFA4;NDUFS4;NDUFA2;NDUFAB1;NDUFB2;NDUFA1;NDUFB1,0.0006818206660021707,0,0,PC4,pos,KEGG_2021_Human
15,Spliceosome,0.00013605373248525896,5.768192488262911,51.35110669714504,PHF5A;SNRPD2;ZMAT2;SNRPD1;SNRPG;SNRPE;LSM5;LSM3,0.0006984091600909961,0,0,PC4,pos,KEGG_2021_Human
