pc,direction,library,top_term,top_adj_p,top_combined,n_terms_returned
PC1,pos,GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),6.227572734384336e-06,182.91080320946273,15
PC1,pos,KEGG_2021_Human,Ribosome biogenesis in eukaryotes,0.0024211432881809237,92.33769299659329,15
PC1,neg,GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),0.002123249402238606,186.11375104535156,15
PC1,neg,KEGG_2021_Human,Osteoclast differentiation,0.00011497948860123086,126.77322582769185,15
PC2,pos,GO_Biological_Process_2023,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),0.0003113071891674134,150.50750052715415,15
PC2,pos,KEGG_2021_Human,Neurotrophin signaling pathway,0.0231671789354382,54.43010152798513,15
PC2,neg,GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),2.3048799528899236e-08,763.1417994411703,15
PC2,neg,KEGG_2021_Human,Graft-versus-host disease,0.0006122370756247265,212.80352569829228,15
PC3,pos,GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.023561670603915123,44.70591910352186,15
PC3,pos,KEGG_2021_Human,MAPK signaling pathway,0.10643062780301578,25.870334277287412,15
PC3,neg,GO_Biological_Process_2023,Cellular Respiration (GO:0045333),9.418160108385845e-07,324.0465431120925,15
PC3,neg,KEGG_2021_Human,Alzheimer disease,6.098047989194225e-06,93.97996499072045,15
PC4,pos,GO_Biological_Process_2023,Translation (GO:0006412),1.740162970801198e-25,1229.0032053517045,15
PC4,pos,KEGG_2021_Human,Ribosome,8.31378432727615e-24,1347.117064475344,15
PC4,neg,GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),7.790649661657459e-05,101.03387487149203,15
PC4,neg,KEGG_2021_Human,Endocytosis,0.0015998842700860045,60.26830560762853,15
PC5,pos,GO_Biological_Process_2023,Glycolytic Process (GO:0006096),5.055732130601907e-07,859.036683068409,15
PC5,pos,KEGG_2021_Human,Glycolysis / Gluconeogenesis,4.327123666795137e-06,283.06785299111056,15
PC5,neg,GO_Biological_Process_2023,Regulation Of Lamellipodium Assembly (GO:0010591),0.19220956395979397,112.12252948199962,15
PC5,neg,KEGG_2021_Human,Mitophagy,0.8778334084779751,16.10401456697529,15
