rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,MAPK signaling pathway,8.743708023159162e-06,4.828953127676176,56.243667936333274,MAP3K2;FLT1;GADD45B;DUSP1;HSPA6;BRAF;FOS;AREG;EREG;VEGFA;IGF1R;DDIT3;TAB2,0.0016962793564928775,0,0,KEGG_2021_Human,pos
2,FoxO signaling pathway,5.260111220838901e-05,6.665650406504065,65.67514231099688,GABARAPL1;GADD45B;CCNG2;STAT3;PTEN;BRAF;FOXO3;IGF1R,0.0037255985960109772,0,0,KEGG_2021_Human,pos
3,Protein processing in endoplasmic reticulum,5.761234942285016e-05,5.712041884816754,55.759659750642335,ERN1;PPP1R15A;DNAJA1;HSP90AA1;DDIT3;UBE2D3;HSPA6;NGLY1;YOD1,0.0037255985960109772,0,0,KEGG_2021_Human,pos
4,Colorectal cancer,0.00022444824543942863,7.623711340206185,64.05339660451205,GADD45B;PMAIP1;BRAF;FOS;AREG;EREG,0.010885739903812289,0,0,KEGG_2021_Human,pos
5,Pathways in cancer,0.00030612574870500655,3.0301697045883094,24.51866239589872,HSP90AA1;CXCL8;GADD45B;STAT3;PTEN;CXCR4;BRAF;FOS;PTGS2;HIF1A;VEGFA;IGF1R;GNA13;CKS2;PMAIP1,0.011765274786480403,0,0,KEGG_2021_Human,pos
6,IL-17 signaling pathway,0.00036387447793238354,6.927835051546392,54.85945844239905,HSP90AA1;CEBPB;CXCL8;TAB2;FOS;PTGS2,0.011765274786480403,0,0,KEGG_2021_Human,pos
7,Autophagy,0.00046293959489226153,5.487843762455161,42.13519232726351,ERN1;RAB1A;GABARAPL1;MTMR3;PTEN;HIF1A;IGF1R,0.01283004020129982,0,0,KEGG_2021_Human,pos
8,Mitophagy,0.0005949605404203094,8.032967032967033,59.66097044986614,BNIP3L;GABARAPL1;UBC;FOXO3;HIF1A,0.01331274114350541,0,0,KEGG_2021_Human,pos
9,Bladder cancer,0.0007356418168161046,10.900717043574186,78.64613599642355,CXCL8;BRAF;THBS1;VEGFA,0.01331274114350541,0,0,KEGG_2021_Human,pos
10,Kaposi sarcoma-associated herpesvirus infection,0.000741302910875434,4.417792792792793,31.839479869020252,GABARAPL1;CXCL8;STAT3;UBC;FOS;PTGS2;HIF1A;VEGFA,0.01331274114350541,0,0,KEGG_2021_Human,pos
11,HIF-1 signaling pathway,0.0007998302327363043,5.914422980682614,42.17640714227474,FLT1;STAT3;HIF1A;HK2;IGF1R;VEGFA,0.01331274114350541,0,0,KEGG_2021_Human,pos
12,p53 signaling pathway,0.0008234685243405408,7.440422322775264,52.84176944790253,GADD45B;CCNG2;PTEN;PMAIP1;THBS1,0.01331274114350541,0,0,KEGG_2021_Human,pos
13,Lipid and atherosclerosis,0.0014826832721619267,3.943840579710145,25.689790294529075,ERN1;HSP90AA1;CXCL8;DDIT3;STAT3;HSPA6;TAB2;FOS,0.02212619652303183,0,0,KEGG_2021_Human,pos
14,Legionellosis,0.0025341401417975046,7.60377358490566,45.45460491125239,CLK1;RAB1A;CXCL8;HSPA6,0.03309942499766337,0,0,KEGG_2021_Human,pos
15,Endometrial cancer,0.0027008557557807325,7.462585034013605,44.13512048118966,GADD45B;PTEN;BRAF;FOXO3,0.03309942499766337,0,0,KEGG_2021_Human,pos
