rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Cellular Respiration (GO:0045333),1.7843641219904886e-07,12.228988702121796,190.02666552150018,COX7B;BLOC1S1;NDUFA4;NDUFB3;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6B1,0.00020446431094485045,0,0,GO_Biological_Process_2023,neg
2,Aerobic Electron Transport Chain (GO:0019646),3.84399036008612e-07,13.708333333333334,202.49380648550172,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6B1,0.00020446431094485045,0,0,GO_Biological_Process_2023,neg
3,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),4.826065561247453e-07,13.26478494623656,192.92388251539236,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6B1,0.00020446431094485045,0,0,GO_Biological_Process_2023,neg
4,Protein Repair (GO:0030091),9.70634307108318e-06,150.746192893401,1740.0227480112783,PCMT1;MSRB2;MSRB1,0.0030841905108366804,0,0,GO_Biological_Process_2023,neg
5,"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)",1.6073421914510297e-05,33.6530612244898,371.4740483715657,COX7B;NDUFA4;COX7A2;COX6B1,0.004085863850668518,0,0,GO_Biological_Process_2023,neg
6,Regulation Of Inflammatory Response (GO:0050727),3.134423464107079e-05,4.974030174903537,51.58308149672796,BST1;HCK;PSMA6;ANXA1;CASP4;S100A12;MGST2;CARD16;S100A9;S100A8;GPSM3,0.006639753704800163,0,0,GO_Biological_Process_2023,neg
7,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),6.723327393029232e-05,13.334682860998651,128.110862510313,COX7B;NDUFA4;COX7A2;UQCR11;COX6B1,0.012207641595057363,0,0,GO_Biological_Process_2023,neg
8,Granulocyte Chemotaxis (GO:0071621),9.0483142653988e-05,9.108939836897985,84.80739062557714,ANXA1;FCER1G;S100A12;PPBP;S100A9;S100A8,0.014375509289152343,0,0,GO_Biological_Process_2023,neg
9,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),0.00014909624942351603,5.6875,50.112098919165376,PSMA6;FLOT1;S100A12;CARD16;CLU;S100A9;S100A8;LAMTOR5,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
10,Neutrophil Activation Involved In Immune Response (GO:0002283),0.00015320271943439296,37.6751269035533,330.92884130781977,FCER1G;TYROBP;STXBP2,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
11,Positive Regulation Of Response To External Stimulus (GO:0032103),0.00017057927681723105,5.570578231292517,48.33206585685107,CASP4;LY96;MGST2;S100A12;S100A9;AIF1;S100A8;GPSM3,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
12,Actin Polymerization Or Depolymerization (GO:0008154),0.00018485918100710728,10.551282051282051,90.69793638374381,GSN;MSRB2;CAPG;AIF1;MSRB1,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
13,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),0.00018485918100710728,10.551282051282051,90.69793638374381,NDUFB3;NDUFA1;NDUFB1;ATP5MF;ATP5F1E,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
14,Defense Response To Fungus (GO:0050832),0.00018946001545207968,16.142857142857142,138.36579697475634,CLEC4D;S100A12;S100A9;S100A8,0.01720026283139952,0,0,GO_Biological_Process_2023,neg
15,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),0.00021690636844734666,15.521193092621663,130.93747995826848,SPI1;SORT1;GABARAP;ZDHHC3,0.01837919961977184,0,0,GO_Biological_Process_2023,neg
