rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Oxidative phosphorylation,9.573830363431984e-09,10.381044487427467,191.6780186411778,COX7B;ATP6V0E1;NDUFA4;NDUFB3;NDUFA1;NDUFB1;COX7A2;UQCR11;ATP6V0D1;ATP5MF;ATP5F1E;COX6B1,1.4456483848782295e-06,0,0,KEGG_2021_Human,neg
2,Parkinson disease,1.420795862864985e-06,5.7629837759448925,77.59450428360631,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;TXN;ATP5F1E;COX6B1;PSMA6;PSMD4;PSMB3,0.00010727008764630637,0,0,KEGG_2021_Human,neg
3,Prion disease,3.9228124338793714e-06,5.224598930481283,65.0394736074981,COX7B;NDUFA4;NCF4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;ATP5F1E;COX6B1;PSMA6;PSMD4;PSMB3,0.00018500742169308296,0,0,KEGG_2021_Human,neg
4,Alzheimer disease,4.9008588527969e-06,4.453962437013285,54.45459056149276,PSENEN;RTN3;COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;ATP5F1E;COX6B1;PSMA6;FRAT2;PSMD4;PSMB3,0.00018500742169308296,0,0,KEGG_2021_Human,neg
5,Diabetic cardiomyopathy,3.9265846019890934e-05,5.346877556585765,54.24490411712052,COX7B;NDUFA4;NCF4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;ATP5F1E;COX6B1,0.0011858285498007061,0,0,KEGG_2021_Human,neg
6,Huntington disease,6.272311581217302e-05,4.234910985670864,40.980304066669916,PSMA6;COX7B;PSMD4;PSMB3;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;ATP5F1E;COX6B1,0.0015785317479396876,0,0,KEGG_2021_Human,neg
7,Amyotrophic lateral sclerosis,8.047721710704619e-05,3.8520499108734403,36.315340868406324,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;GABARAP;ATP5F1E;COX6B1;PSMA6;PSMD4;PSMB3,0.0017360085404519966,0,0,KEGG_2021_Human,neg
8,Thermogenesis,0.0001196511295564287,4.6415362731152205,41.91739058204341,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;ATP5F1E;ATP5MF;COX6B1,0.002258415070377592,0,0,KEGG_2021_Human,neg
9,Non-alcoholic fatty liver disease,0.00017057927681723105,5.570578231292517,48.33206585685107,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6B1,0.0028619411999335435,0,0,KEGG_2021_Human,neg
10,Pathways of neurodegeneration,0.0003180682480182755,3.1575350453665476,25.42840199594566,COX7B;NDUFA4;NDUFB3;NDUFA1;NDUFB1;UQCR11;COX7A2;GABARAP;ATP5F1E;COX6B1;PSMA6;FRAT2;PSMD4;PSMB3,0.004802830545075959,0,0,KEGG_2021_Human,neg
11,Osteoclast differentiation,0.0017612136723423994,5.029990627928772,31.898953733425575,SPI1;TYROBP;NCF4;FCGR1A;OSCAR;LILRA5,0.02417666041124566,0,0,KEGG_2021_Human,neg
12,Glutathione metabolism,0.0025341401417975046,7.60377358490566,45.45460491125239,MGST1;MGST2;PGD;PRDX6,0.0318879301176186,0,0,KEGG_2021_Human,neg
13,Pentose phosphate pathway,0.0032779948419926,11.152284263959391,63.79690278522437,TALDO1;PGD;TKT,0.03807517085699097,0,0,KEGG_2021_Human,neg
14,Retrograde endocannabinoid signaling,0.003779223900928405,4.281544939741542,23.883470720146956,GNG10;NDUFA4;NDUFB3;NDUFA1;NDUFB1;GNG11,0.04076162921715637,0,0,KEGG_2021_Human,neg
15,Starch and sucrose metabolism,0.005517288559721188,9.121827411167512,47.43230522818489,HK3;PYGL;GYG1,0.055540704834526625,0,0,KEGG_2021_Human,neg
