rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469),0.0009905301969888136,17.721409375933113,122.58377707877821,BCL2;THADA;HERPUD1,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
2,Positive Regulation Of Intracellular Protein Transport (GO:0090316),0.0016918225431935558,5.072164948453608,32.37029752967171,ICE1;XPO4;TMEM30B;MBD1;ANK3;PIK3R1,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
3,Cobalamin Metabolic Process (GO:0009235),0.0020216133697869413,39.98989898989899,248.09171029141777,CUBN;MTR,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
4,post-Golgi Vesicle-Mediated Transport (GO:0006892),0.002374631427088841,7.750392464678179,46.83494770645078,ARFGEF2;VPS52;LLGL1;KLHL20,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
5,Phosphatidylinositol Biosynthetic Process (GO:0006661),0.0030464945959450306,5.433416046319272,31.47992845042133,INPP4A;SOCS2;SOCS1;PIGO;PIK3R1,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
10,Microtubule Anchoring (GO:0034453),0.0034202318391573132,28.561327561327563,162.17255858986445,MBD1;BICD1,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
8,Tetrapyrrole Metabolic Process (GO:0033013),0.0034202318391573132,28.561327561327563,162.17255858986445,CUBN;MTR,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
9,Protein K11-linked Deubiquitination (GO:0035871),0.0034202318391573132,28.561327561327563,162.17255858986445,TNFAIP3;OTUD3,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
6,Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014067),0.0034202318391573132,28.561327561327563,162.17255858986445,PIK3IP1;NLRC3,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
7,Regulation Of Protein Localization To Centrosome (GO:1904779),0.0034202318391573132,28.561327561327563,162.17255858986445,CEP72;BICD1,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
11,Regulation Of Transcription By RNA Polymerase II (GO:0006357),0.003456042723191426,1.7635856107334205,9.99535259508825,ZNF496;ZNF275;ZNF550;PRDM4;CCNT1;ZBTB24;TSHZ1;PIK3R1;PRDM1;ETS1;NR3C2;ZXDA;ZNF529;ZXDB;ZKSCAN8;NFATC2IP;BRD7;ZBED4;TGIF1;BRD1;KDM2B;SS18L1;NSMCE3;ARID5B;NR1D2;RRP1B;PARP15;TARBP1;MAF;RFX5;CRY2;ZSCAN25;SINHCAF,0.37011075708359087,0,0,GO_Biological_Process_2023,pos
12,RNA Export From Nucleus (GO:0006405),0.004082818057618266,6.603880896620943,36.32773635617284,POM121;MCM3AP;NUP155;NUP160,0.4007966393228598,0,0,GO_Biological_Process_2023,pos
13,Cellular Response To Growth Hormone Stimulus (GO:0071378),0.0051570205394645754,22.21212121212121,117.00004466783103,SOCS2;PIK3R1,0.42601160344097655,0,0,GO_Biological_Process_2023,pos
14,Lysosomal Microautophagy (GO:0016237),0.0051570205394645754,22.21212121212121,117.00004466783103,ATG16L1;ULK3,0.42601160344097655,0,0,GO_Biological_Process_2023,pos
17,Microtubule Anchoring At Microtubule Organizing Center (GO:0072393),0.0061478754316609515,19.98989898989899,101.78154350719133,MBD1;BICD1,0.42601160344097655,0,0,GO_Biological_Process_2023,pos
