,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
A1BG,-0.006085634,0.028178096,0.8418381,0.132896,0.105276704,-0.50958693,0.029373169,0.37648976,0.04490018,-0.25136173,-0.11730492,-0.050915778,-0.047558546,-0.0017076731,0.5262464,0.06453842,-0.20208657,-0.4975617,0.14662892,0.15798509
A1BG-AS1,0.2939731,0.21964908,0.14677942,-0.20732582,-0.104260445,-0.19919872,0.016465783,0.34447908,0.0050395727,-0.3840387,0.03374815,-0.009003282,-0.15639067,-0.020849705,-0.025761127,0.0046372414,0.088995695,-1.0890543,0.05712509,-0.035956502
A2M-AS1,1.0212898,0.08470416,0.25144815,0.48611164,-0.12204647,-0.04275441,-0.020766258,0.3622234,0.077700615,-0.245893,-0.123631954,-0.0130832195,-0.15922785,-0.020098686,0.08724332,0.06662607,-0.20290613,-0.20192862,0.07879138,0.031155348
AAAS,0.9152651,0.18375516,-0.069242716,0.18650293,-0.013685226,0.057530403,-0.011080503,-0.037831068,-0.032645464,-0.16891956,-0.11689067,0.29104948,-0.05658269,0.017988682,0.65240264,-0.0045001507,-0.22795796,-0.63773394,-0.0073194504,0.12561083
AACS,1.2326628,-0.06032288,-0.0020831823,0.17210245,-0.26141703,0.08054972,-0.0039488077,0.0425905,-0.042119622,-0.06574094,0.0044465065,0.018125772,0.14990866,0.08830428,0.3999859,0.0011652708,0.049495697,-0.44376254,0.05015731,-0.5006969
AAGAB,0.8508861,0.20936728,0.22854507,0.24745464,-0.101190805,-0.52901804,0.0127106905,-0.19355714,0.002270937,-0.39179027,-0.042933226,0.10854602,0.15245974,0.33156872,0.0449121,-0.011727214,-0.08717775,-0.47831535,-0.06887317,-0.22480488
AAK1,1.2072921,-0.07714331,-0.026273727,-0.08824468,-0.18483326,0.071680546,-0.002811104,0.07442385,0.006262958,0.16523302,-0.169833,-0.06507486,-0.0055730343,0.30908212,-0.22676066,0.03733784,-0.14723688,-0.41444898,0.040153414,-0.22925138
AAMDC,-0.23030937,-0.1441352,0.31259358,0.42379946,0.13129562,-0.22561699,0.00013634562,0.100880116,0.082778186,-0.12112707,-0.01033619,0.16564801,0.29030144,-0.10730848,0.496345,-0.038201362,-0.09353757,-0.35188496,0.11971295,0.08705035
AAMP,0.89161396,0.30488372,0.12020767,0.025773048,-0.16202033,0.036141276,0.007337332,-0.2722621,0.010344386,-0.42198896,-0.025069714,0.009778142,0.056770444,0.036400557,0.6888509,-0.01039505,-0.0096440315,-0.7253885,0.024527311,-0.17773509
AAR2,0.70436,0.19461513,0.16385317,-0.1277566,-0.25943518,-0.08174181,-0.014400482,-0.27011037,0.027179718,-0.5904496,-0.09204149,-0.12485981,-0.042647123,0.18580556,0.060337782,0.026416779,-0.10023713,-1.1052847,-0.11781454,-0.20978451
