rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.00012208503690954434,18.346938775510203,165.32046257631316,PIGB;PIGM;MPPE1;PIGX,0.024050752271180236,0,0,KEGG_2021_Human,neg
2,Chemokine signaling pathway,0.0007166026255578859,4.442028985507246,32.16468341792441,GRK2;GNG7;CXCR5;PIK3CD;PPBP;CCR6;RASGRP2;GNG11,0.07058535861745176,0,0,KEGG_2021_Human,neg
3,Hematopoietic cell lineage,0.0031829814394319636,5.375340971085652,30.90787173221737,FCER2;IL1B;HLA-DOB;MS4A1;CD22,0.19431395027700096,0,0,KEGG_2021_Human,neg
4,Endocytosis,0.0039454609193299685,3.3394808743169397,18.484659454863877,RUFY1;DNM3;GRK2;PSD4;ARAP3;LDLRAP1;ACTR3B;CHMP7,0.19431395027700096,0,0,KEGG_2021_Human,neg
5,B cell receptor signaling pathway,0.008869377884041707,5.227405247813411,24.700277159233604,CD79B;PIK3CD;DAPP1;CD22,0.34945348863124326,0,0,KEGG_2021_Human,neg
6,Ether lipid metabolism,0.012951499605550441,6.539615978812624,28.42472661929245,PLA2G12A;LPCAT4;GDPD3,0.3713723242933864,0,0,KEGG_2021_Human,neg
7,Morphine addiction,0.013195970913978198,4.62420830401126,20.012850913677784,GRK2;GNG7;CACNA1A;GNG11,0.3713723242933864,0,0,KEGG_2021_Human,neg
8,Cholinergic synapse,0.02688001683194322,3.686762778505898,13.332706188429968,GNG7;CACNA1A;PIK3CD;GNG11,0.5279248749564431,0,0,KEGG_2021_Human,neg
9,Glutamatergic synapse,0.027646713911066226,3.6530612244897958,13.108091108377458,GRK2;GNG7;CACNA1A;GNG11,0.5279248749564431,0,0,KEGG_2021_Human,neg
10,Herpes simplex virus 1 infection,0.02862488659083196,2.082830025884383,7.401292297260661,ZNF836;IL1B;ZNF559;ZNF888;PIK3CD;ZNF2;ZNF425;ZFP82;B2M;HLA-DOB,0.5279248749564431,0,0,KEGG_2021_Human,neg
11,Ras signaling pathway,0.029478038703151643,2.6786789526503054,9.43995859705951,PLA2G12A;GNG7;PIK3CD;RASGRP2;GNG11;EFNA4,0.5279248749564431,0,0,KEGG_2021_Human,neg
12,Bacterial invasion of epithelial cells,0.04203162961868534,4.059404582247222,12.865604326296655,DNM3;PIK3CD;ACTR3B,0.690019252906751,0,0,KEGG_2021_Human,neg
13,GABAergic synapse,0.059906326477653336,3.490851139180734,9.82665226973149,GNG7;CACNA1A;GNG11,0.7530172011780152,0,0,KEGG_2021_Human,neg
14,Graft-versus-host disease,0.06601160795023121,4.98989898989899,13.562169587343401,IL1B;HLA-DOB,0.7530172011780152,0,0,KEGG_2021_Human,neg
15,Rheumatoid arthritis,0.06653823742891982,3.33502538071066,9.037847070802028,IL1B;LTB;HLA-DOB,0.7530172011780152,0,0,KEGG_2021_Human,neg
