rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,Leukocyte Aggregation (GO:0070486),3.3473033797170354e-05,75.36548223350253,776.6239908457204,RAC2;S100A9;S100A8,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
2,Hydrogen Peroxide Catabolic Process (GO:0042744),4.146798801190002e-05,25.23469387755102,254.6329194525256,PRDX5;HBB;HBA1;HBQ1,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
3,Regulation Of Neutrophil Migration (GO:1902622),5.3162099096467675e-05,60.28934010152284,593.3776232841345,MPP1;FUT7;RAC2,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
4,Neutrophil Chemotaxis (GO:0030593),7.144403293220934e-05,9.537371134020619,91.04943074916847,FCER1G;CXCR1;S100A12;S100A9;PF4V1;S100A8,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
5,Granulocyte Chemotaxis (GO:0071621),9.0483142653988e-05,9.108939836897985,84.80739062557714,FCER1G;CXCR1;S100A12;S100A9;PF4V1;S100A8,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
6,Actin Filament Organization (GO:0007015),0.00010244439134170952,6.0245098039215685,55.342294306830645,CNN2;ACTN1;RAC2;RHOG;WAS;HCLS1;TAGLN2;ALDOA,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
7,Neutrophil Migration (GO:1990266),0.00012192284108863171,8.59401771453463,77.4503375178538,FCER1G;CXCR1;S100A12;S100A9;PF4V1;S100A8,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
8,Neutrophil Activation Involved In Immune Response (GO:0002283),0.00015320271943439296,37.6751269035533,330.92884130781977,FCER1G;TYROBP;STXBP2,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
9,Pentose-Phosphate Shunt (GO:0006098),0.00015320271943439296,37.6751269035533,330.92884130781977,G6PD;TALDO1;PGD,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
11,Vacuolar Acidification (GO:0007035),0.00018946001545207968,16.142857142857142,138.36579697475634,RNASEK;ATP6V0E1;SLC11A1;ATP6V0D1,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
10,Carbohydrate Derivative Biosynthetic Process (GO:1901137),0.00018946001545207968,16.142857142857142,138.36579697475634,G6PD;TNIP1;ST3GAL4;GBGT1,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
12,Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),0.00020276702349047898,33.48730964467005,284.75776049641166,TMEM86B;MBOAT7;TSPO,0.023014057166169364,0,0,GO_Biological_Process_2023,neg
13,Intracellular pH Reduction (GO:0051452),0.0002802069439193893,14.411078717201166,117.88236655881762,RNASEK;ATP6V0E1;SLC11A1;ATP6V0D1,0.029357065970631403,0,0,GO_Biological_Process_2023,neg
14,Myeloid Cell Activation Involved In Immune Response (GO:0002275),0.0006040394207294829,21.522117476432197,159.51916044937724,FCER1G;TYROBP;DYSF,0.056704162668732266,0,0,GO_Biological_Process_2023,neg
15,Positive Regulation Of Inflammatory Response (GO:0050729),0.0006244951835763466,6.217757205975174,45.87813776640311,TNIP1;CASP4;S100A12;S100A9;S100A8;GPSM3,0.056704162668732266,0,0,GO_Biological_Process_2023,neg
