rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,library,direction
1,tRNA Modification (GO:0006400),3.420836775403622e-07,13.94138418079096,207.56226176837393,TRUB1;SSB;TRMT13;NSUN6;THUMPD1;DUS4L;PUS7;MTO1,0.00036124036348262245,0,0,GO_Biological_Process_2023,pos
2,RNA Modification (GO:0009451),1.1486707663805796e-05,13.577319587628866,154.4327783623843,TRUB1;SSB;METTL3;NSUN6;THUMPD1;PUS7,0.006064981646489461,0,0,GO_Biological_Process_2023,pos
3,Regulation Of Proteolysis Involved In Protein Catabolic Process (GO:1903050),8.814271911404375e-05,20.183673469387756,188.4459421090328,USP14;UBE3A;NUDT15;UCHL5,0.0310262371281434,0,0,GO_Biological_Process_2023,pos
4,snRNA Transcription (GO:0009301),0.00020276702349047898,33.48730964467005,284.75776049641166,ICE1;ICE2;RPAP2,0.05218816089958575,0,0,GO_Biological_Process_2023,pos
5,Non-Motile Cilium Assembly (GO:1905515),0.00024710303456243254,14.945578231292517,124.13356629968176,TBC1D32;TOGARAM1;PIBF1;BBS4,0.05218816089958575,0,0,GO_Biological_Process_2023,pos
6,Nuclear Pore Organization (GO:0006999),0.000330570754905644,27.395939086294415,219.56995457412373,NDC1;NUP107;NUP54,0.058180452863393343,0,0,GO_Biological_Process_2023,pos
7,Nuclear Transport (GO:0051169),0.0006068640222899578,11.524781341107872,85.36642728574833,NDC1;NUP107;NUP54;NUP160,0.08614910164517073,0,0,GO_Biological_Process_2023,pos
8,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.0006526447094331116,3.065949593753426,22.487138821837693,ZNF680;ZBTB38;WWC2;GCFC2;ZNF37A;ZNF678;HMG20A;ZNF138;SRSF10;ZNF675;ZNF664;YAF2;ZNF146,0.08614910164517073,0,0,GO_Biological_Process_2023,pos
9,tRNA Transport (GO:0051031),0.0009754681839454337,66.65656565656566,462.10284137848555,SSB;XPOT,0.09705065422771808,0,0,GO_Biological_Process_2023,pos
10,Protein Ufmylation (GO:0071569),0.0009754681839454337,66.65656565656566,462.10284137848555,UFM1;UBA5,0.09705065422771808,0,0,GO_Biological_Process_2023,pos
11,Response To Endoplasmic Reticulum Stress (GO:0034976),0.0010109443148720633,5.639175257731959,38.892661026650636,UFM1;UBA5;CREB3L2;DNAJC10;DERL1;MBTPS2,0.09705065422771808,0,0,GO_Biological_Process_2023,pos
12,Nucleocytoplasmic Transport (GO:0006913),0.0015598806233641427,8.763975155279503,56.64285082988862,NDC1;NUP107;NUP54;NUP160,0.12671030294404112,0,0,GO_Biological_Process_2023,pos
13,tRNA Processing (GO:0008033),0.0015598806233641427,8.763975155279503,56.64285082988862,TRUB1;SSB;NSUN6;THUMPD1,0.12671030294404112,0,0,GO_Biological_Process_2023,pos
14,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.0018531160935469383,3.4603393300003935,21.768602606196946,ITGB1;IFT74;CEP83;NEK1;TOGARAM1;IFT80;PIBF1;BBS4;CD2AP,0.12746479231650953,0,0,GO_Biological_Process_2023,pos
15,Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146),0.0019263332020576173,13.690355329949238,85.59397680666795,UFM1;UBA5;CNOT2,0.12746479231650953,0,0,GO_Biological_Process_2023,pos
